Epoch,Loss,Val_loss
1,0.6913836733861403,0.68705153465271
2,0.6842996423894708,0.678912878036499
3,0.6737703310720848,0.6664896011352539
4,0.657611712361827,0.6477441787719727
5,0.6333644489447275,0.6203601360321045
6,0.6000072007829492,0.5820854902267456
7,0.5576091607411703,0.5307190418243408
8,0.5020803872383002,0.4660991132259369
9,0.4362153745058811,0.3894716501235962
10,0.363124744458632,0.30646422505378723
11,0.29777133961518604,0.22730529308319092
12,0.23399558505325607,0.1674736589193344
13,0.1912671368230473,0.12661169469356537
14,0.15999077102451614,0.10366839915513992
15,0.13866633063916003,0.09224958717823029
16,0.12369971756230701,0.08741892874240875
17,0.1131309015732823,0.0857534408569336
18,0.10178371180187572,0.0853424221277237
19,0.09616168701287472,0.08546172082424164
