Epoch,Loss,Acc,Val_loss,Val_acc
1,0.5312885210498587,0.7473417245722437,0.6561264991760254,0.6502878258102819
2,0.34770526307855165,0.8684402971031412,0.5992474414800343,0.739720388462669
3,0.316240508802338,0.8777518268042129,0.5760204908565341,0.753065453893208
4,0.3052711615128598,0.8825954449651301,0.5636043738706505,0.7570836814652817
5,0.2967722567477718,0.8874086078640699,0.5572703016031451,0.7598591501197246
6,0.29040230877219325,0.8909423194892226,0.5521332043305645,0.7623446529427144
7,0.2843162906208627,0.892556855535236,0.5474079440424239,0.7659486356903525
8,0.27859916350979036,0.8954711546750692,0.5434233923045287,0.7681027342192674
9,0.2758649317207228,0.8958874828054303,0.539447691683544,0.7679784615966241
10,0.27042238039034927,0.8979995841906383,0.5359680481755053,0.7705468142338795
11,0.26727793240430975,0.8993704258475625,0.5332576765832372,0.7728251807928678
12,0.2630680312624218,0.9012692881540784,0.5297051522488819,0.7769676881480434
13,0.2601924179096129,0.9021019460610701,0.5259240122007356,0.7775890614340497
14,0.25761883896506965,0.90271120314478,0.5241610761901615,0.7776304982176673
15,0.25447889748479563,0.9035438596960202,0.5208950719264488,0.7776719161865626
16,0.2508406047410446,0.9044780590784056,0.5181757858595576,0.7787903872717483
17,0.250087760334379,0.9046202218697189,0.5146288805592623,0.7785004197119086
18,0.24679707316341293,0.9057473522875001,0.5128755144768741,0.7780861585418746
19,0.24332257142936572,0.9068135605605998,0.5090038186770979,0.7780447420050709
20,0.24227582910843345,0.9070572692819188,0.507430423708523,0.7780861742948834
21,0.23862373903938466,0.9090170511184525,0.5030162438639156,0.7789146687338544
22,0.23766261432395536,0.908590571556897,0.5028460599117863,0.778707536963658
23,0.23683549098180234,0.90904751746854,0.4992701161371941,0.7784175688606111
24,0.23267179026679233,0.9102051117185845,0.49937020739742616,0.7775890660266197
