movie,feature_0,feature_1,feature_2,feature_3,feature_4
21bridgesmovie,1.1137013,0.0,1.4132293,1.0171311,1.8826692
47metersdown,2.0545726,0.0,2.1613903,1.209086,1.9152102
abeautifuldaymovie,1.240181,0.0,1.4773407,1.2123861,1.897726
abominablemovie,1.5878055,0.30823398,1.5109477,1.6154588,3.1183693
adastramovie,0.8872984,0.0,1.3190935,1.4024659,2.1532245
adogsjourneymovie,1.5662289,0.0,2.179358,2.813127,5.09486
aftermathmovie,0.9182563,0.0,1.2613071,1.058841,1.4559245
aftermovie,0.9791988,0.0,1.3741482,1.2712693,2.0729642
ahiddenlifefilm,0.60090864,0.0,0.8024932,0.6799971,0.9498695
alitamovie,1.9605718,0.0,2.0410872,1.5899578,2.5757284
angelhasfallen,1.4498811,0.0,1.817204,1.4900099,2.3832147
angrybirdsmovie,1.5980041,0.0,2.4908733,3.2017813,5.4038143
annabellemovie,1.5560572,0.0,1.9505947,1.5819712,2.7353346
annamovie,1.0801063,0.0,1.1993514,1.3446194,1.8833613
apollo11movie,0.9083569,0.0,1.068995,0.9806181,1.5689883
arcticdogsmovie,1.2489548,0.0,1.3808794,1.0136298,1.6037905
arcticmovie,0.9427086,0.0,1.0284669,0.92762506,1.2786512
artofracingmovie,1.1812162,0.0,1.5279984,1.6625891,2.4608402
avengers,0.84171754,0.0,1.1570599,0.88406956,1.3307629
beachbummovie,1.1235249,0.0,1.6585706,1.3207053,2.504107
bernadettefilm,1.5201943,0.0,1.5747986,1.2622882,1.874656
blackandbluemovie,1.5296195,0.0,1.974197,2.2299027,3.6189606
blackchristmas,1.2307937,0.0,1.3775887,1.1966416,1.7523165
blindedbythelightmovie,0.774129,0.0,1.0683143,0.860646,1.3400507
bombshellmovie,1.2547674,0.0,1.5681854,1.6325102,2.4843757
booksmart,7.502769,2.8008108,7.9982514,12.030125,17.495974
breakthroughmovie,1.3582432,0.4657906,1.6715839,2.700883,4.1813416
brianbanksmovie,1.584187,0.0,1.8310878,1.7251832,2.6054356
brightburnmovie,1.6103513,0.0,1.6216781,1.2317249,2.139279
brittanyrunsmov,0.8052725,0.0,0.9620817,1.0063554,1.3063922
captainmarvelofficial,1.0075146,0.0,1.479245,1.4838806,1.9417341
captivestatemovie,1.1506214,0.0,1.5053267,1.1718155,2.0705862
catsmovie,1.9744887,0.0,2.5399647,3.0005438,4.452378
charliesangels,1.9403026,0.044803627,2.200126,2.3978326,4.422041
childsplaymovie,2.4020615,0.3373702,3.1370616,4.66951,7.484467
clarathefilm,2.247102,0.0,3.7987328,5.7786984,9.455177
coldpursuitmovie,0.78145903,0.0,1.0502269,0.978132,1.5276034
countdown,1.5923424,0.0,1.9982339,1.6038798,3.419212
currentwarmovie,1.156178,0.0,1.6281648,1.3060977,2.4730341
