movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
21bridgesmovie,0.80424935,0.0,0.0,0.2942414,0.7081669,0.5593729,0.57923394,0.63289577,0.4871334,0.5424196,0.0,0.8996867,0.66341364,0.668655,0.6845172,0.59518236,0.56039906,0.6166789,0.0,0.5114356,0.3626575,0.6663425,0.30849868,0.44632822,0.5399335,0.5864043,0.6052228,0.7988524,0.6645764,0.4150469,0.7292139,0.0,0.85897297,0.5469867,0.59266156,0.0,0.6011167,0.88236874,0.4035166,0.5131393,0.49566802,0.50643885,0.4868589,0.4705878,0.8231637
47metersdown,0.76336867,0.0,0.0,0.9247631,0.43526918,0.4717936,0.60003895,0.76000065,0.53588307,0.56046045,0.0,0.8584192,0.6859956,0.64797026,0.94425803,0.7544442,0.5073044,1.0147073,0.20891327,0.6833035,0.5193651,0.8151289,0.3493494,0.7825852,0.9734592,0.54103696,1.1457465,0.6564079,0.87480855,0.49510542,1.0826762,0.0,1.0123869,0.7530638,0.34536108,0.0,0.49454853,1.2171202,0.65537965,0.58602285,0.253661,0.2779049,0.6100543,1.0049872,1.2446356
abeautifuldaymovie,0.6139642,0.0,0.0,0.5727537,0.32920206,0.61977696,0.6022138,0.51510406,0.63406307,0.6142898,0.0,0.8396174,0.39528286,0.8229511,0.7160841,0.54448223,0.72427154,0.57896566,0.0,0.5321927,0.4355867,0.93747216,0.3133231,0.41327405,0.5064841,0.73004407,0.70715284,0.7569088,0.71881753,0.18506494,0.65608793,0.0,0.53306425,0.6555362,0.52836156,0.0,1.0091689,0.7145168,0.40558505,0.4265054,0.58445007,0.6346614,0.66233796,0.52869326,0.6564043
abominablemovie,1.1063484,0.0,0.0,0.51202095,0.98756117,1.0021536,1.0333894,1.11215,0.9098527,1.4873875,0.0,1.8202926,1.0509173,1.377875,1.4259012,0.8912553,1.1613649,1.2840648,0.0,1.0526333,0.70745635,1.1699294,0.5562933,0.42728758,0.74978757,1.2424145,1.2524742,1.4017315,1.1910892,0.65331507,1.1256654,0.0,1.346515,0.9700314,1.3955479,0.0,1.3829573,1.4194629,0.9495388,0.37564754,1.1458765,0.8893921,0.80078214,0.3001759,2.006723
adastramovie,0.51845866,0.0,0.0,0.4505115,0.30909023,0.45091408,0.4791377,0.49943954,0.39635235,0.5397604,0.0,0.56565917,0.5962577,0.6308328,0.489991,0.23490332,0.43327636,0.5207152,0.0,0.3912662,0.32903332,0.67228806,0.29898694,0.5173421,0.33733556,0.52806437,0.5845597,0.5030827,0.48006845,0.31991854,0.60119456,0.0,0.5488531,0.5148768,0.49681148,0.0,0.553919,0.55648863,0.4703897,0.363433,0.4632934,0.33215165,0.44091052,0.33739161,0.76693124
adogsjourneymovie,1.1600531,0.0,0.0,1.2679611,0.715875,1.1756197,1.812913,1.4634913,0.87105864,1.5986466,0.0,1.4673576,1.0566367,1.8050663,1.346046,1.2068385,1.099776,1.0758412,0.0,0.6868857,0.64690644,1.2010103,0.87094057,0.53259414,1.2372782,1.335727,2.0284088,1.6917562,1.9863772,0.9298565,1.4189034,0.0,1.7662662,1.3661318,1.3353575,0.0,1.3171171,1.8314273,1.033337,1.115184,1.1838369,0.7044474,1.6142441,0.9668534,2.1264555
aftermathmovie,0.3506378,0.0,0.0,0.3508074,0.33404177,0.46499074,0.5008694,0.40543258,0.2824931,0.39303085,0.0,0.59167457,0.32842138,0.6452132,0.37210137,0.32830477,0.48597267,0.5261595,0.0,0.4203839,0.20772727,0.39284354,0.3375471,0.2602431,0.30252424,0.3879243,0.37135264,0.45015594,0.4202715,0.2611346,0.54785293,0.0,0.5552405,0.34477463,0.3623253,0.0,0.48644835,0.488201,0.46865067,0.29679036,0.34775484,0.38063237,0.3005641,0.17910904,0.6371806
aftermovie,0.57208765,0.0,0.0,0.30702242,0.49501508,0.46113732,0.5951068,0.4726386,0.6202939,0.57760286,0.0,0.7121392,0.34429076,0.5411591,0.87534106,0.5412691,0.5889463,0.5485589,0.0,0.66955876,0.48981553,0.70853066,0.32636598,0.38473248,0.4308459,0.42660812,0.5135306,0.59578997,0.5530173,0.4061315,0.6857287,0.0,0.62293947,0.5915867,0.5700191,0.0,0.6090693,0.43623626,0.4167593,0.27963084,0.48474082,0.38017523,0.51002055,0.30211678,0.9657968
ahiddenlifefilm,0.33481264,0.0,0.0,0.25167507,0.25230935,0.30045453,0.3415904,0.31689948,0.23394358,0.31596133,0.0,0.39908025,0.27783296,0.3449135,0.34549716,0.26332065,0.31222937,0.3232071,0.0,0.30311552,0.20228249,0.3457625,0.20059471,0.21847005,0.2973164,0.31296727,0.34864417,0.36297116,0.3445701,0.19290036,0.33491877,0.0,0.36477315,0.26799664,0.28888378,0.0,0.33008707,0.3918949,0.29164892,0.23263913,0.28488818,0.23485816,0.31491742,0.22528812,0.47365516
alitamovie,0.9097247,0.0,0.0,0.5477037,0.46735752,0.5048802,0.8958857,0.7823335,0.6908627,0.7528324,0.0,1.1626763,0.65029776,0.69970375,0.902657,0.77332944,0.8038036,0.6894743,0.0908277,0.50382984,0.6056429,1.1756778,0.5308305,0.6807461,0.38985962,0.7959804,0.92709756,0.8247315,0.8758353,0.3914247,0.91422796,0.0,0.7949471,0.64676887,0.6126385,0.0,0.80702305,1.0061055,0.5131012,0.5281095,0.5296452,0.8817867,0.8439946,0.49753544,1.0287294
angelhasfallen,1.1157291,0.0,0.0,0.8082422,0.4461196,0.82466036,0.91224563,0.92799807,0.5287428,0.6334781,0.0,0.8716163,0.81020904,1.209052,0.67435575,0.80245197,0.66128963,0.6915462,0.21339266,0.8579556,0.4349181,0.597504,0.28068334,0.4230634,1.2604568,0.96581084,0.86435115,0.813028,1.0799437,0.55268174,0.9775792,0.0,0.7350006,1.0189234,0.73842734,0.0,0.88494205,1.0778595,0.54956245,0.8021972,1.0310757,0.89506435,1.4040884,0.7416708,1.3314588
angrybirdsmovie,1.2265217,0.0,0.0,1.2057347,0.32273018,1.6822729,1.9159735,1.4781512,1.3857441,1.8297094,0.0,2.329883,1.3606485,1.9647834,1.711047,1.4742624,1.7542111,1.9214377,0.0,1.0119764,1.1538141,1.9975206,1.3898866,1.5967349,1.0380409,2.2850966,1.702533,1.7793955,1.4062693,0.7845653,2.3910058,0.0,1.94457,1.6229643,1.9537371,0.0,2.3863225,2.058893,0.8993164,0.77231103,1.2083753,0.4307782,1.87683,1.655343,2.2592058
annabellemovie,1.1161547,0.0,0.0,0.66800326,0.9267144,1.3020825,1.435884,1.2633032,0.9768751,1.2546805,0.0,1.3654028,0.6671519,1.4727687,1.1626805,0.8193629,0.73863184,1.3323655,0.0,1.1023129,0.37228978,0.90936255,0.8013983,0.5323343,0.9715153,1.1054301,1.1181145,1.3321418,1.4253309,0.7817481,1.4274681,0.0,1.3379327,1.1750089,1.082056,0.0,0.94220394,1.543256,1.1695672,0.9054509,1.0218439,0.83939093,1.0935551,0.8179124,1.8409472
