movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
21bridgesmovie,0.24781975,0.48103398,0.0,0.559448,0.0,0.50531036,0.5485357,0.6630503,0.4595998,0.4671143,0.5852534,0.39363295,0.8715551,0.9013141,0.70620984,0.7534289,0.49105766,0.800396,0.62642217,0.47660914,0.33454922,0.5407618,0.0,0.52289706,0.0,0.8149121,0.6093598,0.7060437,0.62954944,1.1521955,0.45403484,0.27397844,0.36494908,0.60064197,0.3567583,0.79176754,1.0181469,0.7417774,0.0,0.0,0.545133,0.38732338,0.7540649,0.3612217,0.65387607
47metersdown,0.65157807,0.6006999,0.0,0.37520617,0.0,0.52245706,0.33348304,0.6794723,0.6004154,0.6508368,0.37557602,0.6370109,1.2148869,1.1982002,0.7053042,0.574332,0.42108002,0.6413416,0.99677455,0.6890245,0.6091267,1.1000742,0.0,0.7789185,0.0,0.74759555,0.56032234,1.0841912,0.7562095,0.97450215,0.34052062,0.4117447,0.67739,0.9073018,0.11070426,1.0047389,1.0852084,0.6052696,0.0,0.0,0.5140511,0.5602478,0.76370007,0.5347203,0.5129472
abeautifuldaymovie,0.40236217,0.7268832,0.0,0.65150094,0.0,0.51885283,0.42537636,0.5596359,0.36798185,0.4055627,0.41255707,0.29156116,0.72617984,0.8069311,0.60006547,0.62723225,0.45852447,0.81180316,0.52192813,0.35901618,0.3022658,0.5628563,0.0,0.46583173,0.0,0.6897265,0.5766199,0.7270776,0.75429183,0.7778127,0.24483785,0.5472903,0.30028823,0.34709334,0.2912411,0.88357157,0.7999698,0.6445679,0.0,0.0,0.50978243,0.27254027,0.8124477,0.42165032,0.49437627
abominablemovie,0.339612,0.51990986,0.0,0.97545224,0.0,1.0216902,1.0611832,1.2460032,0.8761821,0.53106916,0.84165144,0.7766696,1.4191141,1.3308053,0.7316788,0.93570274,0.32469454,1.2540159,1.0097271,1.0475962,0.5964651,1.010298,0.0,0.9501027,0.0,1.6768397,0.89605594,1.0255549,0.9174694,1.6235828,0.5162559,0.38504398,0.6189045,0.70854527,0.5355346,1.1752219,1.2556232,1.0919888,0.0,0.0,0.5810487,0.4341731,1.4438215,0.58341324,0.87309813
adastramovie,0.4506535,0.43685767,0.0,0.57142854,0.0,0.6108302,0.41269863,0.69371915,0.43973356,0.38631928,0.43794677,0.35867113,0.8122928,0.91684395,0.62657404,0.6062184,0.36830083,0.85469574,0.7312921,0.4606524,0.42440772,0.6553197,0.0,0.50466055,0.0,0.8167285,0.45711598,0.87784207,0.55054367,0.8497015,0.28468516,0.29573554,0.3676759,0.50695026,0.37784865,0.7162498,0.97405916,0.4721591,0.0,0.0,0.39875987,0.41931123,0.88073254,0.38810155,0.48887637
adogsjourneymovie,1.0506327,1.2008477,0.0,1.1947889,0.0,1.7752059,1.0281004,1.4416541,0.90466475,0.3862163,0.7536342,0.6734189,1.929145,2.2572966,1.407824,1.6551328,0.9083996,2.1102135,1.4175816,0.47428444,0.55934656,1.4226588,0.0,1.1268061,0.0,1.6399043,1.1697603,1.959406,1.4568312,2.1428814,0.8512829,0.9403225,0.8002652,0.605429,0.93796825,1.3210125,2.1482148,0.8561797,0.0,0.0,1.1388586,0.33373666,1.8088347,0.5420171,1.2513683
aftermathmovie,0.37997618,0.5371294,0.0,0.49910307,0.0,0.54335177,0.44583482,0.6184086,0.3873334,0.31427297,0.5029546,0.28320697,0.7448404,0.81105214,0.4795414,0.6288639,0.29311174,0.6874233,0.6253839,0.4042305,0.19831084,0.59757906,0.0,0.4959383,0.0,0.69956744,0.3774995,0.6355463,0.44788992,0.8368989,0.35253277,0.34650177,0.29318315,0.46473432,0.31205946,0.71610355,0.70975775,0.5401883,0.0,0.0,0.32236248,0.35704434,0.67196333,0.35451072,0.39097378
aftermovie,0.41552174,0.5936038,0.0,0.5231199,0.0,0.6433887,0.22922345,0.5131023,0.30446965,0.42753777,0.23438498,0.37973863,0.67277193,0.83358926,0.5637971,0.7062509,0.49381447,0.6999478,0.75140846,0.32870877,0.3957466,0.52805287,0.0,0.45451313,0.0,0.6427715,0.38798925,0.5743987,0.6234753,0.7336631,0.5857463,0.4771647,0.2947384,0.23656933,0.3150804,0.7677103,0.9230533,0.37216836,0.0,0.0,0.32882792,0.20900796,0.6775282,0.33470482,0.3120907
ahiddenlifefilm,0.22470522,0.2822817,0.0,0.2983042,0.0,0.3337078,0.24822435,0.30874702,0.25606948,0.23315632,0.25104326,0.18851388,0.41971722,0.45600235,0.30687192,0.37173578,0.25277993,0.39679703,0.39262974,0.24715132,0.18110913,0.30672026,0.0,0.28004095,0.0,0.43082947,0.2329182,0.39174965,0.32155624,0.4483786,0.2393353,0.21731997,0.23606476,0.2624303,0.1831753,0.40356392,0.46263802,0.31352925,0.0,0.0,0.25246888,0.19067419,0.41112214,0.19505201,0.3061624
alitamovie,0.5130449,0.55745375,0.0,0.5372286,0.0,0.8903658,0.48621386,0.63684595,0.46848774,0.25156808,0.32954723,0.41641217,0.9461479,1.0763991,0.49599785,0.4926671,0.43789423,0.86599684,0.80551994,0.4193056,0.38350743,0.74391973,0.0,0.51208794,0.0,0.9986069,0.39593855,0.8762163,0.70127255,0.7999818,0.24850413,0.4515885,0.51229864,0.42940032,0.49598277,0.74923307,0.84613454,0.40861985,0.0,0.0,0.4909727,0.42292875,1.0791782,0.47243127,0.48615697
