movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34
21bridgesmovie,0.7817718,0.0,0.45921707,0.62158805,0.40013736,0.33118308,0.7065501,0.0,0.63319725,0.43814766,0.45610932,0.9795608,0.69151783,0.7435448,0.4650226,0.0,0.6015878,0.7789993,0.44899428,0.5867147,0.63169736,0.83964944,0.8047894,0.44841757,0.74535143,0.6912446,0.6119171,0.6008389,0.84315604,0.35994238,0.88411415,0.80273366,0.7418581,0.4790116,0.63515484
47metersdown,0.90835345,0.0,0.34782365,0.6845601,0.794424,0.4466622,0.9749483,0.0,0.72575736,0.68110526,1.0743147,0.7975597,0.8012446,1.1814278,0.6926103,0.0,0.88553065,0.78584605,0.19774786,0.82726604,0.93304867,0.99800456,1.0131025,0.5439733,0.79012877,0.8958414,0.9922105,1.3245214,1.1907396,0.91887045,0.86453,0.7372441,0.7745244,0.47429657,0.5126245
abeautifuldaymovie,0.7572172,0.0,0.4090252,0.83181363,0.3655449,0.3417722,0.5457695,0.0,0.56119365,0.3641244,0.7582757,0.821144,0.57214695,0.66881645,0.4956633,0.0,0.6016148,0.6513145,0.38726282,0.42649895,0.70514375,0.53193986,0.33514953,0.7318565,0.7092571,0.58619666,0.7823165,0.6966783,1.0017216,0.7377293,0.7606972,0.8328302,0.6484318,0.41591486,0.4714048
abominablemovie,1.1910373,0.0,1.222325,0.74495703,0.47973335,0.42658526,0.9711064,0.0,0.93680996,0.32062778,0.9850897,1.8790975,1.0259641,1.064856,0.70322186,0.0,0.61314464,1.1073726,0.60088944,0.68326485,0.9019097,1.0071129,1.3892899,0.57322586,1.152833,1.1704136,0.8017707,0.70882666,1.1910915,0.8086471,1.4385402,1.3779383,1.3282787,0.94000405,1.2080216
adastramovie,0.53315103,0.0,0.7436793,0.78486246,0.35771337,0.19916418,0.7005321,0.0,0.21641265,0.24090067,0.42473984,0.89075303,0.52477217,0.71309614,0.4152913,0.0,0.40402037,0.7513548,0.46214744,0.34707016,0.6333043,0.7700317,0.5839782,0.42811763,0.64649516,0.7025042,0.5525577,0.6268383,0.7916383,0.36186334,0.81009406,0.7005442,0.8856194,0.5875547,0.4709064
adogsjourneymovie,1.800951,0.0,1.5145969,1.3967882,0.70963657,0.65532315,1.7839361,0.0,0.8462692,0.48076338,1.2796917,1.9483933,1.124764,1.4601734,0.44067827,0.0,0.9023244,1.2737037,0.66769266,0.4101957,1.7153428,1.124181,1.4690106,1.15553,1.5023222,2.3802774,1.50851,1.8806926,1.7039857,1.1882111,2.0214932,1.8057319,1.9967726,0.87755525,0.7242476
aftermathmovie,0.71376216,0.0,0.4158138,0.43766809,0.3618258,0.28627926,0.4867841,0.0,0.4285881,0.3526425,0.56255645,0.696769,0.4822147,0.62676215,0.34750253,0.0,0.5162569,0.5663891,0.23949634,0.54586893,0.6876231,0.54312986,0.64255315,0.4451857,0.56081617,0.5322424,0.6016351,0.66235137,0.74993885,0.4969841,0.58633006,0.5735548,0.5802797,0.3712059,0.40205812
aftermovie,0.67474246,0.0,0.48795778,0.67901194,0.29955167,0.32735848,0.47397885,0.0,0.4650364,0.33377576,0.7319702,0.84575504,0.34847152,0.63574916,0.42296064,0.0,0.46789494,0.59790254,0.3697238,0.41908467,0.5701398,0.495493,0.65671337,0.47395566,0.55175453,0.60342556,0.6753939,0.49996483,0.7244645,0.7008032,0.5645124,0.7180787,0.63941675,0.31059676,0.50265163
ahiddenlifefilm,0.36131018,0.0,0.3212424,0.31700367,0.18030496,0.20680115,0.36401764,0.0,0.31232595,0.2481555,0.34219316,0.44387084,0.3179055,0.37199163,0.24054858,0.0,0.30789348,0.39264062,0.18551214,0.3065448,0.34213203,0.34539935,0.35999912,0.2886953,0.34176856,0.3861313,0.3471446,0.39690948,0.4495947,0.33531457,0.3945341,0.4089488,0.36420554,0.24114108,0.28409594
alitamovie,0.65079445,0.0,0.60479486,0.78988916,0.2678413,0.14989595,0.6348485,0.0,0.51993316,0.43746528,0.5671535,0.99890125,0.6086459,0.82217216,0.5355363,0.0,0.26704937,0.9417128,0.6507156,0.4698215,0.8077066,0.5893836,0.68715954,0.29319316,0.6219016,0.693859,0.76280123,0.5435738,0.78661984,0.6456694,1.0595247,0.79932255,0.7192426,0.5342983,0.78513813
angelhasfallen,1.1007003,0.0,0.46056786,0.49418208,0.54413176,0.56416905,1.0236938,0.0,0.8302266,0.7058513,0.79148906,0.92232823,0.8164096,0.81340295,0.49385384,0.0,0.9005653,0.9651179,0.4595427,0.5415565,0.9668988,0.8657551,0.960109,0.5657186,0.92783386,1.109847,0.84955823,1.1329067,1.0419266,0.7751481,0.9972246,1.0426633,0.79910785,0.45322248,0.5534393
angrybirdsmovie,2.4418294,0.0,1.487333,2.049839,0.99925894,0.3428656,1.3659604,0.0,1.1011567,0.59671223,2.125692,2.2659261,1.062991,2.0754714,0.86397904,0.0,1.2389822,1.5316478,0.69787455,0.7606138,2.1347082,0.9956309,1.1574736,1.6464897,1.2338026,1.2911714,2.2426178,1.995369,2.260597,1.9428096,2.4278283,1.799752,1.4119147,1.1807914,1.281472
annabellemovie,1.1935265,0.0,1.1439248,1.2908087,0.6033728,0.42416984,1.2204105,0.0,0.6147188,0.4329382,0.9809381,1.9002855,0.9830382,1.3167914,0.8686779,0.0,0.9298586,1.2711406,1.0410022,0.88341784,1.4071919,1.4423491,0.94944084,0.52474236,1.0860602,1.2261498,1.0515139,1.3325992,1.7207996,1.0490378,1.6420528,1.745266,1.5041229,1.1389735,1.078833
annamovie,0.8404573,0.0,0.45265478,0.5472878,0.26631343,0.34905618,0.6227155,0.0,0.63544077,0.51438785,0.6507687,0.8371183,0.5873186,0.88305134,0.4404854,0.0,0.45466974,0.7392388,0.35679275,0.62132,0.6791379,0.7916265,0.8955171,0.45927978,0.5838163,0.8646333,0.63662314,0.66996586,0.76561475,0.6584268,0.7161755,0.62837297,0.72762257,0.34394836,0.5728862
apollo11movie,0.48580533,0.0,0.46592087,0.4200232,0.19999164,0.3101617,0.4378424,0.0,0.4745815,0.36738676,0.53810924,0.7254047,0.3976456,0.5046496,0.3255763,0.0,0.41360074,0.5815332,0.27311885,0.4261353,0.44522876,0.32331336,0.67978764,0.31852338,0.4461472,0.59239805,0.49435133,0.40355998,0.61557925,0.36729088,0.6602961,0.50514525,0.48182186,0.32197723,0.4597083
arcticdogsmovie,0.56028044,0.0,0.45458126,0.32044044,0.24330254,0.31551987,0.55511653,0.0,0.43766645,0.26670626,0.6020298,0.58895695,0.49553263,0.58973134,0.23128265,0.0,0.5131453,0.43976435,0.15540555,0.38043243,0.4930873,0.41514152,0.5453512,0.56636316,0.38607144,0.6007655,0.4914087,0.49751064,0.6614737,0.5563506,0.6249433,0.48051086,0.29149342,0.32492676,0.35670522
arcticmovie,0.587138,0.0,0.5268548,0.44134915,0.26647112,0.20995824,0.73331165,0.0,0.4504351,0.2811027,0.4944519,0.6960366,0.4267255,0.59186155,0.26479563,0.0,0.19153942,0.51842797,0.2680038,0.28157502,0.62095356,0.44575822,0.53743964,0.28814036,0.557601,0.76011366,0.501471,0.6948609,0.60643816,0.36693364,0.715018,0.7403047,0.77936757,0.30431247,0.46431288
artofracingmovie,0.5941193,0.0,0.7230339,0.872807,0.45435715,0.4158545,0.81596065,0.0,0.56945443,0.2770027,0.53393483,1.1308131,0.4536044,0.70358735,0.41311964,0.0,0.54312676,0.8518686,0.6032642,0.5564654,0.7839443,0.8361971,0.7428746,0.5620222,0.6576903,0.7332719,0.6734359,0.784918,0.798373,0.56243664,1.0117825,1.000406,0.97744924,0.5553926,0.4545213
avengers,1.0177578,0.0,0.33121547,0.6636699,0.5370911,0.23719376,0.97462237,0.0,0.6862962,0.54900694,0.7195175,0.9929063,0.6515502,0.8640575,0.37383506,0.0,0.61756647,0.70316213,0.43661803,0.56512666,0.8093654,0.8433478,0.7004401,0.70590484,0.6536463,0.78870857,0.82154,0.8649546,0.9128205,0.70810276,1.0289526,0.91656786,0.8052601,0.37734574,0.4835696
beachbummovie,0.5695057,0.0,0.77586764,0.92021155,0.37331542,0.6556112,0.7941097,0.0,0.73621714,0.64546967,0.90754616,0.9829114,0.6497758,0.88054246,0.6427795,0.0,0.512875,1.1902764,0.20341311,0.64091605,0.9977924,0.4556356,0.9326806,0.67857367,0.8295548,0.87955105,0.8521747,0.91628057,1.124537,0.67414564,1.1455545,0.6798153,0.66039634,0.5113566,0.6127839
bernadettefilm,0.7483677,0.0,0.72005016,0.645791,0.5483625,0.42474604,0.9378543,0.0,0.66354984,0.35110715,0.7612869,0.90504915,0.5467691,0.8298754,0.3806432,0.0,0.7190343,0.8633226,0.46500552,0.36750495,0.60024256,0.7757265,0.80632865,0.6562556,0.80711055,0.877669,0.78358227,1.005566,0.8508617,0.76160073,0.80767345,0.94017076,0.9276063,0.36575148,0.50616336
blackandbluemovie,1.6065313,0.0,1.1180843,1.2333279,0.67498416,0.74772894,1.3148695,0.0,1.5852287,1.0341862,1.455812,1.8932099,1.2227823,1.4393207,1.0092201,0.0,0.9496103,1.6178427,0.582034,1.042683,1.6755449,1.0116073,1.0261756,1.2687289,1.5071135,1.5366651,1.4154639,1.6648598,1.8607384,1.6007293,1.5630312,2.0261831,1.3153074,0.7385949,1.0411136
blackchristmas,0.6056072,0.0,0.6667614,0.60031813,0.30766913,0.37231517,0.78937185,0.0,0.46651354,0.4044417,0.41526702,0.8807229,0.51400506,0.5724601,0.40500653,0.0,0.4828458,0.6940336,0.3695083,0.30773115,0.6282391,0.72234446,0.4756008,0.49016553,0.6375362,0.9094996,0.48974383,0.8083754,0.7967855,0.5901351,0.7512126,0.92946047,0.69680667,0.45556423,0.37769932
blindedbythelightmovie,0.5336099,0.0,0.48535976,0.39548817,0.23863953,0.3285259,0.6395595,0.0,0.47692057,0.41523942,0.3731107,0.5824997,0.5589844,0.5574889,0.40745565,0.0,0.386337,0.579036,0.12700857,0.47800827,0.48675773,0.6234001,0.5532521,0.34501767,0.5584356,0.54231375,0.4107496,0.55017173,0.6971902,0.4804172,0.46799222,0.49065235,0.59419894,0.38020223,0.30729103
bombshellmovie,1.0561126,0.0,0.6973408,0.69101894,0.5468334,0.36671603,0.6339632,0.0,0.6964642,0.103313945,0.9780921,1.1206642,0.5680894,1.1504408,0.3416264,0.0,0.6208565,0.6383343,0.32089326,0.39194298,0.81040335,0.6336076,1.0035971,0.731943,0.6683943,1.0056193,0.9815435,0.96742,0.96278006,0.73162776,1.0141823,0.7646145,0.72714853,0.436579,0.8394319
booksmart,5.2092223,0.0,3.6148202,5.0911484,3.3111103,1.0282496,3.830488,0.0,2.502322,0.78083533,4.9660254,6.773737,2.532866,5.891901,1.4451463,0.0,2.4286067,3.72761,2.506151,0.525493,4.8571496,3.1966858,3.7815382,5.1108747,2.9857004,6.1279593,4.0743127,4.967779,6.2044115,3.4750054,7.3946557,5.142562,3.9665427,2.0358365,3.6253092
breakthroughmovie,1.7062885,0.0,1.5989925,1.7488297,0.48503697,0.8715686,1.383076,0.0,0.68187594,0.63538265,1.763576,1.6088557,0.9485941,1.6476278,0.8162703,0.0,0.72089505,1.4658674,0.37107846,0.67174166,1.482667,1.3223274,0.9980395,1.3750722,1.1955903,1.420471,1.6383728,1.7130071,1.8310449,1.3602095,1.8608261,1.5627797,1.5625544,1.106752,0.7125945
brianbanksmovie,1.1931645,0.0,0.9121268,0.8793984,0.42159525,0.51199263,1.0210493,0.0,0.88158697,0.34967244,0.884567,1.2806724,0.8014967,1.1249254,0.21715412,0.0,0.5624884,0.8453086,0.291368,0.5532223,0.9729193,0.82548743,0.8528482,0.7446825,0.85581607,1.3049896,0.98215866,1.2283556,1.1184882,0.6165066,1.1010718,1.2348512,1.0798155,0.51169825,0.8036535
brightburnmovie,0.94361514,0.0,0.65225196,0.9352312,0.3741952,0.28654748,0.6788393,0.0,0.60271555,0.34239686,0.88112044,1.0337092,0.63362765,0.91721505,0.53720725,0.0,0.5466177,0.64286447,0.33635083,0.50108665,0.8968403,0.6642988,0.47656327,0.5558125,0.7337632,0.78528553,0.85204244,0.8589599,1.067367,0.7793692,0.8780365,0.9437213,0.92574126,0.59819686,0.63130283
brittanyrunsmov,0.6185479,0.0,0.37268242,0.35170096,0.28454047,0.1960289,0.56909764,0.0,0.64939606,0.40543085,0.5218661,0.8467594,0.5993148,0.59612685,0.3592151,0.0,0.5408046,0.59789246,0.43670183,0.488335,0.42098567,0.67571485,0.38258904,0.5233551,0.5730301,0.530483,0.5059397,0.6260067,0.7406757,0.59512514,0.65947765,0.8853594,0.57158864,0.40975502,0.52058053
captainmarvelofficial,1.1077584,0.0,0.6780571,0.62932354,0.59020823,0.1298402,1.179848,0.0,0.6841333,0.4785236,1.1145527,1.1079413,0.8270243,0.94186676,0.4796215,0.0,0.5537468,0.695921,0.36249468,0.5345246,0.90558374,0.7069275,0.6705263,0.83992153,0.53889716,1.0501277,1.0459086,1.1512512,1.1084862,0.97495234,1.347162,1.1253885,0.78776497,0.6377795,0.50551265
captivestatemovie,0.8369509,0.0,0.44734707,0.9387188,0.2421249,0.46181357,0.5515814,0.0,0.41794577,0.5173398,0.5736029,1.2976185,0.64519656,0.82930535,0.71551704,0.0,0.734533,0.8911114,0.39073715,0.3733033,0.88390005,0.91268796,0.45079082,0.59042597,1.1152729,0.71611106,0.68356436,0.5505722,0.9877468,0.40436545,1.0418633,1.06109,0.95922697,0.43462768,0.9283756
catsmovie,1.3134027,0.0,1.0573515,0.9737177,0.4856012,0.678226,1.3737314,0.0,0.83145326,0.7404442,0.80259395,1.0830436,1.244869,1.0873563,0.8739857,0.0,0.9199353,0.9940968,0.20830019,0.57742375,0.9370216,1.0931193,0.91388583,0.8520725,1.2961496,1.4836926,1.233685,1.4651613,1.4294949,1.2199246,0.8869145,1.0986191,1.1512407,0.84124076,0.29361382
charliesangels,1.6755801,0.0,1.0981642,1.9958295,0.7323938,0.35911542,1.2311169,0.0,0.72083586,0.43253255,1.6570066,1.8446033,0.95837814,1.3650045,0.7713147,0.0,1.1865631,1.2416987,0.74776727,0.8826333,1.9259382,0.9700496,0.8465574,1.009358,1.3338919,1.13647,2.2620034,2.1632235,1.8462034,1.3130176,1.6923616,1.8435622,1.968814,0.9418125,0.79996884
childsplaymovie,3.1029673,0.0,3.051339,1.8420473,1.6022221,1.1407788,2.0118616,0.0,1.6271563,1.292667,2.4581628,3.5925457,1.9334545,3.0355427,0.9359656,0.0,2.072789,2.8320627,1.8581605,1.2208211,2.1895356,2.1181855,2.915553,2.536969,2.3766272,2.7409596,1.8986136,2.005288,3.7225244,2.997416,3.3406847,2.931535,2.7004366,1.7018285,1.3724747
