movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34
21bridgesmovie,0.66362274,0.63704515,0.76374,0.85242295,0.0,1.1082886,0.5696808,0.61975247,0.30851418,0.7417671,0.8339187,0.52760667,0.0,0.70386636,1.0446771,0.8738007,0.67844445,0.0,0.5893045,0.7795036,0.6277844,0.4451781,0.4770171,0.66349983,0.926038,0.5059596,0.6970501,0.669572,1.0383363,0.0,0.69318146,0.72627264,0.4941997,0.7404632,0.0
47metersdown,0.72856975,0.56910956,1.1681259,0.7780742,0.0,1.2678422,0.6852811,0.9687493,0.51750267,0.9534275,0.7187241,0.815354,0.0,1.098079,1.1640376,1.2649328,0.5523066,0.0,1.063231,0.92443734,0.9899208,0.8575391,0.68243605,0.8160856,1.1662439,0.5697707,0.5218387,0.9388891,1.2196221,0.0,0.56222415,0.8613767,0.5391006,1.0731484,0.0
abeautifuldaymovie,0.40816295,0.57977104,0.80960155,0.9256489,0.0,1.1735085,0.52686316,0.84965587,0.3771959,0.75598365,0.6249478,0.53476167,0.0,0.51398575,1.0573816,0.9886518,0.5931023,0.0,0.8853478,0.77257633,0.59918296,0.4961166,0.6324811,0.6980176,0.7427072,0.5418771,0.67645586,0.7907248,0.85024303,0.0,0.5001835,0.779871,0.6529826,0.6141522,0.0
abominablemovie,0.979636,0.82645416,1.5707079,1.4629791,0.0,2.3050904,1.34772,1.2204334,0.51708233,0.81674623,1.2446448,1.0409889,0.0,1.1392058,1.6870123,2.0337386,1.5052779,0.0,0.71092826,1.3423377,1.5991725,1.090693,1.5259717,0.84841615,0.65558934,0.8170943,1.0584756,1.285214,1.785951,0.0,0.9095341,1.0911337,1.4177823,1.0484222,0.0
adastramovie,0.56879544,0.5359145,0.88121945,0.7839185,0.0,1.1635168,0.6743903,0.7772962,0.39658472,0.55098855,0.5695921,0.57996666,0.0,0.6042572,1.0363667,0.94933915,0.64032596,0.0,0.76759833,0.83882815,0.7594622,0.72846913,0.7584741,0.6008696,0.8014432,0.45785576,0.5642171,0.79869777,1.0039107,0.0,0.42751116,0.92227393,0.6385583,0.69333243,0.0
adogsjourneymovie,1.880059,1.1456296,1.855402,2.6060984,0.0,2.6601548,0.69047457,1.492443,1.101033,1.2314526,0.873506,1.5186348,0.0,1.3301051,2.1205056,2.2266824,1.5074937,0.0,1.594214,1.3118304,1.6769434,1.3522516,1.6004612,1.6215346,1.3244686,0.6510448,1.4500399,1.200655,2.5548024,0.0,1.5240306,1.7933737,1.2249699,1.2646874,0.0
aftermathmovie,0.34258133,0.48529637,0.7471984,0.5373439,0.0,0.8101617,0.5579301,0.6212444,0.21934988,0.6727925,0.50782394,0.36959943,0.0,0.44037876,0.67691857,0.7932892,0.5161018,0.0,0.5366719,0.5235286,0.51109797,0.48267448,0.5212107,0.4372368,0.6316779,0.3539059,0.44587332,0.54335296,0.59698373,0.0,0.33094788,0.6393462,0.5953517,0.53085,0.0
aftermovie,0.73064095,0.729003,0.76487607,0.8125552,0.0,0.98203427,0.6077492,0.7471904,0.13258615,0.6994491,0.55054414,0.5391099,0.0,0.5732509,0.9234823,0.7319893,0.6006589,0.0,0.65403026,0.7677118,0.63343936,0.54374164,0.3459308,0.5012136,1.0255193,0.59958977,0.5735344,0.7628764,0.9057609,0.0,0.5476275,0.69937015,0.5741194,0.7759173,0.0
ahiddenlifefilm,0.31075954,0.30632582,0.43309915,0.42511088,0.0,0.5467304,0.33493054,0.37156257,0.22247963,0.3345632,0.2729892,0.2764642,0.0,0.30746374,0.46102753,0.4701308,0.32176015,0.0,0.3498944,0.3531859,0.34458256,0.2831347,0.27582037,0.3355599,0.3894922,0.26265076,0.30824387,0.31983078,0.4435445,0.0,0.27907208,0.37624666,0.28793123,0.35103157,0.0
alitamovie,0.69263226,0.8442217,1.0881363,0.9552556,0.0,1.5953741,0.66813344,0.9728328,0.5783283,1.0797874,0.51507354,0.6362201,0.0,0.5127427,1.2191266,0.8580208,0.6704976,0.0,0.9303773,0.86581445,0.9108752,0.80254376,1.0843831,0.4359429,0.8279352,0.67632425,0.5378061,0.97380793,0.99152964,0.0,0.7092475,1.0128222,0.8798246,1.0157455,0.0
angelhasfallen,0.9270128,0.6020031,1.206222,1.1531762,0.0,1.1474453,0.88253886,1.2369629,0.5510056,0.9356445,1.0311334,0.6681786,0.0,0.88716924,1.2479231,1.1749781,0.8584214,0.0,0.69628984,1.12976,0.7766232,1.072852,0.69500107,1.0403286,1.1852078,0.8958999,0.90168387,0.96595997,1.2972329,0.0,0.5414415,1.1647825,0.8060777,0.81365305,0.0
angrybirdsmovie,1.7668302,1.2347729,2.54948,2.5865755,0.0,3.5512507,1.8198155,1.742314,1.189745,2.3272262,1.6749436,1.3064404,0.0,1.3234482,2.896044,3.1682281,2.2212477,0.0,1.532999,2.0645716,1.9305267,1.6467142,1.7430925,2.056301,2.102276,1.1088694,2.0610158,1.7106229,2.5418992,0.0,1.4159428,1.8529154,1.6412086,1.9988884,0.0
annabellemovie,0.7575931,0.39010987,1.1479956,1.2833889,0.0,1.4278905,0.9103111,0.9122576,0.34928223,0.7305459,1.4179466,1.1537677,0.0,0.78646183,1.5041372,1.4127398,0.7816911,0.0,0.8582109,1.4428052,1.1416007,0.67667913,0.8917138,0.82922995,0.95901483,0.5912991,0.94872963,1.0251367,1.6284527,0.0,0.7915678,0.9922018,1.2771657,0.7770334,0.0
