movie,feature_0,feature_1,feature_2,feature_3,feature_4
21bridgesmovie,2.1493845,1.6136019,0.0,2.043605,1.3627981
47metersdown,3.674775,2.4536788,0.0,2.0848048,1.934887
abeautifuldaymovie,2.2576168,1.5756519,0.0,2.1092026,1.3187529
abominablemovie,3.778562,2.2015362,0.0,3.0659375,2.8903196
adastramovie,2.4973598,1.7582108,0.0,1.7221316,1.3928187
adogsjourneymovie,6.4630265,3.4098983,0.0,3.8891299,3.4126394
aftermathmovie,1.7595624,1.2767246,0.0,1.4210333,1.1517991
aftermovie,2.307011,1.5220805,0.0,1.5970641,1.3400909
ahiddenlifefilm,1.2130797,0.90447176,0.0,0.933438,0.7586062
alitamovie,2.3650372,1.598001,0.0,1.9507128,1.5043297
angelhasfallen,3.348487,2.1242924,0.0,2.489174,2.448524
angrybirdsmovie,6.762194,3.7277312,0.0,4.1351676,4.2446165
annabellemovie,4.1644473,2.7991962,0.0,2.5666928,2.4304788
annamovie,2.3167746,1.5883613,0.0,1.9985635,1.1971582
apollo11movie,1.9010043,1.4216087,0.0,1.6031058,1.3137375
arcticdogsmovie,2.065299,1.6473715,0.0,1.557854,1.0133733
arcticmovie,1.8458956,1.3096989,0.0,1.3214287,0.98115915
artofracingmovie,2.687894,1.9506948,0.0,2.1667776,1.2928371
avengers,2.391623,1.6024851,0.0,1.8449068,1.3691365
beachbummovie,3.329797,1.9436779,0.0,2.305534,1.9954709
bernadettefilm,3.285877,2.3572853,0.0,1.8683295,1.7215717
blackandbluemovie,4.2886367,2.7193139,0.0,3.7789035,2.8065238
blackchristmas,2.653222,1.7157995,0.0,1.8837488,1.5867763
blindedbythelightmovie,1.9027056,1.188325,0.0,1.6578574,1.2066021
bombshellmovie,2.992359,1.8229319,0.0,2.3204622,1.8578119
booksmart,25.93809,13.466333,0.0,14.602837,11.617632
breakthroughmovie,5.6650267,3.6983604,0.0,3.1534958,3.1339571
brianbanksmovie,3.1647985,2.2643685,0.0,2.0200593,1.3509673
brightburnmovie,2.6783745,1.823198,0.0,2.7176929,1.7654339
brittanyrunsmov,1.8980798,1.0800102,0.0,1.1928558,1.0920174
captainmarvelofficial,3.5599263,2.312095,0.0,2.032822,1.9670419
captivestatemovie,2.4538145,1.5494374,0.0,2.00528,1.6043781
catsmovie,5.5849614,2.7184198,0.0,4.019414,3.0938144
charliesangels,5.963519,4.0187573,0.0,5.236376,4.124548
childsplaymovie,10.689281,4.884659,0.0,5.5304914,5.2579184
clarathefilm,14.4171295,7.568468,0.0,8.302269,7.2475824
coldpursuitmovie,1.8223654,1.2078851,0.0,1.5876905,1.1458135
countdown,3.8259091,2.23949,0.0,2.987776,2.8953693
currentwarmovie,2.9689322,2.0056434,0.0,2.4410298,1.9369736
darkwatersmovie,3.8935254,2.1717122,0.0,2.8633938,2.6140828
detectivepikachumovie,3.3796422,2.4574664,0.0,2.4481778,2.1987188
disneyaladdin,2.9507651,2.058267,0.0,2.4875317,2.1021945
disneyfrozen,5.2560215,2.946898,0.0,3.7614293,3.1925752
disneymaleficent,2.587562,1.7034746,0.0,1.8953705,1.6682476
doctorsleepmovie,2.530782,1.6251875,0.0,1.8780137,1.6604257
dolemiteismyname,4.68904,2.9698162,0.0,2.6969383,2.871799
dontletgomovie,3.0840318,1.9639075,0.0,2.0909793,1.7614442
doramovie,2.9252315,1.818985,0.0,1.6504112,1.5431759
downtonabbey_official,4.632243,2.7081482,0.0,3.4661298,3.0244899
dumbo,2.11038,1.4504603,0.0,1.6373997,1.4028465
escaperoom,2.500937,1.767906,0.0,2.6441631,1.738228
everybodyknowsmovie,1.7927896,1.1069793,0.0,1.492531,1.1808136
fastandfuriousmovie,5.12496,3.215209,0.0,3.032872,3.0796652
fightingwmyfam,4.8472943,2.1990304,0.0,2.8702805,2.1216524
fivefeetapartfilm,6.416831,4.148354,0.0,4.012207,4.1744695
fordvferrari,2.6330419,1.809693,0.0,1.836088,1.4702748
freaksthefilm,2.7888546,1.6210462,0.0,2.138648,1.5771089
geminimanmovie,2.940123,1.7374152,0.0,2.1921487,1.6881856
