movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
21bridgesmovie,0.6404162,0.6237029,0.5063647,0.5497777,1.2016263,0.52206683,0.513227,0.7370294,0.33229822,0.4683107,0.3857661,0.43008986,0.85744536,1.2439027,0.8963381,0.58364433,0.9426168,0.8686071,0.48340732,0.49524367,0.9345876,0.6466978,0.7386863,0.0,0.3876497,0.0,0.7881065,0.94561374,0.55516475,0.0,0.6218767,0.79263866,0.72245014,0.8193664,0.9091838,0.5416327,0.9755949,0.94963527,0.9312007,0.43292508
47metersdown,1.1383672,0.6843214,0.812469,0.83269304,1.6101137,0.5731356,0.5816656,0.8095417,0.48034924,0.25223386,0.1968867,0.36814514,1.2576488,1.1158568,1.0382582,1.1351922,0.99373025,0.73894614,0.68404377,0.338455,1.1656532,0.20747948,0.63643885,0.0,0.31950304,0.0,1.0607972,1.5184927,0.28175732,0.0,0.24485302,0.8692871,0.9662224,0.9356151,1.0199881,0.6274496,1.2528508,1.011207,1.1634454,0.1704896
abeautifuldaymovie,0.8220595,0.598072,0.64982367,0.44072884,1.0388601,0.54818916,0.39885423,0.71340245,0.36265874,0.5340781,0.3794319,0.54571635,0.807738,1.1471264,0.9162898,0.6117809,0.95463645,0.846437,0.4475381,0.3807905,0.94641256,0.4421788,0.6306676,0.0,0.33432987,0.0,0.7652225,1.0279406,0.4244476,0.0,0.5825962,0.7979235,0.7248369,0.6318332,0.808728,0.39458895,0.53462684,0.8558381,0.86004514,0.15476508
abominablemovie,1.0700451,0.6592413,0.61234725,0.52113545,1.116469,0.9630848,0.82916754,0.71032435,0.25759327,1.1920962,0.77628,1.0153943,0.84220046,1.4644859,1.409663,0.9138761,1.7703257,0.7755174,0.35896212,0.32273275,1.5333664,0.70149755,0.79690945,0.0,0.37834695,0.0,1.1103688,1.3155466,0.7886022,0.0,0.8633064,1.3526179,1.0984416,0.78679496,1.093504,0.39255697,1.2107186,1.3902729,1.8336582,0.5096057
adastramovie,0.84063804,0.60895956,0.686262,0.48800915,1.0629259,0.61011744,0.18585402,0.7483416,0.35984713,0.27650797,0.3683098,0.3745752,0.5384615,0.9552182,0.9515532,0.56436104,0.8320219,0.8119007,0.50245166,0.32756886,1.0611796,0.36108875,0.69978356,0.0,0.41825557,0.0,0.530315,0.8734202,0.54233027,0.0,0.33745906,0.78934044,0.8185246,0.60343736,0.5902396,0.31873488,0.6985674,0.88650185,1.0135423,0.3215643
adogsjourneymovie,1.9398402,0.98952496,1.6304581,1.0507851,2.7816687,1.786507,0.33135656,1.3493873,1.0153564,0.6936729,0.69488686,0.81615055,1.5291793,2.1192968,1.8915882,1.5556254,1.9609853,1.4329635,0.9530977,0.70257115,1.9674284,0.80941975,1.6297523,0.0,0.72112334,0.40861812,1.4231396,1.8335245,0.32075197,0.0,1.3890824,1.9340582,0.9893472,1.7961769,2.105328,0.853882,1.667301,1.9760702,1.7354878,0.8379658
aftermathmovie,0.47460812,0.5131881,0.49523216,0.33053103,0.8095851,0.5268012,0.2635535,0.44307113,0.18567933,0.3540808,0.3574196,0.4206409,0.59745926,0.80553484,0.59093547,0.62285167,0.71513146,0.58811355,0.38473606,0.399981,0.7325367,0.32370582,0.5016151,0.0,0.26598436,0.0,0.659767,0.73501664,0.36669886,0.0,0.60964715,0.49169803,0.5493179,0.58368856,0.5923832,0.2570408,0.6083282,0.7444435,0.68252105,0.2964278
aftermovie,0.6844486,0.31440216,0.5081183,0.40135458,0.9301951,0.46788612,0.45802426,0.6188839,0.30840164,0.4482775,0.45176,0.6490981,0.5373019,0.84116066,0.7234437,0.5899398,0.859886,0.3627278,0.23933369,0.2069114,0.94671094,0.44322938,0.72675914,0.0,0.34512404,0.0,0.68315715,0.7815664,0.51774716,0.0,0.5116935,0.71278447,0.5444422,0.6413133,0.7349261,0.35180354,0.72676456,0.68885833,1.0460955,0.25309366
ahiddenlifefilm,0.36274648,0.32663494,0.2864759,0.2282508,0.5119241,0.32079127,0.2221097,0.34343845,0.20153095,0.21514255,0.22868581,0.2498411,0.38611877,0.49898896,0.4060072,0.35921055,0.4338259,0.37484667,0.22288421,0.18899718,0.4827979,0.28933814,0.3059245,0.0,0.14898673,0.0,0.36499873,0.4393834,0.22963557,0.0,0.2867148,0.38302928,0.3570884,0.32914078,0.35422093,0.23243606,0.38124967,0.46507186,0.45284835,0.21739237
alitamovie,0.8137697,0.52642834,0.7778044,0.4702886,1.3681589,0.8509364,0.23927072,0.88593835,0.85947394,0.2597346,0.4924863,0.45740053,0.8207385,0.98040056,0.95601946,0.6897139,1.1346279,0.85112256,0.7590826,0.26779842,1.2029194,0.45945486,1.0025955,0.0,0.3614203,0.0,0.7484525,1.0641866,0.5186267,0.0,0.2163066,1.1112612,0.84637415,0.79707456,1.0111172,0.4871804,0.68388164,1.4301523,0.92021847,0.06052972
