movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,1.5500668,0.6598691,1.2449882,1.0312524,0.8487101,0.0,0.8739416,1.2304199,0.7595095,0.57131433,1.193792,0.828059,0.11953369,0.6996372,0.0
47metersdown,2.1210685,0.95734924,1.8636416,1.0833207,1.0632964,0.0,0.80138487,1.4434471,1.1824439,0.9377444,1.9696063,1.0443945,0.4577335,0.86460245,0.0
abeautifuldaymovie,1.1824241,0.61308366,1.0510088,0.9798199,0.808783,0.0,0.9208805,1.2104876,0.8984771,0.61850107,1.1183333,0.7574406,0.108798206,0.6219599,0.0
abominablemovie,2.6832416,1.1030836,2.0681233,1.8036947,1.5419812,0.0,0.946567,1.8643477,1.3421152,1.4666156,2.1408386,1.5312161,0.067443565,1.2451183,0.0
adastramovie,1.1639446,0.6604119,1.2099153,0.8697643,1.0396632,0.0,0.59057677,1.2151471,0.69814855,0.55169296,0.8389086,0.75987846,0.12213202,0.54764396,0.0
adogsjourneymovie,2.4963121,1.6585834,2.89716,2.8555372,1.4544507,0.0,1.5884292,2.768214,2.3599916,1.2784717,2.8699908,1.4771273,0.43271825,1.4350154,0.0
aftermathmovie,1.1191472,0.5107758,0.92110795,0.85220265,0.74151325,0.0,0.68491656,0.93291324,0.8106454,0.58052707,1.0411611,0.8637974,0.09523445,0.6348052,0.0
aftermovie,1.2696755,0.7102079,1.0925425,0.8637568,0.97682846,0.0,0.8638042,1.1663241,0.88217306,0.6939181,1.1896901,0.657673,0.3473468,0.798471,0.0
ahiddenlifefilm,0.69251966,0.39997685,0.60146123,0.5308888,0.48475415,0.0,0.4077363,0.58283025,0.47428972,0.31013557,0.57076126,0.50681424,0.08481339,0.4270668,0.0
alitamovie,1.7276025,0.9837097,2.0836492,1.2409512,1.141144,0.0,0.7765961,1.8407307,1.1364536,0.83379424,1.5634502,1.0464673,0.17181411,0.8228848,0.0
angelhasfallen,2.0854082,0.92538977,1.6829035,1.1458495,1.5788302,0.0,0.6806693,1.2870213,0.6890682,1.0763687,1.4282261,1.3936565,0.19454157,0.67876744,0.0
angrybirdsmovie,3.1149442,1.3545985,2.766395,2.5269563,1.4566935,0.0,2.0476038,3.6107917,2.8500986,1.1373552,3.1802642,1.807898,0.31874356,1.4679207,0.0
annabellemovie,2.3615391,0.90108055,1.8094921,1.361804,1.7895826,0.0,1.0369991,2.305312,1.6189198,1.2081571,1.9033532,1.6186554,0.30435935,1.1939156,0.0
annamovie,1.2964746,0.57912594,1.1760887,0.9815928,0.93791896,0.0,0.76559705,1.1402253,0.7209448,0.6538638,1.0864488,0.6109233,0.13049,0.6422055,0.0
apollo11movie,1.0433823,0.3821687,0.8943046,0.74250066,0.788483,0.0,0.6543902,0.8737099,0.7264784,0.518304,0.8196714,0.7087686,0.13193795,0.65544105,0.0
arcticdogsmovie,1.3824402,0.923037,1.4382068,0.9592918,0.8975769,0.0,0.66922134,1.3461587,0.9523008,0.69786215,1.2166042,1.0139065,0.24405605,0.695686,0.0
arcticmovie,0.95678794,0.31007624,0.70203084,0.81826913,0.6375782,0.0,0.77093977,0.79834616,0.8025786,0.5958363,0.87269086,0.59802806,0.122626826,0.6024867,0.0
artofracingmovie,1.218415,0.63859296,1.3891987,1.1426666,0.8823877,0.0,0.67810583,1.6336466,1.0069008,0.54850554,0.89913255,0.85032415,0.09809436,0.5441048,0.0
avengers,1.3070031,0.7261098,1.2218505,0.90146756,0.7241406,0.0,0.76138645,0.79430825,0.65046483,0.51584435,1.0767419,0.7194993,0.1962097,0.6314999,0.0
beachbummovie,1.4319253,0.8025613,1.4185494,1.3519316,1.1832664,0.0,0.89328974,1.456485,1.0415661,0.966357,1.345408,0.9921094,0.094776906,0.9889792,0.0
bernadettefilm,1.6839565,0.67584515,1.2880069,1.1505871,0.8911745,0.0,0.67110175,1.5091393,1.0110685,0.7082373,1.174789,1.0152695,0.17671064,0.70117474,0.0
blackandbluemovie,3.0503643,1.3631668,2.9894428,1.72036,1.7033701,0.0,1.3372643,2.7300897,1.589113,1.158372,2.54942,1.812324,0.0,0.91282237,0.0
blackchristmas,1.4280423,0.61175084,1.0558066,1.0948992,0.7916982,0.0,0.88896847,0.9882865,0.9004332,0.6352054,1.0153846,0.8188042,0.3588459,0.8233545,0.0
blindedbythelightmovie,0.9991069,0.61986244,0.74988556,0.9012916,0.8377133,0.0,0.602731,0.81869936,0.768343,0.5598085,0.77785254,0.703612,0.067092456,0.66889656,0.0
bombshellmovie,1.8470422,1.1285185,1.5911719,1.295157,1.3760718,0.0,1.009341,1.1825699,1.0492703,0.93878627,1.3948154,1.0761807,0.022056734,1.2347895,0.0
booksmart,12.658667,4.245679,11.096284,8.33573,7.4234433,0.0,3.958979,9.578753,4.227512,5.597082,10.343051,5.829718,0.99960774,3.5795512,0.0
breakthroughmovie,2.6767278,1.7267884,3.5790913,2.3584297,1.8031329,0.0,1.3979486,2.7142797,1.916008,0.79853404,2.4306715,1.9848511,0.41881025,1.0615871,0.0
brianbanksmovie,1.7235214,0.87498724,1.3815864,1.1462908,1.1403041,0.0,1.0751712,1.4203002,1.030181,0.8822653,1.3024899,1.1840748,0.21524091,0.9052162,0.0
brightburnmovie,1.4873699,0.9898784,1.4852146,1.1419781,0.7972621,0.0,0.9910668,1.4931779,1.0514984,0.5342748,1.2143452,0.85404253,0.024087919,0.630244,0.0
brittanyrunsmov,0.8749176,0.31190512,0.7305248,0.61454487,0.6119726,0.0,0.3420527,0.72490084,0.5287662,0.35758215,0.7077363,0.6883646,0.070322424,0.4658863,0.0
captainmarvelofficial,1.4601709,0.96673316,1.1605241,1.0135183,0.9270702,0.0,0.980605,0.94637537,0.69397855,0.6026014,1.2891197,0.80497986,0.15389632,0.90691316,0.0
captivestatemovie,1.3944997,0.444007,1.210688,1.1647835,1.0937318,0.0,0.73122364,1.387227,0.7172712,0.8107642,1.1623473,0.63519645,0.047479793,0.49104708,0.0
