movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
missinglinkfilm,0.5501735,0.9304272,0.5031446,0.4486702,0.0,0.25108722,0.0,0.601081,0.7961659,0.72935647,0.56224906,0.599776,0.57150525,0.65776527,0.5236467,0.6142023,0.5761074,0.55238026,0.6162304,0.8800513
motherlessbklyn,1.5797502,2.3099866,0.75268304,0.82092917,0.0,0.6273039,0.0,1.3181129,1.6208922,1.7031155,0.9987602,1.3312292,1.4557145,1.2951788,1.4552572,1.7060176,1.373467,0.94015706,1.5644002,1.2421998
onceinhollywood,2.0438557,1.8511401,1.2618834,1.2205925,0.15313391,0.39579743,0.0,1.0706358,2.0508878,1.1876173,1.1821542,1.3902711,1.1117264,1.5241451,1.3956734,1.7609046,1.602695,0.9858864,1.4980927,1.4357417
onthebasisofsex,2.6832836,3.0251558,1.2511729,1.2286512,0.14361724,1.2190907,0.0,1.6272357,2.6609986,2.117446,1.7966685,1.2776556,2.4611793,2.306698,2.1226206,1.8727264,1.3542178,1.335463,2.1884146,2.3281643
overcomermovie,0.736082,0.947214,0.42141414,0.4175735,0.0,0.42818022,0.0,0.62740487,0.9101593,0.7177841,0.5896973,0.5574434,0.8268934,0.5401258,0.5459373,0.6103073,0.5342007,0.45640114,0.9892484,0.746012
peanutbutterfalcon,15.248837,17.010769,8.316379,6.986275,0.0,8.385392,0.0,12.326642,17.590504,9.887042,7.3001256,8.009023,13.191703,10.299494,11.417514,11.678864,10.512791,6.3642445,15.706574,11.381624
petsematarymovie,1.2068678,1.3514904,0.5586725,0.84298015,0.0,0.71196014,0.0,1.355821,1.2973895,1.2185879,0.92860305,0.78935885,1.1137315,0.7117608,0.90130407,1.1450983,0.9151609,0.6681862,1.4336702,1.021378
piercingmovie,5.5315304,7.296068,3.461699,3.3515673,0.0,3.7587817,0.0,4.191829,7.783728,5.7601156,3.3222408,3.0385115,5.869579,5.1671834,5.830395,5.008026,4.4201813,3.0561607,5.6379375,5.24459
playingwithfire,1.7639767,1.9009507,1.2535685,1.3989434,0.0,0.89502734,0.0,1.4602276,1.8740053,1.5577768,1.231405,1.033748,1.3700862,1.2797457,1.453672,1.6157806,1.5321134,1.1865036,2.1564717,1.4663533
playmobilthemovie,1.091598,1.4375148,0.70950085,0.72769755,0.0,0.66258043,0.0,0.9029516,1.6320174,1.1831379,0.8670876,0.92118645,1.5052205,0.8683694,1.1121068,1.1304339,0.8499494,0.8516676,1.5797508,1.3221438
pomsmovie,0.6933237,0.9039144,0.39014527,0.5060773,0.0,0.3893262,0.0,0.72490734,0.8999549,0.772536,0.38222045,0.65112495,0.74383503,0.5974546,0.62555873,0.6990859,0.55964357,0.52965343,0.80055255,0.6928004
queenandslim,3.1180873,3.440116,1.4429836,1.4986438,0.0,1.4167007,0.0,2.0699534,3.039372,2.5216157,1.5945158,1.4048756,2.604447,2.1377854,2.3813045,2.582397,2.490506,1.8917387,2.5848446,2.439513
rambomovie,0.7801338,1.0209974,0.31055903,0.48614216,0.0,0.3843425,0.0,0.72622275,0.90174764,0.8172528,0.49894008,0.68967664,0.79050004,0.5811907,0.6071125,0.62743896,0.5757229,0.4682953,0.77297884,0.72521096
readyornotfilm,0.95199966,1.3374863,0.35471123,0.73667884,0.058554236,0.51613617,0.0,0.8464132,0.988716,0.9035475,0.51955247,0.81334317,0.73697937,0.82457954,0.7879553,0.99053335,0.7546643,0.6805516,0.8440438,0.99876136
richardjewellfilm,1.1090249,1.4440197,0.5791377,0.4833501,0.0,0.5752949,0.0,1.0432104,1.1574823,1.2234802,0.89308655,0.8461267,0.95809,1.0691084,0.8773351,0.9870247,0.86934376,0.6116078,0.86460376,0.91530055
rocketmanmovie,1.1123617,1.211421,0.6143514,0.7471732,0.0,0.5948779,0.0,1.065502,1.1480931,0.9997469,0.7411439,0.6900266,0.6928971,1.0490414,0.7667328,0.89804834,0.99000525,0.80188453,1.2642952,0.787747
scarystoriesmovie,0.75565547,0.85438883,0.6076827,0.58500326,0.0,0.3657909,0.0,0.63477826,0.95029587,0.74870354,0.44702396,0.5489439,0.6093885,0.78032506,0.6652205,0.681985,0.6521642,0.49759093,1.1857169,0.87363994
secretlifeofpets,2.3507583,2.8814862,1.2581487,1.0225905,0.0,0.49935383,0.0,1.8991741,2.4386559,1.6475656,1.387291,1.8904387,1.3499163,0.9955674,1.0362207,2.144994,2.56823,1.2693982,2.1832404,2.404764
serenityfilm,1.05853,0.9108854,0.3212642,0.6096694,0.0,0.4472487,0.0,0.8643514,0.97751665,0.7796555,0.6588569,0.6355168,0.7680793,0.69481754,0.65611064,0.779588,0.50406456,0.5067855,1.0674119,1.1741247
shaftmovie,0.9956879,1.5275363,0.7057425,0.8383283,0.0,0.47809815,0.0,0.6820695,1.3389838,0.81487566,0.5744098,0.89655465,0.8875706,0.8870503,1.2507223,1.1059651,0.8252917,0.7466548,1.1338947,1.2515825
shazammovie,1.2586218,1.6173515,0.5761156,0.55472344,0.0,0.3238002,0.0,1.2084082,1.1700702,1.0075289,1.0598161,1.290146,0.8881414,0.9534217,0.8642516,1.4861462,1.2773762,0.77698565,1.3800336,1.2425908
spidermanmovie,2.918737,3.1765156,1.3429872,1.4021434,0.0,1.1529046,0.0,1.9982971,2.34646,2.0975485,1.2536306,1.7116215,2.0969021,1.2693814,2.0202696,2.507185,1.8747871,1.5904242,2.8498087,1.8995255
spiesindisguise,2.279428,2.4685197,0.99575424,0.9744872,0.0,0.6822897,0.0,1.1492059,1.8623441,0.90662026,0.8631421,1.378458,1.2991279,0.8272442,1.4277203,1.5365812,1.26315,1.0751531,1.6016876,1.7911875
starwars,4.8110094,6.5665846,3.7082949,3.1029913,0.0,2.071539,0.0,3.3673425,5.944245,3.2348473,3.546203,3.0477061,5.505282,2.5838158,4.1308436,4.403141,3.9356804,2.244431,5.952706,5.537817
stormboymovie,0.78443754,1.3113025,0.3448266,0.64049095,0.0,0.30355567,0.0,0.92869854,0.893773,0.96306103,0.47033146,0.7289807,0.88022035,0.79312086,0.8171786,0.7936099,0.7428362,0.7506778,1.000281,1.0759358
stubermovie,1.0234257,1.4163617,0.63933134,0.6630451,0.0,0.56718457,0.0,1.1499014,1.264632,0.67534715,0.65515536,0.7027729,0.8126392,0.96658534,0.75367826,0.8927366,0.78980523,0.46718776,1.1350565,1.1894788
taosdfilm,0.6641426,1.0782162,0.4140426,0.39766896,0.0,0.30162752,0.0,0.64678746,0.7905663,0.7789716,0.6498789,0.77140206,0.7256957,0.5736866,0.5925289,0.7960537,0.7198194,0.6160142,0.8592277,0.6517225
teenspiritmov,1.2164481,1.6132662,0.55589986,1.069416,0.0,0.6493765,0.0,1.2533561,2.3486323,1.1169559,1.342396,1.2816309,1.9645917,0.9749503,0.7986149,1.499972,1.1283077,1.1201588,2.1872249,2.0083795
terminator,1.431411,1.307142,0.50649154,0.88821524,0.0,0.79183507,0.0,1.140976,1.2860934,0.98700684,1.0692768,0.8834528,1.0653765,0.6162852,0.7989424,1.194249,1.1106112,0.84877473,1.6475617,1.1354655
theaeronautsmov,0.5817445,0.8045499,0.37540615,0.37145177,0.0,0.51350737,0.0,0.621307,0.74478716,0.5265678,0.51121724,0.4898137,0.47291428,0.56950384,0.48743945,0.6349651,0.31382394,0.32356176,0.676659,0.7794446
thebestofenemies,1.197209,1.2843603,0.3743589,0.9686403,0.0,0.54491156,0.0,1.2507544,1.3755552,1.2087599,0.6403571,1.0685364,1.0963415,0.81967086,1.2379557,1.2231162,0.9000689,0.98998743,1.2796413,1.1545705
thedeaddontdie,1.1064004,1.5843612,0.96486753,0.9652981,0.0,0.4796872,0.0,1.1102836,1.0825088,0.97503096,0.94763947,0.7784315,1.5308228,0.90239483,1.1636894,1.1980096,0.80562985,0.6333066,1.3568962,1.4311991
thefarewell,0.93145823,1.5509484,0.42908612,0.6535871,0.010223374,0.37888813,0.0,0.94186497,1.0727255,0.8821676,0.6650377,0.87664133,1.0536492,0.7489281,0.82135946,0.9227915,0.84985423,0.57168823,0.8439111,1.0078995
thehighwaymen,1.19065,1.4837763,0.7196497,0.811777,0.0,0.5747848,0.0,1.2078125,1.3609303,1.4055597,0.9626648,0.98042065,1.378152,0.848813,0.8340484,1.1525866,1.2266592,0.89723897,1.5612813,1.2625589
thehummingbirdprojectfilm,0.46585256,0.631253,0.2728615,0.33338088,0.0,0.23136765,0.0,0.42852902,0.55193245,0.46582654,0.37870294,0.44108033,0.44452238,0.41054365,0.38270485,0.44959247,0.40742138,0.3606693,0.50883764,0.49248576
theintrudermovie,1.7943637,1.7941194,0.79948264,1.0643752,0.0,0.66127884,0.0,1.2783858,1.3124247,1.2986112,1.0305151,1.3739915,1.3487031,0.94996876,1.1081791,1.3129926,1.0868874,1.1133652,1.7902626,1.3631858
theirishmanfilm,1.7768868,2.4851134,0.50700533,1.0643563,0.0,0.49711514,0.0,1.3899657,1.6947869,1.6343484,0.7426443,1.7626748,1.3969222,1.3111287,1.6963911,1.9668268,1.40168,1.5709325,1.7757268,1.7172658
thekitchenmovie,1.4568886,2.3876686,1.2776719,1.295332,0.0,0.71721923,0.0,1.9520034,2.2912676,2.2057142,0.9797635,1.4078199,1.9068413,1.8403584,1.6277357,1.5021198,1.7491312,1.1797599,1.9273562,1.5746573
thelegomovie,1.8850539,2.2918093,1.1877356,0.98692566,0.0,0.71431065,0.0,1.6518501,2.262504,1.5212935,0.8148932,1.3114731,1.4971561,1.2530141,1.2472298,1.237063,1.403033,0.8490723,1.7509713,1.6592368
themustangfilm,0.743379,1.2199187,0.5574775,0.5001527,0.0,0.37280792,0.0,0.6405159,0.8728954,0.695095,0.74214345,0.50966614,0.91983384,0.6499523,0.84375256,0.7840822,0.7274132,0.51295906,1.1543944,1.1052707
thenightingalefilm,1.5135052,2.0115373,1.3188205,1.1576464,0.0,1.0285577,0.0,1.0380619,1.83508,1.3857547,0.6984267,0.8369143,1.5530337,1.3015112,1.5977067,1.2411388,1.0495032,0.8176622,1.7226471,1.2917985
theprodigymovie,2.8798208,3.0189474,1.4019608,1.1275842,0.0,1.2716705,0.0,2.0791981,3.5168984,2.34476,1.7399719,1.5930126,2.00994,2.1337638,1.8341061,2.2746468,2.2401829,1.1581264,3.2141726,2.7565203
thesunisalsoastar,1.6913518,2.094186,0.90371966,0.86373717,0.0,0.89325315,0.0,1.6106737,2.0011532,1.6422412,1.1407249,1.2047874,1.5170605,1.5292659,1.5202866,1.497111,1.2071378,0.9262125,1.7214537,1.5048664
theupsidefilm,1.4659766,1.9248971,0.9179203,1.1481254,0.0,0.6131194,0.0,1.5959573,1.4925025,1.3706096,0.8605253,1.3788792,1.4517796,0.8847797,1.034312,1.1471257,1.2361032,1.0158638,1.7965629,1.1577199
tolkienmovie,1.2786692,1.5821158,0.62969357,0.8233081,0.0,0.5223585,0.0,0.7536037,1.4644742,0.8854971,0.8308013,0.946229,1.0007001,1.0253949,0.80006653,1.1659403,0.83276045,0.7335048,0.8236602,1.2978139
toystory,1.3065771,1.7509123,0.7978243,0.72495854,0.0,0.62603456,0.0,1.0194298,1.3389457,1.0060852,0.81186706,1.0144653,1.3292824,0.8030945,0.7712388,0.8652863,1.0634772,0.6698354,1.6515176,1.4552968
triplefrontier,1.2150536,1.2578273,0.3729743,0.7130595,0.0,0.37752843,0.0,0.77773815,1.0703524,0.9105579,0.64510256,0.94653183,0.9009845,0.857213,0.82100743,0.96861225,0.5761388,0.870922,1.2658666,1.130768
uglydolls,1.929386,1.8953167,1.2867956,0.98365897,0.0,0.64882016,0.0,0.77481705,2.2983959,1.3002591,1.4934268,1.2593852,1.7788882,1.3819153,1.7632676,1.5185523,1.3145776,1.0851145,2.7161996,1.6279465
uncutgems,1.3424546,2.0187643,0.5966772,0.5938397,0.0,0.5918756,0.0,1.1831822,1.8796376,1.4071282,0.8700794,1.4572756,1.5957742,1.2043896,0.7035243,1.2662259,0.70821106,0.7234179,1.846597,1.6540741
underthesilverlake,1.2963878,1.6067784,0.48810524,0.7660026,0.0,0.28874648,0.0,0.99546105,1.5164238,0.6721259,0.67172354,0.9856046,0.97543234,0.81745344,0.9911013,0.7988844,0.97375333,0.5770416,0.9334693,1.3295826
usmovie,0.86193335,1.0114043,0.33414257,0.54809827,0.0,0.25790948,0.0,0.7495812,0.75339764,0.6151831,0.6458871,0.57719505,0.41822588,0.63838136,0.65726066,0.6538042,0.67786527,0.50762177,0.67124903,0.9434826
wavesmovie,0.8514087,1.8151469,0.47627604,0.6176644,0.0,0.41249728,0.0,0.9659316,1.4200131,1.3020015,0.6261239,1.0811449,1.1251627,1.2815464,0.96317834,1.0242075,0.8130496,0.7927916,1.1723096,1.0834147
whatmenwant,1.7519348,1.6742691,0.5439258,1.0894586,0.0,0.66498786,0.0,1.550249,1.3393635,1.6713065,1.6687579,1.1794723,1.4989762,1.0268639,1.1720419,1.6881653,1.1911511,1.3136101,1.7716607,1.4713826
wonderparkmovie,1.0610563,1.2721033,0.78992444,0.9556389,0.0,0.6147006,0.0,0.9393298,1.3321012,1.1455816,1.3974104,0.7803375,1.2003217,0.88744336,0.92569786,1.4217432,1.3550795,0.8388071,1.7489626,1.3369862
wrinklestheclown,0.46585256,0.631253,0.2728615,0.33338088,0.0,0.23136765,0.0,0.42852902,0.55193245,0.46582654,0.37870294,0.44108033,0.44452238,0.41054365,0.38270485,0.44959247,0.40742138,0.3606693,0.50883764,0.49248576
xmenmovies,2.4026997,2.7142732,1.0956453,1.1360033,0.0,0.8422192,0.0,1.7282244,2.714506,1.5097667,1.5084794,1.7412133,1.6681508,1.7849712,1.6263396,2.0433269,1.5161227,1.4669781,2.298973,2.38264
yardiefilm,0.81596583,0.9027829,0.20147651,0.6023407,0.0,0.27621245,0.0,0.56152034,0.6502916,0.6480712,0.47246936,0.6462698,0.62428474,0.5753817,0.46313083,0.6437721,0.590254,0.5391906,0.75323606,0.5521479
yesterdaymovie,0.9287919,1.2979566,0.5256962,0.63809633,0.0,0.4349627,0.0,0.8811509,0.8938596,0.7901607,0.67210877,0.7694398,0.7220737,0.7319674,0.8256619,0.91379505,0.90822786,0.6888748,0.8380054,0.9954396
zombieland,2.0945022,2.3427374,1.0492204,1.0032051,0.10190599,0.8289087,0.0,1.3404707,1.932351,1.5685486,1.0775151,1.3803947,1.3127981,1.1367387,1.2697012,1.7390053,1.5020183,1.1742215,1.8832903,1.5072058
