movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
artofracingmovie,0.49655432,0.47046,0.9979197,0.9461941,0.6454526,0.45077264,0.6894213,0.6848144,0.79490185,1.0183158,1.1941648,0.6054925,0.73407185,0.68668866,1.0943434,0.32229295,0.0,0.6975126,0.6297496,0.6761244,0.4814856,0.5988844,1.0767059,0.69164175,0.46009013
avengers,0.59355354,0.4206257,0.86707366,0.6916232,0.49151728,0.6716577,0.6572551,0.43423313,0.84937835,0.79696333,0.7167545,0.7348636,0.87544155,0.60680073,0.96148217,0.5226029,0.0,0.9155581,0.5881427,0.5977247,0.481305,0.6518606,1.1636869,0.98118496,0.29544416
beachbummovie,0.6291394,0.51010436,1.1310399,0.91094965,0.44173953,0.5514985,0.58751166,0.55893093,1.2000504,1.43408,0.96722615,0.8201186,1.0411242,0.97059494,1.1684016,0.37736705,0.0,0.72359955,1.0132918,0.6195648,0.5973363,0.6304813,1.3201042,0.8913885,0.5440589
bernadettefilm,0.6284091,0.30885336,1.27511,0.8456209,0.33280843,0.7341012,0.6913881,0.4165298,1.3240505,1.087148,0.97094405,0.96819556,1.2787049,0.9385077,1.0327461,0.43953314,0.0,0.799283,0.6300531,0.6434421,0.5997185,0.6604697,1.5917119,1.079689,0.5697125
blackandbluemovie,1.032987,0.74655616,1.6734939,1.6532874,1.1897762,1.3706069,1.6601212,0.8280923,1.5910478,2.302075,1.8029984,1.4362956,1.3411356,1.2276094,2.4607646,0.709896,0.0,1.0460336,1.7167509,1.1758691,0.5702841,1.204114,2.0901635,1.637876,1.0332736
blackchristmas,0.46704718,0.3591504,0.8539745,0.73631877,0.38328153,0.70834786,0.659463,0.3394873,0.96545064,1.0598825,0.76116,0.76665413,0.7026841,0.7816295,1.070656,0.37082508,0.0,0.65300524,0.7850439,0.73059464,0.5028255,0.69237566,1.2071126,0.8951796,0.5063909
blindedbythelightmovie,0.5060981,0.34233132,0.84438777,0.6405273,0.3082534,0.5763393,0.35950577,0.3268174,0.85336196,0.70192564,0.51768523,0.6981727,0.73359084,0.6205542,0.79003537,0.3801104,0.0,0.6431645,0.5716523,0.5288124,0.5666021,0.44185168,0.93648845,0.7564519,0.3827721
bombshellmovie,0.81826174,0.58605874,1.0547913,0.8764731,0.21109572,0.31872022,0.36920905,0.14701448,1.2978077,1.073177,0.7419215,0.6027471,1.0299559,0.695958,0.82041526,0.5612491,0.0,0.6800368,0.7638718,0.6702476,0.9275112,0.3820231,1.3373293,1.0530162,0.6627224
booksmart,5.4113526,3.508653,9.2623625,7.0874596,2.6890488,4.7402806,2.3000839,2.5422318,8.989511,6.820861,5.5189533,4.459178,7.353461,5.6341147,6.2598534,3.546693,0.0,7.2630796,2.9945538,4.377597,6.5007315,3.5217848,10.073679,8.535669,3.6015987
breakthroughmovie,1.3628441,0.8136878,2.5121925,1.7836637,1.4660902,1.1132097,1.4961318,1.2643673,1.6260915,2.5290384,2.4723864,1.3797231,1.8317082,1.7166334,2.6895769,0.7474221,0.0,1.3477415,1.2781123,1.6530323,1.4081023,1.1971138,2.9397347,1.9514779,0.6051099
brianbanksmovie,0.58532614,0.5799009,0.9543748,0.8730565,0.21914038,0.749793,0.56749564,0.5801686,1.0356041,1.1702166,0.75303125,0.62859553,0.93329275,1.1736894,1.0670631,0.41361743,0.0,0.87758195,0.79967135,0.8232637,0.9378238,0.5523439,1.424132,1.2265105,0.33491427
brightburnmovie,0.578235,0.58988655,1.1239694,0.9548817,0.67732555,0.8130845,0.8996087,0.47308305,1.3216392,1.301297,0.9176556,0.8623664,0.99813217,0.7847554,1.4218754,0.5369266,0.0,0.68311715,0.92957175,0.58283716,0.654094,0.71842474,1.1946282,1.1037637,0.7161915
brittanyrunsmov,0.27613577,0.4214841,0.41584903,0.6491387,0.23157373,0.8384116,0.40119675,0.5432519,0.5875465,0.583303,0.45302674,0.5833211,0.5428206,0.54675674,0.60529697,0.3424323,0.0,0.5786144,0.73380476,0.51777595,0.42514783,0.43751746,0.85041153,0.7598032,0.3378841
captainmarvelofficial,0.60416734,0.73546594,1.2700804,1.423319,0.631842,1.0918686,0.8068165,0.7465467,1.2943716,1.0807471,1.0541799,0.8872982,1.1720243,0.72606707,1.0217136,0.7575425,0.0,1.1867297,0.7614567,1.0480348,0.83888584,0.85475725,1.7118748,1.2902911,0.44810215
captivestatemovie,0.63936925,0.5884331,1.2524515,0.8930905,0.8145351,0.32012546,0.62871194,0.7650002,0.73413575,1.2962431,1.2085662,0.76271707,0.86338854,0.761474,1.5214351,0.6412642,0.0,0.8067174,0.78459525,0.9367745,0.49838644,0.89912796,1.1543987,0.9413239,0.32479563
catsmovie,1.2269455,0.4523772,1.9779141,1.569852,0.8756236,0.6940618,0.7791046,1.1149762,1.4376233,1.8236101,1.7880244,1.2236961,1.6571875,1.7809893,2.0974596,0.6173408,0.0,1.8573363,1.0029364,1.7071253,1.140854,1.4573964,2.4201806,1.388517,0.59414697
charliesangels,1.5569061,0.7964191,2.321513,2.0115845,1.127524,1.514962,0.8129178,1.2670727,2.3280272,2.6792397,1.6729728,1.7096148,1.5017297,1.9807831,2.9099593,1.5343642,0.0,2.0748668,1.4878753,2.2282448,1.9018778,2.0193994,2.992802,2.1471941,0.6393122
childsplaymovie,1.0860839,0.90438706,4.2172585,2.8887846,0.9339222,2.3894534,2.230668,1.6224514,4.5774093,3.319438,2.666696,2.6162786,3.984643,2.71941,2.6705792,1.3310745,0.0,2.322068,1.615362,2.0159073,1.9616499,2.5723774,4.8549533,3.7182546,1.9734209
clarathefilm,1.8066337,1.2162427,5.0959706,2.7877424,0.7834964,2.708891,1.3582013,0.17243713,6.4176445,2.7628748,1.9036696,2.9683912,4.6843133,3.544875,2.2093644,1.491289,0.0,3.1863186,0.67590386,2.251189,2.6649358,1.9391565,5.6382303,3.897419,1.8216264
coldpursuitmovie,0.4783119,0.4493569,0.86770284,0.7108537,0.4605248,0.4693724,0.68396544,0.4566612,0.76640004,0.9278798,0.78222156,0.5701925,0.71576554,0.5899359,0.8975693,0.38617724,0.0,0.53091735,0.55499107,0.47495505,0.47209144,0.47962964,0.98096853,0.7407353,0.4555791
countdown,1.2570527,0.35801578,1.3197931,1.0270393,0.5914957,1.1373023,1.1345811,0.6132201,1.5778975,1.7734504,1.2679775,1.1706352,1.2066122,0.9415451,1.815707,0.9199843,0.0,1.0773784,1.030728,0.88542336,1.1521724,1.1936097,2.0365915,1.4398586,0.95283395
currentwarmovie,0.6128229,0.50186104,1.1886264,0.8929105,0.6628196,0.54859257,0.74885035,0.7076816,1.202373,1.3194449,1.2286929,0.78469795,1.1310756,1.1424212,1.3738815,0.4480495,0.0,0.7540271,0.93374294,0.62218565,0.616966,0.5340016,1.2011396,0.83770466,0.4693588
darkwatersmovie,1.2368956,0.74486846,1.634006,1.4472066,0.8275351,0.5390831,0.82050985,0.6303242,0.9067537,1.4556473,1.4594576,0.6361025,1.304594,1.0774561,1.5802702,0.33040896,0.0,1.4558332,0.65761226,0.74402916,0.815638,0.67404413,1.4218107,1.3249975,0.4476272
detectivepikachumovie,0.74855095,0.9328338,1.3721584,1.0417509,0.6693653,0.66149646,0.9248582,0.8712877,0.9663584,0.8782847,0.81576943,1.0613062,1.2272135,0.6989895,1.297906,0.52623576,0.0,0.83945847,0.6899262,0.5192557,0.7972861,0.72351867,1.5452799,1.3224381,0.66391724
disneyaladdin,0.84424514,0.36796635,1.4546646,1.1938313,0.8426687,0.8190568,1.0000613,0.7434204,1.4293275,1.8779161,1.2438263,1.1559955,1.0276022,1.167416,1.843677,0.807117,0.0,0.96714497,1.0482827,1.2690696,0.95555115,0.9056488,1.9762211,1.4131578,0.4583021
disneyfrozen,1.3920637,0.3246658,2.213242,1.867348,1.4058924,1.5997423,2.0437927,0.7924932,1.9887246,2.7449105,1.7910686,1.8364141,1.7529022,1.281693,2.3883955,1.3205935,0.0,1.2409762,1.7421826,1.2779065,1.1297156,1.0725126,2.791499,1.9710763,0.9874581
disneymaleficent,0.6664558,0.35491174,1.2591585,0.9366075,0.73164463,0.57404137,1.0045688,0.68629366,1.0492177,1.6295301,1.1567918,0.9828739,0.89023525,0.8978417,1.4631026,0.646826,0.0,0.5690028,0.90116996,0.99640995,0.7232209,0.68020314,1.5817479,1.0541868,0.4297606
doctorsleepmovie,0.43484512,0.36698788,1.0850406,0.81417686,0.52176267,0.64735323,0.64980125,0.48069537,0.92207193,0.7347785,0.8880346,0.59095716,1.0236369,0.49654627,0.85881317,0.30655178,0.0,0.5639912,0.51863235,0.32788333,0.39378756,0.5042176,0.8732588,0.81970775,0.36571205
dolemiteismyname,0.7949462,0.45623463,1.2997969,1.123425,0.7756225,0.7773635,1.0179112,0.5379209,1.2012261,1.7443058,1.4752977,0.9837486,1.0652012,1.1230915,1.8292898,0.62052375,0.0,1.1734501,0.8562795,1.0661329,0.6024534,1.2215089,1.9039693,1.2602006,0.3408328
dontletgomovie,0.5845368,0.36885577,1.1654415,0.9014752,0.48454222,0.78216213,0.79300094,0.49255463,1.2136436,1.3729645,0.9813244,1.0805438,0.9413666,0.9563825,1.4726874,0.5152087,0.0,0.7506653,1.0219777,0.88439816,0.6626752,0.9190782,1.5580907,1.1259563,0.59441257
doramovie,0.6540769,0.3123706,1.0374557,1.0716841,0.36545005,0.6720673,0.6501812,0.48854584,0.88953495,1.037235,0.9985685,0.8283183,0.9185796,0.5557272,1.0029589,0.4955793,0.0,0.5990126,0.8631726,0.7920541,0.7163615,0.7060286,1.2230746,1.0408497,0.55519795
downtonabbey_official,1.0631514,0.6500268,1.9005146,1.4480838,0.9835326,0.94214696,1.2139816,0.76410574,1.4661025,1.9477776,1.966923,1.0494307,1.2272005,1.0939815,1.5430008,0.5475442,0.0,0.7184597,1.3158342,1.2277033,0.6875717,0.8142549,2.1344779,1.1525106,1.0246247
dumbo,0.67323,0.24578121,1.0460918,0.79724616,0.6478144,0.54872674,0.824753,0.53424543,0.90176076,1.395627,0.9832859,0.8718808,0.67289495,0.74419785,1.325434,0.5074568,0.0,0.58764637,0.7650969,0.800522,0.6703003,0.57532847,1.3467898,0.9024395,0.38823417
escaperoom,0.613283,0.6117574,1.1189344,1.1253598,0.7214807,0.76482177,0.9099958,0.47405538,1.2026899,1.3435688,0.9793604,0.8628553,0.9497635,0.7092767,1.4910527,0.5783298,0.0,0.7607994,1.0193002,0.8241095,0.58571976,0.9369278,1.2513247,1.1174029,0.77566135
everybodyknowsmovie,0.5361607,0.3709895,0.71268225,0.69619197,0.41652375,0.38393018,0.49101287,0.3945234,0.62571305,0.94499266,0.6783819,0.48659712,0.54844415,0.5059867,0.8070471,0.36864576,0.0,0.41567236,0.56609845,0.5207376,0.48973238,0.37678725,0.7517765,0.6362803,0.4454087
fastandfuriousmovie,1.1145109,0.69734305,1.6722109,1.2113332,0.61818457,1.0436451,1.0241168,0.66536134,1.6721375,1.8655401,1.7021505,1.1723518,1.5151179,1.4526262,2.2053068,1.0151953,0.0,1.167897,1.2093917,1.7507375,1.1001846,1.7374153,2.647207,1.732808,0.67529434
fightingwmyfam,1.0040923,0.41840667,1.9687452,1.3045524,0.89150524,0.7537487,0.96662664,0.6468632,1.9145104,1.442607,1.3815162,1.5016518,1.9767538,1.1096413,1.787056,1.0335897,0.0,1.245955,0.88318485,0.9376887,0.82091707,1.2660506,2.0943542,1.4924664,0.74775803
