movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,0.0,1.3957769,0.9485236,0.7795205,0.73361063,1.262983,1.1375923,0.95686823,0.88547516,0.8340416,0.9389338,0.98436785,0.87836045,0.8889384,0.7176496
47metersdown,0.0,2.0702522,1.9023939,1.3272023,1.5184289,1.4561067,1.2203672,1.5490505,1.1326731,1.2815102,0.89174056,1.6922152,1.7411212,1.362352,1.0114242
abeautifuldaymovie,0.0,1.4609485,1.5512041,0.9742816,0.94640595,1.2371064,0.8441187,1.3789324,0.71434975,0.8347695,0.8232364,1.4153754,1.1522104,0.9798083,0.87266624
abominablemovie,0.0,2.2734804,2.4905326,2.2433062,1.218604,2.2318447,0.91181725,1.8297997,1.2938211,1.9396303,0.9852614,1.7030677,1.8456461,1.030104,1.5280594
adastramovie,0.0,1.1283576,1.4406416,0.9781584,0.6747305,1.0121427,0.7202498,0.91713953,0.49622566,0.78154284,0.5255441,0.9133026,0.85895157,1.0077498,0.6396031
adogsjourneymovie,0.0,3.4176192,3.5332096,3.2120461,2.256501,2.0951242,1.1024607,2.5147398,1.5602505,1.2671305,1.4668357,2.9604082,2.6944122,2.2683337,2.5343227
aftermathmovie,0.0,1.0481324,1.2339333,0.9088469,0.8217613,0.8459502,0.65867376,0.87578297,0.6436125,0.753386,0.47628644,0.7938567,0.9404666,0.7008876,0.579269
aftermovie,0.0,1.0844703,1.3076683,0.83050495,0.9596198,1.0814296,1.140028,1.2328956,0.71475154,0.7110333,0.62562746,1.1491158,0.95707947,0.7598343,0.7026405
ahiddenlifefilm,0.0,0.71009064,0.64825803,0.46463266,0.48941788,0.55911064,0.42837223,0.56529063,0.37807232,0.41691455,0.37084508,0.5986915,0.5384184,0.44744447,0.4067931
alitamovie,0.0,1.9016963,1.7316726,1.2914546,0.8342237,1.4688269,0.86690706,1.3165736,0.794045,0.9591939,0.46699163,1.3885194,1.6976423,1.5014886,1.0792756
angelhasfallen,0.0,1.6218746,1.6585962,0.98447806,1.2561071,1.4958948,1.0838919,1.5977025,1.0811458,1.0397326,0.6917917,1.2610387,1.275517,1.2751602,0.66414446
angrybirdsmovie,0.0,3.2132802,3.8247385,1.966871,2.5097075,2.738999,1.3437191,3.249852,1.9680893,1.1083486,1.1041389,4.206222,2.3895023,2.7205055,2.16296
annabellemovie,0.0,1.8585492,1.8731401,1.4133487,1.3313838,1.7650608,1.2377529,1.7059114,1.0966434,1.1946797,0.80248445,1.3758256,1.5160317,0.89872944,1.1832441
annamovie,0.0,1.2187507,1.4103296,0.982914,0.8773808,1.0974808,0.74387705,1.0965955,0.6679717,0.6996677,0.67016476,1.2455943,1.0201803,0.75942224,0.757717
apollo11movie,0.0,0.9866544,0.8793968,0.69428235,0.707696,0.8905563,0.727462,0.78122497,0.58827955,0.67295545,0.43518782,0.9450565,0.7485326,0.47678426,0.52942103
arcticdogsmovie,0.0,1.3515675,1.276782,0.69841707,0.87370807,0.8600408,0.9156301,0.91338515,0.73032856,0.5463093,0.73668605,1.1483381,1.0361278,0.89871067,0.7994265
arcticmovie,0.0,0.9672749,0.9224773,0.60978943,0.9587,0.9749293,0.63585055,0.8638204,0.50682646,0.7625673,0.43297258,0.8749153,0.8081704,0.73318225,0.6741987
artofracingmovie,0.0,1.3017622,1.4237359,1.3315187,0.87397134,1.3191271,0.8743438,1.0408888,0.7750643,0.8954891,0.5297328,0.8931461,1.2358289,0.99290013,0.83420974
avengers,0.0,1.5058188,1.0066316,0.9034715,0.75768346,1.0630373,0.81979334,1.1491721,0.6147547,0.75578433,0.6329202,1.1223053,0.80025655,0.81344366,0.7258863
beachbummovie,0.0,1.5134344,1.5312228,1.0259616,1.0413673,1.3961746,1.125395,0.97775877,0.9931482,0.86921924,0.6063495,1.4155471,1.0878768,0.7990752,0.81769556
bernadettefilm,0.0,1.5950509,1.5271248,0.9968625,0.75440365,1.3769245,0.8006847,1.3308337,0.9095726,0.7792953,0.89160913,1.0589259,1.2929007,1.0821016,0.84086394
blackandbluemovie,0.0,2.8085968,3.2421892,1.6143882,2.0573769,2.2569673,1.2744932,2.5078974,1.6065143,1.6041855,1.0516471,2.8009048,1.8853656,1.9378673,1.476131
blackchristmas,0.0,1.2418407,1.2898003,0.848819,0.935161,0.90154153,0.5080027,1.0611647,0.61398345,0.7494858,0.5777769,1.2845815,1.244792,1.0637833,0.6953217
blindedbythelightmovie,0.0,1.0179201,0.8744777,0.58924484,0.7292939,0.76846266,0.7114904,0.70857465,0.4738664,0.55178165,0.4561713,0.8764269,0.71199137,0.50510824,0.66403925
