movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
21bridgesmovie,0.85902894,0.58468163,0.0,0.99566907,0.48796064,0.0,1.2061467,0.7543551,0.55373853,0.79770505,0.9396437,0.6031718,1.0966649,0.9202684,0.62466234,0.94733536,0.94006956,0.96981573,0.7226757,0.7997736,0.74831426,0.6945921,0.28894898,0.9605028,0.79125386,0.5044359,0.57316065,0.0,0.49215475,0.65023744
47metersdown,1.4766865,1.065594,0.0,1.1464307,0.2011479,0.0,1.3892983,0.9053502,1.0884218,0.528718,1.3061522,0.7298205,1.4565516,0.96650374,0.21303648,0.9469193,0.77877283,1.1325374,0.5137013,0.8901221,1.0003107,0.9135652,0.4999923,1.2272155,0.9554204,0.791789,0.6925763,0.0,0.4916146,0.98037386
abeautifuldaymovie,0.8056164,0.6453376,0.0,1.0452827,0.2483354,0.0,0.9374795,0.79045725,0.7184894,0.5673791,0.84037524,0.5996891,0.9527861,0.9763092,0.5283051,0.78067935,0.80165094,0.86468446,0.564916,0.7762757,0.69747555,0.63225704,0.29023865,1.1006495,0.7889087,0.43882525,0.48754203,0.0,0.5300545,0.44438794
abominablemovie,1.7423289,1.058643,0.0,1.4565538,1.1041899,0.0,1.8683581,1.3883462,0.75396407,0.8000709,1.5534116,1.239858,1.7235281,1.3958812,1.0013263,1.6022754,1.287241,1.7712833,1.1047914,1.2509036,1.3338659,1.136349,0.16538876,2.468028,1.1264646,0.7961696,0.985258,0.0,0.6631361,1.1492105
adastramovie,1.0658077,0.48273522,0.0,0.87973255,0.54783756,0.0,1.0316935,0.96572876,0.72983366,0.7947058,0.886285,0.9242845,1.2811984,0.8059797,0.4866222,0.8315004,0.8166972,0.88129616,0.47272998,0.78815293,0.87144303,0.3759948,0.49404266,1.0678968,0.7111503,0.69020736,0.55750597,0.0,0.49942946,0.58666694
adogsjourneymovie,1.9746578,1.8411474,0.0,1.5826018,1.1616552,0.0,1.8981695,1.5546076,1.7375267,1.2135698,1.7917142,1.9420921,2.9433165,1.8000447,1.1065454,1.6415936,1.759636,1.7069489,0.9867801,1.9412087,1.622755,1.2350433,0.8992188,2.7373269,1.5990855,1.7061545,0.88526046,0.0,0.9891198,1.4548862
aftermathmovie,0.64793277,0.5442032,0.0,0.68830246,0.4213814,0.0,0.8327507,0.4119936,0.49146494,0.4184538,0.6981643,0.65439785,0.8568599,0.5369434,0.29020393,0.58263135,0.5117881,0.7040229,0.3349916,0.57925683,0.7035941,0.631527,0.32370335,0.812904,0.50679064,0.45183754,0.5567411,0.0,0.26388574,0.30608767
aftermovie,0.9674708,0.7723603,0.0,1.0082803,0.68346095,0.0,1.04286,0.60305357,0.6296932,0.40533608,0.8440909,0.90745085,1.0721364,0.69040203,0.449874,0.7715696,0.77052534,0.8640325,0.42532128,0.7015508,0.7570137,0.611802,0.2230049,1.1809415,0.8686072,0.45987916,0.5853083,0.0,0.47935724,0.43031695
ahiddenlifefilm,0.4372074,0.3548422,0.0,0.42436087,0.29434115,0.0,0.4959508,0.3516588,0.3785258,0.3058967,0.42070472,0.37468684,0.55064356,0.41487595,0.27406746,0.38662106,0.36981702,0.41945493,0.2467708,0.4034983,0.41414955,0.35245645,0.22721744,0.5203184,0.3968776,0.3097527,0.30878294,0.0,0.24504006,0.28098282
alitamovie,1.5359387,0.804399,0.0,1.1664593,0.47663867,0.0,1.0322615,1.11418,0.88078487,0.68563795,1.0952804,0.97221845,1.2403184,1.3042246,0.7860929,1.100713,0.92692196,0.959962,0.50494266,0.7504156,1.1042986,0.7895682,0.46055323,1.4707729,0.97631276,0.3249166,0.36361182,0.0,0.59117436,0.71023303
angelhasfallen,1.0490133,1.0904891,0.0,1.2887977,0.60157424,0.0,1.0824012,0.8326433,0.9840535,0.20068465,1.2910697,0.6928463,1.2970977,1.0670383,0.45914578,0.7542721,0.97348017,0.86440325,0.49713498,1.1097099,0.85647917,0.56851846,0.5277423,1.179516,1.0381948,0.453856,0.52404976,0.0,0.5625541,0.45088878
angrybirdsmovie,2.9474595,2.2045496,0.0,2.8403132,1.5067405,0.0,2.7859979,1.781612,1.9555755,1.4238586,2.18654,2.170699,3.1717234,1.9860888,1.1876384,2.5458875,2.4060457,2.3879995,1.3075496,1.7398952,1.6785126,2.2019322,0.5195961,3.1002135,2.169216,1.091629,1.3678461,0.0,1.0036609,1.7961597
annabellemovie,1.7503196,1.1994984,0.0,1.5302216,0.5846664,0.0,1.3484737,1.2751553,1.3039567,0.9378726,1.4043632,1.3159437,1.9122287,1.3149451,0.65397626,1.2759213,1.3431932,1.4688112,0.7892142,1.4799291,1.5865339,0.88490003,0.7310551,1.8973957,1.0749903,1.0711703,1.1123391,0.0,0.768345,0.8973934
