movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,0.84356,1.2210807,0.43118048,1.0543704,0.35516495,1.1452887,0.7705338,0.25271302,0.32886004,0.5908413,1.0116758,0.7089957,1.0988986,0.59931785,1.0680866
47metersdown,0.5019205,1.1376998,0.040241845,0.3833588,0.52943456,1.2616222,0.9315269,0.12266904,0.49014336,0.34776342,0.6425746,0.6439484,1.0678912,0.8411747,1.0226986
abeautifuldaymovie,0.9631764,0.98127776,0.20294987,0.864259,0.38667107,1.0893102,0.7812011,0.20278358,0.63688374,0.39096665,0.73627144,0.42952234,1.0196354,0.6086618,1.094111
abominablemovie,0.98923,1.4995589,0.16352381,0.6395123,0.8497288,1.4247139,1.4518714,0.4545924,0.54396635,0.7304094,0.8305391,0.6374604,1.5040617,0.57531685,1.8026898
adastramovie,0.6496707,0.9920896,0.2549222,0.779088,0.27840596,1.0252802,0.71551764,0.2458652,0.28804576,0.60543513,0.5698972,0.520992,0.9878157,0.58565503,0.91072434
adogsjourneymovie,0.9125409,1.5190511,0.0,0.95258594,1.3486136,1.771342,0.8761307,0.0,0.68832266,0.15823483,1.2736651,1.0130156,1.5892861,0.5924366,2.5361967
aftermathmovie,0.7738837,0.9442925,0.24078205,0.8955114,0.52006286,1.0479624,0.67894274,0.24687135,0.38667262,0.26565328,0.7671921,0.61209387,0.90265346,0.48304272,0.8794316
aftermovie,1.0853983,1.0003978,0.27048972,1.080642,0.39738005,1.0184029,0.81382966,0.26057032,0.3869816,0.41130352,0.8595835,0.6928988,0.9681358,0.7054387,0.9252418
ahiddenlifefilm,0.43202072,0.5255299,0.1350075,0.49449655,0.27903658,0.56530154,0.4144508,0.1414817,0.25066048,0.27974823,0.43050465,0.3063233,0.5139379,0.30317596,0.54463637
alitamovie,1.3039851,1.0428092,0.39416558,1.151743,0.29359645,0.8878558,1.0967551,0.3768428,0.17359531,0.8455415,1.054297,0.6451418,0.8205555,0.6942972,1.2034123
angelhasfallen,0.7747085,1.4259815,0.16023408,1.0330421,0.54298115,1.636152,0.9269033,0.3791734,0.69631946,0.74230254,0.9613902,0.99408895,1.4434274,1.0788957,1.202888
angrybirdsmovie,1.2814447,2.0331795,0.062366717,1.3530483,0.875466,2.0678298,1.532966,0.0,0.9802888,0.31639206,1.5769265,0.8232149,1.8607953,1.2926944,2.6146483
annabellemovie,0.87702537,1.6896725,0.14244713,1.5999765,0.8094061,1.7014527,1.5924534,0.40288365,0.84619087,0.83308256,1.2247941,1.0233343,1.9139783,1.0595201,1.5578626
