movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
21bridgesmovie,0.7282713,0.47448355,0.7470579,0.8222477,0.5533533,0.0,0.42783543,0.5373766,0.620028,0.5092472,0.6179601,0.0,0.74020946,0.71503294,0.3912736,0.4667555,0.11173776,0.02369777,0.0,0.6469829,0.6497327,0.41885448,0.7677755,0.47389317,0.6401422,0.39843497,0.3201971,0.18102351,0.5100769,0.0,0.2884571,0.5410615,0.505809,0.49338844,0.0,0.45886213,0.4175108,0.48877284,0.09861632,0.7444637,0.40135416,0.64516366,0.31160185,0.56911373,0.35067827,0.0,0.6597874,0.7101426,0.6763664,0.8306403
47metersdown,0.4916648,0.47864106,0.30084783,0.8540493,0.5853758,0.0,0.70055985,0.64100546,0.374639,0.6337075,0.5587173,0.0,0.62192065,0.45435196,0.5565554,0.45024374,0.3004741,0.18138881,0.2067692,0.6927713,0.76786894,0.3781892,0.97956073,0.8683754,1.1203526,0.368729,0.24048166,0.24045137,0.35321087,0.0,0.64259046,0.6328995,0.20171294,0.36317018,0.0,0.4437367,0.70633835,0.66368043,0.0394583,0.43873248,0.31237942,0.8744423,0.16991898,0.21862179,0.33805776,0.0,0.74758554,0.5272516,0.508125,0.9693992
abeautifuldaymovie,0.6116663,0.39984703,0.53493387,0.72500324,0.51626945,0.0,0.2866694,0.42748174,0.49812773,0.29924935,0.5714307,0.0,0.57077146,0.5391994,0.365172,0.37619942,0.16935079,0.08886786,0.081875935,0.6056643,0.5722418,0.33205658,0.44881108,0.36869684,0.59442556,0.38177603,0.2132022,0.32681522,0.38109493,0.0,0.28986743,0.38273275,0.37945524,0.3655494,0.0,0.27958176,0.48542225,0.30922544,0.079360954,0.44073537,0.2977627,0.5934577,0.40713266,0.26302263,0.35408285,0.0,0.5163349,0.5470982,0.58423024,0.6157712
abominablemovie,0.69175464,0.3269108,0.49808303,0.95787436,0.54636425,0.24192612,0.58731216,0.3391943,0.47626346,0.6649479,0.7440351,0.0,0.60877514,0.89413685,0.6851506,0.7960849,0.10272436,0.20251094,0.03611825,0.9600028,1.2314484,0.42258126,0.5856064,0.6418337,0.7063846,0.29902777,0.4010518,0.5212902,0.05805825,0.0,0.749238,0.62812763,0.29923388,0.20020372,0.0,0.15512352,0.5371154,0.3721093,0.0,0.31440747,0.5109582,0.60799575,0.1088786,0.65947837,0.4272311,0.0,1.0210773,0.7384668,0.83243537,0.67244065
adastramovie,0.4742589,0.3757981,0.21289003,0.59554374,0.45209536,0.0,0.48045188,0.52883565,0.35573152,0.5273988,0.3345647,0.0,0.52315325,0.68264973,0.4635067,0.33790335,0.26008227,0.0,0.18275529,0.5234663,0.53786266,0.18014953,0.39352357,0.28084105,0.7060375,0.40336066,0.42221302,0.23019952,0.17629585,0.0,0.32435846,0.51983535,0.21964607,0.2820854,0.0,0.19694734,0.43113256,0.534476,0.14322942,0.52182484,0.28810182,0.4096806,0.31599638,0.24599333,0.12478688,0.0,0.6075609,0.5115817,0.5877046,0.6469054
adogsjourneymovie,1.4864802,0.57453275,0.7054349,0.94264865,1.1554291,0.0,0.53725123,0.675202,0.528071,0.78411555,0.8725027,0.0,0.47165716,1.2158026,0.7378447,0.53977776,0.38788977,0.0,0.0403248,1.3939233,0.91460305,0.35450917,1.2856544,1.0600572,1.4076296,0.6233287,1.0265337,0.15197296,0.774927,0.0,1.1039368,0.75811213,0.8906375,0.63709456,0.0,0.19655557,0.34769055,0.7971914,0.032110725,1.1810802,1.2190018,0.98293036,0.36867946,0.5318126,0.56532806,0.0,1.1795344,0.6282,0.70555145,0.9735524
aftermathmovie,0.5117985,0.29366368,0.32762656,0.48173186,0.40720403,0.0,0.32761252,0.34467256,0.21795183,0.413954,0.42981043,0.0,0.3846809,0.5223659,0.26270422,0.39204052,0.14190456,0.019835986,0.12005051,0.6581606,0.44806,0.19036697,0.5318035,0.3334684,0.5303335,0.2336058,0.29600367,0.22642201,0.20999965,0.0,0.3099591,0.44897243,0.4067446,0.30872485,0.0,0.1899648,0.2738119,0.37832496,0.06920341,0.49928135,0.28641424,0.38893378,0.28453833,0.410698,0.16188538,0.0,0.58545697,0.46040535,0.48701614,0.51719964
aftermovie,0.63406926,0.5345593,0.59937334,0.4878187,0.6413349,0.0,0.31477323,0.5499996,0.39955938,0.35929883,0.37482142,0.0,0.57547206,0.5216545,0.4159161,0.4080369,0.23691742,0.14173555,0.09793627,0.68771374,0.63600785,0.2264733,0.60769916,0.2976472,0.4903979,0.38980085,0.25874788,0.21005389,0.33383408,0.0,0.29293686,0.33648288,0.44665316,0.4301378,0.0,0.22664475,0.358869,0.23688075,0.079217836,0.5332408,0.38841078,0.59623826,0.3663909,0.23666145,0.3195026,0.0,0.65096766,0.5136513,0.5888798,0.703886
ahiddenlifefilm,0.34334907,0.23200177,0.24372756,0.37634084,0.2660514,0.0,0.24339737,0.26508996,0.22459057,0.24423222,0.27048102,0.0,0.30299106,0.35387778,0.2538687,0.2552359,0.12462385,0.028864762,0.07935209,0.3336198,0.32922748,0.16313833,0.32622045,0.23566088,0.3419256,0.22199374,0.20590502,0.13676625,0.18141948,0.0,0.22232133,0.25018933,0.19566318,0.19676144,0.0,0.16832824,0.22618754,0.26952088,0.056846995,0.31491992,0.18243031,0.28742477,0.16720998,0.21169832,0.13613652,0.0,0.34263903,0.2951588,0.3136527,0.35744065
alitamovie,0.82511604,0.7033858,0.4741146,0.90948635,0.3081739,0.0,0.53588897,0.57688624,0.11555366,0.41938558,0.57888377,0.0,0.4569244,0.8838448,0.33559492,0.6211876,0.39050442,0.29440296,0.17940709,0.6477609,0.826258,0.0,0.6820239,0.55769783,0.9795923,0.22750601,0.5705448,0.2905659,0.020288803,0.0,0.5936402,0.89594275,0.3175071,0.35258588,0.0,0.38277382,0.63818485,0.75814086,0.046981372,0.48535714,0.36849093,0.65406233,0.20661494,0.6904378,0.11968681,0.0,1.0911247,0.57155,0.8262778,0.8020127
angelhasfallen,0.76305646,0.37943923,0.3537386,0.8934229,0.52282184,0.0,0.5190975,0.38634828,0.35318965,0.72720987,0.6740811,0.0,0.40959272,0.83681196,0.57554936,0.638045,0.27744037,0.0,0.02879623,0.95396143,0.6879936,0.23213582,0.70007145,0.69886154,0.8800152,0.008739255,0.4767433,0.40478858,0.2949886,0.0,0.6910115,0.5291945,0.35660294,0.25005624,0.0,0.55703413,0.453173,0.67144465,0.19191211,0.613497,0.45789522,0.46396753,0.0,0.5924655,0.23566416,0.0,0.755472,0.59306616,0.7640954,0.6340994
angrybirdsmovie,1.6353738,0.88006043,1.3453851,1.4379325,1.4032382,0.0,0.1735045,0.8851861,1.179442,0.43892288,1.217475,0.0,1.094417,1.5224891,0.99523175,1.126437,0.0,0.22829221,0.5774898,1.4889375,1.5429296,0.8222476,1.5099748,0.7910083,1.0872805,1.3724279,0.7846975,0.0774002,1.0946997,0.0,1.1836097,0.6154969,1.2635082,0.8398189,0.0,0.7986506,1.2351367,0.8640683,0.0,1.2385058,0.88511276,1.0816005,0.8153703,0.7352105,0.6419732,0.0,1.1484752,0.93120694,0.99794257,1.4588747
annabellemovie,1.1284333,0.6502058,0.76760334,0.98391587,0.6915058,0.0,0.6264255,0.702601,0.8906365,0.6412038,0.84102714,0.0,0.9180866,0.96950656,0.7786721,0.59968835,0.016616981,0.0,0.0,0.9638264,0.7950544,0.5123799,0.9408071,0.88736826,0.9939152,0.47452196,0.6550901,0.37287426,0.39860293,0.0,0.2688772,0.77262866,0.3026552,0.5427076,0.0,0.2927814,0.45487663,0.37340277,0.20050192,0.89196146,0.2788953,0.6990368,0.21172082,0.6505848,0.14801463,0.0,1.2343938,1.083254,0.85930103,1.022013
annamovie,0.8384313,0.51583517,0.61966497,0.6338705,0.5417806,0.024870262,0.34207717,0.44019488,0.6096562,0.30089417,0.49837044,0.0,0.5168625,0.6223934,0.5567925,0.28195578,0.04228436,0.08936331,0.1461844,0.64536494,0.65128124,0.38960475,0.7141992,0.67833585,0.59963226,0.4322302,0.2297991,0.33930716,0.476119,0.0,0.38661063,0.46029976,0.39676082,0.4818863,0.0,0.34561795,0.4489647,0.35260728,0.13647135,0.5510957,0.4559027,0.90299654,0.25993124,0.2851227,0.3065571,0.0,0.45107314,0.5245166,0.5151219,0.62700886
apollo11movie,0.38204408,0.26989007,0.3235248,0.48855177,0.29493442,0.0,0.32618892,0.29941446,0.22505224,0.3696103,0.30122167,0.0,0.36996335,0.46187872,0.25741833,0.2837699,0.015446719,0.014147649,0.034854785,0.42668304,0.38512483,0.2618106,0.34921008,0.3361896,0.34491625,0.17134091,0.22886075,0.21567503,0.16019063,0.0,0.31412557,0.4550618,0.2831919,0.20735815,0.0,0.24687693,0.27776602,0.30475774,0.0,0.36058274,0.18596454,0.3934982,0.037635535,0.3135323,0.12272331,0.0,0.4458015,0.4837661,0.42491102,0.5381629
arcticdogsmovie,0.5045118,0.34280676,0.40701875,0.87111056,0.46869516,0.0,0.3513965,0.4471803,0.44671038,0.45656383,0.44474593,0.0,0.5397715,0.471224,0.39649603,0.4539705,0.14133072,0.0,0.16815245,0.65928334,0.63078,0.28367293,0.5373131,0.34134302,0.8071092,0.35429904,0.2381593,0.46108323,0.39411324,0.0,0.3756757,0.3455753,0.22572407,0.34279892,0.0,0.25526506,0.5569847,0.4018834,0.22223857,0.6208607,0.3437567,0.47355175,0.19531623,0.24552836,0.2845173,0.0,0.7050406,0.45510095,0.4510824,0.7146816
arcticmovie,0.4633733,0.3644092,0.1533114,0.5974263,0.3627436,0.0,0.45372215,0.4060083,0.34291503,0.45498186,0.29326874,0.0,0.39162332,0.48242265,0.41876557,0.20337473,0.24385186,0.0,0.22010317,0.5439156,0.5103885,0.23824476,0.41815832,0.3755914,0.4996799,0.34088284,0.32591853,0.21875578,0.33701128,0.0,0.277258,0.3527649,0.2638137,0.39191616,0.0,0.2663769,0.3312107,0.42274013,0.0,0.42345795,0.26434836,0.46064156,0.26724938,0.31282568,0.13284662,0.0,0.5962223,0.30872118,0.43579918,0.54028726
artofracingmovie,0.76093334,0.6082732,0.45935884,0.7644817,0.63148785,0.0,0.7917864,0.61796767,0.33086902,0.59356844,0.59275925,0.0,0.50041294,0.9320642,0.6042708,0.54518485,0.39218116,0.19266307,0.1557151,0.41040426,0.55888486,0.0,0.5285706,0.48362428,0.9891027,0.4356833,0.31283224,0.23841956,0.19424419,0.0,0.63718414,0.6725606,0.22086042,0.35129917,0.051233616,0.24408144,0.74882555,0.6699627,0.20996274,0.52166533,0.340848,0.61043036,0.22033828,0.40328217,0.1487126,0.0,0.7177784,0.2586527,0.7649175,0.5303636
avengers,0.58147293,0.28679514,0.31245154,0.49604297,0.3221329,0.0,0.385244,0.44376,0.34214458,0.37110594,0.3848559,0.0,0.44604722,0.50777924,0.32116032,0.32116598,0.22378358,0.0,0.0,0.4225272,0.4346987,0.18287762,0.41349918,0.3483819,0.39490634,0.2615293,0.33651447,0.2610209,0.2529758,0.0,0.22183669,0.3816115,0.31910935,0.4163765,0.0,0.2746232,0.23935136,0.3586443,0.10296534,0.43264425,0.40390503,0.39428058,0.07716236,0.3109882,0.20720682,0.0,0.36994618,0.36579838,0.33345985,0.41042802
beachbummovie,0.34452203,0.27938905,0.46711564,0.6037332,0.445914,0.04887038,0.34378383,0.15302953,0.33493552,0.4134472,0.46382588,0.0,0.34852287,0.61565125,0.23796733,0.2901107,0.0,0.0,0.039508462,0.4910153,0.49809918,0.253408,0.44501603,0.351758,0.45573345,0.14323485,0.2588541,0.2707548,0.2626851,0.0,0.17971137,0.38225693,0.2543207,0.13858616,0.0,0.27563965,0.28535718,0.27203456,0.06302935,0.3062693,0.16678284,0.47169825,0.024866499,0.26658976,0.09418571,0.0,0.470818,0.57367295,0.45659506,0.5021306
bernadettefilm,0.6730939,0.44102192,0.4386854,0.863429,0.36156145,0.0,0.42277822,0.7370401,0.48294073,0.49208876,0.3968877,0.0,0.5378011,0.5628866,0.49396357,0.30212584,0.2867779,0.0,0.3490082,0.71960634,0.48700455,0.33385658,0.6937333,0.47583675,0.59877545,0.66829616,0.4038296,0.1359848,0.2718014,0.0,0.5089987,0.3675294,0.44485247,0.63946474,0.0,0.4499748,0.29730263,0.50608087,0.0,0.6377634,0.3076931,0.49109206,0.4580703,0.53091305,0.12915069,0.0,0.7937256,0.555615,0.52787256,0.8522222
blackandbluemovie,1.1180959,0.91999567,1.2178087,1.4882827,1.0661049,0.023472048,0.53883016,0.5050001,0.6194522,0.7932511,1.1776048,0.0,1.2080091,1.2938492,0.6018195,0.6028368,0.36926267,0.31156936,0.1713081,1.3214314,1.1638188,0.8712929,1.2201041,0.8028464,1.1485152,0.33003095,0.6549138,0.27129143,0.43151602,0.0,0.7773894,0.962379,0.83793813,0.40545607,0.0,0.64837146,0.577219,0.42069796,0.20072386,0.75569355,0.583219,1.27819,0.19379926,0.47041714,0.5743803,0.0,1.1349459,1.2560254,1.3054963,1.289967
blackchristmas,0.84457475,0.47499943,0.4952292,0.74086154,0.59845865,0.0,0.31514895,0.46665853,0.5706586,0.41951478,0.673012,0.0,0.54490787,0.68635505,0.69815993,0.54377896,0.26061302,0.178611,0.15190604,0.6616581,0.5514803,0.19054887,0.6717161,0.47502646,0.68670726,0.32960224,0.5557414,0.14912462,0.38955984,0.0,0.66770416,0.64199615,0.5067755,0.42393214,0.0,0.4221678,0.5655885,0.6019305,0.021218305,0.6379491,0.38463047,0.551693,0.444515,0.40846562,0.2841028,0.0,0.6867625,0.67100996,0.73402137,0.68795234
blindedbythelightmovie,0.5752595,0.37142795,0.3127734,0.48886436,0.28935403,0.0,0.3973102,0.34010237,0.2483348,0.19520976,0.42258862,0.0,0.26266846,0.4433012,0.28835756,0.32558876,0.19364347,0.12313714,0.16076526,0.4377014,0.33360106,0.10465501,0.3718579,0.26744387,0.32923126,0.24413365,0.2920983,0.17364661,0.31097528,0.0,0.2888733,0.23634575,0.19098875,0.33192104,0.0,0.25167045,0.2635782,0.31816658,0.028522171,0.4229146,0.22720735,0.31690755,0.24392477,0.3116579,0.1797925,0.0,0.3944617,0.33784327,0.41764224,0.4363651
bombshellmovie,0.57066596,0.5098318,0.4094482,1.1289989,0.54690516,0.0,0.70391756,0.4999455,0.51423156,0.7810767,0.37476814,0.0,0.5957951,0.78369087,0.63583064,0.5113725,0.28093982,0.0,0.0,0.84468585,0.80055577,0.48685634,0.7189693,0.68396175,1.17538,0.5223219,0.44609162,0.4991236,0.3100523,0.0,0.65104884,0.6677939,0.3480064,0.32437104,0.012638148,0.1829601,0.5378319,0.8204602,0.26637945,0.730708,0.23467371,0.76400036,0.55523294,0.28895324,0.65891653,0.0,0.8787947,0.70510685,0.9459593,0.9183923
booksmart,0.19124724,0.03734365,0.009804569,0.43596753,0.12463454,0.0,0.2495258,0.0,0.20286018,0.324854,0.1982642,0.1943904,0.33882895,0.10368319,0.012643013,0.2187042,0.0,0.0,0.0,0.037031583,0.28968424,0.21854281,0.14373045,0.0,0.15866126,0.18440922,0.0,0.36860368,0.3135545,0.0,0.18781379,0.4740032,0.15898827,0.35184664,0.0,0.075151876,0.34480906,0.6028565,0.15497544,0.17367032,0.19455585,0.1724891,0.056656957,0.43338227,0.0,0.0,0.113067806,0.40673023,0.34896988,0.24199528
breakthroughmovie,1.2463897,0.88170767,0.45121196,1.9732478,0.55500257,0.0,1.1886884,1.2442989,0.86271125,1.3085846,1.0341551,0.0,1.1658294,1.5962881,1.0467973,1.1501105,0.4233951,0.0,0.17790544,1.2492634,1.4124541,0.20600936,1.1326038,1.0996568,1.3848853,0.72173566,0.78157216,0.9003184,0.25907066,0.0,0.71030605,1.0237808,0.64157635,0.8069073,0.0,0.6054765,1.1978232,1.1153082,0.25487414,0.9331554,0.76724213,0.91423357,0.0,0.9135907,0.08073412,0.0,1.6284701,0.9189733,0.89356095,1.5081587
