movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49
angelhasfallen,0.5427083,0.3354055,0.52766615,0.24648193,0.71423453,0.28180686,0.35287267,0.7234551,0.13467322,0.31194595,0.7054587,0.4170073,0.79653704,0.21896757,1.0371544,0.0,0.0,0.86630577,0.6248644,0.0,0.7676045,0.07333543,0.6518811,0.7171222,0.9831038,0.567772,0.0,0.7034029,0.9753754,0.7402518,1.2057334,0.39109245,0.5709878,0.95596755,0.0,0.5085663,0.5313762,0.0,0.49477077,0.54282457,0.0,1.0129745,0.7922913,0.0,0.69334215,0.3485388,0.42253304,0.7435685,0.75579125,0.0
angrybirdsmovie,0.69905174,0.2588045,1.498793,0.7599388,1.2531686,0.84698576,0.65443313,1.4273362,0.6404321,0.067140676,0.47299713,1.0663269,1.3473672,0.1289992,1.1684111,0.0,0.0,1.158895,1.1823462,0.0,1.1561632,0.026397167,1.4415097,0.7103157,1.3324077,0.82584167,0.0,1.4021503,1.3406867,0.9463832,1.3149252,0.7183254,0.5917032,1.1898617,0.0,0.8581537,0.77856845,0.0,0.6241473,0.8335591,0.0,1.0920699,1.3414452,0.0,0.5634919,0.81919205,0.7414521,1.2643253,1.0891013,0.0
annabellemovie,0.85880977,0.28446603,0.62609667,0.17935728,0.9690376,0.46992433,0.7019633,0.7537844,0.20764819,0.35008922,0.6898673,0.30550486,0.84613585,0.2032937,0.91988707,0.0,0.0,0.9867478,0.9177382,0.0,0.9371656,0.20588954,0.80568945,0.8300971,1.3415442,0.8616635,0.0,0.9883183,1.1391653,1.0604509,1.1020513,0.73590946,0.6042398,1.0628871,0.0,0.5223491,0.50397193,0.0,0.41655308,0.97901535,0.0,0.9070003,1.1108193,0.0,0.84144163,0.6699448,0.5885167,0.5230614,1.093547,0.0
annamovie,0.5496033,0.22788984,0.7964835,0.27430913,0.71224403,0.2630201,0.3728345,0.6292486,0.21320444,0.3127821,0.5610298,0.5788228,0.7033777,0.28940362,1.0375584,0.0,0.0,0.7016212,0.8167828,0.0,0.9919236,0.1222895,0.63459074,0.6235753,0.82472,0.6650584,0.0,0.6619184,0.77821636,0.8357454,0.83982193,0.6361625,0.50378144,1.1010529,0.0,0.4549719,0.37570778,0.0,0.5746776,0.7783305,0.0,0.79890835,0.8658047,0.0,0.60588753,0.26475853,0.5461918,0.6111905,0.893736,0.0
apollo11movie,0.32084453,0.21300925,0.38611102,0.12852652,0.5032149,0.17842989,0.41610634,0.48929393,0.33938423,0.32333207,0.352829,0.28162155,0.47143292,0.16748573,0.50225866,0.0,0.0,0.49504772,0.3917631,0.0,0.5053419,0.24795927,0.36322948,0.29497463,0.57421744,0.4511251,0.0,0.4596431,0.45572677,0.36701944,0.5190794,0.40858978,0.27972242,0.43859982,0.0,0.2996547,0.30984524,0.0,0.4082367,0.25592098,0.0,0.33154395,0.5134067,0.0,0.28762263,0.24183714,0.29508805,0.18018395,0.44259307,0.0
arcticdogsmovie,0.759454,0.2372964,0.5753492,0.36132798,0.74161375,0.33687466,0.60403097,0.5113761,0.19863814,0.1875779,0.64924186,0.3473453,0.39232454,0.04992747,0.94777286,0.0,0.0,0.63682395,0.6208991,0.0,0.57240856,0.2111508,0.6465887,0.6629251,0.70161265,0.4609688,0.0,0.74003685,0.8943025,0.5159605,0.81036735,0.66757417,0.34392336,0.76801175,0.0,0.4136403,0.5976121,0.0,0.4441757,0.6238261,0.0,0.6910419,0.61931366,0.0,0.43182468,0.27246153,0.309399,0.50070244,0.9042033,0.0
arcticmovie,0.23733564,0.24946447,0.36496913,0.2161586,0.4010593,0.17436536,0.2492917,0.3924026,0.12875444,0.22728927,0.33660954,0.22515495,0.30593675,0.0,0.5102424,0.0,0.0,0.341151,0.29745236,0.0,0.3806903,0.17260028,0.39584157,0.44893482,0.5892445,0.38654712,0.0,0.4781204,0.5816021,0.5317141,0.63717633,0.3587181,0.4190927,0.37766176,0.0,0.25432053,0.3321767,0.0,0.17714247,0.44261095,0.0,0.47047743,0.53592455,0.0,0.43522465,0.16834824,0.24658662,0.23238741,0.42686448,0.0
artofracingmovie,0.74623007,0.3348851,0.40243194,0.2130168,0.54276085,0.30083683,0.41972202,0.47693962,0.20713428,0.18874115,0.68538874,0.34275475,0.31538695,0.2236706,0.904873,0.0,0.0,0.8320604,0.40680632,0.0,0.61049867,0.23515068,0.30825534,0.45561552,0.8205676,0.6559319,0.0,0.7716285,1.0441754,0.5683309,0.8672053,0.45796242,0.10458675,0.9363546,0.0,0.47941115,0.3510663,0.0,0.71942186,0.57941204,0.06531821,0.7521864,0.6322339,0.0,0.43102062,0.44173914,0.4109801,0.5987278,0.79818094,0.0
avengers,0.35000455,0.21628642,0.5764362,0.26745844,0.6793503,0.07751322,0.40964127,0.67128676,0.4430231,0.26616865,0.5056492,0.34816653,0.52603716,0.25722936,0.7696247,0.0,0.0,0.6887069,0.56067526,0.0,0.6363704,0.25406742,0.69612026,0.37720674,0.6288947,0.56595,0.0,0.6281661,0.778105,0.6667977,0.61148566,0.44333032,0.29449898,0.7182166,0.0,0.30500495,0.5005882,0.0,0.52159846,0.48296878,0.0,0.6293475,0.5829283,0.0,0.27826715,0.4604108,0.2565279,0.39009923,0.7456275,0.0
beachbummovie,0.26204354,0.28855035,0.40370068,0.18930443,0.6276623,0.28141353,0.4049629,0.5475211,0.28707516,0.37240192,0.31742507,0.5182524,0.5207247,0.2303966,0.7793322,0.0,0.0,0.54915226,0.42189473,0.0,0.6706312,0.14029199,0.4972771,0.12868616,0.638789,0.36138138,0.018054465,0.5233811,0.70391273,0.40252703,0.62966084,0.38856307,0.25914377,0.42908686,0.0,0.35851604,0.23849419,0.0,0.42374924,0.37975517,0.0,0.36762473,0.45938957,0.0,0.16675048,0.24488911,0.22455405,0.32758182,0.53333485,0.0
