movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
21bridgesmovie,0.77901566,0.67066544,0.65234685,1.01985,0.6242774,0.68229014,0.35926962,0.3893297,1.0556637,0.7706916,1.2504506,0.44279844,0.67506874,0.3123271,0.42680168,0.7118622,1.1027331,1.0924883,0.88220125,0.6021102
47metersdown,0.7869545,0.9520151,0.779049,0.88998497,0.8497568,0.5083359,0.7712111,0.26649064,1.094423,0.9978552,1.2259593,0.5530209,0.6967372,0.5894407,0.81704414,0.5935265,1.2463005,1.2179023,1.3027853,0.68763876
abeautifuldaymovie,0.6911582,0.69696337,0.5459946,0.8503101,0.6329045,0.37127057,0.31845602,0.6918043,0.81259364,0.7419757,1.015011,0.40827972,0.6095636,0.4773907,0.43957585,0.652389,1.0064325,0.851045,0.7657448,0.47016653
abominablemovie,0.8764639,0.38520747,0.97831863,1.3433071,0.9030823,0.43080926,0.4503595,0.9308748,1.1934412,0.61656463,1.616662,0.31830943,0.9325434,0.33116353,0.65059793,1.1368828,1.5983844,1.3148125,1.1021672,0.98513615
adastramovie,0.5964279,0.52182615,0.5973602,0.7850748,0.43927926,0.45617852,0.60141325,0.33327988,0.7991811,0.7179163,0.6910695,0.22031163,0.6118989,0.53902626,0.23599437,0.45482123,0.6849826,0.9201609,0.8758252,0.6757904
adogsjourneymovie,1.3082621,1.5642188,0.8028394,1.3692106,0.8726999,0.7563595,0.78272253,0.8934349,1.8806336,1.6272413,1.6642773,0.21115503,0.8878225,0.15886474,1.085257,1.0455339,1.203249,1.3193501,1.3005656,0.88804543
aftermathmovie,0.5517533,0.45216435,0.54394823,0.7882271,0.51479226,0.46873677,0.4611438,0.52393854,0.91527545,0.3925991,0.955172,0.2966019,0.70028913,0.47191042,0.3503455,0.69533527,0.8655488,0.9090207,0.8715161,0.696001
aftermovie,0.6557688,0.49483258,0.6751105,1.0481578,0.6739827,0.5021354,0.53981066,0.4972304,1.2076806,0.7643262,0.7965586,0.41679204,0.53671205,0.45350873,0.6146413,0.7065843,1.0855551,1.0684178,0.7749115,0.64214116
ahiddenlifefilm,0.3627467,0.37404305,0.40050888,0.4707035,0.30826497,0.28405115,0.26898444,0.2625788,0.5362739,0.37590837,0.56159115,0.1939662,0.34136897,0.2568203,0.28422737,0.33477643,0.52150214,0.5743046,0.49987665,0.3092801
alitamovie,0.73207366,0.52478325,1.040647,1.0696954,0.3736863,0.5087742,0.6298242,0.46487918,0.9024252,0.6058457,0.9387529,0.016514543,0.7638246,0.37566596,0.48790097,0.91426206,0.7980922,0.99351925,1.1717805,0.7485844
