movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
mamovie2019,1.3637543,1.3270029,0.058893345,1.1288022,1.058965,0.8404453,0.9859023,0.015901089,0.62285745,0.0,0.81944203,1.7766612,0.0,0.0,1.230321
marriagestory,1.6953272,1.5912049,1.1444509,0.9812172,1.5356791,0.7249527,1.2172828,0.51523304,0.52325606,0.0,0.8334403,1.3578327,0.0,0.5209511,1.0202408
meettheaddams,1.3674158,0.74747276,0.55494696,0.69737476,1.2452002,0.66332006,0.8497345,0.33806735,0.85956126,0.0,0.5966984,1.2122418,0.20681562,0.3038221,1.1985877
meninblack,1.1244797,0.6936281,1.033561,0.5450267,1.1580459,0.55308115,0.9066085,0.7926868,0.98008436,0.0,0.8812382,1.1697063,0.1494023,0.3185997,1.1751924
midsommarmovie,2.056837,1.3824123,0.9587208,1.5758839,1.6205839,1.6197119,1.7829238,0.40372932,0.86269575,0.0,0.9229889,1.6339028,0.0,0.8122786,1.3405625
midwaymovie,1.4459643,0.9217812,0.09130666,1.1381308,1.5267638,0.75467324,1.1109486,0.16373177,0.77058554,0.0,0.8993472,1.5811113,0.023724828,0.0,1.5396811
missbalamovie,1.7366489,1.285657,0.85467666,1.524101,1.2941927,1.5643877,1.379212,0.0,1.4664985,0.0,1.0202165,1.4500812,0.063959226,0.62417346,1.6493242
missinglinkfilm,1.5587846,1.1541448,0.7018293,1.425005,1.4168245,1.2550629,1.4232999,0.48127556,0.62159675,0.0,0.7503474,1.2139372,0.08227976,1.0564059,1.1760845
motherlessbklyn,1.8621738,0.80318785,0.41029793,1.5301026,1.3999823,0.9020685,1.2667606,0.015286908,0.64432997,0.0,0.6339934,1.6484144,0.0,0.5637536,0.8469942
onceinhollywood,1.3940805,0.78888637,0.4482342,0.9052476,1.1017059,0.8466424,1.2835788,0.03656365,0.94055086,0.0,0.80119526,1.3473743,0.031988975,0.027546108,1.2852466
onthebasisofsex,1.6669018,1.0656878,0.11518779,0.6371866,1.1060553,0.5531937,0.8025944,0.08757063,1.3421868,0.0,0.20145497,1.0668033,0.0,0.25438932,1.411432
overcomermovie,1.5413996,1.1267084,0.6326213,1.3191767,1.1584482,1.1257166,1.1091194,0.25448987,0.82440907,0.0,0.62764525,1.0697632,0.03941684,0.94329256,1.3046826
peanutbutterfalcon,0.37054694,0.028400436,0.15488689,0.0024374947,0.242125,0.0,0.0,0.25210074,0.2171185,0.0,0.29300895,0.34007296,0.15864572,0.16626026,0.27801815
petsematarymovie,1.9211202,1.5868719,0.9184116,1.042471,1.7682761,1.2317492,1.232301,0.016013697,1.1307563,0.0,0.6097557,1.5275191,0.0,0.4449699,1.7534308
piercingmovie,0.39577156,1.0174458,0.46036965,0.7326127,0.0,0.0,0.532905,1.6428419,0.10621526,0.42551818,1.127499,0.7149041,0.0,1.0458755,0.29088664
playingwithfire,1.8838134,1.5219514,0.64574593,0.427069,1.1980004,0.65392196,0.9858885,0.41238594,0.9795535,0.0,0.68843603,1.3355931,0.0,0.37964243,1.3432996
playmobilthemovie,2.0990088,1.6025461,0.41163766,1.8983064,1.56712,1.5461138,1.7947499,0.25538617,0.8127063,0.0,1.0181193,1.7045182,0.0,0.9243234,1.5567188
pomsmovie,1.6259692,1.2187985,0.58579934,1.4600229,1.3781855,1.0972397,1.2321957,0.29342598,0.69289804,0.0,0.8560175,1.1906875,0.0,0.8846036,1.2703953
queenandslim,1.4599435,1.0564529,0.0,1.281923,1.6795841,0.5330527,0.39098153,0.040977843,0.22028315,0.0,0.8696779,1.3480012,0.18383294,0.12460363,1.3719968
rambomovie,1.7120315,1.310506,0.60468316,1.2467134,1.24853,1.1310635,1.0189385,0.270578,0.7415231,0.0,0.6396357,1.0903277,0.0,0.9738336,1.2020156
