movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
21bridgesmovie,0.50819093,0.644475,0.1792025,0.4621511,0.675323,0.0,0.43260658,0.0,0.37067038,0.9095638,0.6020355,0.043966044,0.50989264,0.55635136,0.68325454,0.0,0.77401,0.27874255,0.5389629,0.5760557,0.39725372,0.5899442,0.4597491,0.30217648,0.0,0.26350474,0.49271417,0.60227615,0.2506254,0.0,0.40645653,0.66909647,0.6164815,0.39798695,0.0,0.5624907,0.70129275,0.0,0.38057494,0.4057146,0.520549,0.0,0.41287437,0.5733557,0.45780012
47metersdown,0.96627116,0.62922776,0.07839228,0.42581996,0.4704271,0.0,0.3556071,0.0,0.85421365,0.62746334,1.0243464,0.3555508,0.77734894,0.63354075,0.4775286,0.0,0.41729978,0.4326331,0.54185003,0.63096595,0.35216612,0.874983,0.48923647,0.27539495,0.0,0.0,0.4437301,0.9757805,0.0,0.0,0.5652287,0.2964724,0.11555667,0.0949185,0.0,0.691036,1.0491854,0.0,0.25021645,0.4065311,0.6559253,0.0,0.69534844,0.5805965,0.54985124
abeautifuldaymovie,0.52388376,0.46781963,0.45354694,0.64049727,0.71860063,0.0,0.38830537,0.0,0.38020518,0.81916636,0.567868,0.08792943,0.7940299,0.4532927,0.52107996,0.0,0.483148,0.13163096,0.38411897,0.64595556,0.4805616,0.64254284,0.44918334,0.29482082,0.0,0.18423808,0.17983817,0.69605535,0.15947442,0.0,0.45296317,0.59737813,0.3299859,0.15957972,0.0,0.43189403,0.77232915,0.0,0.49983913,0.24571458,0.645423,0.0,0.4045711,0.4414549,0.4124485
abominablemovie,0.7021895,0.53080344,0.012522612,0.22225153,0.82669556,0.0,0.5424206,0.0,0.25981045,1.0317248,0.935519,0.12738904,0.5398488,0.7371575,0.57244754,0.0,0.59069604,0.09534824,0.55878276,0.69938195,0.263817,0.945871,0.81939805,0.10653958,0.0070898924,0.1279468,0.70467454,0.9526978,0.029837456,0.0,0.66033846,1.2365663,0.97441816,0.7386061,0.0,0.3903502,1.0052011,0.0,0.5976581,0.45676908,0.40799135,0.0,0.7796897,0.827743,0.44121677
adastramovie,0.28227073,0.301149,0.28478098,0.5462145,0.613605,0.0,0.41965073,0.0,0.28686494,0.83325577,0.6396227,0.0,0.4929814,0.7047775,0.58533317,0.0,0.39202738,0.17925479,0.36295515,0.5611771,0.38637146,0.62712675,0.6996644,0.34585148,0.0,0.19858861,0.33707598,0.5540044,0.17630784,0.0,0.30681625,0.7641336,0.6360522,0.5443793,0.0,0.51884687,0.40461463,0.0,0.43226743,0.44973066,0.58853036,0.0,0.4621435,0.4746915,0.4040914
adogsjourneymovie,1.1519117,1.1517769,0.14608786,0.90621674,1.3730558,0.0,0.7958081,0.0,0.2056308,1.8640685,1.3167243,0.13221331,1.1677125,0.9735107,1.5893024,0.0,0.78186893,0.18185444,0.96499366,1.1506534,0.97377545,1.2495962,1.3558563,0.60545504,0.0,0.9053885,0.970979,0.91577977,0.5152929,0.0,0.51027095,1.8754967,0.8474737,0.6989553,0.0,0.59256035,1.2545781,0.0,0.77811354,0.99571776,0.607268,0.0,0.74854004,1.2642603,0.7416154
aftermathmovie,0.40043184,0.47103134,0.18811221,0.33257386,0.4758303,0.0,0.3532812,0.0,0.18568748,0.6974761,0.4746092,0.17568263,0.33436254,0.32270405,0.50714767,0.0,0.34669164,0.056537323,0.38997582,0.48434895,0.39910063,0.5400239,0.47795776,0.2539055,0.0,0.18519399,0.12909143,0.60092056,0.0948124,0.0,0.14283583,0.44553936,0.35290465,0.3111164,0.0,0.30581295,0.6227838,0.0,0.3169979,0.17275167,0.28441998,0.0,0.22753815,0.4399618,0.44481298
aftermovie,0.45156285,0.5388556,0.3254208,0.4133291,0.5797975,0.0,0.32021165,0.05096279,0.20632674,0.71966547,0.6282928,0.09433228,0.5422615,0.5418046,0.6463071,0.0,0.5510086,0.33800974,0.5118453,0.40088743,0.44708025,0.624447,0.5475926,0.32581186,0.0,0.2503699,0.47232115,0.5990881,0.016772708,0.0,0.48286936,0.8048782,0.54718053,0.23346929,0.0,0.51826036,0.61142784,0.0,0.3924014,0.23028703,0.46600336,0.0,0.5069843,0.33505383,0.31544432
ahiddenlifefilm,0.3029361,0.2644855,0.14965522,0.25044394,0.33376378,0.0,0.23883888,0.0,0.1477563,0.42373085,0.3512218,0.08127768,0.2799682,0.2970568,0.3201798,0.0,0.30391455,0.09259838,0.26247868,0.30826986,0.2468469,0.3355771,0.33006132,0.18469067,0.0,0.14299178,0.2365124,0.33783415,0.120612934,0.0,0.21772799,0.3911307,0.26119235,0.20906188,0.0,0.26489305,0.3595554,0.0,0.2279347,0.21099608,0.25622484,0.0,0.23610693,0.28947318,0.22930875
alitamovie,0.6132156,0.36715677,0.3081925,0.40243477,0.7085186,0.0,0.118564054,0.0,0.35820082,0.8874977,0.694988,0.04800643,0.62116426,0.5993355,0.95334476,0.049945507,0.49404827,0.102325305,0.56231487,0.63188624,0.30595535,0.47071007,0.70761055,0.35024863,0.0,0.06895222,0.49234968,0.6448108,0.30370417,0.0,0.25020334,0.6531708,0.5591387,0.5352505,0.0,0.49957764,0.3980342,0.0,0.39700294,0.2865225,0.59098226,0.0,0.3621867,0.20209725,0.48926163
