movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,1.2960461,1.281892,0.9649371,1.3680186,1.1163543,0.7668532,1.5039248,1.4049785,1.5569305,0.9164008,1.2953376,0.90316737,1.1321145,0.9865373,0.0
47metersdown,1.0214425,0.9464402,0.87325454,1.2184668,1.0193957,0.5021033,1.3412817,1.1640167,0.9362471,0.70814455,1.1607285,0.50984645,1.3531668,0.73411727,0.0
abeautifuldaymovie,1.1592517,1.1053119,0.9720007,1.1442661,0.90965843,0.6851808,1.1320292,1.1492872,1.3566923,0.96415496,0.93379694,0.7559751,1.2077894,0.6636198,0.0
abominablemovie,1.0178361,1.0077609,0.6798576,0.7580615,0.466083,0.7182003,1.4987227,0.95915455,1.1921878,0.6062466,1.3135868,0.3157164,0.6500128,0.73055077,0.409269
adastramovie,1.2408429,1.0284529,0.8799856,0.958161,0.9784239,0.3165453,1.1867596,1.1182461,1.555922,0.7713113,0.99834645,0.42551956,1.2075026,0.7927285,0.27865523
adogsjourneymovie,1.0964113,1.0168257,0.38420326,0.527895,0.6170138,0.5316017,1.0359057,1.0778464,0.94371754,0.7915437,0.5038634,0.7237741,0.700271,0.5683532,0.3514196
aftermathmovie,0.99484384,0.74924695,0.8009751,1.0820221,0.87231046,0.6505187,1.1657698,1.0433928,1.5877411,0.9027493,1.1747355,0.7821063,0.9962809,0.86579555,0.0
aftermovie,1.1011994,0.9916787,0.9900968,1.2502723,1.1021004,0.83172375,1.2380205,1.15101,1.6690276,0.70475554,1.0554109,0.98915505,1.2909656,0.8225411,0.0
ahiddenlifefilm,0.68579537,0.61696947,0.5635837,0.6677451,0.6464186,0.37067035,0.6887173,0.6728714,0.8576155,0.5222908,0.69124305,0.48792356,0.6998453,0.5492085,0.009467952
alitamovie,0.4094212,1.0199065,0.7466302,0.7148876,0.560586,0.55671024,0.86945546,0.77832943,0.96099687,0.70858955,0.4159521,0.47445795,0.7472682,0.37342408,0.39817864
angelhasfallen,1.2211684,1.2181561,0.63358843,0.76965165,0.81747895,0.73884153,1.3854195,1.0181168,1.6171017,0.88323426,1.29832,0.8255179,1.0704612,1.0090427,0.19814287
angrybirdsmovie,0.564597,0.2681148,1.1701988,0.46549493,0.9554592,1.0327669,0.24794415,0.7582238,0.5627941,1.1242006,0.93245184,1.3826613,0.29035324,0.43516096,0.0
annabellemovie,1.0672711,0.98570037,0.9274336,0.9960723,0.52710587,0.7169994,1.2101678,1.3510466,1.3433676,0.4810054,1.3172345,0.85572517,0.7240632,1.2325284,0.0
annamovie,1.3151362,1.054135,0.91781044,1.0231657,0.9756735,0.58520114,1.3758745,1.1772244,1.3317246,0.8657558,1.1246797,0.7712598,1.1120294,0.9407809,0.0
apollo11movie,0.9406648,0.9618193,0.8212763,1.0501517,1.0286561,0.70450044,0.8848319,1.0886309,1.3164773,0.85317636,1.0079046,0.8343289,1.1911328,0.7626172,0.0
arcticdogsmovie,0.86856943,0.77320516,0.9704076,1.0377833,0.8134967,0.37901586,0.9493269,0.93553615,0.7878664,0.4021875,0.8886638,0.38209492,0.9554753,0.56317085,0.0
arcticmovie,0.65446013,0.6562077,0.7106174,0.5485368,0.5074844,0.48446268,0.77964896,0.6656522,0.9075666,0.5225168,0.8276588,0.500412,0.47433776,0.5718238,0.10449861
artofracingmovie,1.1389331,0.9622886,1.145304,1.2472398,1.15314,0.37395856,1.1690943,1.300628,1.7866638,0.85450745,1.2870456,0.63952243,1.305953,0.6776271,0.0
avengers,0.7925667,0.7713171,0.6291795,0.82134795,0.67974013,0.19867891,0.6990088,0.8350093,0.87648576,0.44970575,0.77458143,0.53110856,0.7218952,0.67110604,0.0
beachbummovie,0.87192726,0.9666729,0.86814046,1.0487438,0.9351955,0.94359297,0.75199246,1.0183603,1.3015115,0.79062796,0.90513325,0.91066206,1.504451,0.52353525,0.0
bernadettefilm,1.3405458,1.2143674,0.8409414,1.1093166,1.3891742,0.734617,1.361715,1.2006583,1.9029932,0.9818257,1.4073156,0.67000496,1.1746153,0.5350031,0.18156314
blackandbluemovie,0.48111346,1.1923138,0.8061459,0.9605255,0.5184651,1.2053409,1.4605085,1.207073,1.1868536,0.5007688,1.0213914,1.0664847,0.99101704,0.1980963,0.11264229
blackchristmas,1.2340887,1.1303214,0.7001178,1.0544547,1.0182946,0.6421509,1.0878742,0.9524135,1.4811556,0.9795283,0.9240551,0.73718274,1.0111825,0.9805262,0.055623017
blindedbythelightmovie,1.0316362,0.981629,0.7777654,1.0472782,0.9900972,0.48845994,1.1332213,1.0875888,1.1669915,0.75320053,1.176087,0.65531754,0.8038259,0.68728006,0.0
bombshellmovie,0.4740006,0.70359457,0.6141803,0.6832943,0.7668205,0.63711864,0.6825294,0.7589808,1.0207963,0.48095593,1.0094473,0.9217162,0.618959,0.65935904,0.116738416
booksmart,0.039551474,0.0,0.0,0.0,0.0,1.4849799,0.0,0.24587747,0.0,0.5228499,1.5087252,1.3054174,0.0,0.0,0.29779825
breakthroughmovie,1.0818217,1.07628,0.26760525,0.49769628,0.5601701,0.23243186,1.2989289,1.0005834,1.3284004,0.44336456,0.8693317,0.48470715,0.8144908,0.73020464,0.26951677
brianbanksmovie,1.2909051,0.93729603,1.0166296,1.0656503,1.0227754,0.57203496,1.1396146,1.3093238,1.7218487,0.9032589,1.5840819,1.0816337,0.7280296,0.8778091,0.10865435
brightburnmovie,1.036997,0.94427526,0.80882823,1.0440538,0.88450927,0.8007515,1.1572378,1.131803,1.3073852,1.2014717,1.0751095,1.0883338,1.4076253,0.6949844,0.0
brittanyrunsmov,0.30574113,0.5802405,0.501361,0.40123302,0.46537256,0.3786057,0.39722127,0.48775196,0.4939187,0.393993,0.4614544,0.55891144,0.46219224,0.498971,0.047411
captainmarvelofficial,0.71034503,0.6397426,0.7695477,0.75629854,0.8320249,0.23388925,0.6625598,0.8915751,0.98760355,0.2954121,0.912148,0.54369605,0.7293733,0.7071979,0.0
captivestatemovie,1.0023478,1.0239505,0.61440444,0.69520175,0.6231491,0.33960956,0.9398039,0.854126,0.83705187,0.6376828,0.6346567,0.5216373,0.7637029,0.69466865,0.10199817
catsmovie,1.2255563,1.2348324,0.5855454,0.8886566,0.9207679,0.7378673,0.94987833,0.77081823,0.83833027,0.40455887,0.73477215,0.472072,0.55579495,0.7903808,0.2618915
charliesangels,0.56462246,0.10767564,0.9011315,0.79651344,0.821283,1.3144931,0.08750807,0.79503095,0.80102843,0.6565522,0.99201775,1.5850567,0.57069147,0.8690537,0.0
childsplaymovie,0.7261476,1.5341414,0.4668211,0.14899759,0.27246332,1.1286631,1.7936906,0.62928146,0.00602559,0.0,1.2522113,0.42396966,0.0,0.62860435,0.8053738
clarathefilm,0.0,2.5893803,0.00068146735,0.057650693,0.018513724,2.8022442,2.8437784,0.0,0.0,0.0,0.94593513,0.0,0.0,0.0,2.7029386
coldpursuitmovie,1.0469579,0.8041874,0.6852373,0.90604234,0.78684026,0.5158562,1.152403,1.0393635,1.2488515,0.8281623,0.97044665,0.77180374,1.1232835,0.8736573,0.0
countdown,1.1074108,1.3890457,0.5773766,0.87969387,0.3873906,0.56985885,1.5935388,1.2311275,1.150598,0.48351616,1.0428268,0.59909976,0.74553657,1.0645423,0.050432544
currentwarmovie,0.96526605,0.72683215,0.7564305,1.4199281,0.8490976,0.8761226,1.1350911,1.1739814,1.6599133,0.50367814,1.3714623,1.2326851,1.5575354,1.0153567,0.0
darkwatersmovie,1.2397468,1.5833077,0.8344228,0.9290464,1.3430452,0.6417623,1.2815225,1.1357,1.1491425,0.9572909,0.7742993,0.5148108,1.2434196,0.83007646,0.31955308
detectivepikachumovie,1.2468991,0.8031951,1.3464032,0.96511424,1.0051241,0.40944898,1.3164318,1.1568563,0.9825075,0.63882685,1.2951154,0.54368925,0.539603,0.9700365,0.0
disneyaladdin,1.4746354,1.1399479,0.50251544,1.2135309,0.7059949,0.44222724,1.4115251,1.4057286,1.6556191,0.82517433,1.3100021,0.7660533,1.7110343,1.2524791,0.02540645
