movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
21bridgesmovie,1.0887643,0.70414686,1.1272122,0.919625,0.91147727,0.7588453,1.102116,1.7756826,0.6838916,1.0585729
47metersdown,0.8827122,1.0886765,1.2172579,1.1654474,0.55134845,0.98401314,0.88926333,1.9705919,0.14123009,1.1748298
abeautifuldaymovie,0.86199623,0.50301635,0.6879785,1.0889268,0.7766505,0.8297996,0.9797346,1.3919694,0.48872086,1.1854632
abominablemovie,1.3232391,0.9945445,1.4720079,1.4348345,0.72731286,1.3939486,1.3737721,2.1106286,0.41742176,1.4176223
adastramovie,0.7908622,0.5491039,0.4790504,0.95122993,0.6771066,0.8916538,0.5778376,1.0120369,0.58210516,1.2051966
adogsjourneymovie,1.2616007,0.96927196,1.1769717,1.2545139,1.4197514,1.3034823,1.4071,2.026393,1.234091,1.51833
aftermathmovie,0.8060058,0.5474201,0.8798686,0.8993057,0.5986945,0.613871,0.756363,1.3698303,0.44728,0.76937425
aftermovie,1.0761126,0.5887318,1.1229379,0.95282865,1.0170776,0.7799716,1.1387709,1.3798425,0.55514294,1.1850818
ahiddenlifefilm,0.49712604,0.41207907,0.5220546,0.5562967,0.44805342,0.49222404,0.5085513,0.77105,0.29586887,0.61507857
alitamovie,0.9669594,0.6296248,0.8404749,0.5039001,0.8368369,0.87364817,0.6242909,1.2314527,0.57794553,1.0973339
angelhasfallen,0.7955088,0.6275567,0.9300865,1.1117811,1.0328258,0.9278608,1.1359416,2.0071368,0.31240186,1.1188998
angrybirdsmovie,0.93210834,0.9506046,1.4885148,1.2801651,0.8592494,1.4339924,1.3847516,2.5347838,0.53327775,1.0011004
annabellemovie,1.3199992,1.0260766,1.3788589,1.50753,1.1529567,1.6461241,1.5834473,2.1355312,0.915299,1.744693
annamovie,0.92980707,0.70233697,1.2550493,1.0645725,0.6390801,1.1820433,1.1050881,1.6209135,0.3755686,0.984478
apollo11movie,0.601387,0.5440139,0.7007184,0.69930065,0.5976331,0.71482784,0.60099804,0.93130255,0.5332807,0.7609776
arcticdogsmovie,0.93181425,0.8445769,1.068205,0.76467174,0.5890587,0.8375957,0.87975353,1.4636582,0.23653054,0.97888005
arcticmovie,0.7193428,0.4752684,0.38384822,0.7069983,0.45449728,0.62139845,0.698761,0.9777998,0.4126763,0.84559774
artofracingmovie,1.2142015,0.6487483,0.9089355,1.325691,0.8532656,1.1225891,0.8268119,1.336032,0.5656414,1.4070041
avengers,0.6378825,0.4504878,0.74362016,0.5981531,0.63173383,0.46775484,0.56491673,1.1409731,0.21568221,0.6091349
beachbummovie,0.6213172,0.8145039,0.5201774,0.78452885,0.53310126,0.6537698,0.672005,0.9535393,0.30745426,1.0250589
bernadettefilm,0.7553923,0.8911994,1.2581027,1.0464405,0.96541005,0.87008107,1.2617601,1.5958486,0.5602391,1.179284
blackandbluemovie,1.3642685,0.9725565,1.2976109,1.3619761,0.936506,1.6893086,1.6670331,2.659543,0.89283967,1.9871557
blackchristmas,0.88141507,0.79682565,0.876979,1.0580573,0.9650564,0.8789279,1.0733185,1.4822115,0.7266094,1.3011402
blindedbythelightmovie,0.68405616,0.537737,0.610586,0.6911463,0.6191407,0.6274176,0.62512916,1.0425333,0.5643219,0.808352
bombshellmovie,0.4460928,0.51378465,0.54840827,0.60658,0.25341636,0.77166134,0.98565453,0.9714617,0.37500712,0.9275372
