movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
21bridgesmovie,1.2009745,0.8091038,0.9964087,0.8673576,0.76799893,1.4015526,0.0,0.0,0.35447392,0.0,0.0,1.0336863,1.3206699,1.0487435,0.86916393,0.762595,0.6321255,0.48618987,1.2687281,0.76582205,0.70508087,0.8582291,0.7145833,0.0,0.7675249
47metersdown,0.44641358,0.7073337,0.42285925,0.75632817,0.49444553,0.9378154,0.0,0.0,0.40634015,0.0,0.0,0.87037,0.7287207,1.1336832,0.82508826,0.80674666,0.2410686,0.10086087,1.3542068,0.9733865,0.076094896,0.9102883,0.6307771,0.07877962,0.8214552
abeautifuldaymovie,0.6762452,0.7152032,0.68913203,0.45874727,0.64256203,1.461006,0.0,0.0,0.63975286,0.0,0.0,1.0515432,0.8354396,0.8845042,0.6357078,0.7807353,0.6028959,0.53559667,1.1623783,0.793474,0.4547839,0.9181539,0.69455886,0.0,0.855458
abominablemovie,1.2327887,0.5649056,1.0408679,1.0483925,0.0,0.6400106,0.0,0.0,0.0,0.0,0.0,0.50770164,1.4047854,0.91836286,0.39199978,0.38198063,0.3571694,0.2644015,0.8205467,0.6430823,0.68654263,0.33665955,0.027841844,0.0,0.6018419
adastramovie,0.8837052,0.6654259,0.8793799,0.5183613,0.49260724,1.2661241,0.0,0.0,0.4640778,0.0,0.0,1.0978216,1.0270948,0.94390935,0.4871391,0.6747518,0.7522817,0.44693297,1.1150033,1.0065935,0.6491167,1.0613794,0.51958334,0.0,0.6960127
adogsjourneymovie,1.0332636,0.10371564,0.1488199,0.5835392,1.1158873,1.367751,0.0,0.0,0.14585344,0.0,0.0,0.9252361,0.9261951,0.6579608,0.60186124,0.26123258,0.038161397,0.0,1.1493063,0.14749268,0.3620445,0.08101444,1.0830183,0.0,0.39943102
aftermathmovie,0.93593144,0.6513363,0.7893809,0.5321148,0.76596344,1.2470714,0.0,0.0,0.44986865,0.0,0.0,0.9370076,1.001478,0.79964346,0.6416385,0.7178397,0.5754806,0.43131468,1.1225396,0.6872816,0.5853155,0.85659236,0.5797864,0.0,0.77180785
aftermovie,0.93256366,0.84587693,0.93340856,0.96679634,0.8246119,1.4375521,0.0,0.0,0.2852223,0.0,0.0,1.0023655,1.1097906,0.9928914,0.66541624,0.8520588,0.57045877,0.15064551,0.9216563,1.000839,0.6911753,0.8846601,0.56122553,0.0,0.9019791
ahiddenlifefilm,0.5759082,0.50243795,0.5146015,0.40542814,0.45262894,0.77488905,0.0,0.0,0.31218952,0.0,0.0,0.586285,0.6524646,0.56907177,0.4212842,0.49578193,0.4437552,0.30676675,0.6838441,0.5208809,0.37237284,0.57726765,0.38396487,0.0,0.52367544
alitamovie,0.6677336,0.69972104,0.85752416,0.3150842,0.30604202,0.8515238,0.0,0.0,0.18168068,0.0,0.0,0.4780056,0.9710971,0.5842649,0.620252,0.40540832,0.33594012,0.37162083,0.6990169,0.5232393,0.37671912,0.48012695,0.084545806,0.0,0.16335747
angelhasfallen,1.0456868,0.8432002,0.76736176,0.77188754,0.88705385,1.1928332,0.0,0.0,0.32462656,0.0,0.0,1.0191827,1.008841,0.98974466,0.36079034,0.463891,0.5497787,0.37471345,0.93424755,0.8122832,0.4190785,0.70031166,0.122191235,0.0,0.77649575
angrybirdsmovie,0.9226934,0.16536136,0.003616415,0.5380972,0.82754326,1.3594797,0.0,0.0,0.40787983,0.0,0.0,0.7776817,0.8334141,0.7179576,0.2553822,0.3761273,0.0,0.053732067,0.9562732,0.5418163,0.16842917,0.3480296,0.4520073,0.0,0.45300213
annabellemovie,1.3424859,1.0705551,1.4024929,0.95191544,0.44430688,0.92771953,0.0,0.0,0.1288144,0.0,0.0,1.1574391,1.6427829,1.4616563,0.7385813,0.4157615,0.73555183,0.4087264,1.3920144,0.7888855,0.8590528,0.9943458,0.3996295,0.06942941,0.88550407
annamovie,1.029831,0.77927667,0.7370339,0.7810928,0.7780881,1.3591161,0.0,0.0,0.44789463,0.0,0.0,1.1998092,1.246557,0.927181,0.60691434,0.6875536,0.5531819,0.39715096,1.2000875,0.77780145,0.4377073,0.85647583,0.44968817,0.0,0.7614814
apollo11movie,0.80238485,0.7258229,0.828892,0.61591357,0.71096444,0.9699348,0.0,0.0,0.3424347,0.0,0.0,0.705871,0.77747995,0.9234319,0.4863292,0.6387354,0.5417335,0.45065305,0.79010653,0.68224555,0.452845,0.7103942,0.38864475,0.0,0.650555
arcticdogsmovie,0.58075345,0.5502954,0.5806066,0.4189307,0.19623645,0.7261514,0.0,0.0,0.45503607,0.0,0.0,0.50079376,0.73900485,0.5162115,0.79365087,0.7625476,0.45972362,0.3671633,0.6768794,0.7420329,0.27809325,0.7648682,0.281662,0.0,0.3657453
arcticmovie,0.5414333,0.5790839,0.682387,0.41911218,0.24338949,0.7087209,0.0,0.0,0.21516706,0.0,0.0,0.43776932,0.7519418,0.61970645,0.34926343,0.3437942,0.4716967,0.22314581,0.39222568,0.5105516,0.50022095,0.57469875,0.14981662,0.0,0.36084542
artofracingmovie,0.75558895,0.57696784,0.94022745,0.35274288,0.32932764,1.3455337,0.0,0.0,0.34414124,0.0,0.0,1.1175016,1.0537958,0.89035,0.74638146,0.73096454,0.6869095,0.41340375,1.1971536,1.1214198,0.5334785,1.1024303,0.74505734,0.0,0.44995853
avengers,0.63014954,0.5625663,0.60272217,0.7360643,0.5826372,1.0129871,0.0,0.0,0.28976488,0.0,0.0,0.8336531,0.70085675,0.66057307,0.6144431,0.49283507,0.42378452,0.50399745,0.8457453,0.24753147,0.33587104,0.46568716,0.5868698,0.0,0.6247434
beachbummovie,1.0696566,0.63540196,1.0355146,0.5239039,0.44086522,0.741924,0.0,0.0,0.36947918,0.0,0.0,0.7748919,0.75111896,0.82578653,0.4917465,0.6600841,0.62694454,0.6983768,0.9599776,0.45289987,0.5386122,0.97272635,0.26460305,0.0,0.3898647
bernadettefilm,0.8544609,0.7248194,0.83605134,0.5762861,0.8715373,1.4851011,0.0,0.0,0.7467351,0.0,0.0,1.1955696,0.84248185,1.0228761,0.6101709,0.8528037,0.38852546,0.65772647,1.3012288,0.8300422,0.32235354,1.0732678,0.5047853,0.0,0.9224379
blackandbluemovie,1.0640323,0.5012297,0.93496007,0.89206505,0.443666,1.3526232,0.012646377,0.0,0.11499935,0.0,0.0,0.94091475,1.6013031,0.46270847,0.81520504,0.2602009,0.07411789,0.31262434,0.82396615,0.20753342,0.75511706,0.33851606,0.43308413,0.0,0.3229286
blackchristmas,0.89391226,0.54689443,0.66870135,0.5422341,0.799247,1.2961845,0.0,0.0,0.2791061,0.0,0.0,1.0102676,0.95514697,0.8570081,0.56408226,0.8828256,0.58470047,0.34782857,1.2495279,0.88317174,0.43088314,0.71663725,0.6617274,0.0,0.8076017
