movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34
annabellemovie,0.4407021,0.9103091,1.0467175,0.0,1.1228628,0.9985155,0.5880679,0.0,0.8026482,1.1633309,0.80590636,0.497002,0.09699469,0.6650244,1.5624336,0.7387061,0.9394972,0.65125346,0.0,1.146323,0.861495,1.2101855,1.0032635,0.0,0.0,1.048703,0.7114699,0.7191231,1.4852495,0.37595677,0.7379107,0.85911095,0.5421708,0.83601373,0.0
annamovie,0.39932108,0.6206143,0.61085117,0.0,0.8309723,0.67806494,0.25072038,0.0,0.7390475,0.7763857,0.6635285,0.4431612,0.1645428,0.43275908,1.2454072,0.6061393,0.9272634,0.40490818,0.0,0.90395695,0.75147986,1.0206523,0.6361726,0.0,0.0,0.46864152,0.45771325,0.8742655,0.9353026,0.16347176,0.71729046,0.42115697,0.37921497,0.53744435,0.12647937
apollo11movie,0.28791833,0.3417652,0.47077933,0.0033030203,0.4811254,0.4022212,0.29372376,0.0,0.3965962,0.47371656,0.28511408,0.13373132,0.21629676,0.31178677,0.6657873,0.33658963,0.37343952,0.17078732,0.0,0.41632384,0.4870016,0.5509917,0.36425856,0.0,0.0,0.5691268,0.270687,0.41642722,0.6027571,0.11926691,0.42994303,0.33723277,0.34145376,0.3780369,0.0
arcticdogsmovie,0.387636,0.43386933,0.42375106,0.0,0.56209886,0.4275339,0.28016195,0.0,0.5665139,0.31684038,0.3764346,0.26122686,0.21938907,0.47631374,0.6750152,0.39102298,0.46685958,0.43065706,0.0,0.58537734,0.44940835,0.70047754,0.27891338,0.0,0.0,0.3788682,0.34593222,0.49181736,0.72920585,0.1187253,0.59646213,0.39954245,0.31750804,0.41963816,0.0
arcticmovie,0.41369066,0.34208322,0.49484652,0.0,0.5229992,0.64852047,0.30476424,0.0,0.6099286,0.5275806,0.30330038,0.2116151,0.10407185,0.4400313,0.7465111,0.43407217,0.44867358,0.3181511,0.0,0.5620059,0.3546843,0.6483053,0.61432886,0.06345444,0.0,0.32694545,0.53402644,0.677512,0.6352101,0.115246505,0.39853638,0.35207257,0.365133,0.3445456,0.0
artofracingmovie,0.3320299,0.66342413,0.69887394,0.0,0.9752393,0.85876036,0.28265184,0.0,0.6088282,0.60998976,0.35505742,0.2565757,0.17104161,0.51115954,1.0717283,0.63231695,0.70535785,0.5241067,0.0,0.6109792,0.75208586,0.89376783,0.58604705,0.0,0.0,0.60250646,0.6502923,0.7584423,0.7616011,0.332186,0.5279435,0.3844482,0.29352537,0.40036938,0.08601011
avengers,0.40826955,0.3683265,0.49808306,0.0,0.3901506,0.4111248,0.14251561,0.0,0.5567012,0.5570616,0.3197253,0.24667798,0.11958549,0.18075699,0.8598325,0.36122394,0.3125662,0.40544984,0.0,0.55481064,0.58237046,0.54198956,0.52476597,0.0,0.0,0.26274902,0.46527132,0.78404105,0.477553,0.15932798,0.3304149,0.17766538,0.40781575,0.42756906,0.0
beachbummovie,0.32493034,0.42485312,0.5477136,0.023937095,0.4809268,0.6941141,0.3162086,0.0,0.29104227,0.50978917,0.33025816,0.26704526,0.13524571,0.42210868,0.79881746,0.46088302,0.4001758,0.22294256,0.0,0.45916843,0.70326334,0.5337748,0.6612631,0.0,0.0,0.6985858,0.29812986,0.46521235,0.63073885,0.30980244,0.5859317,0.32464764,0.33298427,0.3226897,0.0
bernadettefilm,0.6079004,0.8440745,0.81675225,0.0,0.7808932,0.57082903,0.41408795,0.0,0.7313832,0.31713396,0.55945635,0.70535755,0.22599036,0.6725253,1.1169482,0.8545561,0.69959074,0.3167323,0.0,0.810278,0.5032291,0.906754,0.34480315,0.0,0.0,0.4424538,0.73988837,0.8134304,1.1995451,0.0066181757,0.6273997,0.5094581,0.43937257,0.6613127,0.0
blackandbluemovie,0.39691338,1.3325906,1.3339094,0.0,1.3957111,1.3460553,0.67147684,0.0,1.1416556,0.93382406,0.8833763,0.72419584,0.12165098,0.6679008,2.013765,1.4991175,1.4227567,0.6436198,0.0,0.9469526,1.5593973,1.6723509,0.99241537,0.0,0.0,0.4572577,1.1968366,1.2253706,1.6137817,0.2420304,0.9732114,0.6788124,0.34021083,1.0522327,0.08563174
blackchristmas,0.44226176,0.35471773,0.4996632,0.0,0.7780046,0.5613996,0.19734679,0.0,0.6504396,0.6770081,0.6064634,0.24487185,0.18538459,0.64685285,0.9119892,0.730541,0.53337234,0.5295652,0.013608299,0.5448166,0.6987654,1.0228951,0.49225265,0.0,0.0,0.44589967,0.5238474,0.7838854,0.7234477,0.0018406436,0.756081,0.52081436,0.4137147,0.3545259,0.012033772
blindedbythelightmovie,0.17818129,0.4107835,0.5241306,0.04119884,0.557022,0.36979192,0.18510975,0.0,0.39105204,0.36067042,0.14914836,0.25954282,0.11363949,0.39494768,0.63901496,0.2752408,0.2656618,0.16726825,0.0,0.36030662,0.34246257,0.4895059,0.47636804,0.0,0.0,0.43956727,0.3484266,0.41416737,0.57167655,0.13483217,0.3430091,0.23859888,0.16751054,0.36510795,0.003140775
bombshellmovie,0.40745157,0.5457768,0.51601076,0.0,0.8850453,0.5270615,0.25551507,0.0,0.5744957,0.3986353,0.5414071,0.22145908,0.08893032,0.45237663,0.88373846,0.5162238,0.6431042,0.4159403,0.0,0.6477583,0.6767891,0.7738426,0.29544327,0.0,0.0,0.538688,0.35140485,0.7205625,0.70506096,0.27110645,0.6284897,0.44249254,0.17329949,0.3253599,0.0
booksmart,0.17541589,0.09029217,0.05132614,0.0051964363,0.20919089,0.3931104,0.08865043,0.0,0.011049759,0.0,0.10061761,0.05969608,0.0,0.0,0.36366603,0.3192505,0.15036109,0.0,0.0070262738,0.16103709,0.17915508,0.0,0.27474454,0.12518658,0.0,0.20450632,0.27232033,0.039812833,0.2332538,0.0,0.105444714,0.0,0.0,0.0071595497,0.046047833
breakthroughmovie,0.28922975,0.91532934,0.9867617,0.0,1.3030753,0.90869343,0.43498433,0.0,0.57719135,1.0159205,0.6677157,0.21306612,0.18240096,0.29207054,1.876735,1.0028752,1.0995898,0.8091085,0.0,1.0498989,1.5537153,1.3823583,1.0585834,0.0,0.0,0.556272,0.69493157,1.2167773,1.3923554,0.606219,0.84050536,0.4187695,0.28532237,0.6779718,0.0
brianbanksmovie,0.60555124,0.62276435,0.70269185,0.0,0.9810043,1.0482192,0.57958215,0.0,0.87799525,0.7956139,0.46933958,0.47037283,0.1040976,0.39862934,1.2738465,0.6059158,0.49161127,0.49454755,0.0,0.8145004,0.6574035,1.1084354,1.0781341,0.087685965,0.0,0.5413791,0.80115044,0.9978402,0.91697353,0.0,0.61219794,0.5678659,0.3099665,0.54651,0.0
brightburnmovie,0.27038085,0.85904217,0.8877871,0.0,0.85102916,0.8931596,0.44741097,0.0,0.83340085,0.51214004,0.3622138,0.69359815,0.17895332,0.5285077,1.2322553,0.8812758,0.819544,0.4352375,0.0,0.6973237,0.78496855,0.9889517,0.5171799,0.0259747,0.0,0.4450792,0.656061,0.9761183,1.0660546,0.20061989,0.64113367,0.55796915,0.29430044,0.5389676,0.0
brittanyrunsmov,0.17860773,0.18469712,0.3894654,0.0,0.7011035,0.35978526,0.18619722,0.0,0.4572188,0.24608254,0.19068745,0.2169443,0.1571916,0.15908283,0.6900392,0.4270465,0.27548,0.29472765,0.015233908,0.2958365,0.38946897,0.5534416,0.20177993,0.0,0.0,0.3067056,0.3591143,0.48018113,0.4934251,0.1276299,0.3939201,0.30776593,0.29199177,0.28277785,0.0
captainmarvelofficial,0.546059,0.6051275,0.58905464,0.0,0.64104146,0.65262794,0.06990207,0.0,0.6817378,0.6022232,0.46631914,0.32700953,0.082923934,0.38289198,0.95061713,0.52089566,0.43045217,0.347049,0.0,0.69025326,0.49583623,0.7552946,0.8304109,0.0,0.0,0.3914601,0.48819792,0.8745228,0.74377316,0.17065956,0.585551,0.49398488,0.43493512,0.16240807,0.083077535
captivestatemovie,0.48124915,0.60818726,0.57889014,0.0,0.95396596,0.7759366,0.2712483,0.0,0.419385,0.6980218,0.4763392,0.60068953,0.2047438,0.53240657,1.3568176,0.50552166,0.8138709,0.38169977,0.0,0.7860123,0.8883677,0.9315305,0.7104547,0.0,0.0,0.79052705,0.8545484,0.7718475,1.0122783,0.063871615,0.46124518,0.47060105,0.4241823,0.36905125,0.0
catsmovie,0.89554316,0.81868744,0.6377888,0.0,0.93522686,1.1446891,0.09289062,0.0,0.99978364,1.172299,0.7930555,0.44006267,0.004996944,0.4432209,1.4091781,1.0481638,0.91389906,0.8464633,0.0,1.1557667,0.71886885,1.1289309,1.0047082,0.0,0.0,0.3169519,0.7230029,1.6138043,0.9080309,0.10645358,0.825617,0.8960904,0.6040116,0.4113916,0.29925126
charliesangels,0.0026106164,1.0403879,1.0419513,0.0,1.3402935,1.156912,0.56776744,0.0,0.9244629,0.7298919,0.585611,0.9493182,0.3090437,0.4708927,1.9939394,1.2787759,0.89593846,0.65968215,0.0,1.131241,0.61230433,1.4218433,0.5291198,0.0,0.0,0.918334,1.2344623,0.9975248,1.8712585,0.3118852,0.6539224,0.9892949,0.5760682,0.77262026,0.0
childsplaymovie,0.5094702,0.4738554,0.06835891,0.0,1.6280103,0.80775535,0.0,0.0,0.17370719,0.591765,1.0927091,0.00090580434,0.14412686,0.2274234,1.2760513,0.91214204,0.23534358,0.49346605,0.029358797,0.19595793,0.956469,1.4865773,0.62678564,0.0,0.0,0.48515505,0.5677622,0.7783672,0.7476007,0.23683845,0.9461274,0.6683713,0.1407493,0.15921551,0.0
clarathefilm,0.6158785,0.44753915,0.0,0.0,0.9223647,0.13835497,0.0,0.0,0.0,0.127752,0.9426784,0.3493745,0.059393473,0.0017297566,0.6673113,0.47354025,0.56682473,0.544413,0.0,0.0,0.34833366,1.0615393,0.112880304,0.0,0.0,0.0,0.2765248,1.089941,0.2673452,0.0,0.51458037,0.5330484,0.0,0.16882536,0.0
coldpursuitmovie,0.21035531,0.28951594,0.6145061,0.0,0.56075126,0.42747802,0.28527772,0.0,0.53021634,0.47973308,0.42454338,0.31488854,0.16093424,0.23366076,0.779973,0.38156706,0.4727603,0.23426072,0.0,0.4511904,0.39007786,0.6032246,0.4105312,0.055164248,0.0,0.35004616,0.39284366,0.4935224,0.54896015,0.008790132,0.37478992,0.37166733,0.28922442,0.41202652,0.0
countdown,0.95059925,0.4571495,0.660985,0.0,0.8189734,0.80104685,0.46599668,0.0,0.7788527,0.97488445,0.5779848,0.34889886,0.09404224,0.658847,1.0989816,0.8951446,0.58674824,0.44523636,0.10308972,0.523264,0.770726,1.227501,0.76259047,0.0,0.0,0.9868244,0.9558291,0.73412985,1.2501335,0.009246532,0.97707254,0.9123439,0.59362906,0.7148497,0.0
currentwarmovie,0.54820055,0.7040801,1.0137845,0.0,1.4084361,1.2705351,0.38511008,0.0,1.0178175,1.0265361,0.5930361,0.41700363,0.34754455,0.56757855,1.7592999,0.6618012,0.6611291,0.43511105,0.0,0.8083991,0.6686538,1.1603621,1.0373375,0.0263529,0.0,0.6815436,0.6815657,0.794866,1.04427,0.23726755,0.6353734,0.6810976,0.5033519,0.47304648,0.0
darkwatersmovie,0.4574326,0.91848075,1.0500202,0.0,0.9331666,0.83443904,0.4232423,0.0,1.1814089,0.93553823,0.39107108,0.80174196,0.009470018,0.68220913,1.619429,0.61428285,1.3813771,0.37633333,0.0,1.2934923,1.1050535,1.0474797,0.8969667,0.0,0.0,0.6397057,1.2563653,1.2355568,1.1941433,0.0,0.9077845,0.78829104,0.6326938,0.82470983,0.0
detectivepikachumovie,0.1988137,0.7601137,1.2357001,0.0010391781,1.064628,0.9382626,0.5493963,0.0,0.76026905,1.0065987,0.5064663,0.4966078,0.35709184,0.48709264,1.5780176,0.45699033,0.8958362,0.3010348,0.0,1.0003816,1.0650549,1.0150412,1.0753801,0.0,0.0,0.8646844,0.80647403,0.78764904,1.1345193,0.55661815,0.8768113,0.7769438,0.3331559,1.0310519,0.0
disneyaladdin,0.54003036,0.63722646,0.9380936,0.0,1.602535,0.8192755,0.28587133,0.0,0.84766793,0.81142473,0.7685192,0.3519641,0.34187222,0.57047504,1.8061806,0.7423698,0.81077605,0.2992852,0.0,0.84182626,0.64378804,1.1020337,0.94528335,0.0,0.0,0.9407648,0.89760417,0.66911453,1.0424957,0.20489381,0.7966429,0.7853882,0.6919576,0.43956172,0.0
disneyfrozen,0.26601025,0.301361,0.9145698,0.0,1.2309943,0.53865755,0.39623526,0.0,0.9070791,0.80182934,0.78379107,0.48048168,0.57762,0.38554826,1.8190187,1.2068866,0.8606915,0.42727354,0.020650435,0.3702973,0.7039644,1.6003917,0.44375283,0.61945766,0.0,0.29520985,0.76030636,1.0378017,0.781347,0.12965214,0.9533794,0.52068484,0.43983144,0.6299861,0.024098562
disneymaleficent,0.26941818,0.49806505,0.7390961,0.0,0.9060189,0.72026026,0.11662369,0.0,0.8137717,0.65920377,0.43677232,0.27334636,0.28026742,0.40381423,1.3222888,0.5916599,0.7671745,0.21697488,0.0,0.72620267,0.6424913,0.7255115,0.6373043,0.15910143,0.0,0.5933352,0.7065354,0.44278833,0.71839696,0.13291518,0.4814598,0.4972602,0.63585424,0.34601647,0.04609961
doctorsleepmovie,0.53019637,0.4781817,0.5476758,0.0,0.6773418,0.6561862,0.27090132,0.0,0.6076492,0.6627015,0.4712446,0.25793064,0.040666167,0.42001,1.033908,0.63591814,0.6557521,0.48003948,0.0,0.60226536,0.69503593,0.9057322,0.5859662,0.0,0.0,0.6023207,0.53457385,0.94642186,0.71013385,0.16784947,0.6992775,0.58816534,0.5233985,0.37806287,0.0
dolemiteismyname,0.437395,0.9157499,0.787811,0.0,1.3158903,0.8157984,0.41859958,0.0,0.93833673,0.7725981,0.6966983,0.7654445,0.21606064,0.76024926,1.8343344,0.75986004,1.0994692,0.35502663,0.0,1.1737677,0.87484556,1.1972256,0.7195606,0.0,0.0,0.5030492,0.5735758,1.1710577,1.464706,0.27016193,0.89751923,0.70741695,0.3966002,0.5740286,0.08637591
dontletgomovie,0.45153016,0.38995215,0.5237606,0.0,0.9609184,0.6574614,0.17845227,0.0,0.6645429,0.712085,0.75613886,0.27678818,0.20274581,0.68787324,1.0750946,0.83403444,0.5405486,0.5878298,0.03328435,0.5791962,0.9570771,1.230704,0.6035363,0.0,0.0,0.5031408,0.60407424,0.9748355,0.8685776,0.13028114,1.0490487,0.75152487,0.53657883,0.2960075,0.018267687
doramovie,0.6432636,0.64921206,0.67586863,0.0,1.15108,0.75285625,0.298739,0.0,0.5563649,0.73380375,0.7439285,0.26140463,0.42653948,0.6572932,1.3469696,0.61342883,0.47382718,0.25774163,0.0,0.88196063,0.6521928,1.0417145,0.7133157,0.0,0.0,0.56595504,0.43240517,0.6941647,1.10639,0.28612038,0.72991616,0.62762463,0.39730045,0.4987983,0.0
downtonabbey_official,0.8050719,0.6667986,0.9175491,0.0,1.7138772,1.2549632,0.25349176,0.0,0.9173353,1.2649102,1.2224634,0.63635874,0.37025028,0.9938289,2.2257516,1.0472816,0.9939808,0.36951095,0.0,0.6360206,0.8594251,1.4972695,1.1044647,0.059664026,0.0,0.82495993,1.2319696,1.1747289,0.6209588,0.0046064854,0.79301673,0.50280446,0.76904476,0.85014385,0.0
dumbo,0.30813947,0.42444724,0.6200708,0.0,0.93528485,0.5091411,0.25740364,0.0,0.64610183,0.51091826,0.47921258,0.25191784,0.24415708,0.36657453,1.1633632,0.5423335,0.5674432,0.2148267,0.0,0.63317096,0.5115043,0.6739965,0.5313895,0.06503449,0.0,0.54316944,0.57646877,0.40269405,0.6251046,0.13831986,0.49250326,0.5067339,0.50743073,0.37592182,0.0
escaperoom,0.5113149,0.8417936,0.8758096,0.0,1.0666693,0.8257334,0.4524863,0.0,0.8208207,0.5697837,0.37135,0.6818571,0.20919493,0.45312777,1.4510227,1.0490988,1.0116912,0.48272485,0.0,0.68313307,0.7717371,1.2512587,0.6017061,0.0,0.0,0.71342057,0.9221062,1.208672,1.1911991,0.2255632,0.8834842,0.5193549,0.23858395,0.7343157,0.0
everybodyknowsmovie,0.40119043,0.46448264,0.4622138,0.0,0.7461457,0.5528918,0.20179771,0.0,0.6316922,0.4888658,0.408975,0.28998175,0.11013693,0.37528646,1.0133082,0.52075493,0.55422884,0.22664045,0.0,0.510627,0.62670964,0.63934755,0.42550856,0.0,0.0,0.41415817,0.5103043,0.6120777,0.6380874,0.18131913,0.48559758,0.34585539,0.29031962,0.47711465,0.00027367473
fastandfuriousmovie,0.5090559,1.006635,0.9110358,0.0,1.0443463,0.8452854,0.66965616,0.0,1.0540277,1.5184798,1.0762857,0.44412124,0.2420072,0.79462576,1.8098382,1.4380473,1.0504215,1.0657768,0.22280183,1.243413,1.1401483,1.8042141,0.8094661,0.0,0.0,0.7921985,0.7304163,1.2508366,1.426234,0.0390883,1.005058,0.6848878,0.64059466,0.7625865,0.0
fightingwmyfam,0.62264115,0.4733291,0.823414,0.0,0.77694994,0.36444443,0.510432,0.0,0.62421596,1.6053704,1.0723011,0.3154741,0.34227312,0.93075216,1.1999956,0.9449369,0.9578207,0.5828451,0.04353366,0.291404,0.7014912,1.8766861,0.8256327,0.0,0.0,0.5331295,0.85053056,1.3469348,1.2839129,0.0,0.96182525,0.7031696,0.9382579,0.77220017,0.0
fivefeetapartfilm,0.6146203,0.81927156,0.6331506,0.0,1.7048769,1.2960172,0.51841193,0.0,1.0233744,1.0934223,0.41941017,0.55430686,0.0,0.105707616,2.105756,1.0342011,1.06186,0.19670554,0.0,0.71490973,1.2153286,1.1201054,1.1818928,0.0,0.0,0.9912187,0.8962815,0.9491478,1.1664844,0.38645697,1.2688961,0.89061326,0.4137414,0.7784333,0.0
