movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
thesunisalsoastar,0.4925503,0.5897503,0.75499856,0.0,0.46798235,0.1818912,1.3014708,1.1558056,0.99945754,0.29284027,0.39238903,0.0,0.0,0.4662485,0.85568035,0.86714786,0.3989378,0.0,0.55629855,0.40501666,0.5432322,0.0,0.94793564,0.5712498,0.65681446,0.9028373,0.9158035,0.61086494,1.2019976,0.26120484,0.5712166,0.94318026,0.39521843,0.905362,0.44385502,0.74887973,0.8548966,1.1025769,0.9694142,0.29018936
theupsidefilm,0.8305755,0.36271262,0.99203277,0.0,0.50492024,0.46439093,0.92265564,0.8843584,0.86861455,0.19984198,0.61115754,0.2643962,0.0,0.8771323,0.7953951,0.50047123,0.6862772,0.0,0.5760361,0.59018356,0.5655479,0.0,0.72678894,0.464028,0.8339453,0.7571683,0.73364526,0.5498811,1.0057012,0.2827806,0.53414226,0.99420124,0.5716082,0.6709894,0.68071246,0.9494005,0.6624186,1.0409893,0.91525424,0.45013076
tolkienmovie,0.45813832,0.6143339,0.5900982,0.0,0.5589042,0.39830828,0.56612235,0.954795,0.73090386,0.35815653,0.7576265,0.4801897,0.0,0.48998165,0.9304508,0.32376096,0.5756451,0.0,0.4388893,0.58126235,0.4819965,0.0,1.1131936,0.56281567,0.9043544,0.76832813,0.94977576,0.5504414,0.88827235,0.53521943,0.1107676,0.8234978,0.6567607,0.6622685,0.7712556,0.9261404,0.6755061,0.64737135,0.8286489,0.37778264
toystory,0.6088134,0.83436054,0.53109646,0.0,0.7301681,0.48301673,0.9922312,1.1115692,0.87642795,0.2808696,0.6994979,0.6446884,0.0,0.5335701,0.96278185,0.6488762,0.459771,0.0,0.21835023,0.6179561,0.3055446,0.018518193,0.81120646,0.7904188,0.7079075,0.97585404,1.0710789,0.6945123,0.43839,0.6506045,0.52698123,0.75315064,0.6292498,0.91743934,0.70855045,0.88314813,0.77529097,0.65453225,0.96984416,0.30622554
triplefrontier,0.36037916,0.65054834,0.40918005,0.0,0.2847426,0.3626989,0.7190368,0.73048556,0.672731,0.24405947,0.6645411,0.2774882,0.0,0.4736198,0.510089,0.5610105,0.29959318,0.0,0.31719255,0.5113179,0.53616637,0.0,0.5883712,0.29312816,0.53973264,0.80599445,0.63820195,0.7283595,0.4713306,0.3566263,0.5511134,0.73654693,0.58877987,0.6178191,0.5610188,0.79090935,0.7128644,0.68717873,0.97954583,0.17620182
uglydolls,0.55723006,0.44088328,0.66957694,0.0,0.06719558,0.32330805,0.45081627,0.3769444,0.2775128,0.181361,0.9202928,0.0,0.0,0.6586177,0.30613258,0.48303145,0.46540293,0.043678146,0.26576692,0.20414788,0.2290676,0.20616244,0.6197537,0.17979169,0.4818946,0.52327377,0.3955416,0.79502404,0.4002835,0.085764125,0.5138685,0.5128378,0.87380797,0.37220705,0.36951956,0.69453555,0.71558696,0.74407065,0.69082564,0.27440876
uncutgems,0.81342447,0.8867328,0.7379398,0.0,0.53526896,0.33103594,0.76667696,1.2169203,0.8309548,0.3457828,0.742544,0.21538922,0.0,0.399214,0.7159971,0.81211203,0.53457826,0.0,0.84881926,0.24260682,0.30031067,0.0,1.2614361,0.82725906,0.7493575,0.7570767,0.8219625,0.757122,1.1952378,0.5781408,0.25803974,0.73585665,0.55591285,0.8823925,0.50390095,0.5346545,0.61144,0.77923673,0.9188615,0.42899162
underthesilverlake,0.7517809,0.6207929,0.36071077,0.004362233,0.4059806,0.3325592,0.65598726,0.79300773,0.51369154,0.13357599,0.7358579,0.0,0.0,0.5149362,0.6629158,0.47844234,0.3192764,0.0,0.36722702,0.4042821,0.4510825,0.0,0.8368863,0.35967076,0.55349135,0.7084957,0.40700656,0.45455575,0.58668864,0.23486462,0.16678065,0.61385727,0.66853124,0.5745262,0.53446805,0.68156147,0.6817353,0.7959681,0.72752476,0.35867113
usmovie,0.42065546,0.40227216,0.4722133,0.0,0.24411447,0.3357996,0.4965194,0.34917617,0.589572,0.21833959,0.38329312,0.2165429,0.0,0.19195655,0.31229952,0.33541405,0.2866931,0.0,0.33724174,0.21773146,0.123281114,0.0,0.3324684,0.38169378,0.3802148,0.39594638,0.267287,0.28598794,0.43310514,0.205535,0.17059508,0.44249794,0.21416496,0.42381254,0.25397056,0.3900559,0.4328732,0.493361,0.48574004,0.07073169
wavesmovie,0.97822195,0.6008597,0.8364737,0.0,0.46842715,0.5983362,0.9140387,0.9824699,0.6972202,0.0,0.8164547,0.19225234,0.0,0.66014904,0.87559867,0.51146364,0.5714488,0.0,0.70894206,0.47466722,0.33978185,0.0,0.8614561,0.5039325,0.74421006,0.7607764,0.6257841,0.5012248,0.76346713,0.7975301,0.22416386,0.6878799,0.56152874,0.8097471,0.668887,0.8115998,1.0095893,0.57299036,0.77605873,0.52770025
whatmenwant,1.1811774,0.9387705,0.966084,0.0,0.6950293,0.7017772,1.0828981,0.62692595,1.2588481,0.16393673,1.1133772,0.3395989,0.0,0.5149283,1.2446945,0.87070376,0.6730358,0.0,0.5211656,1.1936505,0.6482354,0.043734364,0.88019395,1.0927126,1.0727711,1.5947537,0.94360274,0.8180365,0.7391728,0.6522983,0.5459518,1.0194416,0.77092165,0.698449,0.7016281,0.99961877,0.9826155,1.1975574,1.2718307,0.28346735
wonderparkmovie,0.93628037,0.7543318,0.6516152,0.0,0.53506243,0.50091505,0.8416591,0.8618377,0.9015454,0.15335394,1.3776193,0.5562091,0.0,0.4712569,0.8653828,0.61727315,0.3330616,0.0,0.43799803,0.779594,0.40420824,0.039342836,0.72228473,0.593908,0.7871882,0.924732,0.92724526,0.8760931,0.4103114,0.45261294,0.5293705,0.9192099,0.95398176,0.8992748,0.77689457,1.0112791,0.8202796,0.7338038,1.0839328,0.43970275
wrinklestheclown,0.2976804,0.29991728,0.3098625,0.0,0.18776031,0.18917207,0.37911606,0.38067427,0.38016617,0.1407646,0.34790364,0.13987547,0.0,0.2290854,0.35044014,0.25469488,0.20686276,0.0,0.2288908,0.21392664,0.20736063,0.0,0.35895675,0.25519243,0.31033638,0.34055305,0.35555047,0.2580359,0.33585477,0.1806062,0.18542394,0.33423075,0.28086358,0.34847105,0.2766729,0.3362601,0.34340543,0.35041547,0.4071215,0.18311962
xmenmovies,0.8373525,0.91828275,0.871087,0.0,0.45450097,0.62532884,0.9030894,0.9643645,1.172453,0.5188359,1.0954827,0.45336977,0.0,0.544572,0.7419603,0.7107384,0.6818728,0.0,0.4856803,0.7311982,0.34536853,0.0,0.85360444,0.6543682,0.9466541,1.0648266,0.6895006,0.895847,0.883549,0.52023065,0.53154486,1.0807776,1.3005741,1.045544,0.93782806,1.0944967,1.3060442,0.8626214,1.4123532,0.53017837
yardiefilm,0.3596528,0.45980752,0.5105434,0.0,0.20789619,0.28370488,0.45012513,0.4779945,0.6057556,0.16236421,0.5202243,0.2859255,0.0,0.18532772,0.41540632,0.2269656,0.26810402,0.0,0.37567455,0.19619913,0.32351667,0.0,0.41327053,0.2821026,0.42401266,0.46738863,0.55645186,0.24239674,0.4853968,0.19770825,0.20596316,0.54925823,0.252801,0.5229631,0.3949598,0.5027282,0.5016722,0.4088288,0.57364476,0.21175942
yesterdaymovie,0.5840529,0.56425714,0.6341171,0.0,0.37034804,0.35188517,0.7596823,0.6434218,0.7531414,0.2865679,0.52215564,0.23730862,0.0,0.285544,0.6029072,0.4734756,0.5228343,0.0,0.33061445,0.42894647,0.22414306,0.0,0.4707309,0.44903594,0.64834344,0.64245784,0.7644606,0.70667654,0.59552735,0.31304836,0.29406723,0.7383152,0.33697176,0.7144599,0.48656914,0.7538911,0.68301374,0.5186497,0.78569376,0.26305148
zombieland,0.8150012,1.223635,0.883308,0.0,0.62041426,0.81562716,1.1434999,0.7208533,1.0795319,0.44491416,0.9567854,0.22986266,0.0,0.76193506,1.1159747,0.70645005,0.7581592,0.0,1.0636258,0.6164915,0.49911705,0.0,1.0040908,0.72887087,1.0405526,0.8919387,1.2238569,0.5376792,0.8873701,0.28573048,0.51655954,0.9278579,1.1474469,1.1506778,0.7194196,0.7457244,0.7894833,1.0769387,0.756164,0.5449942
