userId,movieId
0,1
0,12
0,13
0,21
0,22
0,37
0,50
0,64
0,66
0,87
0,93
0,99
0,141
0,147
0,158
1,0
1,11
1,30
1,40
1,42
1,49
1,57
1,101
1,102
1,106
1,123
1,126
1,128
1,138
1,144
2,19
2,23
2,45
2,59
2,64
2,69
2,72
2,81
2,88
2,111
2,120
2,133
2,137
2,138
2,146
3,8
3,19
3,25
3,39
3,69
3,70
3,72
3,80
3,88
3,95
3,98
3,111
3,138
3,146
3,156
4,49
4,53
4,55
4,64
4,76
4,99
4,103
4,105
4,124
4,125
4,141
4,154
4,156
4,161
5,12
5,22
5,28
5,59
5,64
5,66
5,87
5,97
5,99
5,103
5,112
5,133
5,140
5,147
6,12
6,30
6,34
6,40
6,44
6,49
6,58
6,112
6,126
6,129
6,147
6,150
6,156
6,161
7,19
7,23
7,25
7,50
7,64
7,79
7,90
7,99
7,106
7,132
7,137
7,147
7,152
7,163
8,1
8,4
8,9
8,25
8,31
8,60
8,62
8,99
8,129
8,132
8,133
8,138
8,148
8,156
8,161
9,10
9,25
9,28
9,50
9,66
9,77
9,87
9,96
9,99
9,112
9,125
9,131
9,137
9,147
9,149
10,9
10,12
10,37
10,44
10,58
10,68
10,80
10,87
10,112
10,122
10,129
10,134
10,137
10,156
10,164
11,1
11,20
11,22
11,24
11,25
11,77
11,93
11,99
11,101
11,105
11,116
11,119
11,129
11,158
12,9
12,12
12,30
12,41
12,49
12,52
12,60
12,78
12,80
12,92
12,126
12,129
12,134
12,161
13,40
13,49
13,58
13,66
13,68
13,79
13,102
13,123
13,126
13,127
13,144
13,149
13,156
13,163
14,2
14,12
14,22
14,44
14,52
14,58
14,60
14,66
14,68
14,87
14,112
14,122
14,129
14,147
14,156
15,8
15,9
15,14
15,19
15,20
15,31
15,70
15,72
15,79
15,91
15,125
15,135
15,138
15,147
15,154
16,2
16,25
16,29
16,59
16,67
16,72
16,81
16,86
16,90
16,91
16,111
16,138
16,140
16,145
16,154
17,4
17,9
17,28
17,44
17,58
17,79
17,80
17,81
17,84
17,144
17,152
17,154
17,156
17,161
18,10
18,25
18,44
18,49
18,66
18,68
18,75
18,84
18,87
18,102
18,144
18,159
18,161
18,163
18,164
19,0
19,53
19,63
19,77
19,96
19,106
19,112
19,120
19,123
19,125
19,136
19,141
19,147
19,149
19,159
20,12
20,52
20,80
20,84
20,86
20,89
20,102
20,112
20,127
20,129
20,144
20,156
20,161
20,163
21,2
21,3
21,4
21,9
21,10
21,13
21,26
21,50
21,63
21,66
21,80
21,123
21,131
21,139
21,149
22,3
22,22
22,26
22,32
22,33
22,35
22,37
22,39
22,57
22,71
22,76
22,84
22,89
22,148
22,153
23,9
23,12
23,30
23,53
23,66
23,68
23,84
23,101
23,102
23,112
23,126
23,127
23,129
23,161
23,164
24,23
24,44
24,55
24,58
24,60
24,62
24,81
24,108
24,118
24,119
24,120
24,125
24,142
24,154
24,164
25,0
25,2
25,4
25,9
25,28
25,58
25,60
25,68
25,87
25,112
25,122
25,126
25,128
25,147
25,156
26,28
26,34
26,45
26,47
26,62
26,67
26,91
26,99
26,105
26,117
26,119
26,125
26,154
26,156
27,3
27,21
27,36
27,68
27,93
27,101
27,102
27,114
27,118
27,120
27,128
27,131
27,134
27,144
27,159
28,3
28,10
28,21
28,46
28,50
28,55
28,57
28,61
28,80
28,82
28,91
28,104
28,107
28,118
28,120
29,22
29,24
29,45
29,63
29,69
29,83
29,89
29,100
29,111
29,112
29,119
29,122
29,135
29,142
29,152
30,18
30,24
30,28
30,37
30,44
30,78
30,99
30,103
30,119
30,122
30,137
30,141
30,143
30,147
30,156
31,12
31,28
31,44
31,58
31,66
31,68
31,74
31,78
31,87
31,103
31,112
31,122
31,147
31,156
31,161
32,5
32,13
32,17
32,23
32,29
32,75
32,83
32,90
32,95
32,109
32,124
32,136
32,143
32,158
33,28
33,30
33,36
33,50
33,52
33,58
33,68
33,75
33,84
33,112
33,127
33,129
33,155
33,159
33,161
34,12
34,23
34,40
34,44
34,48
34,60
34,61
34,85
34,87
34,89
34,107
34,120
34,143
34,144
34,148
35,9
35,33
35,34
35,49
35,50
35,58
35,60
35,80
35,91
35,98
35,125
35,129
35,152
35,161
36,13
36,24
36,28
36,34
36,58
36,68
36,87
36,102
36,114
36,122
36,137
36,143
36,157
36,158
36,164
37,4
37,19
37,25
37,53
37,58
37,64
37,69
37,79
37,96
37,103
37,111
37,116
37,131
37,141
37,149
38,0
38,15
38,21
38,22
38,33
38,43
38,76
38,78
38,86
38,102
38,127
38,128
38,156
38,161
38,164
39,1
39,28
39,37
39,44
39,50
39,53
39,66
39,75
39,84
39,93
39,125
39,128
39,136
39,141
39,153
40,1
40,3
40,11
40,12
40,25
40,28
40,40
40,44
40,68
40,84
40,119
40,128
40,138
40,156
40,164
41,1
41,12
41,40
41,44
41,53
41,66
41,75
41,84
41,87
41,93
41,99
41,101
41,112
41,156
42,9
42,28
42,44
42,50
42,58
42,60
42,66
42,68
42,80
42,86
42,87
42,118
42,119
42,129
42,134
43,12
43,22
43,28
43,30
43,32
43,41
43,42
43,43
43,49
43,60
43,69
43,78
43,89
43,151
43,156
44,0
44,4
44,9
44,13
44,28
44,58
44,74
44,76
44,80
44,81
44,106
44,133
44,135
44,151
44,159
45,12
45,28
45,44
45,49
45,87
45,102
45,122
45,123
45,125
45,126
45,128
45,156
45,161
45,164
46,4
46,5
46,21
46,50
46,81
46,86
46,87
46,88
46,99
46,106
46,111
46,135
46,144
46,155
46,159
47,1
47,10
47,20
47,24
47,35
47,69
47,75
47,77
47,84
47,89
47,96
47,124
47,134
47,143
47,161
48,9
48,25
48,40
48,44
48,58
48,68
48,79
48,87
48,107
48,108
48,122
48,125
48,137
48,144
48,156
49,0
49,5
49,11
49,34
49,44
49,49
49,55
49,68
49,86
49,104
49,123
49,144
49,151
49,159
50,3
50,9
