,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
6211170803,7,11,5,0,6,1,0,1,2,2,0,0,0,0,0,3,0,1,0,0
6211366255,11,16,7,0,9,1,0,3,3,3,0,0,0,0,0,5,0,2,0,0
6217162787,9,9,1,0,1,0,0,1,0,4,0,1,0,0,0,4,0,0,0,0
6234217944,3,6,3,0,5,1,0,2,1,2,0,4,0,3,0,1,0,2,0,0
6244475452,7,5,0,1,3,3,0,4,0,0,0,3,0,1,0,3,0,3,0,0
6250267570,3,3,3,2,4,0,0,5,1,1,1,4,0,2,1,1,0,2,0,0
6255720547,7,6,0,0,1,1,0,1,0,1,1,2,0,1,0,3,0,3,0,0
6268001326,5,3,0,2,1,2,0,8,0,0,2,0,0,1,0,0,1,4,0,0
6282091932,6,8,4,2,6,3,0,10,1,2,1,4,0,2,1,2,0,2,1,0
6288956276,8,4,0,0,6,2,0,4,0,2,1,2,1,1,0,3,0,4,1,0
6291599277,1,7,7,2,8,0,0,2,2,2,0,0,0,0,1,0,0,0,0,0
6302606132,17,15,3,3,9,4,0,9,1,4,1,5,2,2,0,6,0,3,1,0
6303624481,2,7,2,2,5,0,0,5,1,1,0,1,0,2,0,1,0,1,1,0
6303627169,2,1,1,4,4,4,0,15,1,0,1,2,3,2,0,0,0,0,0,0
6317024023,4,7,3,0,5,1,0,3,0,2,0,4,0,0,0,2,0,1,1,0
6322173881,2,3,1,5,7,2,0,17,0,0,2,2,0,3,2,2,0,3,0,1
6333314147,6,7,1,2,4,1,0,5,0,3,0,3,1,0,0,5,0,1,0,0
6333328487,7,3,0,2,6,3,0,6,1,1,0,1,0,0,0,1,0,0,0,0
6339915929,3,1,0,1,4,2,0,6,0,3,0,1,2,0,1,1,1,2,0,0
6340393442,11,12,2,0,5,1,0,3,1,2,0,0,0,0,0,5,0,1,0,0
6344035599,5,5,0,0,2,0,0,3,0,3,0,14,0,7,0,3,0,8,0,0
6344425499,4,9,8,0,11,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
6346637540,4,2,0,2,5,1,0,3,0,3,1,2,0,2,0,0,0,3,0,0
6347268634,6,7,2,1,2,1,0,3,1,2,0,0,0,0,0,2,1,0,0,0
6354489703,3,3,1,0,2,1,0,2,0,1,0,5,0,5,0,1,0,5,0,0
6355574187,7,6,3,3,16,8,0,19,1,4,0,6,1,3,1,1,0,3,1,0
6420861759,7,7,1,0,4,1,0,1,0,1,0,1,0,1,0,4,0,2,0,0
6439952967,9,9,2,2,6,5,0,8,1,2,0,1,0,2,0,2,0,2,1,0
6481038116,1,9,4,0,6,0,0,2,4,5,0,1,0,0,2,0,0,0,0,0
6487479754,4,5,2,1,3,0,0,1,1,2,0,3,0,0,0,2,0,1,0,0
6502677031,6,8,3,0,5,0,0,3,1,4,1,1,0,0,0,0,0,0,1,0
6575418155,7,4,0,0,6,3,0,3,0,3,0,9,0,3,0,2,0,4,0,0
6575562256,11,14,4,0,5,1,0,7,1,4,0,2,0,0,0,6,0,2,1,0
6611750683,3,7,7,0,6,1,0,2,1,2,0,3,0,0,0,1,0,1,0,0
6618897392,5,3,0,1,7,2,0,3,0,3,0,5,0,2,0,1,0,4,0,0
6627556676,16,14,2,1,8,3,0,4,0,3,0,0,0,0,1,5,0,2,0,0
6636747252,3,3,0,4,4,1,0,12,1,1,3,1,0,0,1,1,2,1,3,0
6646762279,4,7,3,2,5,1,0,5,1,1,0,0,1,1,1,1,0,0,0,0
6651361793,7,7,2,2,7,0,0,8,0,2,1,3,2,2,0,2,0,2,2,0
6666644250,2,8,5,1,9,0,0,3,1,3,0,0,0,0,1,0,0,0,1,0
6671927963,6,4,1,1,5,1,0,2,0,1,0,2,1,0,1,1,0,1,1,0
6679105926,5,3,1,1,5,2,0,5,0,1,0,1,0,1,1,1,0,0,0,0
6692637773,4,2,0,0,2,0,0,4,0,0,1,5,0,4,0,3,0,3,0,0
6706103525,2,6,4,1,10,1,0,6,3,4,0,6,2,3,3,1,0,4,0,0
6714569799,3,2,0,3,4,0,0,3,0,3,0,3,2,1,0,0,0,1,0,0
6739127944,4,2,1,0,4,0,0,2,1,3,0,5,0,2,0,2,0,2,0,0
6750804372,3,4,1,1,2,2,0,3,1,2,0,3,0,0,0,2,0,2,0,0
6755239577,4,5,1,1,4,0,0,2,1,2,0,3,1,2,0,1,0,2,0,0
6755980573,3,5,2,0,3,0,0,0,1,0,0,7,0,6,0,1,0,6,0,0
6778948056,10,8,2,2,3,3,0,9,0,1,2,3,0,2,1,5,0,2,0,0
6788185857,4,8,5,1,4,0,0,2,2,3,0,0,1,0,0,0,0,0,0,0
6803054215,6,1,0,1,3,5,0,9,0,2,0,3,0,2,1,0,1,3,0,0
6803955832,0,1,2,2,5,1,0,4,1,3,0,3,0,2,2,0,0,2,1,0
6804886789,7,9,1,0,2,0,0,0,1,1,0,1,0,0,0,5,0,1,0,0
6809996207,0,0,0,2,6,2,0,6,0,1,2,3,0,2,2,0,0,3,0,1
6818905519,15,13,4,2,7,5,0,4,2,4,0,0,1,1,1,3,0,4,0,0
6825577141,8,6,4,0,3,2,0,5,2,3,0,4,0,0,0,4,0,1,0,0
6826017140,1,1,1,0,2,0,0,1,1,1,0,7,0,4,1,0,0,6,0,0
6832520867,7,6,0,0,4,2,0,3,0,1,0,1,0,0,0,5,0,2,1,0
6841923530,2,6,4,1,4,0,0,4,2,5,1,8,0,5,2,0,0,7,0,0
6844065524,2,3,0,2,3,2,0,6,0,0,0,3,1,2,0,2,0,1,1,0
6844649748,2,3,1,0,4,2,0,4,0,1,0,4,0,2,0,1,0,3,0,0
6847500351,1,2,1,0,4,0,0,0,1,3,0,5,0,3,2,1,0,3,0,0
6850359725,5,7,1,1,5,0,0,2,0,1,0,6,0,4,0,3,0,4,0,0
6857577702,15,10,3,0,5,4,0,2,0,1,0,5,0,3,0,3,0,6,0,0
6872898513,3,4,2,0,7,1,0,2,2,3,0,6,0,2,1,0,0,3,0,0
6879381434,2,4,4,0,8,1,0,1,0,2,0,7,1,5,1,0,0,4,0,0
6887784005,7,7,1,3,3,3,0,4,1,2,0,4,0,2,0,2,0,2,0,0
6891465249,8,9,2,4,8,4,0,7,0,1,0,5,1,5,1,2,0,3,0,0
6897338401,9,6,0,1,8,3,0,9,0,1,0,12,0,7,1,5,0,7,0,0
6904974433,1,0,0,0,4,1,0,5,0,0,0,2,0,1,1,0,0,2,0,0
6905131398,2,2,0,0,2,0,0,1,0,0,0,9,0,5,0,1,0,4,0,0
6912498372,3,5,1,0,5,0,0,2,1,3,0,7,0,6,1,1,0,4,0,0
6912926028,12,4,0,3,5,7,0,12,0,2,1,3,0,0,0,2,0,2,0,0
6924972532,5,7,0,1,2,0,0,3,0,1,0,2,0,2,0,4,0,0,1,0
6930245386,12,18,9,1,13,0,0,4,3,4,0,0,0,1,2,3,0,0,0,0
6938164031,3,5,1,0,3,0,0,2,1,2,1,1,0,1,2,3,0,3,0,0
6940457465,7,4,2,1,5,2,0,4,0,2,0,6,0,4,1,1,0,5,0,0
6946263977,7,4,1,2,10,4,0,5,0,3,0,6,1,4,2,3,0,5,1,0
6950082473,10,9,0,1,8,0,0,3,0,4,0,4,1,2,0,3,0,3,0,0
6956731880,7,5,0,0,2,1,0,1,0,2,0,4,0,1,0,2,0,3,0,0
6959948723,10,10,5,0,10,3,0,4,1,2,0,15,0,7,0,4,0,10,0,0
6961631141,3,0,0,3,4,3,0,8,0,2,0,2,3,0,0,0,0,0,1,0
6969824792,12,16,2,1,12,2,0,11,3,4,0,5,1,4,1,5,1,4,0,0
6977436310,5,8,4,2,8,1,0,5,3,1,2,1,0,0,2,1,0,0,0,0
7005200412,5,7,1,0,3,1,0,2,2,3,0,6,0,2,0,1,0,5,0,0
7005329566,3,4,2,0,5,0,1,2,1,2,0,12,0,4,0,2,0,5,0,0
7005779734,2,3,0,2,6,1,0,4,2,2,0,0,0,0,2,1,1,1,1,0
7010284238,5,3,1,1,3,3,0,5,0,0,0,4,0,3,0,2,0,5,0,0
7010596879,8,8,3,2,7,3,0,11,1,4,2,6,0,2,1,4,0,8,0,0
7023378942,8,5,0,2,6,4,0,14,1,2,2,0,0,2,1,0,1,2,0,0
7029028400,6,12,6,0,6,0,0,5,2,4,0,2,0,1,1,2,0,1,0,0
7029188448,4,3,1,3,7,3,0,7,0,2,0,1,0,0,2,1,0,1,0,0
7029649837,0,0,0,0,5,0,0,5,0,3,0,13,0,6,0,2,0,5,0,0
7035519406,9,12,4,0,6,0,0,1,1,4,0,1,0,1,3,4,0,1,0,0
7041665182,15,20,7,0,9,0,0,2,5,6,0,3,0,0,0,5,0,0,0,0
7044914066,7,6,0,1,3,2,0,2,0,1,0,1,1,1,0,3,0,2,0,0
7045540436,9,6,0,1,3,2,0,5,0,0,0,0,0,0,0,3,0,3,0,0
7047326979,1,2,0,2,4,1,0,9,0,1,0,2,0,3,0,0,0,0,1,0
7060289434,5,3,0,1,3,2,0,4,0,1,1,4,0,2,0,1,0,2,0,0
7061793532,3,2,0,2,3,3,0,10,0,1,1,4,0,3,0,2,0,3,1,0
7062563815,6,5,0,1,5,4,0,6,0,3,0,1,0,0,0,2,0,1,1,0
7063791922,3,9,9,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7065006488,2,1,0,1,4,3,0,5,0,0,0,6,0,5,0,0,0,4,0,0
7093640003,3,4,1,1,4,0,0,5,1,4,1,7,1,5,0,0,0,4,0,0
7094054062,7,7,2,0,4,1,0,0,0,2,0,1,1,0,0,1,0,2,0,0
