uid,sid
74,46
74,114
74,130
74,120
74,116
74,50
74,108
74,79
74,40
75,149
75,1
75,94
75,74
75,45
75,71
75,16
75,133
75,29
75,141
76,81
76,91
76,150
76,51
76,85
76,70
76,83
76,114
76,57
76,8
76,117
76,143
76,78
76,79
76,123
76,40
77,80
77,105
77,149
77,52
77,109
77,110
77,53
77,21
77,22
77,141
77,39
78,80
78,87
78,32
78,149
78,52
78,94
78,132
78,110
78,113
78,74
78,44
78,26
78,46
78,57
78,76
78,20
78,116
78,134
78,50
78,97
78,108
78,79
78,151
79,0
79,81
79,150
79,87
79,43
79,4
79,110
79,14
79,89
79,47
79,133
79,48
79,119
79,143
79,29
79,141
79,39
79,107
80,10
80,51
80,59
80,26
80,17
80,18
80,86
80,19
80,27
80,56
80,58
80,123
81,24
81,92
81,43
81,129
81,95
81,60
81,96
81,152
81,46
81,114
81,47
81,67
81,38
81,97
82,80
82,99
82,41
82,82
82,91
82,92
82,32
82,149
82,43
82,73
82,93
82,25
82,109
82,4
82,113
82,60
82,44
82,14
82,96
82,6
82,86
82,46
82,84
82,27
82,47
82,133
82,48
82,62
82,38
82,50
82,143
82,97
82,39
82,98
82,40
83,81
83,150
83,33
83,83
83,18
83,111
83,114
83,84
83,7
83,112
83,78
83,135
84,24
84,68
84,34
84,93
84,25
84,103
84,95
84,60
84,61
84,96
84,18
84,46
84,72
84,130
84,56
84,47
84,63
84,21
84,97
84,79
84,40
85,10
85,82
85,33
85,144
85,14
85,15
85,84
85,48
85,116
85,29
85,141
85,79
86,81
86,11
86,13
86,65
86,113
86,53
86,83
86,36
86,27
86,104
87,10
87,41
87,11
87,59
87,69
87,12
87,35
87,65
87,102
87,147
87,15
87,54
87,130
87,116
87,63
87,134
87,21
87,119
87,67
87,30
87,98
87,40
89,81
89,41
89,150
89,105
89,12
89,4
89,125
89,134
89,119
89,78
89,40
90,0
90,10
90,142
90,109
90,18
90,8
90,58
90,141
90,108
90,64
91,99
91,91
91,14
91,125
91,17
91,6
91,48
91,49
91,22
91,141
91,40
92,24
92,11
92,68
92,69
92,25
92,65
92,113
92,47
92,62
92,21
92,97
92,78
92,79
92,40
94,105
94,74
94,16
94,89
94,133
94,122
94,116
94,21
94,119
94,141
94,40
95,82
95,68
95,65
95,109
95,113
95,96
95,120
95,62
95,119
95,29
95,23
97,87
97,102
97,113
97,45
97,89
97,57
97,116
97,62
97,63
97,21
97,40
98,80
98,4
98,45
98,6
98,86
98,36
98,21
98,104
98,22
98,40
99,90
99,81
99,41
99,51
99,1
99,103
99,139
99,46
99,21
99,117
99,67
99,58
99,112
99,79
99,40
100,80
100,12
100,102
100,110
100,60
100,16
100,89
100,122
100,62
100,63
100,22
100,79
100,40
101,32
101,4
101,95
101,115
101,53
101,147
101,71
101,27
101,56
101,153
101,66
101,116
101,143
101,108
102,41
102,82
102,91
102,51
102,43
102,69
102,94
102,103
102,60
102,44
102,45
102,6
102,72
102,19
102,47
102,122
102,20
102,116
102,22
103,99
103,146
103,82
103,142
103,51
103,5
103,125
103,86
103,133
103,48
103,8
103,77
103,78
104,81
104,69
104,144
104,113
104,45
104,125
104,111
104,86
104,46
104,37
104,76
104,20
104,104
104,79
105,81
105,43
105,69
105,113
105,103
105,74
105,44
105,45
105,89
105,84
105,130
105,47
105,122
105,49
105,50
105,79
106,41
106,43
106,94
106,16
106,46
106,19
106,47
106,48
106,76
106,30
107,99
107,41
107,24
107,154
107,65
107,45
107,125
107,83
107,57
107,79
108,82
108,106
108,87
108,52
108,45
108,26
108,101
108,55
108,72
108,28
108,48
108,20
108,119
108,29
108,141
108,39
108,98
109,81
109,146
109,32
109,95
109,100
109,53
109,83
109,86
109,114
109,49
109,121
110,31
110,41
110,105
110,11
110,109
110,129
110,88
110,15
110,45
110,18
110,6
110,19
110,56
110,9
110,22
110,39
110,30
110,98
110,107
112,51
112,129
112,95
112,14
112,70
112,6
112,28
112,9
112,22
112,30
112,79
112,98
112,107
113,44
113,100
113,88
113,101
113,114
113,19
113,21
113,49
113,58
113,135
113,79
115,80
115,87
115,43
115,52
115,113
115,74
115,44
115,83
115,47
115,116
116,43
116,35
116,155
116,95
116,60
116,46
116,76
116,29
116,97
116,98
117,82
117,51
117,43
117,94
117,60
117,15
117,96
117,6
117,46
117,47
117,116
117,119
117,49
117,97
117,141
118,80
118,10
118,52
118,94
118,26
118,133
118,57
118,120
118,29
118,30
118,98
120,82
120,91
120,4
120,139
120,45
120,125
120,83
120,37
120,77
120,108
121,42
121,32
121,51
121,148
121,95
121,85
121,55
121,86
121,56
121,49
121,123
122,42
122,105
122,1
122,2
122,113
122,14
122,15
122,6
122,130
122,47
122,28
122,20
122,116
122,50
122,22
122,141
122,30
122,98
123,32
123,103
123,125
123,111
123,46
123,36
123,37
123,47
123,104
123,143
123,108
123,79
124,32
124,4
124,5
124,14
124,18
124,84
124,56
124,8
124,116
124,9
124,29
124,141
125,80
125,52
125,74
