movie,feature_0,feature_1,feature_2,feature_3,feature_4
21bridgesmovie,1.7067249,1.3155826,1.4107398,1.4070718,1.7462751
47metersdown,2.293009,1.8392757,1.6535537,1.5553746,2.2149749
abeautifuldaymovie,2.1773105,1.420586,1.3361769,1.140348,2.0484335
abominablemovie,2.177723,2.1219213,2.1292372,2.2757237,2.493821
adastramovie,1.5517776,1.255225,1.5082321,1.3673818,1.7189171
adogsjourneymovie,2.6312225,2.77589,2.1509967,3.3507876,3.5072954
aftermathmovie,1.3875986,1.3295861,1.2829821,1.0579977,1.7353086
aftermovie,1.5101199,1.3638572,1.4499974,1.4738171,1.7828737
ahiddenlifefilm,0.8255122,0.79415554,0.7469061,0.7151195,0.9919867
alitamovie,1.907267,1.7060502,1.5182977,2.2065895,2.1681943
angelhasfallen,2.344188,1.6649764,1.3370591,1.5133605,2.4706948
angrybirdsmovie,5.2689943,4.14527,3.1797094,2.828959,4.8309216
annabellemovie,2.4503887,2.2075734,2.2094474,2.4823284,2.8597815
annamovie,1.565396,1.2765092,1.2834542,1.2373898,1.7696152
apollo11movie,1.1882167,1.3467681,1.0883493,1.0019884,1.4152865
arcticdogsmovie,1.4453925,1.3726107,1.2799637,1.2595778,1.6077257
arcticmovie,1.0764049,1.1848471,0.9003497,1.0520377,1.3591536
artofracingmovie,1.836667,1.3359355,1.5159152,1.3245325,1.8530375
avengers,1.4426624,1.2509769,1.0520215,1.1376743,1.5354
beachbummovie,2.0635762,1.9730657,1.6252961,1.7089257,2.4053798
bernadettefilm,1.9979599,1.5485979,1.4767468,1.2462223,2.1490815
blackandbluemovie,4.2692327,3.504617,2.952077,2.6949291,3.9978943
blackchristmas,1.7990375,1.4076719,1.3570895,1.4103582,2.0400615
blindedbythelightmovie,1.1805465,1.1581289,1.0107067,1.1126249,1.5886304
bombshellmovie,2.171014,1.5967638,1.7203225,1.6978176,2.1672573
booksmart,10.383533,10.523534,7.1957374,13.125878,11.361409
breakthroughmovie,3.1135628,2.0421495,2.9268417,2.5088608,3.4076376
brianbanksmovie,1.6347141,1.6384208,1.4680969,1.3974495,2.4098651
brightburnmovie,2.4147687,1.9111818,1.6081989,1.7228057,2.3124762
brittanyrunsmov,1.094022,0.9539168,1.0174743,0.69930553,1.1986421
captainmarvelofficial,1.8170352,1.6250533,1.3707062,1.5079889,2.194904
captivestatemovie,1.6249582,1.0280879,1.4667488,1.4466317,2.1409206
catsmovie,3.6866949,3.0115266,2.4175048,2.5726964,3.3192127
charliesangels,4.5091305,3.2430387,2.822353,2.6206527,4.0592184
childsplaymovie,4.41112,4.682749,3.1860223,5.7999434,4.9254055
clarathefilm,7.2227015,5.8097444,4.4192743,4.9996123,7.0788236
coldpursuitmovie,1.2687998,1.3402953,1.1209282,1.146069,1.470972
countdown,2.3976853,2.0218031,2.1340795,2.0182145,2.9822934
currentwarmovie,2.0215883,1.6675557,1.414911,1.5498607,1.9986453
darkwatersmovie,2.5783632,1.515412,1.9661688,1.8256598,2.5334191
detectivepikachumovie,2.2367237,2.0254426,1.4553003,2.4511056,2.49745
disneyaladdin,2.0026758,2.1440606,1.8232589,1.7281156,2.6205976
disneyfrozen,3.6339226,3.398155,2.7566957,2.521845,3.901977
disneymaleficent,1.7156502,1.916565,1.4864728,1.5457022,2.1986833
doctorsleepmovie,1.6297629,1.6210971,1.5322186,1.3755252,1.9752454
dolemiteismyname,3.1130934,2.2165794,2.505231,1.4832814,3.132436
dontletgomovie,1.9315878,1.5341299,1.3603408,1.7605376,2.3224807
doramovie,1.5540597,1.9239213,1.2972051,1.4752889,2.2449887
downtonabbey_official,3.5061183,3.0096097,2.483755,2.6223752,3.4458961
dumbo,1.5525497,1.6691474,1.4666975,1.2264292,2.027153
escaperoom,2.624845,2.0666025,1.7321501,1.6901205,2.5413792
everybodyknowsmovie,1.179703,0.92951053,1.1222892,1.0687699,1.3740884
fastandfuriousmovie,2.952823,3.0694714,2.6045084,3.097342,3.9434614
fightingwmyfam,2.5481913,2.7521899,1.205449,2.451437,2.1696186
fivefeetapartfilm,4.2731004,3.2931552,3.5074067,2.6209924,4.7850423
fordvferrari,1.5368634,1.2990667,1.2117248,1.1036193,1.4852737
freaksthefilm,1.7502418,1.2788159,1.1627382,1.2407203,1.6678092
geminimanmovie,1.69619,1.6994375,1.6409528,1.7785552,2.138887
glassmovie,1.7148365,1.7548556,1.5912973,1.3547382,2.102491
gloriabellmovie,1.3236315,1.44985,1.3971392,1.504503,2.2131627
godzillamovie,1.6491239,1.4396496,1.3411971,1.8236084,2.2259514
goldfinchmovie,2.127239,1.6220922,1.5724677,1.4434433,1.9421035
goodboysmovie,1.9840134,1.9742565,1.5830516,1.406167,2.1970813
goodliarmovie,2.1511831,2.050923,1.7434493,1.7429514,2.5528088
gretafilm,1.6781211,1.2929543,1.8185457,1.4374721,2.3858857
halathemovie,1.9278883,1.8606007,1.1432947,2.483729,2.282424
happydeathdaymovie,1.1353941,0.75419873,0.95262045,0.8586757,1.1643084
harrietfilm,1.6815338,1.2551081,1.3413578,1.5649612,1.9512069
hellboymovie,2.0412946,1.585293,1.3067353,1.2418327,2.0577507
hersmellmovie,3.79997,3.6227536,2.3681154,3.970036,3.7558484
highlifemovie,1.1691483,1.22697,1.1407034,1.1211095,1.773651
highstrungmovie,19.14211,12.993297,10.228549,10.880743,15.31608
honeyboymovie,3.5256262,3.098175,2.3877645,1.6916113,3.5073779
hotelmumbaifilm,1.554836,1.5061079,1.4013168,1.2919765,2.245039
httydragon,5.0354395,4.5052295,3.5261364,2.8911417,4.44448
hustlemovie,2.3911257,1.6523714,1.4490912,1.5732892,2.2090425
hustlersmovie,10.802835,7.919338,6.0348463,5.7830024,9.142007
isntitromantic,1.9052616,1.6238362,1.3956542,1.0484468,1.683018
itmovieofficial,2.225433,1.9755127,1.6936903,1.4602475,1.8708698
jayandsilentbob,3.3161135,3.5915303,2.6244087,3.3899963,3.7233894
johnwickmovie,3.56962,2.694065,2.3211975,1.8452134,3.3325603
jojorabbitmovie,3.0559995,2.912784,2.5743504,1.9738879,3.3727455
jokermovie,1.6715227,1.604458,1.2086025,1.4868085,1.9293778
judythefilm,1.891889,2.0571485,1.9983449,1.6616135,2.3266335
jumanjimovie,4.17361,3.6117113,2.952159,2.545677,3.8306382
justmercyfilm,1.1314126,1.0975521,1.1709644,1.1199687,1.3752227
knivesout,3.0655007,2.4134831,2.0845451,2.1904442,3.1001134
lalloronamovie,1.4288111,1.3034487,1.4269495,1.646146,1.696419
lastblackmansf,2.9602199,2.4071572,2.6208797,2.1914406,3.6857164
lastchristmasthemovie,1.1768061,1.2605767,1.1563482,1.2600296,1.5803912
latenightmovie,2.5864925,2.0867753,2.0007622,1.3930295,2.4881887
lighthousemovie,1.1691483,1.22697,1.1407034,1.1211095,1.773651
lionking,3.459073,3.0870826,2.7643428,2.0424027,3.4100127
littlethemovie,2.2546482,2.0994709,1.6585103,1.8038306,2.4231558
littlewomenmovie,3.2096207,2.7615454,2.0629027,1.9803748,3.008977
littlewoodsfilm,2.4767218,2.1981041,1.8458258,1.8973312,2.5684257
longshotmovie,2.1965137,1.7359709,1.6629304,1.6717877,2.529919
lordsofchaosmovie,1.4413304,1.4004897,1.2331963,1.4031992,1.8286048
lucyintheskyfilm,2.2418032,2.1207774,1.9562899,1.8941514,2.7980385
mamovie2019,3.9080584,2.76472,2.5590544,2.6597004,3.7261975
marriagestory,2.7622137,2.589732,1.9902124,2.012328,3.0797343
meettheaddams,2.40018,1.8866216,1.7271343,1.5735905,2.4389586
meninblack,3.2350202,3.1354668,2.7007108,3.207036,3.5456545
midsommarmovie,1.6806324,1.7629673,1.4843196,1.7428424,2.3239312
midwaymovie,2.3158042,2.2385228,1.7947404,2.0700989,2.4997187
missbalamovie,2.8267186,2.2233162,1.6413898,1.8272295,2.5683057
missinglinkfilm,1.298365,1.2243925,1.1817641,0.9949777,1.5362934
motherlessbklyn,2.4020789,2.656614,1.6905419,2.347058,2.585048
onceinhollywood,2.537008,2.2378278,2.2782736,2.48567,3.0705376
onthebasisofsex,3.1584692,2.3347788,2.5849328,2.5741627,3.8738425
overcomermovie,1.3024193,1.1988539,1.3648424,1.2108903,1.629574
peanutbutterfalcon,24.69321,19.10612,15.426551,14.093843,22.39545
petsematarymovie,2.531373,2.2280788,2.207076,1.6191311,2.5692775
piercingmovie,8.599199,6.4236264,5.339252,6.03505,8.170615
playingwithfire,2.8596735,2.0994616,2.3509827,1.5514512,2.713998
playmobilthemovie,2.4633012,2.0531862,1.8815843,1.6821249,2.451307
pomsmovie,1.379126,1.1462247,1.1919842,1.0928612,1.519036
queenandslim,3.7424974,4.043955,3.0190167,3.0622993,3.967092
rambomovie,1.3507738,1.1317016,1.2225528,0.9285715,1.5599294
readyornotfilm,1.7803116,1.6726347,1.6188141,1.2295318,2.1605678
richardjewellfilm,1.9994276,2.0361984,1.3190484,1.5662448,2.0220666
rocketmanmovie,1.7870793,1.7615359,1.6908882,1.415951,1.9500357
scarystoriesmovie,1.494987,1.3943881,1.5908436,1.0906303,2.0538673
secretlifeofpets,3.1596406,3.0133991,3.0400662,2.7745106,4.6586003
serenityfilm,1.7240545,1.311283,1.3708913,1.2588758,1.8449498
shaftmovie,1.7782328,1.5815234,1.5280448,1.4923663,2.4371197
shazammovie,1.7761197,1.5692248,1.3409575,2.260914,1.7028819
spidermanmovie,4.855464,3.9353073,2.6659665,2.5641284,3.8436918
spiesindisguise,2.474632,2.080703,2.100397,2.3662567,2.609979
starwars,8.166007,7.8971696,6.4423995,6.391803,9.885078
stormboymovie,1.4610078,1.4372278,1.417133,1.0804993,1.8889326
stubermovie,1.3957202,1.3676714,1.2533324,1.4903419,1.6659615
taosdfilm,0.930597,1.0420417,0.7177695,0.9873451,1.369433
teenspiritmov,1.5418904,1.3914975,1.2304791,2.88449,2.0699527
terminator,2.1193607,1.874988,1.7096928,1.6992235,2.3533568
theaeronautsmov,0.91425055,0.7904307,0.87089473,0.5822716,1.0303593
thebestofenemies,2.383496,1.8418226,1.8557853,1.8800046,2.2641282
thedeaddontdie,1.784904,1.2275928,1.7495233,1.6612904,1.7104551
thefarewell,1.5379269,1.5483509,1.4147519,1.2861757,2.1912768
thehighwaymen,2.3649678,1.924652,1.8708047,1.5208313,2.6448858
thehummingbirdprojectfilm,0.8255122,0.79415554,0.7469061,0.7151195,0.9919867
theintrudermovie,3.000268,2.2094197,2.1511455,1.9047256,3.0297437
theirishmanfilm,3.0319963,2.7719831,2.3821063,2.0610335,3.6421566
thekitchenmovie,3.7563968,3.4689662,2.3127313,2.6683354,2.932188
thelegomovie,2.9234164,2.7413461,2.1668873,2.153064,3.0238042
themustangfilm,1.3236392,0.94257957,1.2644595,1.2974317,1.5125649
thenightingalefilm,2.2272093,1.9036614,1.4751792,2.151618,2.4202807
theprodigymovie,2.906672,3.672413,2.0153828,3.9409595,3.148385
thesunisalsoastar,2.6142766,2.624483,1.6328079,2.309456,2.5924819
theupsidefilm,2.586955,1.864213,1.9879318,1.5245333,2.3481905
tolkienmovie,2.1693726,1.7542427,1.941654,1.7233698,2.5995293
toystory,2.2075284,1.8592099,1.7383971,1.314857,2.4827387
triplefrontier,2.1736622,1.8718283,1.530347,1.4896736,2.2754745
uglydolls,2.7494411,2.0656219,2.091969,2.026278,2.449797
uncutgems,1.7568632,1.8485674,1.5789529,2.3249898,2.9782596
underthesilverlake,1.4783084,1.4900624,1.559514,1.7140586,2.4183505
usmovie,1.3839077,1.2515905,1.1740208,1.260797,1.723951
wavesmovie,2.0324705,1.8661474,1.5421765,1.7148416,2.8099797
whatmenwant,2.7847962,2.308122,2.214007,2.1938424,2.8475385
wonderparkmovie,2.860134,2.3011231,2.1919317,1.6308835,2.6717947
wrinklestheclown,0.8255122,0.79415554,0.7469061,0.7151195,0.9919867
xmenmovies,4.1834235,3.5343657,2.9726038,3.1438422,3.549611
yardiefilm,1.3037503,1.1442668,1.1053503,1.1388266,1.5003335
yesterdaymovie,1.9059905,1.722503,1.3213745,1.4553959,1.9488136
zombieland,3.7193463,3.0861416,2.3513255,2.354141,3.4165618
