movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
21bridgesmovie,0.5874915,0.8149127,0.0,0.96768373,0.973982,0.2812992,0.8319623,0.0,0.51605624,0.9843595,0.9277003,0.0,0.0,0.6115298,0.3710569,0.7070461,0.56547093,0.5005547,0.0,0.5160672,0.0,0.37858143,0.6145212,0.75275636,0.0,0.0,0.6409114,0.79672027,0.5366332,0.83322525,0.9004819,0.72168446,0.5536111,0.0,0.5529609,0.6037366,0.0,0.68713033,0.74008113,0.9961394,0.5523664,0.57755893,0.502133,0.0,0.0
47metersdown,0.59294546,0.6380023,0.0,1.0074263,0.81803995,0.27423754,1.0324271,0.0,0.44087595,0.9934995,1.3073647,0.0,0.0,0.79406464,0.5971155,0.5227065,0.85475755,0.56963927,0.0,0.5183794,0.0,0.36442012,0.4306841,1.057404,0.0,0.0,0.79866433,0.934837,0.49345982,0.36275375,0.98355705,0.93030554,0.8034773,0.0,0.24083343,0.9265028,0.0,0.8142765,0.9592344,0.74680865,0.38802513,0.4690494,0.81834984,0.0,0.0
abeautifuldaymovie,0.57001704,0.9099004,0.0,1.2144892,0.9917337,0.36836272,0.8705346,0.0,0.62955195,0.92209524,0.9747819,0.0,0.0,0.9610261,0.4963271,0.71392906,0.5919354,0.4880604,0.0,0.6216806,0.0,0.49581468,0.66177726,1.0288104,0.0,0.0,0.5033809,0.652259,0.6701167,1.0750601,0.7924266,0.83763707,0.58865756,0.0,0.4488969,0.5400067,0.0,0.65074694,0.75977623,0.75983566,0.5830032,0.46576923,0.56434786,0.0,0.0
abominablemovie,0.9324584,1.3511566,0.0,1.4465152,1.4860142,0.6099074,1.2215576,0.0,0.5579804,1.5132935,1.6542962,0.0,0.0,0.9382459,0.5820714,1.1409953,1.24889,1.08588,0.0,0.6577803,0.0,0.6921356,1.2140515,1.2335981,0.0,0.0,0.8049931,1.5495018,0.32364222,1.1276422,1.4887011,1.1405637,1.4806346,0.0,0.9942869,1.1159886,0.0,1.1626111,0.8703002,1.3446392,1.1132673,0.56833386,0.8347862,0.0,0.0
adastramovie,0.68113667,0.7684941,0.0,1.0290884,0.93231714,0.5576737,0.8455656,0.0,0.4254328,0.93877894,0.69514215,0.0,0.0,0.7201599,0.5374354,0.48399252,0.42156288,0.4320093,0.0,0.53964585,0.0,0.446989,0.6296984,0.7710577,0.0,0.0,0.57409227,0.95166457,0.5101228,0.78916836,0.73401475,0.6911732,0.68785405,0.0,0.41364136,0.51275367,0.0,0.7682802,0.5481628,0.78559494,0.60899925,0.6019823,0.62926364,0.0,0.0
adogsjourneymovie,1.1754112,2.1324644,0.0,2.091388,2.2217438,0.7794617,1.9025009,0.0,0.923069,1.8895291,2.0945327,0.0,0.0,1.6174763,0.64302766,1.533678,1.070164,1.0666864,0.0,1.021582,0.0,0.5352902,1.048928,1.9321725,0.0,0.0,1.1643769,1.3603592,1.0497102,1.5751551,1.7451769,1.1632867,1.4413055,0.0,0.9367721,0.8319731,0.0,1.1856339,0.93425894,1.6494137,1.2256051,0.57362354,1.0153248,0.0,0.0
aftermathmovie,0.48649025,0.6167013,0.0,0.74465686,0.6971312,0.3868715,0.5788677,0.0,0.41062495,0.687773,0.71577436,0.0,0.0,0.5715231,0.38149688,0.51798576,0.5543182,0.3938328,0.0,0.46070877,0.0,0.3415908,0.574982,0.6705655,0.0,0.0,0.42373687,0.7483121,0.335104,0.55904406,0.7052398,0.6458911,0.59411615,0.0,0.30719435,0.55968785,0.0,0.5497498,0.5188513,0.69394016,0.4838708,0.41508067,0.47339153,0.0,0.0
aftermovie,0.4213531,0.74460554,0.0,0.8431774,0.8228323,0.35772577,0.8084096,0.0,0.29901168,0.77436954,0.67540014,0.0,0.0,0.741045,0.39744818,0.6528526,0.3585227,0.27857053,0.0,0.60796726,0.0,0.31454527,0.4705733,0.939803,0.0,0.0,0.7137998,0.71799815,0.4103738,0.81887865,0.71669686,0.7437597,0.6641035,0.0,0.4616977,0.46300483,0.0,0.7783903,0.55349046,0.7803264,0.7063147,0.38297307,0.51987374,0.0,0.0
ahiddenlifefilm,0.3036305,0.42508,0.0,0.47606447,0.47609988,0.23376888,0.44006145,0.0,0.22651254,0.40149307,0.4547123,0.0,0.0,0.38138184,0.2155246,0.3340661,0.3286219,0.23685281,0.0,0.31808704,0.0,0.22092792,0.34493583,0.38716587,0.0,0.0,0.2825434,0.4305375,0.24025343,0.40214908,0.4090794,0.39963737,0.36089584,0.0,0.1890795,0.27541673,0.0,0.30722156,0.34192115,0.38545656,0.3109776,0.24713293,0.30318713,0.0,0.0
alitamovie,1.050922,1.139298,0.0,1.3790145,1.4625736,0.6188722,1.2720857,0.0,0.6262434,1.3223661,1.6129913,0.0,0.0,1.3397737,0.54848003,0.7142201,0.81399125,0.81381017,0.0,0.5877282,0.0,0.14586534,0.90071106,1.2093924,0.0,0.0,0.90342534,1.1905943,0.53052735,0.7740972,1.2536758,1.0293534,1.0211967,0.0,0.48882765,0.83847815,0.0,0.72794604,1.1288661,0.9740309,0.7134767,0.5763352,0.9192952,0.0,0.0
angelhasfallen,0.6053267,1.0700599,0.0,1.4699748,1.0491183,0.71886915,1.1746538,0.0,0.677548,0.8853054,1.0524397,0.0,0.0,1.1688572,0.44021812,0.7350167,0.82924664,0.605267,0.0,0.82575166,0.0,0.54227453,0.7375145,1.0112641,0.0,0.0,0.54196346,0.8797821,0.43607444,0.8770573,0.9905555,0.7772209,0.8595591,0.0,0.47162858,0.659214,0.0,0.54537815,0.8475403,0.79799736,0.79851586,0.47914147,0.6458113,0.0,0.0
angrybirdsmovie,1.3244034,2.843837,0.0,3.363643,3.0140576,1.1344358,2.5246737,0.0,1.363048,1.9035623,2.6278706,0.0,0.0,2.214118,0.9373374,1.704,1.4458331,1.3404808,0.0,1.7712132,0.0,0.6438486,2.027789,2.3079998,0.0,0.0,1.1686698,2.4372346,1.7565607,2.379533,2.6711895,1.9296864,2.0733476,0.0,1.1986175,1.0549995,0.0,1.4349117,1.3794894,1.9807048,1.246665,0.9321714,1.2285154,0.0,0.0
annabellemovie,1.0409757,1.3186215,0.0,1.6193784,1.7891821,0.665589,1.4041884,0.0,0.58709013,1.3376238,1.7050419,0.0,0.0,0.8760054,0.3781184,1.0283791,0.81002545,0.90653545,0.0,0.71163696,0.0,0.49880975,1.0357577,0.9981607,0.0,0.0,0.80840045,1.3557836,1.0149027,1.3696566,1.5323707,1.1188227,0.9541865,0.0,0.8866468,0.82981026,0.0,0.89562654,1.099938,1.5004927,0.782707,0.83097553,0.8875377,0.0,0.0
annamovie,0.6609879,0.8390904,0.0,0.8718932,0.8367171,0.30609748,0.9347505,0.0,0.4918277,0.773008,0.9215452,0.0,0.0,0.57110876,0.447119,0.5880728,0.70955193,0.5866495,0.0,0.5692905,0.0,0.4641579,0.5956718,0.56028265,0.0,0.0,0.35521322,0.7293285,0.3945349,0.68878675,0.75165194,0.71011627,0.62169665,0.0,0.46153012,0.6170321,0.0,0.4338815,0.7422214,0.6853205,0.5550674,0.32785824,0.326488,0.0,0.0
apollo11movie,0.45555675,0.5225341,0.0,0.6204845,0.596431,0.28546184,0.7227958,0.0,0.15280347,0.58727366,0.6322,0.0094692875,0.0,0.5510373,0.2945303,0.33588296,0.39924258,0.40894172,0.0,0.49002674,0.0,0.19611585,0.38640207,0.4442757,0.0,0.0,0.4716484,0.6419636,0.45322806,0.49606532,0.5827147,0.44974464,0.5010691,0.0,0.19623226,0.33645755,0.0,0.49358487,0.5057225,0.5579948,0.49221405,0.3804403,0.481744,0.0,0.0
arcticdogsmovie,0.3119594,0.7211976,0.0,0.8391852,1.0096233,0.25254324,0.8509254,0.0,0.5867898,0.75523937,0.8479322,0.0,0.0,0.6489514,0.29994166,0.55721843,0.5421764,0.40564552,0.0,0.36253244,0.0,0.36633,0.46846104,0.717217,0.0,0.0,0.58525026,0.83238864,0.49891263,0.543373,0.6282018,0.64690655,0.6291933,0.0,0.16366544,0.65658784,0.0,0.48967656,0.76878977,0.71997786,0.26615378,0.4555502,0.57111263,0.0,0.0
arcticmovie,0.41321045,0.62441987,0.0,0.5973776,0.68540615,0.31769267,0.6106194,0.0,0.39422563,0.5088979,0.64139825,0.0,0.0,0.5483869,0.10868609,0.49631536,0.55915946,0.21292892,0.0,0.4158194,0.0,0.2746357,0.44325304,0.5710567,0.0,0.0,0.4295262,0.62585413,0.45082968,0.56841457,0.66158706,0.5324742,0.4572941,0.0,0.036684018,0.27885082,0.0,0.5050825,0.3075799,0.50061226,0.39443702,0.35894603,0.46714148,0.0,0.0
artofracingmovie,0.7348977,0.8888666,0.0,1.2354642,1.1279607,0.60879856,1.0888162,0.0,0.62490106,0.98806137,0.8408893,0.0,0.0,1.0365545,0.6115396,0.47073835,0.5809825,0.37015685,0.0,0.7059574,0.0,0.4626429,0.81395584,0.89392036,0.0,0.0,0.5699609,0.9111669,0.5083428,0.89299715,0.9021521,0.6955638,0.7686307,0.0,0.4911033,0.6382706,0.04725533,0.8105181,0.6380885,0.86536527,0.59913594,0.64651185,0.6222831,0.0,0.0
avengers,0.26876545,0.62810206,0.0,0.87995833,0.7747569,0.3539704,0.8055537,0.0,0.41665784,0.6634697,0.62687135,0.0,0.0,0.74221647,0.26721525,0.54789,0.5141205,0.2507342,0.0,0.64417416,0.0,0.39896548,0.5725739,0.8727936,0.0,0.0,0.35824227,0.64569104,0.5146391,0.8732311,0.64485765,0.5765599,0.47349072,0.0,0.3336594,0.60591096,0.0,0.65385216,0.33793515,0.61090887,0.44507074,0.48057026,0.57615423,0.0,0.0
beachbummovie,0.61182845,0.7293617,0.0,0.74068505,0.9478581,0.42004183,0.8847138,0.0,0.3241634,0.6672272,0.8374939,0.0,0.0,0.761495,0.4454232,0.5783494,0.5427881,0.4254712,0.0,0.740877,0.0,0.42468327,0.6348736,0.6980219,0.0,0.0,0.44512433,1.0432861,0.6005152,0.6871273,0.8969656,0.56928694,0.80144054,0.0,0.1785216,0.52715427,0.0,0.55201,0.6963387,0.7199288,0.5461196,0.35812116,0.72153986,0.0,0.0
bernadettefilm,0.45968768,1.0803326,0.0,1.0540129,1.1457951,0.24530178,1.1171033,0.0,0.6021103,1.0527452,0.8692155,0.0,0.0,0.89786494,0.3749589,0.8486775,0.59094965,0.42808732,0.0,0.54895353,0.0,0.53827125,0.69258505,0.7912067,0.0,0.0,0.57221663,1.0926425,0.52576965,0.911633,0.846975,0.8811788,0.58422834,0.0,0.29579517,0.66104865,0.0,0.47673038,0.82595056,0.76060706,0.45838732,0.73755497,0.6650926,0.0,0.0
blackandbluemovie,1.188206,1.626513,0.0,1.4507197,2.1737278,0.85653913,1.5097508,0.0,0.43077877,1.3436444,1.8005805,0.0,0.0,1.3945465,0.50436604,1.2061251,0.9998421,0.84640926,0.0,1.1844245,0.0,0.55956715,1.3427597,1.6792468,0.0,0.0,0.77282256,1.6304365,0.7469002,1.5130792,1.9871858,1.1348124,1.339852,0.0,0.91382486,0.92870486,0.0,1.0444465,1.0809816,1.5049866,1.061612,0.70513123,1.0331725,0.0,0.0
blackchristmas,0.61956954,0.89830613,0.0,0.90787375,0.9571616,0.39319608,1.0461895,0.0,0.47230458,0.76015574,0.9572306,0.0,0.0,0.6342324,0.4308177,0.5382673,0.5010471,0.6418004,0.0,0.6952475,0.0,0.38385665,0.5165151,0.6949301,0.0,0.0,0.5822947,0.93794155,0.38380384,0.79493946,0.9712943,0.55269635,0.75315475,0.0,0.47037408,0.40647268,0.0,0.5336486,0.553405,0.80874527,0.65387654,0.24215694,0.5351331,0.0,0.0
