movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
21bridgesmovie,1.0920413,1.2901227,1.7083514,1.1600822,1.3321697,1.6393384,1.5481312,0.8945134,0.97709644,0.92900264
47metersdown,1.0046953,1.2210526,2.1381872,1.2626454,1.5525403,1.761997,1.5153857,1.4439125,0.7977132,1.171819
abeautifuldaymovie,1.0013666,1.3378267,1.4615933,0.8595416,0.9367834,1.3623592,1.1129133,0.9685208,1.0387889,0.9180437
abominablemovie,1.606049,2.0216608,2.6433706,1.2790021,2.12985,1.8347254,1.9714844,1.1588188,1.0964786,1.4899088
adastramovie,0.9946935,1.342499,1.3553835,1.0826817,1.2802883,1.5755628,1.2203994,0.9971651,0.9061834,1.0004613
adogsjourneymovie,2.8736773,2.9249673,3.8556159,2.2356858,3.155008,2.664277,2.774964,2.1632993,2.139327,2.074168
aftermathmovie,0.8094182,0.8833901,1.1698474,0.7622409,0.89491415,1.1067603,0.92716974,0.67633146,0.6678344,0.6694512
aftermovie,0.8421333,1.2033064,1.4263949,0.7887602,1.0720826,1.1767164,1.1963271,0.72090846,0.9851816,0.6669596
ahiddenlifefilm,0.5134114,0.5988155,0.74924517,0.49620366,0.59223545,0.659862,0.6256626,0.4796262,0.46748763,0.47580543
alitamovie,1.729064,1.9680152,1.8394549,1.6939727,1.7699324,1.905195,1.9886209,1.4373876,1.4147203,1.3877883
angelhasfallen,1.489493,1.7806203,2.2939444,1.1262505,1.8040699,1.842911,1.8571782,1.4823483,1.0703791,1.3729889
angrybirdsmovie,2.9029198,3.9698696,3.7679904,2.3733296,3.9299314,3.3433166,3.1722353,1.7525702,2.227457,2.3774555
annabellemovie,1.6679883,2.038923,2.4527087,1.830144,2.1054842,2.4264667,2.3261344,1.4933499,1.4094752,1.5274359
annamovie,0.90857834,1.1859858,1.5062858,0.9774807,1.0950809,1.4888233,1.5693109,1.0109179,0.76487994,0.7999023
apollo11movie,0.91725326,0.9477202,1.1156098,0.76110864,0.84651184,0.9281931,0.8097591,0.83576685,0.6532125,0.86728835
arcticdogsmovie,0.8550781,1.0294311,1.4842316,0.72337365,1.0411568,1.1684908,1.0377374,0.7713119,0.7951551,0.81304455
arcticmovie,0.8178243,1.1715939,1.2017621,0.74204296,0.94169277,1.049145,0.72089744,0.7432774,1.0153146,0.8335953
artofracingmovie,1.2203848,1.4882791,1.6524153,0.9951482,1.618584,1.4758524,1.2298508,1.2102968,0.95703644,0.9232104
avengers,0.96329546,1.334127,1.2579305,0.9731455,1.3724592,1.296896,1.344669,0.65480983,1.1696582,0.88218325
beachbummovie,1.3521813,1.6469011,1.7722689,1.3900439,1.2855872,1.8682114,1.4267377,1.4255875,0.8765401,1.5587535
bernadettefilm,1.1761602,1.3519382,1.6657716,0.9875868,1.6346515,1.354888,1.3462174,1.0017871,0.9491183,0.8863924
blackandbluemovie,1.9280815,2.4887955,3.12855,2.0942955,2.4658566,2.6888347,2.2653503,2.108088,1.5500896,1.9601907
blackchristmas,1.3851273,1.1315892,1.7891713,1.0546632,1.1508,1.2006052,1.4510964,1.136733,0.83173937,0.80251336
blindedbythelightmovie,0.8496296,0.7525397,1.225267,0.8090716,0.92562574,0.9257023,1.1422935,0.8774913,0.72916967,0.7501983
bombshellmovie,1.2633084,1.6430657,2.1794708,1.3264933,1.5872271,2.1668556,1.644973,1.3008002,1.1814659,1.3350309
booksmart,6.674424,12.475124,14.901044,6.10499,12.597616,11.58875,10.371314,6.886759,7.134767,7.944576
breakthroughmovie,1.7329786,2.9704792,3.72283,1.9011694,3.0716908,2.5091386,2.0619335,2.454345,1.3776983,1.7879819
brianbanksmovie,1.3210644,1.7048187,1.9307374,1.225709,1.4234557,1.6973919,1.3287321,1.5042616,1.4614261,1.1069156
