movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
angelhasfallen,1.1748741,0.0,0.97382927,0.710799,0.42765862,0.7401904,1.4535543,1.1516215,0.67290014,0.0,0.77941215,0.9964446,0.6543362,1.0364151,1.0029143,0.47064903,0.6917051,0.5459675,0.53673005,0.8844149,0.68656886,0.0,0.77920496,0.90546674,0.35155725,0.0,0.8936587,1.3290975,0.48826793,0.7156338,0.8279677,1.1640702,1.2061459,0.5761518,1.129248,0.0,0.7477247,0.6569017,0.25490773,1.3257765,1.2352935,1.1314077,0.5689024,0.0,0.42940694
angrybirdsmovie,2.710162,0.0,2.0670996,1.747581,0.96868616,1.5881158,2.8720684,2.2520561,0.94623286,0.0,0.7161787,2.294503,1.5642715,2.9418533,2.4378583,1.0460088,1.2344557,1.0033027,1.4337887,2.117773,1.6778488,0.0,0.938341,2.4116373,0.9623967,0.0,2.299078,2.4589503,1.3155793,1.3907839,2.0402505,1.7793224,3.2348595,1.3562565,2.463034,0.0,1.3033308,0.65600026,0.95690805,2.0718427,3.3235312,3.1732705,1.9254341,0.0,1.307281
annabellemovie,1.249366,0.0,1.395093,1.0698014,0.5424269,1.2097819,2.2265577,1.1946886,0.43517196,0.0,0.9149163,1.2638057,1.0672609,1.3618997,1.1961483,0.81223726,1.0508378,0.3869652,0.93811226,1.6535432,0.9626311,0.0,0.63474214,1.2674788,0.32460964,0.0,1.2124534,1.5751027,1.3894396,1.1172397,1.375198,1.2582334,1.6570022,1.1058551,1.6267254,0.0,0.6328781,1.0169289,0.7124055,1.0956583,1.484661,1.7956877,0.8670394,0.0,0.76688147
annamovie,0.5696069,0.0,0.8038623,0.35207564,0.46677992,0.7420496,0.9413028,0.8184818,0.5175609,0.0,0.37429562,0.9974019,0.41717836,1.0247163,0.7564395,0.39833736,0.61751163,0.41824093,0.48449764,0.7621173,0.40359738,0.0,0.49701986,0.900119,0.38945654,0.0,0.7129528,0.8827398,0.42914838,0.46645543,0.81919,0.73336524,1.0025128,0.55587757,0.9224008,0.0,0.4394349,0.45967463,0.30326083,0.88041884,0.82741886,0.9927557,0.6218186,0.0,0.17969298
apollo11movie,0.56749034,0.0,0.6715215,0.3496861,0.19433479,0.42973483,0.8431017,0.60703063,0.18586724,0.0,0.36192426,0.7019595,0.4016571,0.67469317,0.5878449,0.445682,0.40759295,0.3607107,0.2925679,0.65935826,0.4825475,0.0,0.352932,0.5065201,0.2369859,0.0,0.41435823,0.5932405,0.4350821,0.33813968,0.62570614,0.60516196,0.7470519,0.28242546,0.7377463,0.0,0.37443632,0.5538849,0.36314648,0.46210134,0.54686534,0.61447245,0.35820693,0.0,0.41601324
arcticdogsmovie,0.78870547,0.0,0.7554342,0.48317915,0.10501903,0.6490495,0.7987934,0.96941113,0.46660843,0.0,0.33702245,0.8752706,0.46090612,0.9166446,0.8601888,0.48206624,0.48760164,0.46452934,0.6196702,0.84467983,0.47932962,0.0,0.33006093,0.75338274,0.44765076,0.0,0.77271396,0.89983106,0.39373267,0.23376903,0.61788887,0.6835817,0.9671906,0.3971496,0.96325904,0.0,0.4376823,0.43484738,0.40386873,0.66902834,0.9081927,1.0027782,0.58130425,0.0,0.24878667
arcticmovie,0.6527996,0.0,0.5362307,0.5721029,0.25393856,0.4138677,0.8067727,0.41613367,0.20895281,0.0,0.39298627,0.64749956,0.4247176,0.7086707,0.62411755,0.44680387,0.32545638,0.40679476,0.38277087,0.5934394,0.5226374,0.0,0.2862271,0.48059508,0.24678917,0.0,0.50011635,0.6372785,0.4358508,0.33231372,0.6514649,0.513222,0.69588226,0.2724375,0.6676126,0.0,0.5130252,0.47555977,0.33398372,0.6057623,0.74672043,0.6044787,0.3643094,0.0,0.39851353
artofracingmovie,0.8298856,0.0,0.64589155,0.8188998,0.13708925,0.5296139,1.2258542,0.7120918,0.57729524,0.0,0.37984532,0.72856665,0.6047325,0.92103744,0.7543503,0.5855722,0.68510497,0.4398425,0.4301163,0.9035867,0.65632015,0.0,0.44918552,0.9403214,0.39633334,0.0,0.8360654,0.9007974,0.57925564,0.536893,0.8845534,0.6259251,1.1679094,0.41684666,0.9539047,0.0,0.4242956,0.4830054,0.44207138,0.6471315,0.8887714,0.88751245,0.5302702,0.0,0.48476276
avengers,0.6316779,0.0,0.54867625,0.4464789,0.41026562,0.57882506,0.7575866,0.64136827,0.43623298,0.0,0.36472148,0.69387025,0.27216345,0.6890013,0.6717697,0.35466737,0.58954453,0.39088273,0.31084707,0.74732167,0.5210861,0.0,0.21002634,0.667491,0.40384293,0.0,0.42815447,0.5955524,0.44568223,0.5029786,0.59446836,0.70042425,0.931434,0.3277191,0.78302073,0.0,0.3150907,0.50295603,0.23158328,0.7896592,0.66929036,0.897679,0.32360646,0.0,0.3684871
beachbummovie,0.9504101,0.0,1.0879542,0.88329554,0.3658477,0.66736627,1.520754,0.85596085,0.44411716,0.0,0.6875687,1.3343033,0.8260295,1.1543957,0.8731796,0.79452145,0.62674963,0.6639663,0.53902835,1.1341779,0.6028378,0.0,0.5956374,0.8389837,0.31402817,0.0,0.5227565,0.97552097,0.68924713,0.51206744,1.0980526,1.0460067,1.0864465,0.37486494,1.4828064,0.0,0.49669284,0.8808924,0.62399024,0.9041274,0.9532024,1.1624378,0.53859156,0.0052932743,0.55380356
