movie,feature_0,feature_1,feature_2,feature_3,feature_4
21bridgesmovie,1.485436,1.0368304,2.0600524,1.1198475,1.2862984
47metersdown,1.4277692,0.8878008,2.5281293,1.3592528,1.7470564
abeautifuldaymovie,1.3254819,0.90995985,2.0349133,1.0556655,1.1983969
abominablemovie,1.9783306,2.0252216,2.8804235,1.132742,1.6899003
adastramovie,1.2878572,1.3199794,2.0992107,1.0987918,1.1973946
adogsjourneymovie,2.5525374,1.5786344,4.6791463,1.7279838,2.5989418
aftermathmovie,1.1665155,0.8864885,1.566114,0.96394944,0.822913
aftermovie,1.3948265,0.97748154,2.0545156,1.0925018,1.1981164
ahiddenlifefilm,0.6777034,0.565342,1.0050421,0.61962605,0.6338192
alitamovie,1.7099859,1.4820457,2.7399018,1.1863673,1.4217871
angelhasfallen,1.7538208,1.3597083,2.698674,1.2937566,1.5890695
angrybirdsmovie,3.8263907,1.7325581,5.568256,3.0136416,3.3492026
annabellemovie,2.3048,1.5188581,3.3885427,1.8062265,2.0776877
annamovie,1.3965175,1.1811334,2.0203664,0.94675374,1.2645525
apollo11movie,0.9947151,0.8753983,1.4635327,0.98405206,1.1532633
arcticdogsmovie,0.80301535,0.60968554,1.7207483,0.96505237,1.1116498
arcticmovie,0.9102044,0.7648566,1.4240464,0.7184807,0.809073
artofracingmovie,1.3201537,1.2427752,2.2596884,1.080818,1.0383197
avengers,1.1440549,0.91591597,1.832822,1.1325293,1.2516695
beachbummovie,1.5262446,1.2761798,2.354905,1.4019153,1.5467949
bernadettefilm,1.3811246,1.4386619,2.2764018,1.0973797,1.2582017
blackandbluemovie,2.725256,2.0728636,4.3658605,1.716407,2.5401387
blackchristmas,1.3621354,0.9751348,2.03704,1.0821626,1.2265136
blindedbythelightmovie,1.1516238,0.9497445,1.6991062,0.9990096,1.0801756
bombshellmovie,1.3366454,0.6593532,2.611876,1.4376878,1.861849
booksmart,7.9006844,6.345822,18.60461,7.404447,11.492911
breakthroughmovie,2.7870824,2.9790704,4.443908,2.47471,2.9818704
brianbanksmovie,1.1929841,1.0957246,2.3900218,1.4324493,1.3309427
brightburnmovie,1.6654019,1.1451328,2.7566645,1.3248736,1.6717707
brittanyrunsmov,1.1103494,0.87822765,1.3749979,1.1641976,1.0492152
captainmarvelofficial,1.3688879,1.0774353,2.3907073,1.3730636,1.7000386
captivestatemovie,1.7986039,1.2774369,2.6858623,1.2722161,1.4695867
catsmovie,1.7421803,1.6254086,4.087207,1.8366652,2.6371887
charliesangels,2.8316786,1.6205517,4.98253,2.902385,3.6125388
childsplaymovie,3.5404146,3.7342565,7.126755,3.1187966,4.7768526
clarathefilm,5.0302887,4.521742,10.750654,4.7345037,6.490322
coldpursuitmovie,1.1405869,0.99123967,1.5707374,0.9142581,0.99786687
countdown,2.3714871,1.7042055,3.513779,1.8149254,2.0229049
currentwarmovie,1.311269,1.0689818,2.2310772,1.1574504,1.3759805
darkwatersmovie,1.9094765,1.2449878,3.3227293,1.628168,1.9077291
detectivepikachumovie,1.6955947,1.5682292,2.6819458,1.538481,1.6245084
disneyaladdin,1.8759644,1.5204346,3.2259567,1.4718056,1.8562586
disneyfrozen,3.497938,2.350379,5.206534,1.7601558,2.516543
disneymaleficent,1.6568515,1.3719159,2.5447845,1.2980113,1.6112163
doctorsleepmovie,1.367851,0.87191767,1.855164,1.1025616,1.2026503
dolemiteismyname,2.4106703,2.1843655,3.6847184,1.614411,1.8191192
dontletgomovie,1.5474223,1.2314676,2.5214262,1.2625632,1.5647895
doramovie,1.2264649,1.1101458,2.2715297,1.147141,1.3661792
downtonabbey_official,1.7321197,1.612509,4.1642184,1.4355074,2.0429134
dumbo,1.5255485,1.2514715,2.2577143,1.0653732,1.3453778
escaperoom,1.7346092,1.0709807,2.485233,1.2573195,1.6610974
everybodyknowsmovie,1.1075249,0.723108,1.7690372,0.8815459,0.9526129
fastandfuriousmovie,2.7604198,1.7328585,5.0577884,1.9540846,2.92962
fightingwmyfam,2.2424355,1.4901447,3.4919393,2.0588553,2.0121222
fivefeetapartfilm,3.6299756,2.7333746,5.667037,2.560365,3.007306
fordvferrari,1.2563134,1.0673897,1.9328434,0.913203,1.0320903
freaksthefilm,1.3457669,1.18557,2.4659128,1.0987308,1.3463589
geminimanmovie,1.3995166,1.0852877,2.42498,1.3233628,1.4740686
glassmovie,1.4602565,1.3919705,2.4189043,0.98951805,1.530783
gloriabellmovie,1.4038427,1.2614372,2.2013597,1.1968646,1.225233
godzillamovie,1.6119198,1.1577114,2.2217672,1.475635,1.4801656
goldfinchmovie,1.7214594,1.4101756,1.9896303,1.0280511,1.4700403
goodboysmovie,1.5599413,1.2374976,2.8425734,1.4334301,1.8522207
goodliarmovie,1.800538,1.3420923,2.9427905,1.380551,1.9122397
gretafilm,1.7141683,1.2438816,2.9969442,1.5385689,1.8468887
halathemovie,2.0628386,1.7267268,4.0811944,1.5070053,2.311237
happydeathdaymovie,0.9284023,0.7798087,1.1852647,0.91821074,0.8650643
harrietfilm,1.3681192,1.2170308,2.7087996,1.1963071,1.5214889
hellboymovie,1.4237046,1.0706161,2.3062725,1.2112867,1.4180189
hersmellmovie,2.8043797,2.60204,4.756163,1.6778513,2.1637683
highlifemovie,1.1464354,0.9950225,1.6740531,0.9895978,0.94643164
highstrungmovie,10.9985075,8.012106,21.842325,11.9205,13.745167
honeyboymovie,2.6055856,2.3022752,4.183261,2.6266341,3.3080292
hotelmumbaifilm,1.2221258,1.1667911,1.8808001,1.2066364,1.1473838
httydragon,3.0465112,2.4532254,5.3374863,2.650074,3.603518
hustlemovie,1.6271278,1.1961819,3.0687027,1.4297317,1.8405359
hustlersmovie,4.9818625,3.822376,12.283837,4.2978773,6.0427933
isntitromantic,1.6321031,1.1237001,2.6523983,1.4990387,1.5970619
itmovieofficial,1.6928718,1.505162,2.6965444,1.2883416,1.7680484
jayandsilentbob,2.4459882,1.547583,4.292261,1.6732848,2.3361647
johnwickmovie,2.6119874,2.2689404,3.7599406,1.659416,2.0790823
jojorabbitmovie,2.150464,1.6289495,3.559009,1.7006991,1.5087303
jokermovie,1.197798,1.0549644,2.016787,1.2137774,1.1751298
judythefilm,1.3389626,1.0657394,2.4717464,1.3188745,1.9214599
jumanjimovie,3.294672,2.0704756,4.976288,2.5034256,3.4021418
justmercyfilm,1.0231107,0.83973724,1.7617251,1.1182425,1.1163291
knivesout,2.8421733,1.6661676,3.6125948,1.4867442,2.0165982
lalloronamovie,1.3010558,0.9483243,2.046331,1.0659622,1.2316891
lastblackmansf,2.0904782,2.1354814,3.7421012,1.7824872,1.7618182
lastchristmasthemovie,1.1433293,0.894606,1.5789198,0.9422631,1.0831742
latenightmovie,1.5308317,1.4453232,2.9103336,1.1890235,1.9416116
lighthousemovie,1.1464354,0.9950225,1.6740531,0.9895978,0.94643164
lionking,2.2537904,1.8640659,4.4546833,2.010549,2.872543
littlethemovie,1.5519068,1.4292413,2.762832,1.5617974,1.5690596
littlewomenmovie,2.2373219,1.7087168,3.2145073,1.6099167,1.8694456
littlewoodsfilm,1.5522412,1.4972358,2.9321203,1.5162327,1.7484819
longshotmovie,1.7056626,1.3016145,2.937904,1.5162698,1.6544762
lordsofchaosmovie,1.4159441,1.240282,2.020611,1.0997268,1.1562393
lucyintheskyfilm,1.3007464,1.2918745,2.3347685,1.2793518,1.0345395
mamovie2019,2.723436,1.9525831,4.6569324,2.291315,2.8777907
marriagestory,2.579637,2.1689956,4.0355086,1.8079268,2.0165257
meettheaddams,1.902135,1.3913673,2.8105187,1.6160564,1.8496661
meninblack,1.9891983,1.560546,3.910687,1.153776,2.4457994
midsommarmovie,1.5292146,1.2324245,2.3812819,1.3367326,1.2150503
midwaymovie,1.6372913,1.17416,3.2886605,1.3394784,2.0519755
missbalamovie,1.8160464,1.1502376,2.5945883,1.4786042,1.7268063
missinglinkfilm,1.1880183,0.98409295,1.6188148,0.95142925,1.024671
motherlessbklyn,2.4980664,1.7541639,3.7616005,1.8455366,2.2503293
onceinhollywood,1.7483842,1.0819572,2.9450967,2.0197659,2.0039077
onthebasisofsex,2.506287,1.3076642,4.790566,2.2027335,2.6810696
overcomermovie,1.2224563,1.0775648,1.6028614,1.0376574,1.0672839
peanutbutterfalcon,16.426336,14.974427,30.725296,13.761602,17.39031
petsematarymovie,1.5501057,0.9344832,2.675757,1.5611775,1.6678118
piercingmovie,6.013874,5.5908966,12.338213,5.160754,7.10065
playingwithfire,1.5539846,1.4198538,3.189906,1.5911863,1.8961512
playmobilthemovie,1.8794419,1.303663,3.193619,1.4934771,1.806215
pomsmovie,1.1846583,0.8626132,1.7228085,0.92245793,1.0595961
queenandslim,2.2757423,2.346697,4.6354065,1.9022713,2.6391666
rambomovie,1.0527103,0.91446483,1.4895258,0.88044727,1.0716199
readyornotfilm,1.3008555,1.042833,1.8659164,1.1210902,1.010896
richardjewellfilm,1.5641263,1.1623869,2.441894,1.4192749,1.4618345
rocketmanmovie,1.2326747,0.8945772,2.2359426,1.3830276,1.5968705
scarystoriesmovie,1.418741,1.2397232,2.110574,1.168467,1.118813
secretlifeofpets,2.6961331,1.9950546,4.867351,2.0093327,2.2042592
serenityfilm,1.3818369,0.9981381,1.8284271,1.027276,1.0777205
shaftmovie,1.3607631,1.149731,2.4727805,1.096824,1.435905
shazammovie,1.5319034,1.154387,2.6668499,1.4843692,1.6324565
spidermanmovie,2.6549702,1.915489,4.37527,2.0455177,2.7277305
spiesindisguise,2.061222,1.9095281,3.7585673,1.4654468,1.6649978
starwars,6.760938,4.29098,12.659573,4.3476872,6.1768017
stormboymovie,1.2556598,1.2442989,2.0084453,1.077191,1.0811133
stubermovie,1.2260984,1.0979912,2.3826933,0.87988114,1.3746134
taosdfilm,0.9613457,0.65349334,1.3913996,0.6866901,0.7333613
teenspiritmov,1.748364,1.3744379,3.1495864,1.6694778,2.871092
terminator,1.4971025,1.031803,2.612824,1.4388378,1.6430287
theaeronautsmov,0.97733295,0.87466174,1.1437135,0.97777855,0.92605513
thebestofenemies,1.6201416,1.1097486,2.4878464,1.3050888,1.7154235
thedeaddontdie,1.431305,1.0325092,2.6807,1.3489469,1.3323615
thefarewell,1.3535111,1.0720254,1.9973937,1.2458079,1.2555503
thehighwaymen,1.4835474,1.2686867,2.8240778,1.1327894,1.4015474
thehummingbirdprojectfilm,0.6777034,0.565342,1.0050421,0.61962605,0.6338192
theintrudermovie,2.4749615,1.8440158,3.2688975,1.5749284,1.9878547
theirishmanfilm,3.1720996,2.3248513,5.2636433,1.9581634,2.554227
thekitchenmovie,2.4965675,2.3673086,3.887581,2.2085898,1.8421153
thelegomovie,2.2836232,1.7999923,3.3861365,1.8424906,1.931178
themustangfilm,1.2084465,0.90088123,1.9730319,1.1071175,1.194556
thenightingalefilm,1.6693683,1.2635303,3.260911,1.882573,2.3311749
theprodigymovie,2.456178,2.5054657,4.591353,1.8846396,2.8275228
thesunisalsoastar,2.0918593,1.5239955,3.4078424,1.7176043,2.1946056
theupsidefilm,2.3154,1.5827968,3.451989,1.730312,2.1176436
tolkienmovie,1.8272661,1.178263,2.4799635,1.5992496,1.370598
toystory,2.09107,1.5635036,3.307932,1.5997027,1.7997915
triplefrontier,1.3620684,1.3096021,2.3537898,1.1622177,1.4719177
uglydolls,1.8499806,1.3988447,3.6983209,2.282664,2.5467627
uncutgems,2.0936644,1.7267989,2.9258325,1.4370126,1.7330345
underthesilverlake,1.685616,1.5173657,2.3753586,1.3147887,1.2940223
usmovie,0.9938371,0.894198,1.7427543,0.9125531,1.0244823
wavesmovie,1.9868555,1.569118,2.7158873,1.7135677,1.4986672
whatmenwant,1.8794851,1.166546,3.450876,2.1044497,2.0284846
wonderparkmovie,1.1963649,1.0049686,2.8976643,1.3408576,1.7375038
wrinklestheclown,0.6777034,0.565342,1.0050421,0.61962605,0.6338192
xmenmovies,3.2862566,2.2806158,5.86695,2.8044555,3.7686992
yardiefilm,0.98384917,0.9962973,1.5712793,0.9356812,0.9504757
yesterdaymovie,1.2846779,1.0064782,2.1231735,0.97749627,1.2191645
zombieland,2.449941,1.5635222,3.7486362,1.8583859,2.6824484
