movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34
21bridgesmovie,0.8327662,0.48097315,0.8638025,0.20867153,1.0549631,0.6060316,0.31710225,1.028065,0.7158432,0.3051963,0.78325367,0.46253422,0.8109379,0.83269227,0.0,0.6346655,0.79556024,0.31585005,0.49448356,0.57048243,0.4302777,0.4315412,0.62469244,0.9380586,0.86046135,0.0,0.70596665,0.76249194,0.40658012,0.85101086,0.0,0.6245154,0.58880687,0.729099,0.8017165
47metersdown,0.77755374,0.53801787,1.3460008,0.55809283,1.1142691,0.6632551,0.5243386,1.1589069,0.70204735,0.8317511,1.2817321,0.66179717,0.7198111,0.7744091,0.0,0.9463774,1.3246524,0.59963113,0.6928203,0.9438673,0.6006772,0.66475976,0.6315251,0.8987054,1.316697,0.0,0.7051518,1.0799217,0.69123626,1.3430859,0.0,1.0555285,1.0584859,0.702279,0.9103232
abeautifuldaymovie,0.9658723,0.44670868,0.80622864,0.45978698,0.95391744,0.33154175,0.50314933,0.7594568,0.64537084,0.35530484,0.8804599,0.72190607,0.36551958,0.5547507,0.0,1.0104665,0.8552126,0.59084165,0.71923673,0.6271482,0.47967184,0.37111527,0.44739646,1.0062941,1.0110406,0.0,0.41281742,0.78624016,0.3870724,0.8095929,0.0,0.5405894,0.30852896,0.70358354,0.89046365
abominablemovie,1.9560366,0.68249726,1.3198016,0.5556222,1.6809558,0.93224573,0.9773464,1.7706351,1.3748367,0.559276,1.2864305,1.1654065,1.2712251,1.0831392,0.0,1.6594703,1.2288561,0.88750815,1.5291172,1.3181301,1.0221766,0.72309756,1.0967457,1.9150742,1.3355402,0.0,0.62980884,1.1707873,0.49136806,1.075975,0.0,1.0182006,0.89192736,0.8765234,1.3331857
adastramovie,0.6695442,0.30471092,0.701972,0.3273538,0.9384687,0.3299338,0.35639685,0.68778676,0.6045165,0.2574883,0.7814986,0.52986133,0.5639186,0.63288134,0.0,0.5954573,0.7118357,0.37105888,0.46209514,0.5133948,0.43567976,0.5802011,0.31989002,1.0022252,0.8617751,0.0,0.5570795,0.7125288,0.2929669,0.81172013,0.0,0.46866304,0.2959229,0.64406145,0.79566354
adogsjourneymovie,2.08215,1.2433809,1.9927516,0.49735436,2.2044473,0.90576327,0.689231,2.0930235,0.87094164,1.0425788,2.1938148,1.6413727,0.69833314,1.0624214,0.0,2.153511,2.2184231,1.2438078,1.7806464,1.5473422,0.4902516,0.800899,0.8153701,2.3267002,2.1197486,0.0,0.90155345,1.8990135,1.0385231,1.7645988,0.0,0.6565678,0.59886277,1.9235339,2.490631
aftermathmovie,0.7426743,0.3755635,0.7605296,0.34752148,0.79473567,0.5001551,0.2987516,0.76775044,0.5402067,0.33370152,0.8254658,0.48695946,0.44714707,0.35758615,0.0,0.63930565,0.82777345,0.45260876,0.5374442,0.64204055,0.36853766,0.26514384,0.36517608,0.78248054,0.8977877,0.0,0.48364812,0.52364814,0.34504086,0.75202996,0.0,0.5208612,0.49511403,0.46932352,0.7088692
aftermovie,0.7524426,0.21816343,0.6601982,0.25054958,0.9677717,0.54801226,0.5047366,0.8387826,0.77008784,0.3289168,0.7378413,0.5735642,0.4672371,0.67270386,0.0,0.708142,0.70097786,0.44054884,0.52859783,0.6973008,0.364597,0.44096985,0.45935223,1.0897539,0.8626025,0.0,0.50933796,0.5149473,0.25201103,0.71889603,0.0,0.43177766,0.3950371,0.60777205,0.97654563
ahiddenlifefilm,0.3993349,0.24045114,0.42925808,0.18650602,0.47716162,0.23855227,0.21885765,0.41376096,0.3481055,0.22526804,0.45453393,0.3417393,0.27722675,0.31342292,0.0,0.41919234,0.4531523,0.2655549,0.34944016,0.3567027,0.24881388,0.23091462,0.24902101,0.4592005,0.46109965,0.0,0.2538092,0.3581456,0.22539216,0.44003743,0.0,0.28308988,0.27547643,0.34800088,0.40568352
alitamovie,0.9303958,0.4576856,0.782568,0.25598517,1.3430003,0.60440433,0.581037,1.2032633,0.55967295,0.30997217,0.86749214,0.4126447,0.8692586,0.9097921,0.0,1.012316,1.143665,0.3778453,0.91550493,0.7926039,0.40941295,0.81883484,0.78332216,1.0414468,1.0191108,0.0,0.7704782,1.3567313,0.46920416,0.8403993,0.0,0.98329574,0.79332244,1.0345849,1.0503438
angelhasfallen,1.0880282,0.48679668,1.1319506,0.4287103,0.9920309,0.47911447,0.39652622,1.2660381,0.7302922,0.644771,1.2149506,0.9600768,0.90068007,0.6385704,0.0,1.2471148,1.4686173,0.92645323,0.8605622,0.77955484,0.5519849,0.7319083,0.73064417,1.0481297,1.2529824,0.0,0.57279515,0.8636763,0.5880507,1.0795528,0.0,0.8523778,0.83033836,0.7090459,1.0420598
angrybirdsmovie,2.4786916,1.3305457,2.6972437,0.16564903,2.124081,1.1467791,0.55927795,2.327183,1.1397413,0.88222003,2.1467032,0.9643204,0.91553825,1.3235238,0.0,2.1833906,2.3723228,1.312192,1.2563999,1.083397,0.6412958,0.93706155,1.2681296,2.1147425,2.329473,0.0,1.3789493,1.4203898,1.4608946,2.1679118,0.0,0.90071535,0.61112183,1.4547329,2.1472437
annabellemovie,1.7241908,0.8476693,1.4947758,0.50375265,1.7027514,0.84793806,0.6133305,1.7954069,0.95484424,0.9660431,1.4816324,0.9795886,1.0502613,1.0451493,0.0,1.39271,1.8248934,0.757339,1.1680627,1.0567825,0.6829926,0.57837546,0.69203025,1.4219663,1.7303704,0.0,0.93854964,1.3135179,0.76222926,1.6139929,0.0,1.1733274,1.2734897,1.2326038,1.3987657
annamovie,0.6284479,0.5489733,1.1705385,0.2163525,1.0573511,0.40991017,0.23526266,0.83158064,0.7244694,0.42997652,0.7584487,0.3382081,0.592725,0.62260276,0.0,0.64479405,0.87819093,0.49879932,0.544509,0.63649046,0.31000942,0.45311677,0.69066167,0.9428515,0.96201277,0.0,0.56496674,0.8370473,0.41713718,0.90954566,0.0,0.5238034,0.45922855,0.5313786,0.7563466
