movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,0.0,0.49537116,0.8643334,0.5274046,0.6784759,0.8090496,0.8021093,0.0,0.73484886,0.87953895,0.0,0.28806755,0.9799689,1.0179833,0.0
47metersdown,0.0,0.6129809,0.9265878,1.0133985,0.851182,0.47043467,0.9176477,0.0,1.1022309,0.9442326,0.0,0.24523874,1.0294492,1.1803362,0.0
abeautifuldaymovie,0.0,0.6399595,0.7593553,0.74281263,0.8055678,0.68828243,0.90848184,0.0,1.0511035,0.80772805,0.0,0.3076927,0.8351468,1.1305935,0.0
abominablemovie,0.0,0.9760557,1.6742601,0.90515184,1.228387,1.2307312,2.0919065,0.0,1.7551978,1.5923065,0.0,0.4606396,1.5943363,2.134157,0.0
adastramovie,0.0,0.5877624,0.94578767,0.625663,0.6710461,0.8671092,0.95506024,0.0,0.7285898,0.8414129,0.0,0.1881429,0.93059766,0.8561891,0.0
adogsjourneymovie,0.0,0.7290854,2.061332,1.3147382,1.7264215,1.587817,2.102359,0.0,2.3977046,2.7446737,0.0,0.16936786,2.4289978,2.2057316,0.0
aftermathmovie,0.0,0.56568503,0.67579186,0.48605126,0.685518,0.70201576,0.76029885,0.0,0.6847733,0.5956521,0.0,0.30025858,0.74364805,1.0146017,0.0
aftermovie,0.0,0.61946183,0.81410813,0.5352217,0.84553725,0.8054833,0.7160137,0.0,0.785113,0.78458124,0.0,0.42886868,1.0886115,1.1898216,0.0
ahiddenlifefilm,0.0,0.3576005,0.48499978,0.39074287,0.4414086,0.5143884,0.49874705,0.0,0.4904661,0.49651927,0.0,0.20431654,0.5836521,0.6107264,0.0
alitamovie,0.0,0.72004443,1.0265392,0.686014,1.1250126,0.6394855,1.244913,0.0,1.1535506,1.0036731,0.0,0.25215012,0.78935397,1.2715845,0.0
angelhasfallen,0.0,0.5934377,1.2633396,0.7914996,1.0066208,0.9481081,1.1943828,0.0,1.057176,1.2058439,0.0,0.4025675,1.4148736,1.4235806,0.0
angrybirdsmovie,0.0,1.6227611,1.5694273,1.3618174,1.5491563,0.61750907,2.1183963,0.0,2.039932,1.5559586,0.0,0.28858638,1.0403295,2.2501557,0.0
annabellemovie,0.0,0.4203862,1.3151349,0.7425906,0.9336795,1.080038,1.4666255,0.0,1.4796773,1.6575828,0.0,0.5321706,1.5471357,1.7661729,0.0
annamovie,0.0,0.7154815,0.91209185,0.6694913,0.8736408,0.9550555,0.93375224,0.0,0.9579799,0.81472754,0.0,0.33850414,1.0127321,1.249506,0.0
apollo11movie,0.0,0.4927429,0.6275705,0.4666587,0.740318,0.7054908,0.6972676,0.0,0.68190837,0.6190546,0.0,0.24848565,0.7879443,0.90471315,0.0
arcticdogsmovie,0.0,0.68213594,0.8028505,0.72072077,0.90850544,0.6879927,0.7208739,0.0,0.93218184,0.666208,0.0,0.28552103,0.7633079,1.1050935,0.0
arcticmovie,0.0,0.49254042,0.65344894,0.49499458,0.7052732,0.6271785,0.7522876,0.0,0.84147537,0.6565544,0.0,0.27854368,0.7091594,0.91547793,0.0
artofracingmovie,0.0,0.48417604,1.1149468,0.8510022,0.75074244,0.9979235,1.023754,0.0,0.97145855,1.1982039,0.0,0.1374131,1.3064398,0.8880407,0.0
avengers,0.0,0.46512055,0.67894936,0.6339211,0.56486213,0.5500249,0.7949674,0.0,0.8342532,0.7995239,0.0,0.31004882,0.7722992,0.97641426,0.0
beachbummovie,0.0,0.6827186,0.8831134,0.75460154,0.9779162,0.76692605,1.2760834,0.0,1.1811125,1.067586,0.0,0.27966723,1.029166,1.3675284,0.0
bernadettefilm,0.0,0.6351326,1.0334872,0.84866184,0.87872237,1.0079912,0.9252133,0.0,0.71532416,1.0167634,0.0,0.38942987,1.3352413,1.2855606,0.0
blackandbluemovie,0.0,1.3545612,1.2085023,1.177775,1.6697183,1.2927996,1.591081,0.0,2.1138253,1.3754979,0.0,0.64067495,1.6624515,2.1999755,0.0
blackchristmas,0.0,0.53634685,0.706022,0.60087687,0.79702115,0.7585454,0.8648897,0.0,1.0316154,0.96167827,0.0,0.27397567,0.9749917,1.056012,0.0
blindedbythelightmovie,0.0,0.41553664,0.78648114,0.5155172,0.65177953,0.7132547,0.7047491,0.0,0.75359297,0.823051,0.0,0.21877453,0.9479221,0.898996,0.0
bombshellmovie,0.0,0.5424446,1.3221581,0.78964895,1.1404787,1.0017656,1.2979934,0.0,1.2036296,1.4089417,0.0,0.23560594,1.2871009,1.6096269,0.0
booksmart,0.0,2.6414306,5.0173798,3.6702087,5.2860875,5.359204,6.4515142,0.0,8.868174,7.449441,0.0,0.0,7.0557914,5.2050924,0.0
breakthroughmovie,0.0,1.2362541,2.1453083,1.297857,1.502984,1.485111,1.9467252,0.0,1.0490758,1.6619225,0.0,0.5620791,1.9657576,2.382873,0.0
