movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,0.78468686,0.79366684,0.45684618,1.2921212,1.3148448,0.8942505,0.9727872,0.7750733,0.6709322,0.65663594,1.1093245,0.648427,0.69623846,1.1552238,0.94404477
47metersdown,1.071655,0.26612446,0.35835212,2.1587892,1.2669934,1.3063173,0.6502145,0.7695698,0.444331,0.66293025,1.2584798,0.8824723,0.6579888,1.1043671,1.2171882
abeautifuldaymovie,0.76036066,0.8439541,0.80360323,1.6235353,0.9358314,0.87399936,0.62973297,1.0553943,0.81519324,0.7957581,1.1324713,0.45759296,0.6078787,1.2585127,1.0541638
abominablemovie,1.4441516,1.3876073,1.531242,1.9408697,1.5451115,0.7471049,1.7063038,1.6000619,1.7659307,1.1904838,1.5647049,0.7618299,0.7248526,1.9379296,1.2522178
adastramovie,0.9137845,0.8823238,0.71206117,1.4064642,0.92387015,0.72916317,0.8778078,0.6256935,0.63395184,0.55320257,1.244789,0.5503838,0.7865177,1.032878,0.59992146
adogsjourneymovie,2.1166804,1.4674227,1.2474129,3.2602918,2.253624,1.4716166,1.7220355,1.7237549,1.5316278,1.2934217,3.1879158,0.96635777,1.6284536,2.5053227,2.8562043
aftermathmovie,0.7647421,0.6977947,0.649696,1.0726154,0.76523423,0.60986924,0.6490946,0.6085577,0.7705391,0.7067009,1.0036093,0.43658537,0.65882367,0.8084302,0.5868289
aftermovie,0.76073486,0.6599256,0.59709203,1.2938257,1.0568755,0.8758104,0.64551455,0.7656469,0.66147023,0.6700241,1.260112,0.503091,0.6435389,0.73992497,0.8473012
ahiddenlifefilm,0.4591717,0.4245828,0.42565018,0.6965742,0.5814054,0.5017639,0.4476297,0.4680863,0.42449048,0.39778993,0.6249108,0.32432505,0.42625302,0.5451646,0.45392123
alitamovie,0.57717216,0.4447345,0.8132358,1.5167184,1.6132731,1.2377253,0.9636516,0.72332776,0.524057,0.7378837,1.0553623,0.7677813,0.6819123,1.1983186,0.72064406
angelhasfallen,0.9320256,1.0298481,0.7583358,1.7204998,1.7166449,0.74611473,1.0751671,1.1195071,0.7598522,0.8016584,2.1404147,0.5837966,0.65111625,1.2524527,1.0925331
angrybirdsmovie,1.7347934,1.3216527,2.068901,4.139462,3.3804698,1.9783187,0.89756197,2.5060086,0.9672369,2.7291696,3.4111552,1.4804229,1.259282,2.678435,2.8100755
annabellemovie,0.65127814,1.0163927,0.76293164,2.7918837,2.135612,1.4085214,1.1917933,1.4888521,0.87766314,0.8682853,1.8260858,1.1140301,1.0068432,1.9345707,1.5559626
annamovie,0.76096326,0.7353756,0.6935362,1.4360983,1.1242048,0.7464516,0.94805974,0.70883065,0.6197195,0.5669738,1.2541232,0.5421106,0.81582904,1.0024254,0.71241903
apollo11movie,0.6817839,0.5799023,0.55638856,1.0635734,1.003791,0.66624963,0.55516446,0.7058296,0.48152918,0.69069415,0.9397152,0.60973424,0.6282267,0.8141367,0.6797078
arcticdogsmovie,0.8121235,0.44502935,0.41297665,1.2523799,1.0064048,0.8934125,0.64415604,0.66467655,0.5449032,0.41919538,0.9836514,0.5358651,0.5854903,0.88293093,0.8210722
