movie,feature_0,feature_1,feature_2,feature_3,feature_4
21bridgesmovie,1.8448039,1.7761154,1.0054786,1.7594773,1.6306612
47metersdown,1.8934864,1.7232744,1.2924333,2.3757899,1.3123307
abeautifuldaymovie,1.7899808,1.7167836,1.0205755,1.8142511,1.7037187
abominablemovie,2.5718157,2.5960023,1.7213302,3.2450972,2.8004155
adastramovie,2.1113129,1.5448972,1.0764015,1.5854784,1.7398626
adogsjourneymovie,3.4185662,3.381255,2.5173607,4.426361,3.0163004
aftermathmovie,1.5164778,1.5188124,0.8762641,1.4292039,1.4457515
aftermovie,1.6291615,1.4103447,0.9892866,1.6734847,1.4591118
ahiddenlifefilm,0.90516394,0.84059954,0.5576017,0.93179685,0.80013335
alitamovie,2.2990043,2.2538452,1.6138527,2.0688386,1.8358158
angelhasfallen,1.9760549,2.252409,1.589561,2.9943435,1.854903
angrybirdsmovie,3.7001445,3.5494928,2.585577,5.027694,3.7315426
annabellemovie,3.0206928,2.562012,1.8807046,3.0592732,2.85258
annamovie,1.7273,1.5716875,0.9137103,1.8830675,1.7951725
apollo11movie,1.5050328,1.2764492,0.7731597,1.4212316,1.2151046
arcticdogsmovie,1.390572,1.2768294,0.9461998,1.5129296,1.20586
arcticmovie,1.7077757,1.5615652,0.76568836,1.4570934,1.2693594
artofracingmovie,2.1764357,1.9691958,1.200316,2.2226348,2.0137696
avengers,1.5879273,1.6087136,0.92480195,1.5453643,1.3096296
beachbummovie,2.0205703,1.6650172,1.0999854,2.3014326,1.7626278
bernadettefilm,1.7543874,1.7981846,1.3310947,2.2270164,2.0549474
blackandbluemovie,3.3192294,3.109424,2.2690337,3.81318,3.2147758
blackchristmas,1.5596528,1.7834376,0.9973698,1.9029568,1.6497865
blindedbythelightmovie,1.4288268,1.2148404,0.90888965,1.450538,1.2278941
bombshellmovie,2.0251672,1.7353032,1.3954248,2.3564627,1.6624191
booksmart,14.0380745,10.588633,6.6197643,15.99869,12.884935
breakthroughmovie,4.435989,3.5108573,1.8003013,3.6584728,3.6095202
brianbanksmovie,2.626555,2.3579164,1.3111415,2.3531837,2.2165508
brightburnmovie,2.101946,2.0253258,1.4848402,2.3911312,2.1400993
brittanyrunsmov,1.4636927,1.1658535,0.8857334,1.378307,1.3940165
captainmarvelofficial,2.2453518,1.7638752,1.3546495,2.1446147,1.942
captivestatemovie,2.1805208,1.9444345,1.2154129,2.1729388,2.286765
catsmovie,3.3810585,3.2408907,2.6036017,3.933448,3.2021816
charliesangels,3.0906796,3.9767995,2.693755,5.1547003,4.238391
childsplaymovie,7.035851,4.6673393,2.9336982,6.5753574,5.560483
clarathefilm,6.2356386,6.014374,5.1103168,9.616507,5.1516414
coldpursuitmovie,1.3692129,1.3699623,0.90988433,1.5797337,1.3356644
countdown,3.4367683,2.8021154,1.5972111,3.0152025,2.9896154
currentwarmovie,2.1618369,1.9889363,1.3931255,2.3986802,1.9113721
darkwatersmovie,2.9316916,2.7067137,1.8445632,2.7687142,2.840255
detectivepikachumovie,2.577183,2.1983526,1.0351468,1.9055914,2.2226949
disneyaladdin,2.5691319,2.88102,1.6712039,2.9521706,2.1551065
disneyfrozen,4.4366207,4.1129336,1.8328025,3.9229946,3.660969
disneymaleficent,2.178102,2.5114787,1.4014504,2.4979742,1.8683829
doctorsleepmovie,1.6600564,1.8196168,1.0074884,1.7497001,1.541754
dolemiteismyname,2.411167,2.4203877,1.4699247,3.2978256,2.378285
dontletgomovie,1.906534,2.0464854,1.0432984,2.2913754,1.9823239
doramovie,2.0199451,1.7660502,0.91875476,1.7908832,1.5871235
downtonabbey_official,3.1179974,3.1414678,2.3934042,3.8251612,3.197698
dumbo,1.8719745,2.127898,1.1518886,2.0329928,1.539687
escaperoom,1.948148,1.8656547,1.2399566,2.4985616,2.0753055
everybodyknowsmovie,1.4986547,1.2604688,0.9153424,1.4605875,1.3124137
fastandfuriousmovie,3.0678866,2.924346,2.567667,3.388832,3.593831
fightingwmyfam,2.8749213,1.9322494,1.4711387,2.5381598,2.4145143
fivefeetapartfilm,5.0980024,4.074035,2.0068266,4.220206,4.1867356
fordvferrari,1.9491413,1.552759,1.0387758,1.7733411,1.7466998
freaksthefilm,2.144431,1.6801538,1.2422383,2.1737983,1.7313485
geminimanmovie,2.345612,1.611025,1.2598763,2.3260577,1.8787048
glassmovie,2.5029774,1.8088813,1.0527434,1.8916502,2.032309
gloriabellmovie,1.8669631,1.4988993,0.79361916,1.8398645,1.5921288
godzillamovie,2.3412695,2.0367503,1.422437,1.9592637,2.0356612
goldfinchmovie,2.2730923,1.6204218,1.3595438,2.408084,2.2175107
goodboysmovie,1.8404751,1.991795,1.2337434,2.5186348,1.4941782
goodliarmovie,2.582177,2.2889664,1.2632198,2.7211928,2.5779047
gretafilm,1.884917,1.7828996,1.3657241,2.511844,2.0075104
halathemovie,2.8174465,2.8048785,1.7649004,3.8440316,2.605253
happydeathdaymovie,1.3116268,1.2011967,0.82282865,1.2956656,0.8941498
harrietfilm,2.1411724,1.8114405,1.3806815,2.4174442,2.1178691
hellboymovie,1.5249411,1.8034651,1.2875118,2.1972773,1.5613534
