movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
21bridgesmovie,0.45783657,0.62059706,0.54380596,0.6150598,0.5616071,0.9577522,0.7520908,0.9813052,0.683767,0.92661417,0.664917,1.0695547,0.8376874,1.00495,0.9488243,0.7125802,0.98343986,0.88060886,0.60505605,0.8345875
47metersdown,0.5560618,1.069153,0.59594893,1.096648,0.7957155,1.4607333,0.7894883,1.1931922,0.36113536,1.2823561,1.0345109,0.7990874,0.92059135,0.63960785,0.94174707,1.0795331,1.526151,0.73790634,0.9477694,1.6415876
abeautifuldaymovie,0.4720546,0.6678261,0.49999696,0.7115248,0.5842495,1.1546043,0.5710323,0.85377854,0.7447393,0.94938976,0.8788247,0.84161896,0.8125272,0.88446313,0.93808436,0.9060909,0.91018885,0.85378957,0.6592097,1.1069304
abominablemovie,0.60403585,1.5508422,0.7646629,1.5079713,0.7469568,1.4486042,0.72266424,1.5569074,1.4410999,1.4214445,0.8752464,1.6222459,1.383688,1.4738922,1.9566249,1.1950443,1.5522194,1.3103424,1.1439074,1.152748
adastramovie,0.54452384,0.8001026,0.60144424,1.0609955,0.4622542,0.7052275,0.748325,1.110037,0.7251513,1.1611179,0.83789665,0.84600276,0.6959297,0.9944143,0.95035815,0.8896649,1.2206702,0.908826,0.67886245,0.78333783
adogsjourneymovie,0.65288144,1.7674543,0.9940966,2.1801517,1.0750718,1.9236107,1.6286917,2.2110043,1.4365083,2.4787896,1.2720455,2.257245,1.6122805,2.3296154,2.8275511,1.4304613,3.3488553,1.8481442,1.7937862,1.3026613
aftermathmovie,0.45714194,0.48811772,0.23713899,0.65349495,0.48138872,0.7283077,0.50756395,0.69237643,0.48032022,0.69369435,0.5411873,0.6702952,0.4435008,0.75598276,0.82856584,0.5077679,0.83303523,0.54549235,0.5740155,0.49498063
aftermovie,0.28926796,0.71041584,0.54893726,0.95154715,0.5135248,0.94824624,0.66870517,1.0600171,0.49109593,0.9673938,0.7298313,0.7268308,0.5526242,0.6961025,0.7689825,0.97985435,0.89472216,0.67277336,0.72107565,0.6541479
ahiddenlifefilm,0.24787559,0.3574769,0.2599755,0.46341947,0.29587096,0.46328765,0.30793464,0.4849973,0.3724618,0.46100134,0.39395383,0.47488633,0.4133352,0.4442107,0.49538136,0.393797,0.54581285,0.3832671,0.35390365,0.4461008
alitamovie,0.6286098,1.1009485,0.5340657,1.0138581,0.48538762,0.8247938,0.8313907,1.2321153,0.77243847,1.4077961,1.0340366,0.8096632,0.7235143,0.908104,1.0755433,1.024216,1.370672,1.1774601,0.73617935,0.88384384
angelhasfallen,0.65072787,1.2451496,0.3046915,1.2393405,0.5758675,1.2220757,0.48005497,1.3323435,0.9475044,0.8091918,0.89428073,1.0647626,1.0243447,1.0139134,0.98537755,0.7823875,1.0358834,1.0589411,0.8043599,1.455172
angrybirdsmovie,1.3727286,1.8156778,1.5033307,2.7332954,2.4737935,2.6794941,1.4525603,2.7642336,2.5136318,2.629486,2.5275831,2.0914013,2.8097098,2.6840842,2.2162008,1.6179276,3.3866909,1.8592641,1.0537536,2.8661861
annabellemovie,1.0179868,1.0085304,0.6998221,2.0272624,0.68966687,1.6219592,0.8839444,1.9497912,1.3667564,1.6982139,1.3734591,1.795879,1.2477738,1.0905199,1.8713846,1.2414136,1.8537822,1.4167849,1.4407444,1.3535606
annamovie,0.49008667,0.69321984,0.40935904,0.5714978,0.61796,0.7064848,0.7023092,0.6688585,0.37502772,0.71321476,0.60523343,0.6538186,0.8660167,0.7109743,0.847793,0.65862584,0.9979639,0.6352231,0.54401386,0.9658414
apollo11movie,0.32981724,0.49449578,0.5141252,0.61659634,0.34543002,0.5763885,0.50147057,0.60910255,0.45421362,0.6828129,0.4720346,0.6756154,0.57988524,0.60336506,0.72059727,0.7561245,0.7857166,0.5884942,0.3918354,0.6514825
arcticdogsmovie,0.33276337,0.6466593,0.3085161,0.7864711,0.53563607,0.97043395,0.54690194,1.04676,0.49884936,0.81098294,0.68820137,0.54691696,0.8767652,0.6503685,0.66948307,0.46888405,0.931789,0.5350156,0.9106128,0.9035702
arcticmovie,0.2986649,0.66500026,0.3176096,0.83303636,0.64104676,0.6412202,0.32403252,0.6394875,0.6158618,0.61199456,0.57319194,0.8082215,0.6488748,0.6826901,0.7943758,0.47142416,0.81621003,0.5537334,0.71243036,0.52573913
artofracingmovie,0.49174786,0.85524064,0.64555967,0.820252,0.49188697,0.8701259,0.65786344,1.081907,0.6739001,1.1330931,0.94800985,0.98498636,0.93217075,1.316794,1.1699425,0.922056,1.3534894,0.808129,0.68193233,0.96832496
avengers,0.51857984,0.5101775,0.58921033,0.9394029,0.62039846,0.92986536,0.62652475,1.0526671,0.9188665,0.989701,0.6962542,1.1024877,0.8563919,0.84513235,1.0715023,0.716302,0.9661263,0.7998266,0.69646776,0.8329801
beachbummovie,0.37113357,0.8287943,0.57959807,0.9857039,0.3428684,0.7703067,0.6809612,1.0333097,0.65259254,0.9754177,0.8928287,0.98367244,0.77869964,0.7470027,1.2080541,1.0770997,1.1345465,0.87340647,0.9161501,0.9012341
bernadettefilm,0.5917944,0.60571915,0.7455354,0.76528335,0.7312134,1.0773185,0.7481632,1.123301,0.9994236,1.1552758,0.7235324,0.8815603,0.9034976,0.9393627,1.1541811,1.0523534,1.08567,0.654239,0.41022062,1.1392015
blackandbluemovie,0.84891146,1.3412967,0.95842785,1.9461648,1.2815938,1.6283339,1.211483,2.0223935,1.8014053,2.1582444,1.4470459,2.0327578,1.8200213,1.7413126,2.4913733,1.6503496,2.3199644,1.9086149,1.4294269,1.9141661
blackchristmas,0.4869914,0.8407568,0.49291384,0.9305813,0.5281576,0.83489347,0.73191756,0.9302788,0.70544916,0.9467157,0.5502107,1.0281076,0.86986053,1.0528927,1.2148255,0.80622035,1.0711899,0.60545444,0.7420676,0.7897452
blindedbythelightmovie,0.4542055,0.59131694,0.34407043,0.63121927,0.5437256,0.6571362,0.3450871,0.69596267,0.35238385,0.5255477,0.50272936,0.5786483,0.6135244,0.55505884,0.677775,0.3917956,0.70677006,0.415526,0.6031468,0.6894213
bombshellmovie,0.37782264,1.1589775,0.64569616,1.3484958,0.6622537,1.3091736,1.0387124,1.2666881,0.9437076,1.6112934,1.0429494,1.3066276,0.6911109,0.9655343,1.4258362,1.3030381,1.4219666,1.2093978,0.9704319,1.0209532
