movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,1.2482266,0.5889898,1.0446304,0.7003608,0.0,0.0,0.96549004,1.3151051,1.229687,1.3594747,0.0,1.1852394,0.0,0.8473138,0.71639
47metersdown,1.6535124,0.55257493,1.4553071,0.8047534,0.0,0.0,1.3930326,1.631029,1.1844469,1.8339175,0.0,0.9329876,0.0,1.1690273,0.7338978
abeautifuldaymovie,1.2801056,0.7577229,1.1718248,0.7122148,0.0,0.0,1.1258689,1.1922617,0.9764193,1.4982328,0.0,0.8102814,0.0,0.91629696,0.82263094
abominablemovie,2.1628351,0.6323383,2.0774262,1.1068101,0.0,0.0,1.8547897,2.0007787,1.55649,2.333785,0.0,1.3783706,0.0,1.4621257,1.1310028
adastramovie,1.0591645,1.0373936,0.77358437,0.85508686,0.0,0.0,1.3567375,1.3273299,0.8886155,1.2471809,0.0,0.95138955,0.0,0.7664798,0.73975027
adogsjourneymovie,3.5398471,1.9055023,2.581514,1.9467868,0.0,0.0,2.8190668,2.558327,2.1236439,3.373938,0.0,1.6006982,0.0,1.6931212,1.8078084
aftermathmovie,1.0833611,0.6732517,0.84568423,0.6196224,0.0,0.0,1.0037318,1.0881952,0.7374368,1.0649197,0.0,0.6428021,0.0,0.7312266,0.56864035
aftermovie,1.2584312,0.72209746,1.0298944,0.96280885,0.0,0.0,1.0405109,1.3090516,0.93561447,1.204892,0.0,0.83708,0.0,0.66919655,0.73070055
ahiddenlifefilm,0.6745884,0.3955156,0.6036329,0.44040838,0.0,0.0,0.6303387,0.650899,0.5530685,0.68463135,0.0,0.42322302,0.0,0.4926187,0.44050574
alitamovie,1.4080095,1.2085396,0.99983317,0.83107626,0.0,0.0,1.3383132,1.4611094,1.0512106,1.3264898,0.0,1.1734562,0.0,0.87007433,0.793037
angelhasfallen,1.4488931,0.9374937,1.6034973,0.8681111,0.0,0.0,1.3627329,1.3553268,1.1327078,1.759625,0.0,1.0989476,0.0,1.049168,0.8855815
angrybirdsmovie,3.2613282,1.4978911,3.050407,1.9760305,0.0,0.0,2.8498447,2.9210327,2.0093188,4.00608,0.0,1.6762267,0.0,2.908741,1.8401743
annabellemovie,1.6652853,1.1954056,1.6794251,1.1180062,0.0,0.0,1.652663,1.78501,1.1115887,2.2468255,0.0,1.3635309,0.0,1.5348852,0.97169733
annamovie,1.121265,0.88357705,1.0685083,0.68058234,0.0,0.0,1.2901219,1.3590765,1.1278434,1.4364681,0.0,0.87283915,0.0,0.80457836,0.8898384
apollo11movie,0.99015975,0.48009846,0.9817529,0.5555698,0.0,0.0,1.0199788,0.961517,0.939371,1.0972697,0.0,0.54687387,0.0,0.8051302,0.7093416
arcticdogsmovie,0.93928736,0.4960967,0.88689435,0.5196653,0.0,0.0,0.9307254,1.1458285,0.6541684,1.1036946,0.0,0.61353785,0.0,0.76910484,0.5825832
arcticmovie,0.9644972,0.47784308,0.6551547,0.44840252,0.0,0.0,0.6554105,0.8450715,0.5987114,0.88939726,0.0,0.6774124,0.0,0.7948961,0.45597816
artofracingmovie,1.1147175,0.9666253,0.88298863,0.698724,0.0,0.0,1.4598345,1.2005192,0.79666275,1.3638883,0.0,0.88078284,0.0,0.996309,1.0163347
avengers,1.0310467,0.7754917,0.8580852,0.56321526,0.0,0.0,1.0309111,1.0868946,0.8694607,1.1064539,0.0,0.7913419,0.0,0.9104907,0.52577066
beachbummovie,1.8350161,0.66134906,1.5012903,0.8394286,0.0,0.0,1.4744118,1.5235097,1.3264376,1.9450325,0.0,0.6906781,0.0,1.1854178,0.97416836
