movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14
21bridgesmovie,0.0,1.096464,1.2062504,0.6715245,0.68809617,0.0,1.343427,0.7266915,1.0753152,1.4638138,0.6732677,0.9357751,1.0454353,0.96760035,0.86079276
47metersdown,0.0,1.3685412,1.3177304,0.49206555,0.65321773,0.0,1.6831386,1.1730267,0.6078641,1.4516642,0.7847387,1.1141841,0.7129283,0.9122048,1.3750367
abeautifuldaymovie,0.0,0.9837868,1.0180889,0.59861773,0.66095513,0.0,1.538567,0.791892,0.7484193,1.2793678,0.72207433,0.7408486,0.72633845,0.8259549,0.6198535
abominablemovie,0.0,1.672387,1.9599591,0.9128927,1.1792046,0.0,2.6684916,1.5190632,1.3426254,1.992206,0.89363176,1.812423,1.265463,1.8561381,0.8878563
adastramovie,0.0,0.94271946,0.8434322,0.62458426,0.677912,0.0,1.405081,0.8197611,0.65955716,1.2335184,0.7086656,0.9963582,0.625744,0.8370005,0.61173064
adogsjourneymovie,0.024853606,1.819258,1.6395527,0.9625904,1.233205,0.0,3.2501683,1.5526494,1.337409,2.7983673,1.5920646,2.0110655,1.6528409,1.6078137,1.489036
aftermathmovie,0.0,0.66982436,0.72766876,0.5097142,0.73835015,0.0,1.186487,0.5545669,0.7187019,1.0685649,0.4740712,0.7978719,0.66262126,0.7056561,0.6199101
aftermovie,0.0,1.1312875,1.1470157,0.63009244,0.38537493,0.0,1.2684321,0.7471284,0.7571456,1.1885747,0.6994755,0.7831021,0.8524366,0.86611027,0.58458096
ahiddenlifefilm,0.0,0.548622,0.49403027,0.35415745,0.33330822,0.0,0.6802119,0.4563716,0.4220622,0.6758255,0.3425231,0.5158275,0.44531107,0.46708986,0.40252972
alitamovie,0.056998953,1.264163,0.81267786,0.8774835,0.71327084,0.0,2.0158577,1.3763304,0.6892599,1.7253009,0.84222543,1.103405,0.79881114,0.9327503,0.8472399
angelhasfallen,0.0,1.4569119,1.6318839,0.7165086,0.8218074,0.0,1.9417588,1.156486,1.0451124,1.8331432,0.9036036,0.98659223,1.0270679,1.5231886,1.0147786
angrybirdsmovie,0.0,3.5872138,2.8748717,1.9218267,0.5886151,0.0,3.6854706,2.0176144,2.3226073,3.0989625,1.2948136,1.9596164,1.6501832,2.8042192,1.2860553
annabellemovie,0.0,1.5342844,1.5186092,0.8419288,1.3165643,0.0,2.742925,1.5062327,1.3028166,2.0206442,0.6632006,1.6312913,1.1779693,1.4352789,0.9407382
annamovie,0.0,1.0782539,0.7350949,0.58893657,0.621696,0.0,1.2297978,0.9208963,0.7886174,1.1069332,0.5048187,0.90924466,0.7237508,0.8386682,0.7569163
apollo11movie,0.0,0.8849901,0.63556373,0.48590416,0.6838402,0.0,1.1215445,0.59976125,0.60531276,0.90851307,0.47778678,0.82679427,0.6939732,0.63571805,0.714807
arcticdogsmovie,0.0,0.9141023,1.1243862,0.34414223,0.48723146,0.0,1.3922387,0.9837448,0.49418095,1.3957841,0.7353518,0.8251766,0.76320624,0.94783974,0.8552744
arcticmovie,0.0,1.0504124,0.8386524,0.64022803,0.67809063,0.0,1.1171191,0.8675912,0.7903564,1.0759479,0.4785059,0.7889954,0.6463529,0.73599213,0.6782745
artofracingmovie,0.0,1.1843717,0.8810737,0.7054898,0.47627288,0.0,1.3374748,0.91871375,0.6134261,1.2590731,0.9187495,0.91013896,0.61192054,1.226231,0.6221173
avengers,0.0,0.87579083,0.991953,0.4135991,0.6694453,0.0,1.2770241,0.7107398,0.89604574,1.1300173,0.534238,0.88626814,0.69634837,0.80273616,0.7569119
beachbummovie,0.003186128,1.3410575,1.0273173,0.87782216,1.0264707,0.0,1.686354,0.97510004,1.1993836,1.6282591,0.7770867,1.3086658,1.1777526,0.8628623,0.90972275
bernadettefilm,0.035150692,1.189408,1.1243647,0.7814115,0.47637257,0.0,1.2784725,0.9782879,1.2927066,1.4764373,0.84602493,1.1613878,0.76043457,0.93229777,0.6416061
blackandbluemovie,0.0,1.6231155,1.6986656,1.3517389,0.7958833,0.0,2.6637387,1.6048013,1.5965334,2.8369508,1.2911125,1.5091462,1.4715704,1.095505,1.1233082
blackchristmas,0.0,1.0313424,1.142078,0.7032682,0.6169728,0.0,1.3474501,0.8844992,0.85634226,1.437498,0.74825215,1.1288234,1.0860147,1.1044556,0.8306036
blindedbythelightmovie,0.0,0.8381443,0.736434,0.41693082,0.46369004,0.0,0.9642488,0.45056394,0.6398745,0.89887595,0.62053806,0.74044216,0.7437759,0.604087,0.61379796
bombshellmovie,0.0,1.339615,1.2885396,0.7204855,0.4761938,0.0,1.6848571,1.2823386,1.0094873,1.8601501,0.6313568,1.2719963,0.9383434,0.921716,0.98918927
booksmart,0.0,5.428219,5.306995,4.281962,4.628319,0.0,13.2051735,6.133871,5.2243853,11.635583,3.142087,5.8428745,3.7919846,5.8374214,3.6628578
breakthroughmovie,0.0,2.0100734,2.1769598,1.0262865,0.9220656,0.0,3.018449,1.9878864,1.2313076,2.4221296,1.3100795,2.5104349,1.5551275,2.1304262,1.4674599
brianbanksmovie,0.0,1.4577204,1.1299199,0.765707,0.7143695,0.0,1.67239,1.2984908,1.0873528,1.657355,0.6749763,1.0175049,0.91827756,0.97979116,0.73863596
brightburnmovie,0.0,1.0051541,1.0097792,0.86363673,0.77944404,0.0,1.7200214,0.8843563,0.8117313,1.7663612,0.5625022,1.0282124,1.0024033,0.8443354,0.90602094
brittanyrunsmov,0.0,0.7506145,0.5079762,0.4256323,0.2823647,0.0,1.1023993,0.5538163,0.55106884,0.9979623,0.48533535,0.63844335,0.60979104,0.45577472,0.34277326
