movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
21bridgesmovie,0.8219655,0.8735906,1.0060649,0.83039355,0.36854476,0.67760974,0.51180804,0.8304022,0.0,0.4203856,1.0591029,0.5495023,0.6585874,0.77109057,0.79337597,1.1115291,0.48461825,0.34753567,1.2384075,0.29968283,0.75762784,1.0121006,0.0,0.6551417,0.850249
47metersdown,1.2824596,0.84498495,0.93293077,0.7767311,0.6709068,0.5121507,0.9454042,1.2118695,0.0,0.8079108,1.1017994,0.38464186,0.71285677,0.64080113,0.56383187,1.3724377,0.76161605,0.63909733,1.5910118,0.4875045,0.9409275,1.2678363,0.0,0.5925693,0.5969945
abeautifuldaymovie,0.8217039,0.80148554,0.8580582,0.73982424,0.44057566,0.70184726,0.58021814,0.8755841,0.0,0.68351674,0.78505915,0.43909323,0.5370223,0.46327966,0.6002666,1.0308726,0.5369023,0.52627265,1.3860968,0.19539598,0.5436691,0.8671088,0.0,0.6633071,0.6663302
abominablemovie,1.0907396,1.3181534,1.3879938,1.379218,0.67817235,0.99043435,0.61242914,0.9628168,0.0,0.75547063,1.4903136,0.60741645,0.51929635,0.7524122,1.0065733,1.0610054,0.57883036,0.6026394,1.595129,0.40429306,1.0510097,1.3660592,0.0,1.2892458,1.1940204
adastramovie,0.76585436,0.67528653,0.7352573,0.7040998,0.49320555,0.5396096,0.4880914,0.73379916,0.0,0.44507754,0.89288425,0.5954194,0.45632,0.44873655,0.59128326,1.0159624,0.47616476,0.26507598,0.97435826,0.2055281,0.72279716,0.8614731,0.0,0.73236203,0.6867087
adogsjourneymovie,1.3628955,2.0206068,2.2514827,1.8852524,1.0498371,0.5869469,0.7682034,1.2387934,0.0,1.1603068,2.0109334,1.2802491,1.0897756,1.2416013,1.1018634,2.62245,1.0905801,0.995852,2.2158134,0.42268276,1.722192,1.8796921,0.0,1.3562549,1.1360847
aftermathmovie,0.69998884,0.70913523,0.7176298,0.61319655,0.60994416,0.5764206,0.41817266,0.66630834,0.0,0.43552095,0.7852715,0.4713843,0.47359863,0.39059186,0.64164937,0.95427096,0.37279952,0.5091811,0.87657094,0.21171823,0.6770098,0.64850044,0.0,0.58693236,0.6518946
aftermovie,0.94010085,0.72988856,0.85890716,0.6895115,0.3872562,0.39974162,0.57674253,0.78926945,0.0,0.47026238,0.98632485,0.56883746,0.49626356,0.53427285,0.561022,1.0236937,0.5512822,0.591254,1.1190013,0.19093426,0.51000166,0.7936214,0.0,0.6315548,0.77755153
ahiddenlifefilm,0.41506013,0.42844015,0.44129142,0.4222139,0.32664168,0.32866293,0.30810452,0.41451937,0.0,0.28406256,0.4842061,0.29617164,0.24194704,0.30103266,0.3502711,0.5217937,0.30542815,0.25322217,0.54780436,0.14595997,0.36965963,0.44217312,0.0,0.3741061,0.36285058
alitamovie,0.7913658,1.0782843,0.9757184,0.94829345,0.7400795,0.30261624,0.5184041,1.0761533,0.0,0.6506405,1.3310058,0.62117815,0.28328034,0.8886301,0.8807108,1.1252863,0.6763209,0.46066886,1.3742573,0.25660536,1.0243014,1.1304901,0.0,0.8947495,0.73537403
angelhasfallen,1.0101135,0.8591979,1.0368525,0.8889984,0.8563469,0.6427113,0.60146374,1.0268071,0.0,0.602853,1.2979921,0.901022,0.7696333,0.8629205,0.70020187,1.3728824,0.69728696,0.53274786,1.4021547,0.34702766,0.94897246,1.1521715,0.0,0.8914227,0.8640542
angrybirdsmovie,2.1563718,2.3382852,2.3974497,2.1778936,1.4301491,1.0564723,1.4006795,2.15728,0.0,1.6436212,3.1466866,1.2327533,1.3645278,1.3660084,2.3223875,3.4835756,2.2880666,1.4347593,2.9818332,0.80145925,2.3218787,2.4920464,0.0,2.4289572,1.6344206
annabellemovie,1.8016838,1.3235233,1.2021463,1.6573222,0.879422,1.3293071,0.6664353,1.528862,0.0,0.7825954,1.1479418,0.960366,0.72888577,0.88409925,0.9018183,2.0096924,0.80215204,0.952474,1.8334715,0.37478238,1.1184351,1.46064,0.0,1.2938414,0.9317513
annamovie,0.7535038,0.89676195,0.77589077,0.66031384,0.39342284,0.40098998,0.6359178,0.78769183,0.0,0.46025702,0.93170583,0.70429873,0.7428766,0.6039701,0.6221029,1.1037602,0.55759394,0.4098056,0.99077994,0.2923405,0.697803,0.7175422,0.0,0.7557433,0.7119559
apollo11movie,0.58131367,0.54585356,0.6301608,0.71335965,0.51702696,0.5894973,0.46983886,0.73906666,0.0,0.37733728,0.6998265,0.5085146,0.38847995,0.3194241,0.4192351,0.949865,0.5194081,0.41436005,0.6950933,0.19783403,0.57918966,0.6029688,0.0,0.5344449,0.6210881
arcticdogsmovie,0.61835325,0.8855699,0.5494751,0.80146086,0.48339355,0.44779795,0.56061417,0.64937013,0.0,0.5843706,0.6972355,0.2931993,0.36413252,0.57955384,0.5893274,0.90740323,0.61511,0.38800704,0.97567147,0.2511041,0.54210055,0.6684785,0.0,0.665746,0.49524668
arcticmovie,0.5638585,0.62595785,0.6128695,0.6140488,0.53416586,0.5044099,0.42734402,0.716403,0.0,0.44006494,0.7957705,0.49657822,0.6254753,0.47724342,0.60127145,0.9311123,0.46063375,0.19625878,0.76314837,0.19624132,0.6792742,0.550154,0.0,0.56577873,0.56980586
artofracingmovie,0.8378338,0.8822075,0.8821833,0.93729544,0.5622652,0.43148097,0.4354229,0.78021073,0.0,0.43605176,1.1532559,0.9692314,0.6420661,0.70372045,0.80532086,1.2582443,0.6076574,0.27426857,1.0787817,0.30790588,0.9672371,1.0322912,0.0,0.91547227,0.79768646
avengers,0.6262137,0.75790596,0.8820125,0.90855116,0.5485499,0.6409636,0.6021962,0.7596897,0.0,0.48903736,1.0684005,0.44255975,0.43764615,0.41173,0.6583462,1.0041847,0.48496032,0.28953603,1.1884854,0.23123635,0.6362556,0.9010476,0.0,0.7301707,0.5522317
beachbummovie,0.837815,0.94309247,0.96317804,1.0805857,0.6212545,0.81365675,0.8245475,1.0615189,0.0,0.45009804,1.2614794,0.87311447,0.7196656,0.52146107,0.57556695,1.2887814,0.8183656,0.6450032,1.4992874,0.18376487,0.83948195,1.0882024,0.0,0.8525242,0.96405125
bernadettefilm,0.77039844,1.2129478,1.1700861,1.1239561,0.5560493,0.6277531,0.53627974,0.80292284,0.0,0.61171424,1.2090392,0.6670756,0.40585604,0.6053137,0.82064676,1.3878639,0.48757517,0.32976413,1.2788266,0.34422436,0.9686508,1.0874248,0.0,0.6108807,0.6473344
blackandbluemovie,1.505871,1.4150807,1.2307858,1.955908,0.52277213,1.3873428,1.0271987,1.5397508,0.0,0.9641976,1.4850752,1.1893091,1.3110936,0.75961596,0.86286664,2.4389133,1.3501658,1.1396796,2.318219,0.6088528,1.2747822,1.7023224,0.0,1.031801,1.5050993
blackchristmas,0.67134225,1.0221741,0.84906006,0.9866163,0.5734637,0.48923892,0.54618627,0.7963298,0.0,0.55144656,1.0723355,0.5870231,0.40632585,0.66137344,0.83347374,1.0335363,0.589533,0.58269054,1.2831,0.117844015,0.59729874,0.9927993,0.0,0.6134994,0.7138399
blindedbythelightmovie,0.57095546,0.5895331,0.5995535,0.4687482,0.66293085,0.50022095,0.40080184,0.62228996,0.0,0.38457102,0.8622891,0.3479945,0.34064233,0.43509644,0.6460402,0.705192,0.34514827,0.3531986,0.803532,0.27058372,0.49301732,0.592443,0.0,0.50198597,0.5471334
bombshellmovie,0.86251676,1.2177371,0.9510145,1.1798718,0.47892183,0.50326127,0.61127746,0.94846576,0.0,0.46926838,1.1637715,0.9067707,0.7016318,0.9595165,0.5227302,1.737915,0.842264,0.4232245,1.412802,0.29234445,0.9399252,0.93280625,0.0,0.90784705,0.82020426
booksmart,4.254487,7.327261,6.751532,5.776728,2.9924045,3.1392539,3.2253637,6.629583,0.0,2.6518319,8.408263,3.4118412,5.3608055,4.519387,6.1037793,7.943491,2.9464629,1.3126632,10.806345,1.9976503,4.509109,7.2350817,0.0,3.8581574,4.4450274
breakthroughmovie,1.7247164,1.8642553,1.3193355,2.1843853,0.8118484,1.7910343,0.9295078,1.9027488,0.0,1.0505017,1.9447676,1.4204974,1.1063743,0.89538085,0.9974249,2.626235,0.79903674,0.5142054,2.444355,0.1524937,1.2499155,2.032595,0.0,1.5707488,1.5133001
brianbanksmovie,1.1312301,0.80415124,1.2565331,0.84666735,0.639056,0.84399706,0.46241754,1.1112847,0.0,0.53628176,1.2688837,0.7144684,0.75836724,0.7848082,0.8387389,1.1288776,0.67928267,0.23434654,1.3266085,0.2728805,1.1244355,1.1912886,0.0,0.89949584,0.845202
brightburnmovie,1.3175361,1.0083104,1.1535842,1.1682237,0.60699266,0.9399671,0.6598926,1.2451375,0.0,0.8294292,1.0348336,0.8807699,0.9713932,0.81776595,0.8455687,1.2839773,0.7882536,0.772719,1.7161423,0.31131196,0.7766268,0.9356525,0.0,0.9316979,0.9592134
brittanyrunsmov,0.6295822,0.60795075,0.7238421,0.690585,0.37236518,0.4740761,0.280644,0.66237724,0.0,0.48432136,0.7483357,0.51882017,0.4431254,0.44932282,0.5708332,0.6644311,0.642048,0.27112764,0.8227449,0.25712487,0.4916556,0.6127547,0.0,0.44938704,0.6788676
captainmarvelofficial,0.8503548,1.1140112,1.0102656,1.1808087,0.80511594,0.5924546,0.66276133,0.77829146,0.0,0.6718528,1.2980382,0.37206072,0.5374622,0.6208467,0.7601608,1.2232678,0.6478189,0.37785596,1.453542,0.33217525,0.8511033,0.96605563,0.0,0.905988,0.65353036
captivestatemovie,0.8399257,1.1219313,0.9114542,0.9055367,0.8554592,0.84783053,0.7681855,1.0467657,0.0,0.5365528,1.1607686,0.8553409,0.6071589,0.45263815,1.0009733,1.3027558,0.661145,0.5935692,1.5367626,0.36025783,0.9984243,1.0494204,0.0,1.0595913,0.97754556
catsmovie,2.0949154,1.9806582,2.2281468,2.1016169,0.8839065,0.9276343,0.7913377,1.8688275,0.0,1.1444864,2.0244377,1.0454142,1.0031917,1.4373125,1.2921289,2.3132668,0.85951626,0.9939635,2.3885047,0.7614493,1.0306935,1.5384449,0.0,0.87778455,1.3992457
charliesangels,2.6672723,2.3655548,2.5295017,2.4673555,1.401755,1.5474751,1.396224,2.0082211,0.0,1.781862,1.992391,1.3843184,1.5622648,1.448547,1.2612656,3.0697014,1.168424,1.4550023,3.3870585,0.30187666,1.5478556,2.0171924,0.0,1.573416,1.637704
