movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34
21bridgesmovie,0.56719965,0.45192707,0.9192626,0.9653355,0.4020418,0.5060311,0.7594097,0.66934204,0.4300476,0.6873873,0.82767415,0.5688875,0.541345,0.77326185,0.8350791,0.94903916,0.79144067,0.7620887,1.1689656,0.0,0.52043545,0.7046005,0.48194587,0.39156353,0.42954466,0.0,0.5096636,0.54794645,0.5604583,0.77045417,0.7162759,0.4737844,0.47453737,0.92577934,0.23689376
47metersdown,0.8406992,0.8374289,0.9052911,1.446085,0.6248779,0.6555204,1.4612206,0.9497036,1.1062133,0.7564759,1.0902483,0.8463019,0.656376,1.1637768,1.1014513,1.4065984,1.0431728,1.124651,1.1397603,0.032654986,0.5925727,0.98984057,0.6838559,0.24178399,0.49388215,0.0,0.6282997,0.7895924,0.6498958,0.9712039,0.86158997,0.58856964,0.8089472,1.0543653,0.47773317
abeautifuldaymovie,0.8701266,0.7181336,0.9071597,0.8070629,0.73148006,0.46413228,0.9881375,0.5252218,0.42528075,0.68752354,0.92653424,0.561421,0.5471236,0.861794,0.9220437,0.8577418,1.0553021,0.71872354,0.8842373,0.0,0.41861033,0.7207582,0.49197808,0.6443504,0.2466462,0.0,0.58026016,0.5954707,0.77321005,0.6388161,0.6416095,0.7633688,0.56406355,0.8096804,0.5617419
abominablemovie,0.857937,0.9348738,1.2728688,0.85555387,0.71579355,0.8918331,1.5850946,1.0553241,1.0377027,0.958992,1.1399009,1.0001429,1.3290137,1.6109641,1.4963828,1.5554847,1.199986,1.3459933,1.9212705,0.0,0.9965209,1.3757234,0.7552659,0.63529956,0.7049861,0.0,0.7465856,0.9964197,1.1447554,1.5251062,1.3062111,0.9558803,1.518366,1.5901862,1.1678087
adastramovie,0.6478484,0.6247123,0.8043291,0.7180751,0.4301956,0.5345832,0.80515355,0.68407977,0.54892725,0.6329023,0.78590155,0.4495904,0.5752117,0.8031765,0.49020374,0.99609554,0.849064,0.54994184,0.98698646,0.0,0.5428502,0.7729239,0.44540033,0.3733107,0.50044084,0.0,0.5836122,0.5946041,0.6836442,0.7873896,0.5922667,0.5527387,0.6203627,0.85207826,0.39830366
adogsjourneymovie,1.5347111,1.9233409,1.2307978,1.5101185,0.715459,0.81953543,2.1956966,1.325094,1.8692495,0.85662866,1.1352563,1.130223,1.4513417,1.4020376,1.1964061,1.2402034,1.6823912,1.6981059,1.0258764,0.0,1.1845361,1.744581,1.423778,0.50012326,0.5448577,0.0,1.1032113,1.0201527,1.903218,1.4520957,1.163733,0.9512837,1.2409952,1.1979011,0.80017805
aftermathmovie,0.5671059,0.37473536,0.6651247,0.79968584,0.31414384,0.2830123,0.8547808,0.59579587,0.55903435,0.54117996,0.6426335,0.40640953,0.41276556,0.5993195,0.7311384,0.701339,0.7015483,0.5265192,0.81383336,0.0,0.41944212,0.61786175,0.3813886,0.35887948,0.3815428,0.0,0.44585544,0.34764367,0.40257338,0.6370805,0.43343815,0.4784447,0.42783397,0.6150592,0.26794
aftermovie,0.69645035,0.55437696,0.57763356,0.625277,0.50550944,0.40141416,0.88056934,0.82225347,0.70580316,0.6335645,0.54312783,0.5529529,0.6505634,0.7332254,0.9456538,0.6926453,0.55319196,0.70961154,0.8458912,0.0,0.3856551,0.5018415,0.42330933,0.40267116,0.4458415,0.0,0.43887568,0.69408053,0.6285782,0.8027101,0.46174827,0.4959548,0.61684364,0.98737365,0.45541504
ahiddenlifefilm,0.3378269,0.3236243,0.39904752,0.38415506,0.30084622,0.26252303,0.5018355,0.36542666,0.34278437,0.34324086,0.3879168,0.29120067,0.33121392,0.41396698,0.43042356,0.451717,0.37650794,0.37608618,0.45514008,0.0,0.2946756,0.3766268,0.26197013,0.20355313,0.24557772,0.0,0.29226232,0.27561864,0.30954856,0.4442859,0.32913363,0.28062138,0.35605955,0.4513301,0.24200457
alitamovie,0.7676582,0.60720026,0.842352,0.9902147,0.59922606,0.5214663,0.98083997,1.0158073,0.8271189,0.7781246,0.8278449,0.9152333,0.6538048,0.8764642,0.8928048,0.948426,0.9801174,0.8456106,1.2107197,0.0,0.5856797,0.85739416,0.6297822,0.4047508,0.8097888,0.0,0.55524385,0.33260235,0.7311944,1.0406201,0.4916765,0.77867496,0.987628,1.4501917,0.7410722
