movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34
21bridgesmovie,0.45758903,0.73368895,0.44995025,0.6961352,0.49261498,0.8887045,0.0,0.8472854,0.96593606,0.8668621,0.8486126,0.4730459,0.95287836,0.7368491,0.551317,0.8204983,0.36626744,1.0702643,0.57389593,0.77196413,0.19434541,0.0,0.77520657,0.0,0.8289558,0.0,0.5647853,0.74913454,0.0,0.9117371,0.40844595,0.7872729,0.0,0.0,0.023706373
47metersdown,0.2740293,0.906203,0.89238274,0.6627325,0.6038458,1.0251744,0.0,1.0016657,1.3677864,1.060348,0.9085398,0.81105036,1.166308,0.7995738,0.735561,1.0002532,0.71119386,1.110193,0.79059744,0.8277705,0.5678543,0.0,0.6430554,0.0,0.8672839,0.0,0.5030548,0.73094743,0.0,1.104222,0.7564934,0.77869004,0.082317024,0.0,0.0
abeautifuldaymovie,0.6018423,0.4132448,0.34676945,0.43141833,0.54667753,0.78473204,0.0,0.8312466,0.7229108,0.77736485,0.8736838,0.32982516,0.69509536,0.5114025,0.27417696,0.7595073,0.45149994,1.0477616,0.68231237,0.53422177,0.5453894,0.0,0.30964738,0.0,0.74306315,0.0,0.71220523,0.6182162,0.0,0.73882025,0.45111567,0.6238682,0.0,0.0,0.0
abominablemovie,1.0022877,0.97421837,1.0667961,0.9791034,0.83143675,1.9925224,0.0,1.9006906,1.8322693,1.6902423,1.571976,0.66274613,1.462617,0.77453214,0.5510225,1.3013296,1.0559794,1.6531649,0.9577267,0.9681771,0.9524543,0.0,1.2239789,0.0,1.4077499,0.0,1.0489337,1.1690987,0.0,1.4923823,1.0952016,1.3388726,0.0,0.0,0.0
adastramovie,0.56318456,0.6026781,0.4884408,0.57757986,0.62297726,0.80983096,0.0,0.6275419,0.7903823,0.8204627,0.81761384,0.27027076,0.7783786,0.5345998,0.4685759,0.8057324,0.3570789,1.1160295,0.679955,0.48649493,0.47047317,0.0,0.57757974,0.0,0.7479136,0.0,0.66650385,0.7821389,0.0,0.78176355,0.51130396,0.4744569,0.0,0.0,0.0
adogsjourneymovie,1.336896,1.0430657,0.7970565,0.6332778,0.8683011,1.8149464,0.03525185,1.5643066,1.4717294,1.2478182,2.0061505,1.2683972,1.6854858,0.7876345,0.99860895,1.0346566,0.5619587,1.6051474,0.5663911,1.1076517,1.1849123,0.0,1.3843434,0.0,1.182054,0.0,0.83704793,1.45788,0.0,1.5165677,0.5574392,1.283052,0.0,0.0,0.0
aftermathmovie,0.38107345,0.4404985,0.38608813,0.41458216,0.495063,0.73691845,0.0,0.68479085,0.5969041,0.7241806,0.64276624,0.43478537,0.5861904,0.49919602,0.36215422,0.7941529,0.47595698,0.8305651,0.51307696,0.48955747,0.41518033,0.0,0.4728365,0.0,0.7352235,0.0,0.4630258,0.5418773,0.0,0.969304,0.3412552,0.6016418,0.0,0.0,0.0
aftermovie,0.3468394,0.68476766,0.6675159,0.6629193,0.5118199,0.78384376,0.0,0.99343944,0.8712455,0.7253942,0.60775924,0.47869593,0.9324584,0.67430997,0.54070854,0.7069063,0.4924882,0.962759,0.35669184,0.60934794,0.5512958,0.0,0.6151429,0.0,0.66961646,0.0,0.5451755,0.6504999,0.0,1.0855356,0.42158556,0.58720684,0.0,0.0,0.0
ahiddenlifefilm,0.27916458,0.33677554,0.27769166,0.30729365,0.27674428,0.4342272,0.0,0.43928474,0.42698994,0.4425543,0.42436588,0.26781446,0.42594683,0.38925976,0.27312896,0.39887822,0.30047992,0.5090896,0.3318328,0.36554173,0.22437617,0.0,0.3048514,0.0,0.40792248,0.0,0.29524305,0.3949758,0.0,0.45431787,0.26386607,0.32765928,0.0,0.0,0.0
alitamovie,0.50570166,0.5995378,0.42254975,0.43516997,0.49333775,0.8631155,0.0,1.021774,1.0660028,1.0976698,0.7888014,0.37731147,1.0644976,0.6209049,0.37599677,0.771814,0.67803246,1.0336711,0.6616633,0.60573745,0.3990834,0.0,0.3973118,0.0,0.9181672,0.0,0.77583027,0.9172455,0.0,0.9726905,0.56494445,0.7292597,0.0,0.0,0.0
