movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
21bridgesmovie,0.5722189,0.5937914,0.14276475,0.51651055,0.69145423,0.0,0.54477376,0.9689925,0.5323591,0.8328944,1.0252355,0.60828364,0.0,0.81728953,0.3576362,0.7387965,0.40717503,0.3332521,0.68980455,0.6992916,0.44157246,0.66130644,0.6940277,0.6637729,0.8158644,0.49834406,0.66196656,0.665129,0.37514925,0.43590918,0.5956087,0.85590476,0.68464875,0.0,0.70833886,0.0,0.67366576,0.94275844,0.44711486,0.8975188
47metersdown,1.0544258,0.40041652,0.5326106,0.46430272,0.7628335,0.0,0.3512605,0.93348956,0.6265093,0.6091401,1.0507399,1.0289791,0.0,0.87641823,0.0,0.6361096,0.5568783,0.015932247,0.8694195,0.9748435,0.8108642,0.58285075,0.61015874,0.5116362,1.0921136,0.8886957,1.039325,0.96805435,0.4498901,0.82699084,0.26230872,0.8396517,1.1312689,0.0,0.6306852,0.0,0.7007686,0.8215852,0.69695866,1.1195607
abeautifuldaymovie,0.5258985,0.47922498,0.1441335,0.58886564,0.32221305,0.0,0.5354107,0.7659267,0.44022495,0.67332375,0.766955,0.52853185,0.0,0.40251255,0.21867271,0.5028887,0.27652204,0.14805742,0.69943804,0.5721503,0.57588136,0.39555192,0.54160994,0.39955404,0.4333356,0.49150938,0.38106605,0.61146665,0.49440256,0.29247785,0.4434654,0.54667777,0.41852418,0.0,0.64404345,0.0,0.5409327,0.6306711,0.42833382,0.6235212
abominablemovie,0.98411876,0.7899584,0.39833286,0.5748619,0.59671605,0.0,0.58380437,1.1794028,0.81323266,1.2143091,1.322666,0.8010392,0.0,1.0268301,0.17399499,1.0880425,0.36957732,0.4552119,0.78088194,1.1338228,0.77148116,0.623375,0.794974,0.7478388,0.96818715,0.7974037,0.8828119,0.8093317,0.40750232,0.47102848,0.6667941,1.0300382,0.73035204,0.0,0.83499634,0.0,0.7241181,1.1764512,0.72279525,0.9680292
adastramovie,0.46313876,0.5005089,0.110210024,0.56645685,0.5413973,0.0,0.33405104,0.7457578,0.50453365,0.6167427,0.6979116,0.5398376,0.0,0.66662425,0.047807742,0.5632938,0.35640043,0.38763934,0.50766623,0.3349592,0.54963493,0.45425096,0.64156455,0.49291497,0.7473647,0.42032212,0.46996906,0.48884246,0.2879973,0.20092061,0.41002148,0.7964937,0.49899456,0.0,0.58533096,0.0,0.67291677,0.7249423,0.40846142,0.68829256
adogsjourneymovie,1.5103948,0.2356258,0.6808377,0.5931103,0.9755438,0.0,0.23094916,1.3609189,0.6201067,1.0326813,1.8236078,1.4232804,0.0,1.1586716,0.3683419,1.3083484,0.21522966,0.0,1.1288573,1.0454385,0.9689735,0.969611,1.0573225,0.8035304,1.4652816,0.7376225,0.87739635,1.3220737,0.27167854,0.8986283,0.67877185,1.1572988,1.2287761,0.0,0.97384715,0.0,1.1176707,1.3966517,1.1270232,1.5891566
aftermathmovie,0.5678024,0.46512285,0.32826817,0.27793652,0.33174706,0.0,0.30019978,0.6071899,0.3444368,0.4966006,0.5721324,0.51615405,0.0,0.5205969,0.15335116,0.41920123,0.13114412,0.18033335,0.5001217,0.48016077,0.4304777,0.31130347,0.48206592,0.4026697,0.58487946,0.33370507,0.38166484,0.45371437,0.21434096,0.2930603,0.32320064,0.5311881,0.26379836,0.0,0.4329407,0.0,0.54102844,0.66661924,0.31697997,0.5443542
aftermovie,0.7340747,0.59006,0.39335626,0.48073262,0.6456264,0.0,0.4310947,0.84569687,0.4054268,0.8278107,0.7370583,0.7122226,0.0,0.6082843,0.06609745,0.6207795,0.18144682,0.15150627,0.66008097,0.56717044,0.38937524,0.45024312,0.64588994,0.61101013,0.7759959,0.45422846,0.54816735,0.6890394,0.3598497,0.44194317,0.27403495,1.0876666,0.5421272,0.0,0.6777141,0.0,0.66250426,0.6659437,0.57827485,0.8701344
ahiddenlifefilm,0.3157818,0.27583706,0.16112673,0.2655729,0.26783276,0.0,0.20443882,0.39630178,0.24262305,0.3560391,0.40394786,0.32451415,0.0,0.33047605,0.067069426,0.29660806,0.1556496,0.11819317,0.323461,0.29304743,0.26403847,0.24593478,0.31385747,0.25684893,0.37162155,0.27172703,0.2867684,0.31147167,0.17161164,0.21498224,0.19709463,0.36660853,0.26086307,0.0,0.2893459,0.0,0.31602216,0.37702608,0.23009047,0.36777776
alitamovie,1.0065525,0.6796671,0.4138799,0.638023,0.82854044,0.0,0.22408116,0.8752431,0.42783743,0.91275114,0.9927459,0.82755244,0.0,0.63806385,0.0,0.53509974,0.37678513,0.44540504,0.7562298,0.3469684,0.4095483,0.62219685,0.7152956,0.8600692,0.69812876,0.66166353,0.60014486,0.82798123,0.16716759,0.5518286,0.6020564,0.5662073,0.55322665,0.0,0.87548125,0.0,0.78159034,0.9382092,0.6651367,0.90849155
angelhasfallen,0.52006656,0.88499814,0.46337396,0.80214524,0.76881766,0.0,0.6139053,0.77477694,0.49805436,0.83959013,0.86848485,0.9111636,0.0,0.97099084,0.12021445,0.900065,0.55540985,0.35665533,0.7750245,0.7569945,0.6107478,0.5941996,0.9324954,0.62544495,0.9478664,0.41092682,0.68402183,0.859123,0.5634853,0.42309377,0.8482572,0.86339045,0.6110202,0.0,0.99545574,0.0,0.6082368,0.96606994,0.56549,0.9434886
angrybirdsmovie,1.4322183,1.2719457,0.638377,1.5424236,1.2857641,0.0,0.9536805,1.4562368,1.1475228,1.7143146,2.5838375,1.651611,0.0,0.5191132,0.51959485,1.1903546,0.390756,0.80211204,1.2840317,1.0924472,0.92439914,1.003132,1.451589,1.1829493,1.2435327,1.5080774,1.324011,1.2422979,0.9209291,0.70843554,0.27311578,1.453395,0.5508405,0.0,0.92427194,0.0,1.5271038,1.5964541,0.2992356,2.0532231
annabellemovie,1.3402686,0.7084186,0.44455472,0.8081311,0.7725111,0.0,0.8838856,1.5326905,1.1050894,1.2595823,1.6922413,1.4257482,0.0,0.9974919,0.035784904,1.047969,0.68688184,0.3984399,1.2335259,1.075365,1.1197643,1.0854259,1.0006725,0.974521,1.5676836,1.4087633,0.6716097,1.3835409,0.2585037,0.6134831,0.56199914,1.2101988,1.1865114,0.0,1.2225404,0.0,1.0227244,1.4432535,0.6583822,1.426058
annamovie,0.4160848,0.43794444,0.20793265,0.66893506,0.32387644,0.0,0.38140345,0.8505454,0.5129933,0.753476,0.7286744,0.47915596,0.0,0.5795574,0.22749737,0.46351847,0.26056176,0.26522395,0.5955929,0.578418,0.5730883,0.46599066,0.60629344,0.37216204,0.70606893,0.5262086,0.6088152,0.577365,0.2234214,0.5235074,0.3869847,0.69228864,0.53815824,0.0,0.6722269,0.0,0.5583442,0.726238,0.31514108,0.8371877
apollo11movie,0.40626922,0.37928468,0.23212841,0.46707076,0.3939765,0.0,0.33952633,0.49310395,0.29049957,0.56795436,0.49786022,0.5336664,0.0,0.459477,0.069307014,0.39788708,0.19259498,0.16462424,0.48943305,0.51607144,0.29559326,0.43339592,0.2930685,0.40588814,0.45614702,0.32907826,0.50203913,0.39569804,0.2951542,0.26803562,0.33551228,0.50361425,0.3538607,0.0,0.39069733,0.0,0.45330152,0.52665025,0.20489438,0.5644166
arcticdogsmovie,0.7309942,0.4905728,0.49050018,0.34680086,0.47387707,0.0,0.33143404,0.7658621,0.46686763,0.56947285,0.70002,0.70961016,0.0,0.5363848,0.1497927,0.4484819,0.18497379,0.21657318,0.8054438,0.6772814,0.3630923,0.28703183,0.6413267,0.35260117,0.7537708,0.6879798,0.42577043,0.6928095,0.39480877,0.30294678,0.27086198,0.72406274,0.6168186,0.0,0.5184121,0.0,0.58034664,0.7249407,0.44476557,0.58601564
arcticmovie,0.4701261,0.44007623,0.15017533,0.5204839,0.34599638,0.0,0.29719839,0.55987453,0.3167868,0.6110235,0.5850415,0.5281724,0.0,0.39659458,0.054548856,0.4199914,0.27824983,0.15846232,0.5141107,0.5674418,0.4652594,0.39042544,0.45614132,0.43737742,0.4551397,0.45667386,0.5191371,0.44847673,0.30532837,0.33733428,0.36779612,0.44616526,0.47814888,0.0,0.4641416,0.0,0.55452216,0.61470425,0.2758267,0.54684025
artofracingmovie,0.65704405,0.51549166,0.2740738,0.619101,0.5763405,0.0,0.33029038,1.1926842,0.61396325,0.8547059,0.9354882,0.83768404,0.0,0.9653878,0.0060465485,0.8519292,0.47093308,0.36583167,0.7653713,0.6777147,0.60109603,0.5770897,0.7852046,0.7731132,0.89028114,0.5140908,0.74844843,0.50640833,0.51527816,0.7393711,0.71472704,1.162948,0.771878,0.0,0.8570969,0.0,0.69432783,0.8817531,0.62846243,0.88279814
avengers,0.52679956,0.50435954,0.10883745,0.3902828,0.5007943,0.0,0.5753658,0.7593775,0.42855248,0.7369712,0.74901736,0.5332433,0.0,0.5408754,0.110377744,0.62071246,0.3314793,0.26491514,0.5475752,0.5327653,0.59642076,0.5146919,0.60236436,0.42886811,0.48375356,0.45530465,0.3996798,0.5132614,0.3316401,0.24455859,0.24873234,0.5894397,0.6123988,0.0,0.4711217,0.0,0.60347915,0.6607627,0.30976585,0.65865093
beachbummovie,0.46577173,0.57808805,0.25892445,0.4979654,0.5544754,0.0,0.219097,0.7155492,0.2079763,0.5323678,0.62716395,0.66518635,0.0,0.59050703,0.073979974,0.6411797,0.42098564,0.3319264,0.55254644,0.5931275,0.35883415,0.5583597,0.3168882,0.62640965,0.5480961,0.32300746,0.64299875,0.44316918,0.4107032,0.45400953,0.51400286,0.72392505,0.499223,0.0,0.30748448,0.0,0.46977654,0.45117685,0.20162411,0.651937
bernadettefilm,0.8600795,0.56989425,0.20627579,0.5743199,0.6264413,0.0,0.36977026,0.75272125,0.3932892,0.601841,0.7624596,0.6652177,0.0,0.69881976,0.048105076,0.55494976,0.32258746,0.26466677,0.9851883,0.50535655,0.5463221,0.46959686,0.7366033,0.68459505,0.702971,0.6441378,0.6896558,0.8431634,0.3523891,0.64396995,0.32295442,0.79898375,0.371663,0.0,0.68192756,0.0,0.6967754,0.7595104,0.4965504,0.82163054
blackandbluemovie,1.0537086,1.09996,0.25843075,0.9498615,0.9414737,0.0,0.5084533,1.3746071,0.9858187,1.0349439,2.0222294,1.2995623,0.0,0.91144496,0.040542234,1.0740503,0.5982631,0.41833207,1.1142868,0.7793719,1.3860216,1.0209917,1.1737101,0.9124168,1.317572,1.1928406,1.0105666,1.5331354,0.8071953,0.7758801,0.92311513,1.0610864,1.1574663,0.0,1.3030944,0.0,1.2710785,1.2980082,0.45640862,1.4106197
