movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39
angelhasfallen,0.76052153,0.30267644,0.6700436,0.03866901,0.6921632,0.86114866,0.9374574,0.9450574,0.52392,1.0921274,0.0,0.37410003,0.45970744,1.0130029,0.7245791,0.26783377,0.0,0.6456867,0.933463,0.5137331,0.7247248,0.62486595,0.6380581,0.50585383,1.0717744,0.77000016,0.39338142,0.0,0.61680114,0.6331734,0.78932035,0.8459165,0.6234209,0.9072881,0.31906947,0.54210806,0.9477089,0.43795127,0.56397337,0.31222546
angrybirdsmovie,1.5054314,1.2039545,0.6289724,0.0,1.1086966,1.147549,1.4819894,1.8078276,0.60846406,1.402915,0.0,0.96425796,0.97075045,1.6492735,1.1445224,0.41513604,0.0,0.95891345,1.4773176,1.2415111,1.0379869,0.61652106,0.98934525,1.1246159,1.6138049,1.4443147,0.60796136,0.0,1.1763657,0.98477656,1.3146945,1.7548226,1.098975,1.4732367,0.8062304,0.88788855,1.7400525,0.80895436,1.1066028,0.28901762
annabellemovie,1.0611132,0.28504214,0.4599312,0.16943729,0.9042579,1.2510448,1.1346381,1.2503864,0.62301797,1.3233113,0.05373836,0.6695756,0.94701546,1.3605884,0.89823425,0.6218058,0.0,1.0703051,1.1689738,0.63525146,1.1043667,0.74529076,1.161269,0.4937181,1.4207786,0.9596353,1.0106151,0.0,1.146888,0.76435333,1.4633538,1.0269824,0.9643511,1.2613542,0.26532015,0.67470944,1.1055139,0.5882076,1.1811448,0.4146127
annamovie,0.76205385,0.33594117,0.41314507,0.08676755,0.630805,0.82196814,0.846904,0.84373045,0.2571631,0.82634044,0.0,0.5637857,0.51377904,0.64590013,0.5049419,0.37681845,0.0,0.6444369,0.6148504,0.7199085,0.6297994,0.42062274,0.6802567,0.40536445,0.85724926,0.6149916,0.44586164,0.0,0.53621846,0.45165983,0.67563564,0.60184616,0.69529116,0.74345285,0.23776516,0.33630136,0.7024248,0.3119129,0.6506125,0.37810472
apollo11movie,0.37847987,0.3250098,0.21555527,0.04554588,0.37980875,0.42805782,0.49919218,0.56283545,0.25683415,0.48361802,0.06994638,0.35532898,0.30871403,0.3777405,0.32449296,0.13780797,0.0,0.34790462,0.46794072,0.35202536,0.4016735,0.354458,0.43301693,0.26590055,0.49810222,0.496681,0.33500236,0.0,0.4024897,0.26474062,0.53994685,0.42638746,0.24923114,0.47528625,0.1642842,0.23575746,0.35597652,0.22422187,0.3966424,0.23000248
arcticdogsmovie,0.5372937,0.31693485,0.12353509,0.0692909,0.5124811,0.51212496,0.7883332,0.8283687,0.3628268,0.7968593,0.0,0.337375,0.52814215,0.6909108,0.6362413,0.3827277,0.0,0.5309057,0.6424589,0.54646456,0.5095736,0.47068325,0.65213484,0.37673843,0.7240846,0.59442145,0.44842857,0.0,0.4291172,0.57625943,0.6047411,0.68794143,0.43535182,0.6102937,0.22494084,0.43187895,0.68069184,0.33081743,0.543226,0.2791882
arcticmovie,0.49654952,0.2593433,0.2873002,0.11109286,0.5310329,0.55283636,0.52258956,0.6224255,0.15383357,0.6075018,0.019580834,0.2245121,0.60415566,0.5697169,0.36730605,0.18961646,0.0,0.58316284,0.4498513,0.4182148,0.57206994,0.45174226,0.45307484,0.36242127,0.5903381,0.50177413,0.389282,0.0,0.42980033,0.35117817,0.6223908,0.6015904,0.43996868,0.51100737,0.18131751,0.32623348,0.50124323,0.28308806,0.5064788,0.3168355
artofracingmovie,0.77773,0.3464323,0.2907815,0.0,0.64387685,0.8973684,0.7640256,0.9427385,0.330493,0.79249245,0.0,0.44861412,0.60089403,0.7646746,0.7234899,0.36064842,0.0,0.70468444,0.87431824,0.62657076,0.8371473,0.40033445,0.78243977,0.33999342,0.8832631,0.9430401,0.5272143,0.0,0.7786971,0.35363004,0.7670586,0.6960531,0.49592766,0.8062533,0.4471132,0.11501329,0.68261635,0.41771108,0.67148685,0.24426149
avengers,0.61962557,0.3409931,0.19918591,0.0,0.4083784,0.49434662,0.6918344,0.656407,0.3263696,0.64587206,0.0,0.28813452,0.59656733,0.66836506,0.58308494,0.2572062,0.0,0.5777891,0.6233855,0.48013884,0.4310537,0.49855405,0.62553436,0.33846954,0.7916734,0.44143382,0.44647968,0.0,0.5896061,0.45199725,0.53673387,0.65739065,0.5759538,0.5726168,0.22409758,0.43322644,0.5059112,0.40750262,0.6234473,0.4384584
beachbummovie,0.45593217,0.3478442,0.32196257,0.2937524,0.5305805,0.7402105,0.7194872,0.8714373,0.31077603,0.6236933,0.015242372,0.467142,0.4887445,0.560987,0.4266024,0.19211987,0.0,0.47404963,0.63115776,0.48564968,0.5198236,0.5177331,0.49021286,0.30515274,0.88385767,0.6936597,0.5176189,0.0,0.5950989,0.33529362,0.5844193,0.6182237,0.45896497,0.55726874,0.24047351,0.42484233,0.41947985,0.46226436,0.6548137,0.2638578
bernadettefilm,0.70025,0.38216886,0.23155905,0.09162607,0.5547192,0.83300894,0.8229529,0.9536826,0.406031,0.7937036,0.0,0.36172068,0.65262014,0.7809223,0.5635264,0.31128058,0.0,0.5369609,0.8721578,0.5581322,0.5977491,0.5789731,0.5456285,0.5499514,0.8699612,0.8069666,0.48367524,0.0,0.40562302,0.5168035,0.7861968,0.68906754,0.66084266,0.66927016,0.2989935,0.32024506,0.5775526,0.33861125,0.4147448,0.49622327
blackandbluemovie,1.1394796,0.73081124,0.63454604,0.0265371,0.81734884,1.26067,1.3141775,1.942764,0.34939626,1.498427,0.0,0.85839355,1.3563242,1.2545657,0.95540655,0.43462572,0.0,0.93727213,0.965809,0.62688583,1.1503156,0.7327802,1.2199068,0.8286811,1.9000782,1.4168174,0.67173773,0.0,0.7074724,0.73126704,1.3097131,1.2699054,0.94511014,1.4456071,0.48992303,0.77568614,1.3956097,0.5518903,1.3663908,0.643516
blackchristmas,0.8095976,0.40702143,0.3183824,0.06648981,0.50193244,0.7024632,0.70062536,0.95637673,0.35580668,0.72037303,0.0,0.40815258,0.78103137,0.7539934,0.51423615,0.27499217,0.0,0.60357606,0.56677103,0.53262013,0.6000864,0.577434,0.62431633,0.37825137,1.0386475,0.7161463,0.53322494,0.0,0.56586415,0.49981692,0.63423663,0.75291234,0.6748127,0.5987373,0.24956733,0.28357878,0.81839716,0.36274958,0.7002467,0.18751776
blindedbythelightmovie,0.41055992,0.21891211,0.22259904,0.0040611317,0.28347564,0.431353,0.40966794,0.51978385,0.23452245,0.5157635,0.0,0.24635999,0.35141814,0.5598377,0.33188286,0.26309627,0.0,0.45185423,0.44856668,0.35634682,0.34394524,0.27269423,0.35953084,0.2547544,0.44776317,0.4323691,0.24450372,0.0,0.38614154,0.47539237,0.41872984,0.43467382,0.41936448,0.45095697,0.10878719,0.27160564,0.48664564,0.278929,0.47415483,0.19307162
bombshellmovie,0.7660781,0.30913737,0.3202407,0.3232031,0.7301591,0.70219594,0.8795863,0.84906125,0.12320757,0.7581079,0.0,0.46299905,0.6004834,1.0156811,0.6737288,0.48648134,0.0,0.96069175,0.85379833,0.6042277,0.95165116,0.6720518,0.68709403,0.44806898,0.8930546,0.79372185,0.5641686,0.0,0.82133526,0.5688155,0.7243848,0.7672605,0.7472301,0.64932585,0.4877999,0.5109743,0.81507313,0.4992726,0.7383277,0.2306336
booksmart,0.23630692,0.0,0.0,1.3627398,0.05441267,0.43571773,0.0,1.3893245,0.20055616,1.1752146,0.18572003,0.38523597,1.0281268,0.91083837,0.6567154,0.5814773,0.028922655,0.79654354,0.98929495,0.0,0.7759847,0.15141368,0.0,0.0,2.2515252,0.25863305,0.0,0.0,0.18218924,0.0,0.334488,0.0,0.19328402,0.8825754,0.24121404,0.0,0.5231247,0.15127905,0.31344265,0.0
breakthroughmovie,1.2175015,0.8411577,0.44496688,0.0,1.1342889,1.1893486,1.3494439,1.2912307,0.60401505,1.3287941,0.0,0.67698824,1.3685689,1.112732,0.8613799,0.36167207,0.0,1.1022059,1.2295135,0.8251051,1.0109761,0.9443093,1.0820575,0.8510268,1.6991585,1.5754235,0.87386644,0.0,1.0608993,0.8526358,1.2102833,1.5584158,1.139879,1.5426209,0.7186738,0.56292844,1.2267207,0.62754375,1.365021,0.84440196
brianbanksmovie,0.717689,0.5035446,0.2378965,0.098982,0.6251018,0.73621565,0.88176256,0.9418072,0.48190993,0.77109104,0.0,0.3583377,0.78149736,0.90161675,0.56316787,0.27648732,0.0,0.7257549,0.5447736,0.6099725,0.6695866,0.7735235,0.6663468,0.4711576,1.0018821,0.7475285,0.55558324,0.0,0.6221228,0.45094463,0.83968234,0.7819268,0.6892387,0.94108164,0.21733809,0.55066216,0.76455814,0.39840764,1.0496602,0.43032086
brightburnmovie,0.7207599,0.5748781,0.27149785,0.0,0.50232434,0.8346677,1.0474489,0.9360878,0.28635472,0.92416435,0.0,0.60071045,0.61787367,0.7178268,0.6897073,0.24188817,0.0,0.5812178,0.55033475,0.7399059,0.7711447,0.5922004,0.7733602,0.593212,0.9779295,0.5833248,0.4315725,0.0,0.7022459,0.5779924,0.6447668,0.8055877,0.6344122,0.99652994,0.3991444,0.52423644,0.87653077,0.32803524,0.77814573,0.42222926
brittanyrunsmov,0.6863911,0.29788736,0.16434792,0.0,0.43244874,0.47937718,0.3966718,0.6948657,0.22672419,0.5565762,0.0032483973,0.4141304,0.51978004,0.67997724,0.41680944,0.21230073,0.0,0.390347,0.62265277,0.48660716,0.5144266,0.34015283,0.4596565,0.25064006,0.6263329,0.52081585,0.2506627,0.0,0.35816118,0.44378892,0.4659548,0.5608231,0.35572037,0.48049912,0.27059183,0.39212593,0.53520125,0.19893603,0.38722098,0.23345047
captainmarvelofficial,0.8661218,0.510787,0.3354381,0.065153845,0.47801277,0.73494446,0.75883996,0.8371218,0.3147612,0.6153876,0.0,0.37443453,0.487279,1.0256678,0.6212256,0.3157412,0.0,0.7901429,0.6703675,0.53262573,0.7755489,0.6821311,0.6195672,0.4005528,0.92866397,0.60077125,0.5010472,0.0,0.6000972,0.55023754,0.6317445,0.76490444,0.36967322,0.68235195,0.33237255,0.3001791,0.54447883,0.25456923,0.5946231,0.29411778
captivestatemovie,0.7044731,0.37688434,0.26155427,0.0,0.8218459,1.0359741,0.92512494,0.9842931,0.44434533,1.0189812,0.0,0.5143533,0.61735266,1.0883352,0.8026242,0.512702,0.0,0.8426468,0.8844841,0.65040517,0.89165205,0.76434886,1.0105295,0.3967227,1.1617888,0.7282638,0.8151697,0.0,0.8178467,0.5214024,0.65589535,0.8522008,0.64587796,0.99739254,0.23329842,0.48835406,0.81250435,0.33728674,0.83857465,0.43502918
catsmovie,1.0915643,0.96875596,0.47259426,0.12581193,0.6723481,1.1467346,0.8752468,1.2949057,0.45778003,1.2263559,0.0,0.7336512,0.89753056,1.3159186,1.0109679,0.5551983,0.0,1.2985708,0.8752651,0.810149,1.0541813,0.73886985,0.6250875,0.35252538,1.7396132,0.8422102,0.7239947,0.0,0.920953,0.60878235,0.72524047,1.0469822,0.83052766,1.0991238,0.5801334,0.6090354,1.1439046,0.5983795,1.1588534,0.56183946
charliesangels,1.4106535,0.68111485,0.6964525,0.0145007325,0.7766574,0.8371785,1.6889446,1.6266537,0.5162584,1.9189478,0.0,1.07441,1.2066846,1.4102062,1.2760353,0.36236432,0.0,1.1533037,1.2782055,0.87664646,1.222096,0.8944803,1.1953543,0.6560442,1.5067744,0.8331346,0.46376026,0.0,0.7436158,1.050496,1.451079,0.89363265,1.0291,1.6263357,0.644391,0.5605658,1.5777069,0.28221738,0.93632245,0.34647495
childsplaymovie,1.0621196,0.34312153,0.3674959,0.0,0.4130057,1.2427486,1.1406498,2.209774,0.6811437,2.0449588,0.15553561,0.5484607,1.0732771,2.0449374,0.73945427,0.28797165,0.0,0.7840255,1.2516814,0.5316204,0.92764276,0.85245085,1.547085,0.41066,1.7134182,0.9451001,0.429299,0.0,0.81213796,0.6739667,1.2699744,1.0785667,1.2409692,1.6591371,0.0,0.6048925,1.6982269,0.38696614,1.2804013,0.2638477
clarathefilm,0.5584091,0.20792438,0.2562994,0.05757859,0.51495755,1.2910233,0.941404,1.5467736,0.15899219,1.2851783,0.4609544,0.5989623,0.7219153,1.4162282,0.4421677,0.367424,0.0,0.6911045,0.59878004,0.19131161,0.69438094,0.5236461,0.6013219,0.42151695,1.617802,0.73677653,0.21922542,0.0,0.22642063,0.39644942,0.69985735,1.1527125,1.0224752,1.2299808,0.22855005,0.71124184,1.2380937,0.0,0.9508333,0.37949416
coldpursuitmovie,0.49608782,0.24087323,0.20757906,0.072149165,0.3814323,0.5399312,0.58983594,0.5928208,0.2579364,0.5233391,0.0,0.27524966,0.35496104,0.61326784,0.4346673,0.24134713,0.0,0.34434885,0.5057755,0.40518227,0.4619609,0.3168964,0.38013706,0.3483438,0.626243,0.51982456,0.3072096,0.0,0.3588019,0.3049955,0.55494326,0.5306035,0.33555114,0.4661195,0.22278506,0.20254697,0.54284984,0.32160118,0.42990512,0.20018874
countdown,0.93162113,0.4920126,0.475487,0.48387074,0.77569604,1.1942427,1.1963251,1.4008077,0.63347155,1.1886743,0.033696957,0.6523835,0.93293303,1.2077867,0.633636,0.40900955,0.0,0.9797264,1.1248484,0.7796495,1.2003863,0.7525636,1.0930336,0.7085728,1.4460956,0.9827548,0.80168855,0.0,0.87980056,0.7041276,1.3013527,0.8457122,0.75703937,1.2347662,0.0,0.8003632,0.939043,0.55339503,0.8815911,0.43578678
currentwarmovie,0.69468725,0.4985865,0.49125051,0.06530254,0.8194071,0.9988911,0.97830033,1.0700477,0.49415657,1.0613123,0.0,0.6273841,0.8917135,0.74249125,0.7279848,0.29681864,0.0,0.88874316,0.7294027,0.705266,0.8843142,0.68838584,0.73378855,0.51602083,1.1672394,0.89262146,0.6053861,0.0,0.6954706,0.5510001,0.8544106,0.87074214,0.85428303,0.8462446,0.4590536,0.5407988,0.9637813,0.37106234,0.8451499,0.33811042
darkwatersmovie,0.85044503,0.3912264,0.4089899,0.0,0.86781704,1.057318,0.98975945,1.1979483,0.90425026,1.310394,0.0,0.5819589,0.77834374,1.4937205,1.170047,0.47549012,0.0,0.77911514,0.79179287,0.8219964,1.1362994,0.8213497,1.3090025,0.5184715,1.3332677,0.85053986,0.7243403,0.0,1.1126068,0.8693201,0.8789402,1.0423526,0.92775196,1.2872887,0.14736922,0.7390597,1.0166588,0.55899227,1.046832,0.4524755
detectivepikachumovie,1.0423278,0.41538706,0.56257325,0.12712297,0.85876715,1.0205661,0.98392993,0.9023992,0.4081414,1.1709799,0.0,0.8699963,0.61048925,0.84036136,0.5102258,0.57659733,0.0,0.8994343,0.79560804,0.8107516,0.8213363,0.77223074,1.1815693,0.60284364,0.9262328,0.790574,0.9361122,0.0,1.0087116,0.7962313,1.1029283,0.80037,0.5782245,1.0714101,0.3428395,0.41216987,1.0245187,0.5240853,0.94615537,0.5048213
