movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89
21bridgesmovie,0.27807322,0.44300547,0.4589389,0.47034502,0.3552269,0.34634548,0.28046378,0.57830685,0.0,0.27071905,0.11791324,0.5484767,0.28938174,0.24950403,0.16459404,0.2778898,0.18316399,0.43453518,0.0,0.5867197,0.4608616,0.5748464,0.4622994,0.0,0.34846103,0.16020697,0.32773432,0.15018468,0.0,0.54393417,0.65310806,0.10607669,0.47843644,0.25739193,0.42577714,0.44450158,0.42163172,0.2469868,0.13047118,0.4512281,0.49420503,0.59396803,0.502792,0.15610193,0.5038093,0.29438493,0.4379839,0.48677954,0.0,0.6624124,0.0,0.30738762,0.39923283,0.29551563,0.0,0.3837872,0.0,0.24618192,0.5715177,0.38531536,0.4590533,0.4027642,0.17178623,0.4510329,0.06338474,0.045941867,0.0,0.0,0.45288745,0.4166462,0.07506162,0.2996645,0.12966813,0.35282692,0.0,0.24007219,0.4189188,0.0,0.40219516,0.61307347,0.11623644,0.77813005,0.1400847,0.42637333,0.0,0.5860209,0.4880793,0.39743945,0.40350384,0.3661401
47metersdown,0.26011655,0.5047282,0.675463,0.66193044,0.2918994,0.4684238,0.41563815,0.8760126,0.0,0.33675626,0.0149280485,0.3480253,0.4903926,0.11467729,0.2749694,0.42188394,0.4673313,0.65144724,0.0,0.68127924,0.5458062,0.52516633,0.43794322,0.0,0.489735,0.13960966,0.39158472,0.1391966,0.0,0.39472288,0.4462884,0.44382754,0.5886445,0.3431502,0.51700836,0.56970567,0.44085318,0.37842193,0.11568144,0.46474007,0.55826575,0.53762686,0.27503663,0.2687535,0.47329634,0.18312377,0.4580678,0.5949393,0.0,0.7239204,0.0,0.19712384,0.4965918,0.25424436,0.0,0.5028178,0.0,0.2471134,0.7348261,0.5193005,0.40832305,0.54385555,0.27600455,0.5029308,0.1780965,0.13017012,0.0,0.0,0.5523285,0.3080282,0.16532752,0.47348392,0.21821766,0.4731033,0.0,0.3631159,0.5365073,0.028583402,0.33670363,0.4576662,0.16135097,0.8635516,0.18435799,0.6505053,0.0,0.64555126,0.6160591,0.49512094,0.32713223,0.31511003
abeautifuldaymovie,0.297712,0.32964578,0.5080657,0.51025957,0.34008107,0.28582585,0.36423478,0.47301707,0.0,0.46761334,0.22056657,0.43816847,0.44631654,0.19049197,0.3385467,0.33295584,0.36839342,0.5884945,0.0,0.5220858,0.40582624,0.34954944,0.4028257,0.084220044,0.40070236,0.0,0.5565883,0.10019869,0.0,0.38032556,0.47986037,0.15234514,0.5333084,0.2915697,0.37736577,0.3345286,0.5037288,0.37831154,0.0,0.5075106,0.34224135,0.59365356,0.36675903,0.15021543,0.4931437,0.46077147,0.365544,0.467969,0.0,0.5955439,0.0,0.20775013,0.32915986,0.29962802,0.0,0.31798494,0.0,0.31302676,0.60188514,0.4189887,0.4396624,0.40885007,0.28129748,0.4008839,0.10167981,0.106004246,0.11201228,0.0,0.58726406,0.4612133,0.27098277,0.5149078,0.0,0.36159086,0.0,0.29605952,0.41220552,0.05455608,0.36654773,0.3795714,0.09445683,0.5761193,0.2531558,0.30876747,0.0,0.46641982,0.50195795,0.39619336,0.3639701,0.4129661
abominablemovie,0.28496256,0.37844315,0.46466,0.40737104,0.81682575,0.744763,0.6333036,0.92435277,0.0,0.29657614,0.3897738,0.67698485,0.28528428,0.3701899,0.38052112,0.7055203,0.5109438,0.62568486,0.00037025264,1.0457417,0.44595337,0.7834077,0.83289194,0.006076268,0.5885905,0.25625402,0.7402444,0.40671352,0.0,0.57361656,0.8050701,0.30386752,0.5590051,0.20834304,0.67712975,0.6307408,0.37472254,0.56659544,0.19888343,0.71608543,0.28161117,0.78264976,0.66223,0.09532646,0.5162283,0.46314597,0.5833918,0.6213229,0.0,0.8000521,0.0,0.37229595,0.32028127,0.4464321,0.0,0.603825,0.0,0.5292491,0.85742074,0.4310528,0.59854037,0.8521817,0.1748754,0.7462961,0.19964804,0.2277507,0.0,0.0,0.75296974,0.6737575,0.39606228,0.7352028,0.20334251,0.7973931,0.0,0.4989344,0.47606382,0.0,0.33859327,0.561162,0.030767873,1.1487155,0.28879705,0.5455776,0.0,0.7201521,0.37798226,0.72016746,0.42887515,0.60844594
adastramovie,0.33903998,0.4333597,0.49528655,0.44721115,0.40030894,0.5242983,0.46922973,0.60900235,0.0,0.33699217,0.031646445,0.45658252,0.17870705,0.26053664,0.31343305,0.43693408,0.37576523,0.27171668,0.0,0.65286845,0.3217757,0.3187614,0.38606602,0.0,0.4639516,0.12885301,0.23904248,0.14178847,0.0,0.35753912,0.48196715,0.13411075,0.44615656,0.17707452,0.4990002,0.47229937,0.5129382,0.3466756,0.0029510912,0.4355972,0.39228806,0.709727,0.5195943,0.17979808,0.61227375,0.32477596,0.34544447,0.66251945,0.0,0.47714785,0.0,0.07221944,0.23307781,0.3430365,0.0,0.42075825,0.0,0.28939733,0.47987816,0.4303854,0.49659392,0.39643687,0.21765932,0.48201022,0.077319525,0.0,0.0,0.0,0.43564805,0.44812152,0.16311622,0.39297238,0.0027808174,0.3842223,0.0,0.19915642,0.5137996,0.045352012,0.35312867,0.39410517,0.26689136,0.5857369,0.12889776,0.3975913,0.0,0.56460845,0.4964691,0.45835474,0.41379637,0.49241266
adogsjourneymovie,0.5543844,0.49465814,1.1240685,1.4024321,0.69978553,0.9087881,0.70716494,1.1384218,0.0,0.5014013,0.13401332,1.0948911,0.5910072,0.21030885,0.9255104,0.7592089,0.70323026,0.9852031,0.0,1.6413182,1.0819085,1.3174317,1.2493877,0.0,0.70853466,0.0,0.95266616,0.58069205,0.0,0.7462793,1.2646277,0.44409096,1.0309625,0.3337496,1.2402184,1.2457143,1.030973,0.8335376,0.08154936,0.9598038,0.42187133,1.4572916,1.140361,0.53806454,0.97461,0.6642665,0.62141776,1.1331327,0.0,1.2821146,0.0,0.58059484,0.93334794,0.34529847,0.0,1.0770574,0.0,0.50884867,1.1967958,0.8788417,1.0126601,0.46943998,0.1541133,1.1035088,0.12723383,0.017071733,0.0,0.0,1.0004728,0.9584918,0.0,1.1387024,0.0,1.023863,0.0,0.5485902,0.6887682,0.18624045,0.82614243,1.406264,0.40347996,1.3810408,0.3760555,1.1480057,0.0,1.4086742,1.1838337,0.8558503,0.76515025,1.023629
aftermathmovie,0.18012567,0.29746354,0.35240075,0.4178913,0.31132883,0.24860632,0.25151977,0.42075747,0.0,0.35615784,0.04942409,0.34040642,0.28644198,0.1755001,0.19063106,0.23531732,0.3052204,0.33795375,0.0,0.45973462,0.32234463,0.27295035,0.1571747,0.0,0.18842937,0.15566713,0.2770531,0.24561891,0.0,0.34500122,0.389964,0.11386433,0.456342,0.05356177,0.43130797,0.2833928,0.42359808,0.15631345,0.086076275,0.33980516,0.2877141,0.4087691,0.3867239,0.18915072,0.36580554,0.23225611,0.34453306,0.32713032,0.0,0.49024054,0.0,0.10383141,0.23608652,0.32432297,0.0,0.34267735,0.0,0.19173242,0.46156916,0.32481682,0.42026615,0.3612306,0.2215342,0.39415127,0.04950902,0.13003777,0.08233809,0.0,0.29801786,0.35120395,0.20458332,0.27336195,0.17277856,0.3951981,0.0,0.19505852,0.26040906,0.0,0.28631046,0.38024077,0.14432469,0.42352247,0.13113227,0.31642458,0.0,0.4296708,0.4420641,0.42686772,0.39060682,0.38358226
aftermovie,0.3221604,0.4017482,0.5801514,0.49766773,0.2804915,0.33530468,0.29041147,0.5796506,0.0,0.252035,0.103927135,0.45716467,0.28210583,0.24737304,0.2119391,0.4405523,0.18977517,0.5247372,0.0,0.60603756,0.5013847,0.53600293,0.35665494,0.0,0.46029264,0.19856496,0.39149,0.25807443,0.0,0.33533806,0.5340263,0.15406406,0.5490856,0.2375027,0.527192,0.32070142,0.52717227,0.3053374,0.0,0.46583888,0.3619301,0.68007785,0.601875,0.22590135,0.5177618,0.22348416,0.36191866,0.53492093,0.0,0.53744185,0.0,0.24326845,0.23535906,0.3319377,0.0,0.4218915,0.0,0.3289549,0.5857999,0.37735066,0.31160063,0.3679434,0.29159775,0.48955426,0.11175508,0.04113386,0.022126364,0.0,0.52952397,0.53483135,0.29581127,0.43275946,0.17203905,0.46608016,0.0,0.3030841,0.3499931,0.0,0.25318116,0.581695,0.1522423,0.6585506,0.290512,0.25814855,0.0,0.55747557,0.41691017,0.36948338,0.5181462,0.46642497
ahiddenlifefilm,0.10265464,0.15478992,0.21186867,0.21623111,0.17152378,0.18012792,0.15203072,0.24346115,0.0,0.18552598,0.07534097,0.17618625,0.13968198,0.10368358,0.12309065,0.15573144,0.14371568,0.1903294,0.0,0.29189074,0.2189353,0.22827214,0.17925161,0.000769821,0.1676044,0.06666931,0.17968309,0.11791674,0.0,0.17656931,0.23891109,0.070797615,0.21758072,0.10324569,0.20080078,0.18499117,0.19779356,0.13568993,0.05543322,0.20035218,0.14746597,0.23888749,0.19860587,0.092898555,0.22760488,0.13927494,0.18070821,0.22581948,0.0,0.22436616,0.0,0.07766556,0.17172661,0.15215224,0.0,0.18229608,0.0,0.14201854,0.23357731,0.16749018,0.19414076,0.20108427,0.101952985,0.21266757,0.055597447,0.028891362,0.0,0.0,0.21010378,0.17489263,0.07652782,0.17670372,0.044429403,0.19404916,0.0,0.14550887,0.15745611,0.030083628,0.15748793,0.20665033,0.0813427,0.28455782,0.08213897,0.16198936,0.0,0.23564664,0.21245496,0.19828664,0.16743727,0.17812806
alitamovie,0.46303898,0.4549131,0.8401553,0.46881193,0.71430296,0.6057174,0.37034875,1.0318301,0.0,0.64601487,0.3292353,0.47081682,0.27260178,0.278206,0.28036118,0.4510136,0.50259846,0.68569875,0.0,0.70397794,0.65634495,0.61342514,0.50717545,0.0,0.19399776,0.06807229,0.4483652,0.42193082,0.0,0.5505563,0.88648516,0.14628203,0.5561259,0.2806577,0.72858274,0.48375833,0.5063599,0.5120393,0.032021597,0.5391511,0.4066432,0.8010203,0.9702038,0.35965395,0.82819283,0.48782632,0.41918623,0.56277156,0.0,0.8996553,0.0,0.26264304,0.47114325,0.771308,0.0,0.5303071,0.0,0.58544856,0.75143373,0.5778925,0.5605002,0.80756724,0.26866096,0.83726394,0.11054586,0.004738217,0.0,0.0,0.64280725,0.54596347,0.48675784,0.5049238,0.05542986,0.65379804,0.0,0.45006773,0.6036114,0.06253016,0.29985625,0.5883606,0.27794418,0.63830924,0.31410262,0.43336022,0.0,0.80062455,0.5054522,0.83796006,0.64013195,0.65548414
