movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69
angelhasfallen,0.58824456,0.7555526,0.5502656,0.58603835,0.6929793,0.9197544,0.43195188,0.2084558,0.0,0.8277053,0.6949389,0.8256803,0.6123875,0.0,0.64019346,0.2447199,0.6786994,0.66227627,0.23486158,0.5976371,0.0139800655,0.49531275,0.5865863,0.0,0.6371518,0.5540068,0.69551414,0.9533033,0.66944814,0.5840689,1.0104178,0.4361888,0.69378746,0.24416468,0.473741,0.5332629,0.504054,0.5020152,0.0,0.8832326,0.65106064,0.3759299,0.85292983,0.5568929,0.32561588,0.87369275,0.5549146,0.7879327,0.66584915,0.57356024,0.23954667,0.6213388,0.7436047,0.0,0.33510283,0.76635677,0.057962,0.3446436,0.58348507,0.0,0.83564264,0.0,0.72746664,0.6981409,0.5656,0.0,0.2714429,0.6902759,0.0,0.5826431
angrybirdsmovie,1.1559078,1.1203871,0.99373204,0.9686277,0.8611687,1.0445141,0.21671963,0.25677127,0.0,0.98586345,1.0096873,0.86672276,1.038484,0.0,0.7308439,0.079376206,0.74148977,1.148414,0.13314816,0.78198314,0.20627002,0.42884734,0.46306443,0.0,1.0432662,0.626682,1.4992198,0.50569874,1.3262808,0.78154993,1.399845,0.35348982,1.1180294,0.9165449,1.0939381,0.5543787,0.42988378,0.48890918,0.0,1.0198975,1.4063667,0.5677485,1.2364786,0.933704,0.3533411,1.645993,0.6929759,1.4616396,1.1585077,0.7640292,1.259371,0.92528605,1.1454403,0.0,0.79098386,1.0493062,0.47091842,0.42573524,0.92944294,0.0,0.9374834,0.0,1.146452,0.68025047,0.74408925,0.0,1.1759608,0.6495573,0.0,0.47782147
annabellemovie,0.6453824,0.8709559,0.75942314,0.79371786,0.5677609,0.9521655,0.516092,0.38855845,0.0,1.152757,1.023854,0.66968155,0.36245957,0.0,0.93639165,0.33962944,0.4830672,0.7394443,0.4262097,0.5501813,0.11253538,0.75500715,0.6104866,0.0,0.76208824,0.73013365,0.94681346,0.7399684,0.70089614,0.43085027,1.0440404,0.4795235,1.0073671,0.60505724,0.70595294,0.5017034,0.4996552,0.7661742,0.0,0.885926,1.051692,0.5358349,0.844048,0.5064246,0.4691369,0.8794706,0.68514276,1.0585074,1.1022661,0.75840235,0.80663526,0.9872173,0.77496296,0.0,0.52217096,0.50251496,0.41707987,0.658539,0.7307541,0.0,0.9120041,0.0,0.7454125,1.1875671,0.5236073,0.0,0.95478165,0.47172052,0.0,0.6037403
annamovie,0.35200527,0.5024149,0.62527466,0.45067912,0.24706498,0.4176969,0.2808101,0.13113491,0.0,0.39021865,0.6072274,0.35612208,0.2757157,0.0,0.62297827,0.1825837,0.42914686,0.5639231,0.22820643,0.47957113,0.024160352,0.2986205,0.40968278,0.0,0.47823492,0.47619703,0.5946643,0.34182537,0.44503915,0.3336044,0.54505295,0.37340006,0.56080437,0.21972886,0.29293314,0.46932063,0.44604272,0.4040598,0.0,0.56421053,0.48968005,0.40302873,0.5192953,0.41670182,0.33446977,0.6127248,0.417966,0.60645574,0.51479995,0.4045508,0.40944424,0.5130812,0.5131692,0.0,0.32054466,0.48708737,0.35827267,0.48695073,0.36549473,0.0,0.74401903,0.0,0.4608209,0.5034025,0.4666395,0.0,0.48712736,0.4730882,0.0,0.2731603
apollo11movie,0.3410021,0.36994067,0.25046226,0.22781426,0.35700125,0.33748937,0.25372368,0.07589025,0.0,0.4343954,0.37384844,0.3984291,0.29130024,0.0,0.2445474,0.05961038,0.25614327,0.24905026,0.111452594,0.2221327,0.0,0.23366924,0.32724446,0.0,0.22680256,0.37718984,0.44436845,0.45011175,0.3492635,0.258003,0.4418884,0.13458318,0.3546202,0.21509562,0.38171488,0.32011753,0.23845671,0.2278404,0.0,0.30545574,0.4698915,0.33192295,0.56877077,0.3490744,0.15986696,0.49735782,0.2536202,0.3385273,0.3251268,0.31136382,0.29901436,0.34942573,0.3676139,0.0,0.22786142,0.27746207,0.23313458,0.22705856,0.35238636,0.0,0.3171866,0.0,0.42537743,0.21896362,0.21897483,0.0,0.255584,0.30149233,0.0,0.14240749
arcticdogsmovie,0.43685234,0.6312705,0.4196459,0.36130866,0.40052953,0.46258342,0.29135284,0.25699118,0.0,0.745207,0.54984957,0.5386407,0.42419606,0.0,0.6510578,0.113474034,0.48499814,0.48852333,0.25059298,0.4583239,0.061467696,0.45695814,0.3392308,0.0,0.37212992,0.46871927,0.6592965,0.47877932,0.5852795,0.41523504,0.7703879,0.33893618,0.5606597,0.4852968,0.56883264,0.3782893,0.28657913,0.44218367,0.0,0.5360605,0.6164467,0.44448262,0.54542744,0.39637336,0.27183372,0.76443285,0.44090697,0.6378527,0.4754139,0.53596807,0.5081038,0.5533468,0.6348839,0.0,0.46314842,0.45367342,0.26843804,0.36754158,0.53394634,0.0,0.6629316,0.0,0.44366407,0.6602223,0.47023556,0.0,0.5320119,0.3959657,0.0,0.31726992
arcticmovie,0.3702648,0.44950575,0.46338207,0.3163515,0.39164594,0.3997835,0.2980657,0.04346086,0.0,0.29672363,0.36644325,0.17578822,0.3596897,0.0,0.47601384,0.19793388,0.2819637,0.40514746,0.1468583,0.31672135,0.0053677307,0.2796444,0.20414096,0.0,0.45570812,0.42145005,0.50875205,0.21300049,0.4094053,0.242107,0.5129401,0.29185346,0.3207317,0.25135365,0.28443968,0.29490668,0.42147756,0.26315916,0.0,0.3134417,0.4142692,0.2182092,0.41180554,0.24933732,0.2677006,0.42569935,0.16302359,0.52840275,0.34727237,0.33493125,0.38712814,0.3476254,0.42033917,0.0,0.42405307,0.31964433,0.2107359,0.2918848,0.34924474,0.0,0.46351093,0.0,0.2897962,0.2744335,0.3887133,0.0,0.44105387,0.3171435,0.0,0.18142995
artofracingmovie,0.52721816,0.49730197,0.6096054,0.45014063,0.40964115,0.5655967,0.23760182,0.28464812,0.0,0.5916328,0.7248691,0.44844058,0.51228106,0.0,0.3537962,0.17557447,0.46601853,0.6086167,0.27192855,0.39818248,0.17971341,0.4707914,0.4267333,0.0,0.4784439,0.39833376,0.5885231,0.36027175,0.6714017,0.22777478,0.6438501,0.16660762,0.6372492,0.32590535,0.3925213,0.52100044,0.43473047,0.39005473,0.0,0.75585955,0.5787049,0.61721295,0.68559504,0.6659299,0.19491783,0.64184994,0.5671234,0.6355031,0.4785942,0.5505848,0.59919983,0.742296,0.656669,0.0,0.3747635,0.6063652,0.39892167,0.40774605,0.49384794,0.0,0.4839898,0.0,0.5193631,0.45843565,0.40152118,0.0,0.37670392,0.6700305,0.0,0.3319859
avengers,0.33565626,0.47962916,0.37968355,0.3515409,0.4414027,0.44262874,0.38381514,0.19529147,0.0,0.6724872,0.33071786,0.39142406,0.5400991,0.0,0.44732007,0.082135424,0.42264473,0.4784984,0.20523313,0.29199705,0.030743014,0.3643839,0.33356395,0.0,0.407581,0.44981194,0.5378149,0.40789545,0.37420946,0.3173871,0.61885434,0.18519711,0.49015146,0.14333797,0.30845228,0.4956675,0.26144022,0.40232992,0.0,0.3379827,0.6702157,0.25818896,0.4991262,0.44824645,0.30721986,0.49508473,0.43122995,0.7049685,0.5719523,0.2904985,0.3151963,0.492351,0.46086353,0.0,0.23072305,0.5093901,0.26298058,0.3299438,0.40012372,0.0,0.38342395,0.0,0.56105804,0.38253152,0.42573205,0.0,0.48553592,0.38632232,0.0,0.41057208
beachbummovie,0.54687434,0.3136077,0.5837208,0.45925018,0.4785731,0.6056063,0.404138,0.19171385,0.0,0.51462185,0.34112534,0.6746736,0.4751553,0.0,0.5731119,0.08769313,0.40199974,0.58275914,0.08392362,0.25105086,0.029494632,0.41030902,0.51593137,0.0,0.34487003,0.549422,0.5125222,0.49247193,0.3770926,0.24332626,0.68504757,0.29821306,0.5836912,0.52173585,0.46732032,0.33860153,0.4819166,0.5936406,0.0,0.36210215,0.53068364,0.34388274,0.8047293,0.49373466,0.43442374,0.57998717,0.2519098,0.6526801,0.32983518,0.5205054,0.36748505,0.6816669,0.543053,0.0,0.3832311,0.4073436,0.33138156,0.40248173,0.3818682,0.0,0.42472917,0.0,0.6377047,0.3548361,0.394993,0.0,0.39967144,0.42039967,0.0,0.36937276
