movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89
21bridgesmovie,0.5237917,0.0,0.37904978,0.33395126,0.47659957,0.6279959,0.41522565,0.19182606,0.3029475,0.10449966,0.49338648,0.4499805,0.35517102,0.60807425,0.0,0.23405296,0.5978767,0.37211108,0.6877967,0.27539676,0.18397014,0.0,0.1814239,0.6471095,0.18488277,0.54015595,0.28966758,0.6666722,0.019462654,0.40696508,0.12684117,0.367534,0.46255308,0.41432527,0.54188395,0.60536325,0.5109835,0.34184548,0.32390362,0.2585324,0.13858342,0.0,0.6087064,0.47060978,0.440865,0.54531705,0.47827277,0.0,0.30365837,0.29018068,0.27969387,0.0,0.4635684,0.62495637,0.43953922,0.42269316,0.0,0.6507118,0.57893515,0.49547267,0.5072337,0.26425382,0.2561919,0.7407327,0.2652074,0.32621104,0.5676466,0.0,0.20717055,0.60021245,0.50518167,0.3357558,0.66987836,0.5252902,0.0,0.18672024,0.5033482,0.19695972,0.2122283,0.36729228,0.47734615,0.4078346,0.3708922,0.3149315,0.0,0.5091338,0.6893342,0.37503093,0.56522197,0.5309928
47metersdown,0.50714093,0.0,0.6831014,0.30288735,0.52582425,0.6997606,0.46306342,0.18142551,0.63562065,0.2508964,0.74615073,0.551514,0.54114294,0.73975813,0.0,0.4070824,0.6513689,0.31755388,0.73278177,0.105097845,0.34971148,0.0,0.3194536,0.6240161,0.41614604,0.722949,0.59826314,0.80374706,0.0,0.5883305,0.23533304,0.45603222,0.4939425,0.34397763,0.83938265,0.54860044,0.5210469,0.3919523,0.19892018,0.30424675,0.4033969,0.0,0.652455,0.6773902,0.58763945,0.5805853,0.50954956,0.0,0.49960983,0.43338522,0.49772272,0.0,0.6295003,0.8474668,0.6466995,0.58920133,0.0,0.53853333,0.7244312,0.52180314,0.7154074,0.5884967,0.21372329,0.91388315,0.41205737,0.4546661,0.83984613,0.0,0.013621182,0.75588787,0.8100368,0.45751297,0.8285123,0.6679531,0.0,0.30555078,0.8174138,0.3237368,0.2492289,0.36117542,0.7472178,0.43136168,0.5966907,0.33764565,0.0,0.58561736,0.7818751,0.4204208,0.56750375,0.4605474
abeautifuldaymovie,0.30218747,0.0,0.4136671,0.4367314,0.37383738,0.4377853,0.2772761,0.23187883,0.38607374,0.15626653,0.3474787,0.53578347,0.32430464,0.47308043,0.0,0.40828097,0.5694292,0.39989334,0.5553048,0.31853637,0.32465813,0.0,0.2770319,0.5847298,0.29117838,0.547091,0.49408013,0.67701125,0.0,0.3480596,0.24949212,0.17817128,0.3167814,0.50513923,0.5586797,0.46274647,0.3651556,0.32848245,0.31802395,0.21512897,0.24522251,0.0,0.5697524,0.43489304,0.5121496,0.48001793,0.40461305,0.0,0.24651267,0.25365177,0.36250883,0.0,0.3987389,0.5106128,0.47790536,0.6332864,0.0,0.37047836,0.4967868,0.49382308,0.5241786,0.44275013,0.17377755,0.69586235,0.31317303,0.43286246,0.51335615,0.0,0.14829078,0.5089482,0.64062405,0.3736461,0.62340504,0.59796613,0.0,0.31637678,0.5388322,0.22622181,0.23406218,0.40701967,0.3318154,0.4367873,0.41750947,0.25630504,0.0,0.51692843,0.52333057,0.41425684,0.5215702,0.4286529
abominablemovie,0.5624701,0.0,0.66433346,0.5413679,0.76943374,0.60665226,0.32803923,0.31129906,0.52863944,0.191393,0.50763524,0.70797724,0.59463364,1.037719,0.0,0.66477835,0.88634604,0.57000893,0.9458022,0.353808,0.8157495,0.0,0.29137835,0.67721987,0.38693035,0.93860173,0.74499905,1.1773196,0.02161831,0.5894303,0.06822455,0.4480029,0.60968304,0.6796291,1.082082,0.8141222,0.76242423,0.020969711,0.23091154,0.40810513,0.640433,0.0,0.8335561,0.8219969,0.5077726,0.9449742,0.61287826,0.0,0.478082,0.29800695,0.21308559,0.0,0.5661117,0.7189327,0.7213629,0.9100005,0.0,0.7843927,0.74648875,0.8005955,0.37043393,0.9244791,0.30598697,1.0351005,0.4789725,0.6896999,0.9588267,0.0,0.16846935,0.8314867,0.93654835,0.668254,0.9054334,0.83361304,0.0,0.21265955,0.77180195,0.29564083,0.5487313,0.50272423,0.6782782,0.7424123,0.47162443,0.43229946,0.0,0.8260734,0.7574849,0.63889444,0.673935,0.6154216
adastramovie,0.3749667,0.0,0.32928252,0.27312776,0.3447255,0.42839772,0.26441196,0.11914793,0.24248503,0.05535265,0.2501674,0.33109835,0.32811832,0.47377115,0.0,0.31681815,0.48334035,0.33173078,0.5341642,0.25689167,0.30997512,0.0,0.27205896,0.22440583,0.25261346,0.35441753,0.31486008,0.5003235,0.0,0.37018788,0.14020148,0.18807468,0.30348253,0.34156638,0.5224839,0.54903054,0.35310414,0.13406152,0.34558386,0.30977044,0.2992599,0.03277559,0.56494194,0.36073244,0.33954975,0.501664,0.3839896,0.0,0.116347246,0.20522489,0.19736983,0.0,0.47759607,0.35528803,0.5108204,0.45800734,0.0,0.5325843,0.46880192,0.29239604,0.49914032,0.39677322,0.20745726,0.66183114,0.21544793,0.37648767,0.5702008,0.0,0.100953214,0.5729927,0.5645006,0.4491486,0.6119025,0.5357095,0.0,0.24599658,0.4913613,0.25775382,0.35049406,0.34226888,0.34060562,0.43156105,0.2774329,0.37625158,0.0,0.46730852,0.4957667,0.37204137,0.62633693,0.42445445
adogsjourneymovie,1.0105876,0.0,0.6344445,0.28128844,0.90906376,1.0479445,0.6285958,0.25933608,0.6858339,0.5845853,0.6439511,1.0759977,0.7876649,0.81763315,0.0,0.6885392,1.2729394,0.9133365,1.1168208,0.44845963,0.74924535,0.0,0.3817197,0.9529332,0.5869667,1.1738895,1.0660882,1.3798764,0.0,0.4476676,0.29704806,0.4258409,1.0627728,1.1682537,1.0720745,1.0067182,0.883132,0.46221712,0.6783928,0.53052545,0.36875466,0.15951923,2.0086567,1.1550207,0.7747474,1.2351764,1.2894197,0.0,0.2399527,0.4554633,0.4177109,0.0,1.1721071,0.8179715,0.9797577,1.1423851,0.0,0.96557087,1.3832027,0.8652349,0.94585776,0.9409351,0.15049993,1.1367351,0.56087077,0.83182013,1.0780154,0.0,0.20569845,0.951774,1.2025084,1.0120139,1.2353102,1.316793,0.0,0.341755,1.453835,0.87061423,0.48151731,0.6408751,0.7479337,0.91437054,0.80061936,0.772468,0.0,1.1459728,1.0352075,1.2874207,1.305005,1.426589
aftermathmovie,0.29200432,0.0,0.18766423,0.2141542,0.3264264,0.39708972,0.16097789,0.17718935,0.27168226,0.12899292,0.28175613,0.29566947,0.19855826,0.3964864,0.0,0.22824681,0.36770096,0.28230906,0.37103274,0.14791775,0.20171718,0.0,0.23309654,0.36909702,0.21782604,0.32673556,0.41778183,0.4499418,0.07747298,0.21216087,0.1302012,0.17575175,0.3916002,0.36046177,0.42549318,0.47894406,0.383597,0.22020307,0.24243926,0.31095243,0.15352301,0.0,0.5202551,0.40101907,0.27006385,0.42534953,0.2621292,0.0,0.12501964,0.16541184,0.22277337,0.0,0.33355865,0.39166552,0.37472638,0.43173373,0.0,0.37693098,0.3505833,0.3777226,0.3049383,0.31998184,0.18286465,0.47687903,0.25843087,0.27795285,0.5187878,0.0,0.0,0.37685734,0.37600872,0.36928856,0.46280688,0.3237433,0.0,0.03960632,0.44781053,0.15680557,0.12602454,0.32672918,0.24657016,0.30231255,0.30894727,0.17722087,0.0,0.3098474,0.43231523,0.26139522,0.44854355,0.34762284
aftermovie,0.53734225,0.0,0.35743836,0.29685247,0.4778514,0.55452204,0.409634,0.16736987,0.26529828,0.20161623,0.36307707,0.35786968,0.23575705,0.49940905,0.0,0.2594242,0.4501606,0.32222492,0.5204897,0.19125448,0.20107609,0.0,0.2512418,0.3648684,0.2639222,0.3671339,0.31599888,0.6086663,0.028762208,0.2747945,0.26810777,0.29187223,0.42987037,0.41294336,0.5826622,0.5946135,0.34182808,0.22529498,0.3819154,0.15780012,0.26836273,0.0,0.6465365,0.4596349,0.47058862,0.49522334,0.4643432,0.0,0.18451852,0.22433352,0.13574177,0.0,0.38099527,0.52747416,0.5844726,0.50125974,0.0,0.5312168,0.4440621,0.2797173,0.37511373,0.34855962,0.20306627,0.7268612,0.21122116,0.2429852,0.48449066,0.0,0.006710925,0.53375113,0.56404865,0.4511412,0.4661092,0.40370747,0.0,0.24076381,0.56363404,0.22706452,0.18146735,0.41371554,0.37504318,0.4538492,0.29395312,0.35018867,0.0,0.45281416,0.5983898,0.44822556,0.6779273,0.43960652
ahiddenlifefilm,0.18558927,0.0,0.16151145,0.14432704,0.1914941,0.21898165,0.12885627,0.0689152,0.15273827,0.046620615,0.16292837,0.17978318,0.12541324,0.21805753,0.0,0.12415455,0.22944875,0.13856633,0.2433338,0.08472402,0.08741546,0.0,0.12241627,0.1903435,0.112550974,0.1832422,0.18178682,0.25214994,0.0,0.15015778,0.084142074,0.100873984,0.17329226,0.16824302,0.22683546,0.21841943,0.16784748,0.084243715,0.14623722,0.11363272,0.094002366,0.0,0.2697612,0.20749894,0.14237554,0.23009314,0.16240275,0.0,0.09820349,0.07901634,0.09890486,0.0,0.1915455,0.20489879,0.19905898,0.20885491,0.0,0.1982276,0.21257317,0.17070456,0.20663628,0.17588359,0.0962938,0.27392355,0.10505274,0.1468869,0.23837341,0.0,0.03573782,0.21877335,0.2385383,0.17732435,0.25126374,0.17615095,0.0,0.06690733,0.23655567,0.12014956,0.0957309,0.17003444,0.16064276,0.15416445,0.14538229,0.13132589,0.0,0.19243392,0.20530483,0.18153591,0.22242768,0.19060254
alitamovie,0.7015169,0.0,0.677577,0.42315,0.8206792,0.7676131,0.65514594,0.1458889,0.56739587,0.0,0.56991595,0.8419196,0.55839103,0.7427653,0.0,0.52829325,0.7388322,0.2017095,0.77015924,0.14915283,0.51637715,0.0,0.35525525,0.5860621,0.49197125,0.8484343,0.57578635,1.1642783,0.0,0.47261682,0.25610027,0.3874138,0.5322536,0.6100882,0.62965155,0.945721,0.5390594,0.28997222,0.50366896,0.38578948,0.5461772,0.1294209,0.8685421,0.8533433,0.6132637,0.8177855,0.73542035,0.0,0.18184964,0.38892496,0.3497468,0.0,0.7749264,0.6533956,0.58185506,0.53889865,0.0,0.85949445,0.7092233,0.5830395,0.62846345,0.32737705,0.3190366,1.1373281,0.2459764,0.5389743,0.9838871,0.0,0.18166737,0.76202464,0.9923314,0.6975699,0.9322722,0.7683895,0.0,0.18107313,0.78033483,0.44309816,0.6446685,0.72143674,0.79155904,0.7794814,0.554994,0.6594725,0.0,0.617323,0.7929822,0.72531027,0.7279117,0.71321666
