movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
goldfinchmovie,1.0016063,1.4704306,1.1253874,0.5057625,0.0,0.9961596,0.555538,0.6513009,0.6014159,0.91000265,1.1961486,1.0643198,0.0,0.8453836,0.7745147,0.76603955,0.40840292,1.0633208,0.35055858,0.2852957,0.0,0.30582199,1.0306128,0.0,0.75669706,0.6233033,0.5434094,0.6403922,0.53286016,0.49213782
goodboysmovie,1.1093014,1.1791595,1.2165287,0.2715076,0.0,0.8716388,0.6717541,0.6721101,0.5911927,0.95409304,1.1325883,1.1862146,0.0,0.66579837,0.8091872,0.7912168,0.55183035,1.2726854,0.4649043,0.37928143,0.0,0.16030602,0.7561499,0.0,0.9131867,0.6519388,0.9090106,0.98437613,0.6451231,0.2193234
goodliarmovie,0.98459256,1.5952005,1.3654809,0.6641898,0.0,1.4058298,0.6825423,1.1312612,0.56977344,1.0962602,1.0633454,1.1954764,0.0,0.60674,0.7888298,0.86601907,0.68852544,1.4974236,0.6345777,0.65749824,0.0,0.095407575,1.1348047,0.0,1.0971138,0.98015296,1.0414585,0.7609785,0.6441016,0.6034603
gretafilm,0.90604305,1.1259534,0.9038053,0.561157,0.0,0.87479275,0.64456606,0.45174578,0.5609246,1.0996273,1.030029,1.294834,0.0,0.64574474,0.9317188,0.9158384,0.50329125,1.1065394,0.35201097,0.5229518,0.0,0.0,0.8934088,0.0,0.9473141,0.67523,0.68945014,0.5081617,0.5706074,0.38787657
halathemovie,1.1598368,2.0437977,1.4908457,0.29877478,0.0,1.5189942,0.8729328,0.6514969,0.74802864,1.2368159,1.1703851,1.8249732,0.0,0.63071245,0.4916706,0.81827754,0.7227001,1.8146803,0.8950399,0.566847,0.0,0.0044583166,1.1932524,0.0,1.3762094,0.9071461,0.9929035,0.8822826,0.880044,0.8181637
happydeathdaymovie,0.5142672,0.67165875,0.33084562,0.2060397,0.0,0.3632664,0.45483875,0.44178066,0.21586221,0.42167568,0.48652476,0.61878127,0.0,0.22705308,0.4731174,0.35297757,0.49339834,0.40750325,0.38854492,0.26611534,0.0,0.07491242,0.39900553,0.0,0.38912976,0.43181327,0.21527433,0.25499097,0.3326189,0.30340338
harrietfilm,0.8554467,1.015675,0.88731027,0.45424324,0.0,0.64538944,0.44509235,0.6711734,0.57480913,0.66921777,0.8550788,1.0005584,0.0,0.48128513,0.876585,0.61535174,0.55479896,0.97226775,0.22130899,0.12766354,0.0,0.1266406,0.6434845,0.0,0.62289125,0.33481067,0.35432318,0.52939284,0.4874069,0.47567007
hellboymovie,0.7867626,1.0357215,0.7607278,0.30062076,0.0,0.604952,0.4474176,0.59449416,0.47090277,0.4914672,0.9248093,0.9107105,0.0,0.44347808,0.38740557,0.71103704,0.37388843,0.8498268,0.4337083,0.5805073,0.0,0.0,0.5921588,0.0,0.59235704,0.3862345,0.49543533,0.6488243,0.4351247,0.32955533
hersmellmovie,1.7972274,1.9444857,1.5094533,0.6353078,0.0,0.5105242,0.8948792,1.4634196,0.9141236,0.82170707,1.0603117,1.746235,0.0,0.43752804,0.22665377,1.0656232,0.9869876,1.6112002,0.9499574,0.21233661,0.0,0.046893053,1.0814126,0.0,0.9918923,0.6985455,0.6245229,0.92622817,0.48608488,0.6550846
highlifemovie,0.6553463,0.84608316,0.7757081,0.3120655,0.0,0.58604246,0.3154302,0.5215854,0.46624556,0.5728677,0.6522077,0.7395809,0.0,0.33134288,0.39659244,0.49245492,0.33139732,0.8634477,0.33013743,0.26220578,0.0,0.19586399,0.65345865,0.0,0.61758244,0.35598472,0.35268793,0.65491533,0.3126464,0.21474753
