movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165,feature_166,feature_167,feature_168,feature_169
21bridgesmovie,0.43597937,0.542055,0.43530816,0.13441789,0.30871984,0.1280422,0.18102163,0.13859794,0.32563746,0.53306603,0.0,0.35668698,0.3580446,0.0,0.39783537,0.2225108,0.13657299,0.27114967,0.3640191,0.18714139,0.0,0.0,0.0,0.22263965,0.26001802,0.35314792,0.22924745,0.0,0.32398438,0.39090648,0.3080165,0.39509326,0.1271252,0.4373173,0.0,0.15530309,0.29242432,0.16554233,0.0,0.09714171,0.21728174,0.015562963,0.24247928,0.12314479,0.3975725,0.37967345,0.31738394,0.41723624,0.3247404,0.40341055,0.3219483,0.18690813,0.2349622,0.36435482,0.5029059,0.11841405,0.37297112,0.27049226,0.30974647,0.42602202,0.42722067,0.3708775,0.50843877,0.08082907,0.1616928,0.20208308,0.14939247,0.0,0.2894088,0.32817215,0.26576984,0.35730568,0.21715496,0.0,0.33580202,0.0,0.31871048,0.0,0.26016122,0.4497844,0.18539202,0.3210649,0.1153283,0.48142272,0.0,0.32650945,0.4919279,0.24862644,0.23223513,0.32670468,0.33440724,0.0,0.29489917,0.22017887,0.38539928,0.41432723,0.27707615,0.0,0.0,0.14840841,0.31828976,0.0,0.17449903,0.0,0.0,0.37264466,0.35329488,0.37275037,0.0065281633,0.3781525,0.2823053,0.30428344,0.22291099,0.5024181,0.37849832,0.22700886,0.43700287,0.41786417,0.20442481,0.020692587,0.31901932,0.55231255,0.31164047,0.12726103,0.717018,0.0,0.2222081,0.3926477,0.2992789,0.0,0.009299927,0.3096569,0.0,0.26335186,0.05973073,0.2455933,0.37170616,0.0,0.0,0.30412346,0.48331925,0.3376104,0.21987376,0.29983598,0.22065455,0.0,0.40879035,0.0,0.10058115,0.0,0.11709378,0.16961762,0.28256774,0.0,0.12858218,0.3823579,0.3491997,0.0,0.25257415,0.09563116,0.29611397,0.34524277,0.4616832,0.0,0.15932888,0.36779103,0.16029456,0.3621885,0.25020382,0.31132016
47metersdown,0.29355082,0.6319396,0.48166072,0.069677755,0.31620106,0.2014335,0.2173916,0.04213451,0.27924347,0.7537578,0.0,0.4842847,0.49967977,0.0,0.40280557,0.26617908,0.269987,0.2799354,0.49785507,0.46731842,0.0,0.0,0.0,0.4113653,0.28530997,0.4914616,0.39798266,0.0,0.4330308,0.1604706,0.37518156,0.4700073,0.0,0.5137066,0.0,0.5132555,0.63598794,0.34052968,0.0,0.23960054,0.15789819,0.043139987,0.41150546,0.18146458,0.3883353,0.542403,0.5044195,0.27827194,0.17277315,0.45020643,0.5327668,0.41716218,0.5815086,0.28641608,0.4946896,0.20091584,0.46970028,0.36847392,0.16921988,0.62058175,0.44250378,0.2827538,0.57600063,0.2916841,0.39704138,0.23718026,0.12713215,0.0,0.14123271,0.43852103,0.29568702,0.5673702,0.10613829,0.0,0.39949566,0.0,0.5462081,0.0,0.3251261,0.46424592,0.36552614,0.48382476,0.038935184,0.5042572,0.0,0.41549188,0.34716523,0.4752901,0.42142558,0.6745683,0.12686945,0.0,0.46936965,0.26019308,0.46873584,0.5245633,0.30325228,0.07293536,0.0,0.2935919,0.3560434,0.0,0.135014,0.1214095,0.0,0.532014,0.5762793,0.6247634,0.12989074,0.61691135,0.29366472,0.48755294,0.17969438,0.77931684,0.44351912,0.13798523,0.35320857,0.5549651,0.38605106,0.0,0.3995842,0.63450044,0.60680383,0.3378532,0.77921116,0.0,0.32755747,0.6271422,0.40400118,0.0,0.08180345,0.18002746,0.0,0.32262895,0.23632117,0.38958374,0.46392757,0.0,0.0,0.12626591,0.48601943,0.3756704,0.09408581,0.30367166,0.4320683,0.0,0.5481512,0.0,0.30538678,0.0,0.16308802,0.13988622,0.39902136,0.12570955,0.15434192,0.53807807,0.49669477,0.0,0.26437026,0.0,0.14077744,0.2768274,0.61836505,0.0,0.15699568,0.3609767,0.13394982,0.47508493,0.31679294,0.4037132
abeautifuldaymovie,0.25029445,0.43579525,0.4388436,0.14471354,0.2502471,0.0940958,0.16723776,0.20992278,0.31142932,0.4272056,0.0,0.25734633,0.43612525,0.0,0.37240952,0.17747812,0.09911944,0.27520573,0.4511898,0.15045574,0.0,0.0,0.0,0.27365723,0.2886607,0.4372857,0.34308037,0.0,0.29010075,0.35859516,0.329748,0.5121328,0.10462412,0.42597026,0.0,0.26035306,0.4137546,0.26357096,0.0,0.061360195,0.19904646,0.0,0.28342715,0.19308642,0.21550868,0.5184961,0.2609737,0.2681148,0.2668641,0.4488931,0.31746465,0.24514624,0.2844605,0.14750314,0.3369676,0.10619743,0.40917388,0.30488846,0.30169246,0.47414753,0.31973097,0.16002862,0.48976076,0.4433605,0.2870181,0.24330476,0.027737806,0.0,0.27308553,0.44812807,0.25903752,0.2844951,0.20464276,0.0,0.3734415,0.0,0.36543304,0.0,0.28224424,0.5486703,0.19023648,0.33735737,0.07770227,0.38351285,0.0,0.22119407,0.306724,0.45304078,0.3544741,0.30755082,0.24703902,0.0,0.42339152,0.34288394,0.3701848,0.37908432,0.28681704,0.0,0.0,0.16690692,0.35481858,0.0,0.046801936,0.040614523,0.0,0.5153986,0.20258433,0.5272564,0.060190655,0.39171144,0.27074173,0.255767,0.1975942,0.33346906,0.4428846,0.14710604,0.3336101,0.46946242,0.2606893,0.0,0.25723553,0.5601628,0.43060666,0.13065645,0.45463932,0.0,0.40366518,0.41020042,0.46750253,0.0,0.07587987,0.31095627,0.0,0.2576502,0.1650326,0.08310896,0.3176283,0.0,0.0,0.24051929,0.38821962,0.3347205,0.05068032,0.35954392,0.19168568,0.0,0.3433391,0.0,0.33022177,0.0,0.08877056,0.20953432,0.25691068,0.0,0.22539672,0.4538513,0.3348487,0.0,0.32788533,0.023681808,0.2370089,0.3041856,0.4411352,0.0,0.25202963,0.3239181,0.108742155,0.2749269,0.20374085,0.47516492
abominablemovie,0.47471553,0.6356813,0.5215369,0.29613626,0.62210375,0.25460428,0.13991393,0.19255488,0.46470863,0.919512,0.0,0.3160821,0.72257316,0.0,0.6375133,0.37352183,0.36838523,0.5216481,0.8547535,0.2592514,0.0,0.0,0.0,0.37049094,0.4286114,0.62291265,0.44870642,0.0,0.50950885,0.6616251,0.43417165,0.73265016,0.0,0.5747,0.0,0.3055645,0.60007995,0.13931608,0.0,0.32296222,0.4352563,0.26168573,0.6178755,0.1655618,0.76625484,0.770521,0.5959585,0.449668,0.32553354,0.7830788,0.3740884,0.3614733,0.3832613,0.6117481,0.6493299,0.19748718,0.39982107,0.38955963,0.26780614,0.825875,0.559126,0.32654583,0.9122441,0.3583867,0.37292874,0.38663277,0.23520528,0.0,0.3479573,0.7071138,0.5609242,0.77361834,0.21051586,0.0,0.6574347,0.0,0.48100203,0.0,0.46437672,1.0462503,0.5130674,0.60125166,0.17656898,0.8042374,0.0,0.35151842,0.78583753,0.6111828,0.52332234,0.5768098,0.35322008,0.0,0.5310803,0.43507642,0.601453,0.7585981,0.6978861,0.0,0.0,0.16498575,0.6692128,0.0,0.08535933,0.0,0.0,0.6903976,0.5600487,0.89771575,0.134814,0.82793355,0.5156835,0.70890015,0.2325295,0.9216841,0.69037676,0.12543692,0.63804036,0.71334326,0.40799978,0.0,0.36178842,1.0223525,0.9032596,0.24470231,1.0753298,0.0,0.4698818,0.8515945,0.77668875,0.013555031,0.04397296,0.6402865,0.0,0.41678876,0.2706894,0.3358199,0.65776265,0.10033691,0.0,0.6894387,0.78569627,0.7225126,0.118711784,0.49499643,0.4280417,0.0,0.77979636,0.0,0.20967725,0.0,0.008693507,0.3820957,0.4226969,0.0,0.36288118,0.66592455,0.5099751,0.0,0.02873543,0.11632619,0.39761668,0.2530439,0.7514994,0.0,0.19040717,0.40768266,0.20811853,0.74560034,0.33675623,0.6203004
adastramovie,0.29006952,0.54130757,0.38879806,0.28556833,0.3556084,0.16698739,0.21636246,0.1947241,0.17204136,0.3871896,0.0,0.30484316,0.4066046,0.0,0.398119,0.12599272,0.18242158,0.21557416,0.34584552,0.16913491,0.0,0.0,0.0,0.27428952,0.29391605,0.38388145,0.2893302,0.0,0.30294767,0.3352685,0.38738492,0.5140253,0.0,0.44723445,0.0,0.2425344,0.3676226,0.20999707,0.0,0.08526475,0.20580743,0.02662012,0.25460044,0.21593192,0.28792018,0.5482582,0.34491992,0.33622327,0.18413961,0.4242719,0.37238795,0.1943149,0.25901544,0.30188453,0.37912837,0.16682604,0.3658531,0.2186663,0.23170154,0.37087247,0.3243669,0.22897835,0.55939937,0.14652999,0.24977444,0.22805926,0.19751479,0.0,0.19857898,0.45553505,0.20277788,0.46696824,0.08663492,0.0,0.33343428,0.0,0.35498866,0.0,0.34811562,0.44388196,0.29538423,0.25426707,0.005520394,0.46019375,0.0,0.3963147,0.5433315,0.41502124,0.23874387,0.3970942,0.21565619,0.0,0.25823557,0.27990967,0.49745503,0.33261552,0.44218826,0.04656542,0.0,0.04265351,0.30606943,0.0,0.038877178,0.05291851,0.0,0.25939733,0.35377836,0.37047297,0.081832506,0.40885952,0.37406674,0.28551984,0.18154582,0.42923942,0.46869937,0.15975666,0.36424747,0.48244604,0.34467155,0.0,0.35191295,0.57114434,0.2663653,0.24986559,0.41725534,0.0,0.4543279,0.42181244,0.36142418,0.0,0.015759397,0.45344317,0.0,0.2779731,0.11880767,0.15222466,0.3478186,0.059890892,0.0,0.24306625,0.41468582,0.33258012,0.16787167,0.2115573,0.18909141,0.0,0.385651,0.0,0.33884996,0.0,0.15957353,0.14936046,0.26700285,0.0,0.16104943,0.40286776,0.46205714,0.0,0.119625784,0.014380411,0.19195314,0.2212954,0.42394975,0.0,0.13112363,0.17162533,0.044224598,0.31657833,0.15280916,0.289359
adogsjourneymovie,0.5684602,0.7433144,0.8725922,0.29745707,0.051505245,0.0,0.5232322,0.19761053,0.53364354,1.1336815,0.0,0.69500726,0.88581955,0.0,0.8246312,0.3493593,0.31296313,0.52991956,0.8076652,0.0658427,0.0,0.0,0.0,0.6156644,0.52924216,0.8771514,0.85109967,0.0,0.7375439,0.6452554,0.4929354,0.90533686,0.010171477,0.96957016,0.0,0.3155509,0.7709207,0.6296462,0.0,0.0036017504,0.26032624,0.06971781,0.51663476,0.025704414,0.91056305,1.0409287,0.5838588,0.43864316,0.3360322,0.9733817,0.6385592,0.4399625,0.53452826,0.49419677,0.45661634,0.39830685,0.36503145,1.1420574,0.8178582,0.879547,0.8864691,0.69669306,0.93179685,0.7420955,0.42471015,0.5515465,0.36304644,0.0,0.03782106,1.1352865,1.0271798,0.69426966,0.3539004,0.0,0.7164367,0.0,0.66901314,0.0,0.33226484,0.89870423,0.6464648,0.41764387,0.26347885,0.8321189,0.16306676,0.5630003,0.92091984,0.7720351,0.7179419,1.038202,0.31408262,0.0,0.7294467,0.6056667,0.88190293,0.48256063,0.7269845,0.0,0.0,0.34814417,0.5972398,0.0,0.42434078,0.020738104,0.0,1.0803813,0.49749145,1.0394971,0.17079195,1.1072897,0.73887634,0.7765588,0.5635961,0.8545885,0.9268672,0.1724236,0.52678585,0.7902508,0.5665865,0.0,0.85310173,1.1624168,0.6481857,0.075612426,1.2701414,0.008956308,0.49341682,0.8885445,0.6304477,0.29549438,0.046533488,0.8585961,0.0,0.55374813,0.32065803,0.35373256,0.50074285,0.0,0.0,0.6293738,0.9056334,0.9039538,0.39820257,0.6241521,0.71607125,0.0,0.97993153,0.0,0.4285085,0.0,0.29869837,0.6737364,0.94728005,0.0,0.33641204,0.5250248,0.71965605,0.0,0.37654635,0.068880774,0.5278985,0.27988887,0.52633965,0.0,0.3806777,0.6425288,0.68540686,0.9062528,0.21864134,0.7469849
aftermathmovie,0.157015,0.28291023,0.38449675,0.18518806,0.21679515,0.105592914,0.23596746,0.058467686,0.16481797,0.40372238,0.0,0.14705397,0.3277134,0.0,0.27900648,0.13465802,0.21364337,0.26770225,0.300932,0.19564457,0.0,0.0,0.0,0.15762693,0.19923219,0.3369431,0.32893267,0.0,0.32324058,0.2853606,0.20029041,0.4127593,0.0,0.41293085,0.0,0.21616405,0.3042724,0.12689419,0.0,0.076230876,0.21426527,0.08034414,0.317485,0.089416586,0.2330704,0.4109799,0.33637488,0.320461,0.09942882,0.34775946,0.23546822,0.23574871,0.32723173,0.10551959,0.14298171,0.09381187,0.22130801,0.27640828,0.23855503,0.36427966,0.25737056,0.19895864,0.31155378,0.2766926,0.2254344,0.2880955,0.14339724,0.0,0.20437036,0.23471344,0.20567305,0.3061286,0.12772447,0.0,0.21531661,0.0,0.27244303,0.0,0.18058115,0.4105815,0.23172216,0.26306474,0.123948656,0.3084805,0.0,0.10223328,0.36291817,0.31053498,0.2986331,0.32952994,0.12261999,0.0,0.264127,0.1817849,0.4203911,0.3249988,0.2372341,0.0,0.13830402,0.1868647,0.28510755,0.0,0.06214063,0.079091825,0.0,0.31741837,0.29217088,0.42275795,0.1547987,0.41024283,0.16518232,0.29809248,0.04645454,0.33012643,0.39276513,0.05471371,0.2296145,0.27081856,0.2008591,0.0,0.2262335,0.3898466,0.34743902,0.13803715,0.36207187,0.0,0.204145,0.3832941,0.2440807,0.07515201,0.0,0.32274047,0.0,0.27545783,0.13405757,0.21220617,0.28790134,0.06316987,0.0,0.22718838,0.28756347,0.32293373,0.1567897,0.20043394,0.2727167,0.0,0.3894571,0.0,0.19878203,0.0,0.04394228,0.19480833,0.27208838,0.0,0.16540311,0.27825838,0.31776404,0.0,0.122507095,0.05218039,0.11289174,0.1671549,0.27180937,0.0,0.1198522,0.15568158,0.08624736,0.3079519,0.22220348,0.33844793
aftermovie,0.2844109,0.50509757,0.31878155,0.14648597,0.42697728,0.24667603,0.1632907,0.13966218,0.36147004,0.65592504,0.0,0.21294795,0.34406033,0.0,0.38451824,0.30184388,0.25309113,0.27483574,0.42651254,0.30322042,0.0,0.0,0.0,0.3719277,0.21942289,0.39419654,0.48403043,0.0,0.41314197,0.31869915,0.4126019,0.46044582,0.17314704,0.50295484,0.0,0.28541416,0.46978992,0.32348508,0.0,0.16984946,0.192594,0.0714685,0.20660067,0.11087493,0.35428742,0.5677317,0.29349616,0.41320166,0.18067104,0.55112565,0.45224535,0.40085238,0.24844973,0.18900219,0.4162861,0.13375646,0.34193045,0.15104464,0.28107062,0.58423984,0.47715548,0.31335366,0.52152455,0.30549723,0.32729492,0.15024585,0.060772702,0.0,0.25233865,0.5532262,0.21364087,0.4884203,0.1841525,0.0,0.37415978,0.0,0.42551905,0.0,0.39989305,0.543528,0.28237057,0.45272535,0.14121282,0.5709997,0.0,0.41071275,0.33111224,0.371758,0.34398225,0.38570032,0.32923678,0.0,0.32779363,0.18114711,0.34444517,0.39050427,0.37923482,0.0,0.0,0.1518824,0.50069636,0.0,0.2589069,0.09769394,0.0,0.5253853,0.32889298,0.41709962,0.060012966,0.48790798,0.41023344,0.43512017,0.09605371,0.46709517,0.4285867,0.12723637,0.41142976,0.48882633,0.40985766,0.0,0.39492682,0.63735306,0.5460852,0.22888792,0.60056084,0.0,0.30803254,0.49981827,0.5863851,0.0,0.0,0.3875406,0.0,0.21836306,0.2656162,0.22392623,0.43467134,0.050786145,0.0,0.31598192,0.54018754,0.4571,0.1873596,0.2937952,0.15968764,0.0,0.44725686,0.0,0.33614796,0.0,0.10937183,0.119411364,0.22757165,0.07731095,0.19724894,0.45336697,0.52998435,0.0,0.042217445,0.11697811,0.21928215,0.34704638,0.34865412,0.0,0.19594984,0.31852242,0.17832138,0.37396458,0.16864973,0.28249985
ahiddenlifefilm,0.12809625,0.17369044,0.16771099,0.09231234,0.11107375,0.07092999,0.0908523,0.070046276,0.12307051,0.2183861,0.0,0.09718978,0.1816113,0.0,0.17251317,0.07107162,0.10461116,0.12863751,0.19242942,0.101352036,0.0,0.0,0.0,0.10047585,0.10665749,0.18255238,0.14691556,0.0,0.14849143,0.14654131,0.13450901,0.19691493,0.04506425,0.1729198,0.0,0.120544985,0.15139563,0.10535266,0.0,0.045978747,0.08268798,0.014652798,0.12653485,0.07132299,0.15598789,0.20743483,0.13706076,0.1357194,0.08647173,0.20484947,0.154672,0.12709624,0.14944689,0.11527817,0.1341947,0.05305187,0.16112006,0.14040902,0.11038763,0.18939373,0.16123742,0.124166,0.22213958,0.13299581,0.10709818,0.09602988,0.06254699,0.0,0.07281643,0.15903237,0.13782342,0.17437968,0.07987423,0.0,0.1401397,0.0,0.13363212,0.0,0.11344599,0.22724606,0.1266425,0.14985196,0.054829225,0.20543183,0.0,0.10299267,0.18331075,0.1531243,0.13658346,0.16581291,0.09302014,0.0,0.1340762,0.107513905,0.18064018,0.16145729,0.13518253,0.0,0.0,0.07390865,0.15038793,0.0,0.059791435,0.03764434,0.0,0.18783331,0.14825767,0.19782692,0.03489963,0.21670188,0.15029696,0.13465416,0.09549066,0.17081805,0.1664751,0.051724263,0.14580062,0.17257479,0.13753237,0.0,0.12773006,0.24412864,0.18102148,0.06901934,0.24340844,0.0,0.14757591,0.19262622,0.17029822,0.0,0.022330081,0.1452525,0.0,0.10360656,0.06593312,0.09680848,0.14593972,0.0041267322,0.0,0.1389109,0.1890037,0.15829922,0.09022425,0.15678954,0.11191278,0.0,0.19060476,0.0,0.11496788,0.0,0.047349572,0.093134224,0.1332683,0.0,0.062671944,0.17088728,0.15285283,0.0,0.084789574,0.03997689,0.10232794,0.09635891,0.18366304,0.0,0.083999515,0.11922066,0.09399142,0.17122355,0.108452044,0.15082915
alitamovie,0.5034497,1.07601,0.7881743,0.43747243,0.41652468,0.3236871,0.42446062,0.17045356,0.4019938,0.95678455,0.0,0.4787101,0.5319543,0.0,0.6545279,0.24627079,0.25927478,0.5124683,0.49712446,0.10413243,0.0,0.0,0.0,0.40021166,0.54399467,0.8280637,0.60547864,0.0,0.6514586,0.7435053,0.73500603,0.5112533,0.18721057,0.87316054,0.0,0.4760272,0.5887447,0.5578285,0.0,0.22683966,0.19593471,0.029486388,0.2236447,0.31255645,0.5606112,1.1365405,0.54516524,0.5006636,0.48099855,0.6742513,0.4966454,0.54091376,0.25754833,0.31120333,0.6364386,0.1564362,0.57357335,0.4842721,0.40729043,0.5106345,0.62287104,0.5558205,0.8875748,0.25760153,0.31030786,0.41659817,0.43503472,0.0,0.18386967,0.6019966,0.5020519,0.6360528,0.17037086,0.0,0.641338,0.0,0.6928925,0.0,0.4448188,0.56009984,0.4741833,0.44506052,0.30490202,0.73817116,0.0,0.6867057,0.84685034,0.3677182,0.382244,0.57887787,0.3739296,0.0,0.5392278,0.46028405,0.9741368,0.53158796,0.54591316,0.0,0.057038385,0.0420487,0.55811214,0.0,0.13406405,0.24080251,0.10576143,0.6021361,0.7402847,0.7364494,0.09414438,0.5339961,0.62047124,0.51146066,0.16323452,0.7134048,0.8250246,0.23437433,0.4117063,0.7853657,0.7775488,0.0,0.47948754,0.88647103,0.43406686,0.2523027,1.0596988,0.0,0.41157803,0.55566627,0.54811263,0.0051877764,0.16163872,0.7240883,0.0,0.42992213,0.26804337,0.37441638,0.19661638,0.11243587,0.0,0.23903415,0.6437894,0.5569247,0.5175008,0.46664354,0.42616615,0.0,0.74777126,0.0,0.3362232,0.0,0.28042698,0.26715943,0.5514834,0.12707575,0.3146979,0.48006025,0.61400753,0.0,0.14504702,0.18735132,0.35446507,0.25783116,0.65235347,0.0,0.5406701,0.3546269,0.10199806,0.54042286,0.14955713,0.3798395
