movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89
21bridgesmovie,0.41331893,0.018857779,0.30377477,0.23398505,0.5946712,0.34899077,0.0,0.0,0.56761897,0.3206533,0.40648067,0.10100102,0.3558937,0.49234223,0.5730957,0.3334525,0.16851078,0.54906774,0.45802695,0.42212942,0.08967639,0.56089336,0.38608766,0.40730023,0.3920406,0.0,0.07194858,0.52732265,0.5521593,0.0,0.14524715,0.38196626,0.30315986,0.35353312,0.0,0.693253,0.0,0.35228464,0.5467272,0.4576258,0.33713374,0.29095462,0.32653293,0.51630664,0.0,0.37703598,0.23437458,0.0,0.5472854,0.2768834,0.0,0.45103854,0.37720883,0.23939918,0.6089688,0.65668786,0.11774804,0.6353753,0.371196,0.29683152,0.69524187,0.57117844,0.6261002,0.6192052,0.33909655,0.3912043,0.368016,0.05896292,0.2372211,0.5929504,0.29180592,0.0,0.11799462,0.53476626,0.340602,0.0,0.5798039,0.0,0.0,0.117052376,0.31089556,0.0,0.4239661,0.39574665,0.5508516,0.52083105,0.5718138,0.34358367,0.77255774,0.24504088
47metersdown,0.5193924,0.0,0.4369032,0.10574847,0.34595832,0.4690908,0.0,0.0,0.69408286,0.5332886,0.4316562,0.0,0.6286894,0.60411507,0.9130039,0.31554985,0.0,0.59552723,0.667948,0.56736153,0.1303548,0.87606233,0.57284594,0.21169353,0.4207744,0.0,0.12226977,0.7666225,0.51615775,0.0,0.22800069,0.6009895,0.6549819,0.2990404,0.0,0.89338326,0.0,0.54552114,0.73583245,0.59530646,0.16586444,0.82267076,0.66892636,0.44710535,0.0,0.24516751,0.28504354,0.0,0.60841984,0.4966382,0.0,0.5865141,0.37034813,0.36132798,0.6469156,0.64713895,0.2307749,0.6988156,0.23362692,0.42592993,0.75814325,0.74312603,0.7948247,0.72157127,0.24495472,0.44641826,0.44862154,0.41294602,0.19960892,0.8093464,0.5633365,0.0,0.1592578,0.63098776,0.43761757,0.066482574,0.53788364,0.0,0.0,0.43723428,0.29328257,0.0,0.36833245,0.3722517,0.5537609,0.6826706,0.51967824,0.43303782,0.87554604,0.29033846
abeautifuldaymovie,0.41716713,0.02100829,0.3920621,0.32601047,0.47435552,0.46397743,0.0,0.0,0.5324184,0.3600268,0.31928578,0.06321999,0.37023878,0.43180147,0.4481687,0.35183355,0.081200294,0.44291675,0.4564044,0.49394035,0.13556778,0.47259882,0.46025515,0.21513528,0.2854812,0.0,0.25491717,0.61845624,0.4221906,0.0,0.21717344,0.46431226,0.51399505,0.38859493,0.0,0.63618344,0.0,0.2931746,0.65444064,0.388542,0.12537718,0.5118207,0.3245785,0.4171747,0.0,0.14239803,0.21477647,0.0,0.45720315,0.40199676,0.0,0.5511311,0.41679898,0.16448645,0.6415549,0.6288506,0.12702668,0.5179097,0.44249845,0.4713397,0.4995517,0.56784976,0.6347678,0.64894336,0.15474282,0.49080807,0.44113564,0.28576806,0.121947385,0.5374844,0.37251604,0.0,0.046236232,0.5038479,0.2781236,0.07901417,0.5460568,0.0,0.0,0.05119805,0.22233881,0.0,0.54024774,0.3800128,0.5302819,0.5519061,0.48927552,0.30418584,0.6896336,0.3204059
abominablemovie,0.38400647,0.0,0.37955734,0.29076698,0.64046735,0.6578252,0.0,0.0,0.6480583,0.6882119,0.57031643,0.0076005054,0.28164372,0.48073092,0.7975124,0.49684736,0.187625,0.69244456,0.8853144,0.60994923,0.2727098,0.94827145,0.61605555,0.5728402,0.6229068,0.0,0.2156977,0.9765698,0.6816203,0.0,0.6022914,0.80809957,0.6338346,0.5894258,0.0,1.0164219,0.0,0.36591378,0.96929336,0.7135329,0.26917493,0.6524045,0.49598476,0.84504604,0.0,0.2764407,0.34700367,0.0,0.48091212,0.54570997,0.0,0.83583444,0.73902094,0.2319868,0.6976951,0.81201655,0.24026054,0.9200286,0.28238887,0.6805169,0.88617283,0.8212458,0.96862274,0.82022065,0.36277848,0.6322958,0.630282,0.1312667,0.5715147,0.80590427,0.70237565,0.0,0.2132124,0.7905876,0.2404496,0.0,0.56743765,0.0,0.0,0.2539068,0.43819427,0.0,1.001107,0.6009247,0.7718719,0.90513873,0.8334471,0.3925073,1.085154,0.37516746
adastramovie,0.38183138,0.0,0.38838693,0.20470546,0.49113446,0.45560008,0.0,0.0,0.47124594,0.23651427,0.37642515,0.013355117,0.3574815,0.43354398,0.46617073,0.30120808,0.0,0.4870042,0.4433881,0.46170512,0.10648455,0.4930226,0.25194246,0.16309923,0.29920703,0.0,0.0619355,0.5054167,0.45787203,0.0,0.24503899,0.51500905,0.32931587,0.19641045,0.0,0.5864575,0.0,0.18066624,0.6119522,0.4193849,0.28820816,0.33839092,0.46826938,0.45435542,0.0,0.14089021,0.22196952,0.0,0.42641348,0.385075,0.0,0.4928145,0.32868764,0.27699175,0.49287274,0.66128474,0.11153279,0.48858002,0.31285557,0.40220273,0.37588978,0.5659884,0.55616176,0.40942585,0.22914092,0.3416868,0.33181003,0.179961,0.24341089,0.39931074,0.33491158,0.0,0.13224125,0.4027965,0.16984038,0.0,0.51617646,0.016721971,0.0,0.20333074,0.08212144,0.0,0.36455804,0.30086535,0.5232204,0.464655,0.3503995,0.3042779,0.62674254,0.21436886
adogsjourneymovie,0.933795,0.027832936,0.8901504,0.0069293873,0.88073653,1.0342685,0.0,0.0,1.0424813,0.657213,0.15405975,0.0,0.7451252,1.3160638,1.0128185,0.8809983,0.20997249,0.902704,1.4050945,1.1921904,0.2389888,1.4061867,0.6630348,0.5211728,0.80175,0.0,0.24075758,1.3261608,1.4578243,0.0,0.20140955,0.7842199,0.74501467,0.9834274,0.0,1.1247418,0.0,0.7182502,0.93241847,1.2870896,0.46820918,0.93057185,0.80560094,0.99338794,0.0,0.5405667,0.5459925,0.0,1.5987284,0.71409833,0.0,1.4207684,0.8263998,0.35818055,1.1755753,1.0386624,0.25065154,1.6103752,0.83588874,1.2093,1.2604036,1.8633254,1.3120517,0.95329875,0.6846257,0.9797098,1.0162895,0.4630651,0.6589218,0.9416925,0.87466526,0.0,0.13000274,1.1285115,0.18313429,0.13260484,0.97885364,0.0,0.0,0.60963684,0.253966,0.0,0.7285155,0.99758375,1.0872217,1.1961391,1.2827946,0.8167678,1.5657388,0.60087115
aftermathmovie,0.24675985,0.0,0.24348453,0.18483858,0.34247193,0.3852148,0.0,0.078470565,0.3938002,0.20977299,0.18164621,0.10448497,0.19072485,0.32965124,0.33888692,0.24133383,0.04691117,0.3839848,0.35630357,0.40931025,0.07689578,0.42906317,0.3700961,0.1899867,0.29092872,0.0,0.041754916,0.40278825,0.3773201,0.0,0.21103768,0.3224152,0.34682608,0.19696043,0.0,0.316654,0.0,0.10857746,0.36115623,0.34225017,0.1792843,0.41710788,0.2414089,0.25791818,0.0,0.2464737,0.089448005,0.0,0.39896864,0.25515214,0.0,0.39204815,0.19959211,0.18940337,0.36988303,0.37004372,0.14461298,0.33233568,0.24878508,0.19519809,0.3821752,0.46850482,0.3664619,0.38364443,0.2202972,0.21525253,0.26059848,0.050359264,0.07596673,0.44071242,0.20237729,0.0,0.09369538,0.38091427,0.11515887,0.07610691,0.29841703,0.0,0.0,0.22203995,0.18792121,0.0,0.32180184,0.20614615,0.45227033,0.34697464,0.28098089,0.24919531,0.435155,0.05900739
aftermovie,0.3823982,0.011736326,0.29592532,0.1898367,0.3338042,0.46318054,0.0,0.0,0.56414515,0.33708552,0.27059877,0.17466319,0.3649377,0.3794108,0.40437442,0.19854556,0.1123739,0.4215231,0.46040142,0.5414613,0.14354776,0.48754802,0.28443912,0.185056,0.17505102,0.0,0.2018641,0.58924985,0.5858746,0.0,0.037823234,0.42823812,0.33750227,0.34371844,0.0,0.5488176,0.0,0.402222,0.37745366,0.53670263,0.26115453,0.37174103,0.2971212,0.46461785,0.0,0.08888027,0.1756334,0.0,0.4655042,0.40705115,0.0,0.4986117,0.3615753,0.22038423,0.4918638,0.53256994,0.23314162,0.34438506,0.24281386,0.44198644,0.49791145,0.65712416,0.59240735,0.5448929,0.18503174,0.3817914,0.41752237,0.10578713,0.1913587,0.49805078,0.262232,0.0,0.11165537,0.51127774,0.19725858,0.0,0.4885277,0.0,0.0,0.2995745,0.32338542,0.0,0.40407795,0.34342113,0.47305018,0.45425478,0.3746575,0.25559312,0.6564396,0.23059729
ahiddenlifefilm,0.15550217,0.0,0.1355945,0.10175718,0.19008034,0.18884179,0.0,0.0,0.22708508,0.1517583,0.12497006,0.029764159,0.13605139,0.19849122,0.21118553,0.15754084,0.03199109,0.18912548,0.20220278,0.2217473,0.055819668,0.2404666,0.17155138,0.097087875,0.1503748,0.0,0.05229956,0.2476168,0.20091352,0.0,0.089059144,0.20908144,0.18397447,0.12684107,0.0,0.23666091,0.0,0.12125338,0.23970069,0.19871941,0.107051924,0.16592166,0.1550655,0.18319213,0.0,0.09387654,0.08172635,0.0,0.204153,0.15933461,0.0,0.22269626,0.15336901,0.09579346,0.21813539,0.23821121,0.07078427,0.20807381,0.13203008,0.16037212,0.22659339,0.2637677,0.2601163,0.20877552,0.119580165,0.173766,0.16269839,0.073058404,0.06707388,0.21590133,0.14295518,0.0,0.048311252,0.18533774,0.10690746,0.01889214,0.192038,0.0,0.0,0.09654047,0.10177058,0.0,0.17853075,0.12474962,0.22406723,0.21706852,0.20037432,0.13931032,0.27213183,0.09865968
alitamovie,0.60003823,0.0,0.5580878,0.19205604,0.80792147,0.70915717,0.0,0.0,0.64026815,0.52199715,0.71086794,0.0,0.44394687,0.83740354,0.69756854,0.43914947,0.13369507,0.73315436,0.705469,0.90196204,0.30901083,0.6799182,0.87450564,0.10998902,0.49056336,0.0,0.31679237,0.8422573,0.89378715,0.0,0.28943506,0.6338305,0.6184607,0.42853633,0.0,1.0316765,0.0,0.5178713,0.875748,0.7016103,0.4253636,0.62064147,0.8149668,0.50756025,0.0,0.34069076,0.24892317,0.0,0.6531391,0.6733465,0.0,0.78912836,0.62894773,0.4665877,0.8130327,1.1069695,0.0653178,0.5497714,0.4048135,0.55540824,0.81768465,0.96031773,0.8526561,1.0408446,0.519774,0.8026143,0.76592046,0.3838907,0.18809943,0.7729353,0.35270607,0.0,0.17056817,0.6239481,0.4354857,0.23432334,0.6543817,0.0,0.0,0.36263353,0.35614526,0.0,0.59030044,0.29354137,0.8488068,0.844042,0.80265146,0.26107013,0.936379,0.5276001
