movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69
21bridgesmovie,0.4846014,0.22107802,0.5691325,0.0,0.2520926,0.3379272,0.53153646,0.5861657,0.7404704,0.36657012,0.0,0.17034853,0.20161045,0.561003,0.8969643,0.49827296,0.43611097,0.0,0.5626327,0.4083872,0.52962613,0.13291344,0.40560812,0.37199223,0.4505958,0.25217658,0.37478763,0.7334291,0.6023993,0.25814742,0.3394465,0.0,0.6446484,0.121114284,0.10059605,0.11829159,0.23295824,0.0,0.5472469,0.34639293,0.0,0.10319543,0.74640644,0.45956275,0.2941658,0.5481141,0.6243747,0.054694578,0.45857206,0.44909662,0.486284,0.28282762,0.4397224,0.4421212,0.67380875,0.40648666,0.38360703,0.0,0.5456392,0.36129746,0.4365849,0.80401707,0.5073265,0.86212575,0.5301725,0.37596905,0.43325773,0.56111836,0.45091543,0.31225798
47metersdown,0.51434046,0.45096278,0.4235312,0.0,0.14163986,0.23804598,0.5643627,0.6992317,0.80961496,0.2988733,0.0,0.0,0.21947223,0.41098413,0.5026872,0.7042591,0.2393753,0.0,0.51599985,0.5350515,0.44195133,0.22537239,0.5202319,0.34715194,0.70403314,0.34064746,0.27383295,0.8331832,0.52747965,0.5113651,0.10150063,0.0,0.7155517,0.33690786,0.053127285,0.12675169,0.32540074,0.0,0.46797073,0.23582673,0.0,0.0072198845,0.7963927,0.75844336,0.16681166,0.31347826,0.7564041,0.10567174,0.686449,0.44813865,0.6818304,0.030033432,0.6251528,0.4352558,0.66329247,0.3335762,0.32741797,0.0,0.8052154,0.23233867,0.78206295,0.9891781,0.48788092,0.7462051,0.55453426,0.5136858,0.1868658,0.6921586,0.3718868,0.58734584
abeautifuldaymovie,0.48582622,0.35957742,0.40968084,0.0,0.16822924,0.16840512,0.3674929,0.48216704,0.74039006,0.1715966,0.0,0.0,0.19408405,0.44658563,0.71544677,0.5795621,0.2485762,0.0,0.4314003,0.5151637,0.36855316,0.16165979,0.32745668,0.34332424,0.39511636,0.436703,0.3840371,0.69975364,0.3070032,0.39247388,0.32479417,0.0,0.58562946,0.3294376,0.22458869,0.10713175,0.20182553,0.0,0.2791383,0.3218903,0.0,0.0,0.3942348,0.402113,0.19652742,0.42945865,0.40814582,0.1194639,0.21335237,0.40960044,0.51133037,0.229402,0.24771178,0.21668057,0.7210266,0.510082,0.24546269,0.0,0.41772974,0.35846362,0.5209834,0.58471,0.45344922,0.7144369,0.55788845,0.48042968,0.22240143,0.38759682,0.21724102,0.2748695
abominablemovie,0.5549354,0.5557102,0.43808097,0.0,0.48067352,0.4640827,0.5889582,0.89070016,1.2143496,0.26443177,0.0,0.04879569,0.09428985,0.83562267,0.83978605,0.7073319,0.5160245,0.0,0.8143098,0.54984695,0.5866045,0.49994135,0.28570944,0.5742027,0.6779275,0.40663958,0.32603514,0.94889146,0.7208732,0.490964,0.33480185,0.0,0.9786571,0.20630817,0.19877802,0.0,0.40924478,0.0,0.67787266,0.13571614,0.0,0.011271082,1.0929945,0.53054976,0.41312853,0.68215567,0.813008,0.0,0.73967725,0.36157167,0.91465694,0.2712515,0.68117607,0.1228243,1.0962902,0.5621453,0.13326135,0.0,1.1219261,0.53116155,0.9106917,0.9961827,0.74564755,1.0474441,0.6892299,0.72269815,0.4820523,0.6244061,0.16817361,0.3907662
adastramovie,0.3552103,0.22454071,0.35333586,0.0,0.29306483,0.33525988,0.5096347,0.5515869,0.6491089,0.2649899,0.0,0.0,0.20726445,0.47848928,0.62278616,0.50914866,0.3026584,0.0,0.21380238,0.39295417,0.28274187,0.21964237,0.40009755,0.33780426,0.4154179,0.3318081,0.38223693,0.50416434,0.32992077,0.42533523,0.27740464,0.0,0.57726324,0.32016802,0.0,0.07764337,0.1997656,0.0,0.45065835,0.18131241,0.0,0.0,0.62820464,0.31508973,0.21807484,0.60180235,0.3549737,0.143811,0.28999388,0.43428087,0.48884928,0.17542699,0.42725688,0.25030166,0.6723181,0.45605534,0.28226122,0.0,0.3393924,0.24588984,0.42742497,0.5126272,0.4985433,0.5463104,0.64164597,0.46186006,0.42923757,0.35377362,0.25072202,0.08841373
adogsjourneymovie,0.8761028,0.016000431,0.3607849,0.0,0.60093415,0.8232522,0.7486685,0.84337234,1.5500438,0.75529087,0.0,0.0,0.094906814,1.0635344,1.0719279,0.6356166,0.75156105,0.0,0.9072825,1.2144507,1.3110679,0.24053301,0.8602856,0.54235435,0.76620686,0.5034556,0.64659953,1.5502032,1.259875,0.71360433,0.43692684,0.0,1.4768608,0.5464413,0.0,0.0,0.3584357,0.0,0.48378873,0.76476866,0.0,0.0,1.4872224,0.5408817,0.5072254,1.0135998,0.5574933,0.21413657,0.45500183,0.46409303,0.80126464,0.50518584,1.0300522,0.2794788,1.3029275,0.9811,0.7066416,0.0,1.3829176,0.9916879,0.8559919,1.233701,0.9688294,1.5002545,0.67080265,0.8262761,0.9202188,0.9849911,0.75936913,0.65279967
aftermathmovie,0.20028809,0.123591244,0.37229025,0.0,0.22751044,0.15886046,0.2920442,0.4432024,0.49370423,0.23623349,0.0,0.0,0.2027387,0.3415578,0.43718106,0.35800064,0.31783175,0.0,0.41916865,0.3740855,0.41640776,0.21798128,0.17122966,0.38704443,0.35945818,0.20063438,0.16475795,0.38697326,0.3485959,0.23720282,0.121706806,0.0,0.49257934,0.10109988,0.0,0.057043828,0.06582001,0.0,0.30865118,0.25986353,0.00089537934,0.0,0.55855834,0.32185912,0.21774921,0.29087827,0.39433184,0.19564947,0.27609128,0.2156576,0.46512634,0.12184228,0.24463975,0.1991394,0.45519796,0.25889918,0.15388851,0.0,0.4450029,0.2621045,0.5067135,0.6118531,0.31546992,0.49642396,0.45225778,0.4587568,0.31049433,0.39893115,0.2188209,0.25250152
aftermovie,0.45630214,0.17612937,0.4603256,0.0,0.34717816,0.16557555,0.19798581,0.36890084,0.63052917,0.2198981,0.0,0.0,0.2316635,0.5248007,0.73666596,0.5591013,0.25769877,0.0,0.42404205,0.3761842,0.5330999,0.2357427,0.26007086,0.4281867,0.3303993,0.3030025,0.4266516,0.4829823,0.35540542,0.28312856,0.22117239,0.0,0.58994454,0.10100213,0.025825838,0.040941276,0.06482375,0.0,0.48545703,0.49773902,0.02872246,0.14448524,0.5575735,0.4152001,0.19163679,0.44786182,0.47264764,0.23738968,0.19854885,0.3336677,0.4415101,0.014678191,0.3598103,0.2799659,0.4852957,0.2749149,0.28884804,0.0,0.44817153,0.30892292,0.49610817,0.766742,0.32369384,0.5827383,0.399481,0.43819675,0.2965586,0.5122549,0.20171952,0.22859734
ahiddenlifefilm,0.20047382,0.11155799,0.22316849,0.0,0.14030594,0.1217577,0.1739237,0.22417758,0.324132,0.140758,0.0,0.023450281,0.07996948,0.24202134,0.29806644,0.29136783,0.15336512,0.0,0.24535681,0.18883525,0.21963468,0.12708297,0.12359932,0.17483266,0.22567222,0.1718521,0.17384094,0.3049389,0.22810149,0.1711166,0.110842966,0.0,0.29970515,0.08525638,0.064605944,0.027451674,0.091886476,0.0,0.21696982,0.14041345,0.0,0.021272592,0.30691904,0.21951301,0.11262009,0.22947085,0.21253234,0.08795245,0.18786108,0.18118496,0.23035173,0.06695016,0.17721379,0.13943169,0.30215278,0.17612226,0.1363937,0.0,0.23873332,0.17818657,0.26866066,0.32930425,0.21725741,0.31287897,0.26275373,0.21914436,0.15909882,0.23352365,0.15857776,0.1397135
alitamovie,0.7290523,0.20023526,0.44452763,0.0,0.38940704,0.2557715,0.48353606,0.49678254,0.63482904,0.4406004,0.0,0.044964258,0.19311798,0.6768507,0.38096157,0.5659233,0.4594455,0.0,0.6212576,0.37692192,0.9173913,0.13983184,0.39333034,0.46874347,0.51844794,0.50702775,0.18107063,0.54665667,0.53155303,0.24780293,0.23295337,0.0,0.7362422,0.09585318,0.03372204,0.14173648,0.19640234,0.0,0.45161694,0.3195074,0.0,0.060593307,0.94979644,1.0388223,0.16120146,0.5105292,0.35245118,0.09250247,0.3584437,0.24359702,0.34976187,0.27903652,0.49555108,0.3281161,0.8510575,0.25026098,0.39061993,0.0,0.7682962,0.3449151,0.4351548,0.71308655,0.53843904,0.80190957,0.41900328,0.47838575,0.37688568,0.61530614,0.30930817,0.30595312
