movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
missinglinkfilm,0.0,0.25186333,0.59080803,0.61029845,0.7626942,0.8472074,0.7765224,0.65566933,1.147549,0.9145812
motherlessbklyn,0.0,0.7196538,1.2635369,1.3614995,1.5967414,2.2487602,1.8272576,1.8407986,3.107291,2.5518904
onceinhollywood,0.0,0.46932802,0.66620266,0.9679007,1.5801045,1.920886,1.6222453,1.4463291,2.3688307,1.6555171
onthebasisofsex,0.0,0.45591584,1.3062365,1.2993094,1.7462031,2.0346363,1.6729386,1.7887381,3.372746,2.2162404
overcomermovie,0.0,0.22951308,0.54244685,0.5602705,0.8307652,0.8850698,0.9046141,0.751411,1.2491677,0.73213583
peanutbutterfalcon,0.0,0.0,0.0,0.0,0.0,0.5730072,1.0320483,0.0,0.56038296,0.0
petsematarymovie,0.0,0.67531484,1.1236074,1.2685999,1.3092813,2.010591,1.8982255,1.2332513,2.2977905,1.8416152
piercingmovie,0.0,0.0,0.82491064,0.14693798,0.73677313,0.74960214,1.2219818,0.9611658,3.3364723,1.9553845
playingwithfire,0.0,0.50645334,0.9484146,1.0002947,1.5760431,2.1531465,1.9547219,1.3732568,2.1979535,2.149969
playmobilthemovie,0.0,0.39757797,0.8528726,0.7874591,1.3931987,1.8238058,1.6013913,1.0337533,1.8198714,1.5362926
pomsmovie,0.0,0.26397604,0.5033041,0.59413636,0.8165012,1.1357263,0.80780613,0.7371233,1.2425904,0.97989744
queenandslim,0.0,0.48975357,1.2908919,1.4031693,1.6026888,1.9748313,1.4145575,2.128748,3.4106598,2.4208674
rambomovie,0.0,0.13934676,0.6037469,0.47475296,0.75629115,0.8790769,0.81721246,0.7191551,1.0957655,0.94664377
readyornotfilm,0.0,0.1629523,0.62135565,0.6861486,0.8318366,1.1004803,1.0533531,0.8557439,1.4623612,0.9964171
richardjewellfilm,0.0,0.317348,0.80859894,0.80567497,0.9074,1.2280362,1.1631176,1.1528646,1.6412752,1.5222621
rocketmanmovie,0.0,0.42789435,0.74889064,0.77460086,1.01739,1.5258911,1.1064224,1.1961416,1.8989122,1.4718821
scarystoriesmovie,0.0,0.38794395,0.6072834,0.58818644,1.0209506,1.3515129,1.0590997,1.1887025,1.6157956,1.4350207
secretlifeofpets,0.0,0.49817026,1.0433099,1.3675324,1.8246815,3.1727161,2.1386027,1.694821,2.960845,1.754502
serenityfilm,0.0,0.34690797,0.65285075,0.749198,0.93865174,1.2447562,1.0615457,0.9983723,1.5439687,1.1875432
