movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79
angelhasfallen,0.7258973,0.5890681,0.492694,0.06890882,0.654899,0.45381376,0.0,0.74380416,0.64673185,0.0,0.15611526,0.543662,0.17424801,0.5186393,0.4505694,0.62258387,0.5882424,0.8425311,0.29333293,0.39155468,0.06429543,0.0,0.5207176,0.0,0.44532385,0.69441843,0.50447357,0.56543386,0.56249154,0.5996095,0.21117473,0.5297221,0.08516838,0.42605135,0.39576304,0.6319024,0.28723806,0.0,0.057347197,0.24513002,0.24560049,0.5165811,0.0,0.68987787,0.5864062,0.62719667,0.5736637,0.7086521,0.16250166,0.54245573,0.5885827,0.49593374,0.0,0.0,0.24824318,0.43044963,0.496769,0.21678214,0.6071429,0.051912494,0.7675777,0.0,0.26221144,0.6142697,0.25776252,0.56893486,0.5313909,0.46243078,0.0,0.025923425,0.64262515,0.027131304,0.63427216,0.27832758,0.5633602,0.51823133,0.68406224,0.70325935,0.13658804,0.5006926
angrybirdsmovie,1.3984171,0.76852006,0.88175714,0.0,1.1729243,0.5953197,0.0,1.2691205,0.92625254,0.06934879,0.36448458,0.9805031,0.36855173,1.2147057,1.4203535,1.0609496,0.77115476,0.740312,0.7828499,0.21824543,0.121254206,0.0,0.53886217,0.0,0.4226711,1.1531767,0.9905432,1.0388873,0.2915376,1.0076662,0.22191654,1.0359991,0.053714707,0.6795386,1.002371,0.70825344,0.16850445,0.0,0.23443255,0.36714643,0.6478609,0.40398887,0.0,1.3253316,0.93026245,1.0465049,0.7775569,0.86286956,0.26683792,0.7361016,0.4573446,1.1392014,0.0,0.0,0.42115265,0.73673195,0.7858054,0.17537709,0.81853575,0.22046046,1.1017536,0.0,0.0,1.3188517,0.76313967,1.3299704,0.63723385,0.9127189,0.0,0.25141904,0.75332254,0.0,1.2795627,0.19389398,1.0336101,0.85036063,0.94852203,0.8179016,0.0,1.067288
annabellemovie,1.0965743,0.5679924,0.56530887,0.0,0.69065404,0.45620996,0.0,0.97916394,0.78468597,0.0,0.2430078,1.1326267,0.7347728,0.8613169,0.7628539,0.8762458,0.6303847,0.7580759,0.6977105,0.600818,0.16183472,0.0,0.55273384,0.24775073,0.66813785,0.8341398,0.76218396,0.83344525,0.7605754,0.3602182,0.59001553,0.58194685,0.0,0.52152306,0.8386403,0.544687,0.4532573,0.0,0.21382847,0.14166039,0.6964104,0.66048044,0.0,1.0177512,0.74805826,0.53141284,0.5426121,0.7394753,0.0,0.45457318,0.5232388,0.6804478,0.0,0.0,0.59583384,0.343025,0.63737607,0.38123673,0.61803645,0.007657349,0.7868607,0.0,0.4335134,1.0002002,0.61987305,0.93107504,0.5616787,0.8161299,0.0,0.27962676,0.70161194,0.044269674,0.7474992,0.47337174,0.741132,0.88966143,0.693796,1.0638049,0.0,0.71258724
annamovie,0.7987064,0.37115106,0.5311563,0.044266187,0.49415523,0.37814528,0.0,0.41888177,0.50496066,0.0,0.13604707,0.5041372,0.3490199,0.64230716,0.4963062,0.49892893,0.5029139,0.40569988,0.44598567,0.40849403,0.16568094,0.0,0.41567755,0.1274232,0.4174252,0.6751505,0.37066177,0.41759074,0.4276586,0.4163415,0.2621213,0.50949204,0.07500248,0.5553405,0.6042711,0.40030754,0.34469515,0.0,0.07359257,0.19023117,0.44111615,0.4653966,0.0,0.72600865,0.43217772,0.5438368,0.4463474,0.5361467,0.12446298,0.31063345,0.33913678,0.53789735,0.0,0.0,0.19673166,0.29700306,0.4724353,0.20310797,0.49918243,0.10887864,0.5865504,0.0,0.20007458,0.587694,0.33220717,0.6320718,0.3715863,0.4253384,0.0,0.18735841,0.4421433,0.15017723,0.506229,0.31660038,0.5320498,0.50830334,0.33855256,0.53781736,0.054437716,0.40951416
apollo11movie,0.36986184,0.106582426,0.28208473,0.16613287,0.3840362,0.2105059,0.0,0.28452754,0.18452363,0.006342917,0.1063868,0.25979778,0.17647427,0.449199,0.27367306,0.30227593,0.38420054,0.2353788,0.28091288,0.2793272,0.028750954,0.0,0.1866191,0.0,0.23164485,0.40625784,0.2560385,0.2516753,0.16744295,0.3307167,0.24582815,0.3098705,0.112204015,0.26688093,0.30274433,0.32318208,0.27099082,0.0,0.0,0.05293344,0.31651977,0.27569517,0.0,0.3812353,0.3073392,0.29808018,0.33665836,0.253426,0.12318051,0.3241854,0.14447945,0.29217607,0.0,0.0,0.22890644,0.30187523,0.19205832,0.061597027,0.2252864,0.13325599,0.3336948,0.0,0.17867474,0.36546257,0.33166158,0.40925032,0.30078477,0.277585,0.0,0.06016177,0.30851984,0.024106305,0.33557576,0.2744314,0.27915302,0.26722115,0.2154513,0.3930311,0.0,0.2330197
arcticdogsmovie,0.7131336,0.39545885,0.42178202,0.0,0.60873663,0.35043344,0.0,0.45896313,0.46276253,0.0,0.2806857,0.55094963,0.32008454,0.48705474,0.5068216,0.45417592,0.48823565,0.37763038,0.42510545,0.31612048,0.03516882,0.0,0.34925282,0.014399819,0.3654954,0.68882805,0.3880917,0.4443461,0.4072947,0.41937044,0.40651596,0.46665072,0.009809166,0.23057687,0.47448665,0.4251645,0.3304041,0.0,0.025990997,0.1901986,0.39915052,0.45788664,0.011475934,0.6299323,0.47732157,0.34038132,0.536853,0.42012185,0.1395796,0.33058307,0.47755194,0.532313,0.0,0.0,0.23005567,0.26180795,0.27905887,0.21307269,0.4148618,0.087471664,0.48131475,0.0,0.2706313,0.45627818,0.39507234,0.56248814,0.40824524,0.35598385,0.0,0.109538525,0.218601,0.13811639,0.4802393,0.28562012,0.3336985,0.3234967,0.3764045,0.55388176,0.07244651,0.4410431
arcticmovie,0.42493224,0.3306426,0.36889583,0.08636905,0.47858477,0.37369716,0.0,0.3170362,0.3679552,0.0,0.16092283,0.46877024,0.27385783,0.38639423,0.36045152,0.45960993,0.3596002,0.3030983,0.29442844,0.26893625,0.05560521,0.0,0.25406775,0.018842757,0.3811259,0.40891603,0.37928453,0.41865817,0.15882571,0.28094178,0.32724488,0.3486168,0.111522496,0.45760676,0.3417374,0.33392933,0.2654541,0.0,0.18066172,0.16720077,0.30229682,0.2609892,0.0,0.5396481,0.27155304,0.28665483,0.40495154,0.42236575,0.10922478,0.23684375,0.24626058,0.40632394,0.0,0.0,0.29448414,0.16822569,0.27254972,0.13742515,0.35359973,0.29605895,0.41701862,0.0,0.21174598,0.36148593,0.3627126,0.43394372,0.32514074,0.28454697,0.0,0.16417035,0.36335418,0.023206796,0.40529284,0.18397994,0.31055182,0.34833592,0.29521585,0.34816465,0.027408019,0.28385988
artofracingmovie,0.7595663,0.40431535,0.5389655,0.24365714,0.63816524,0.26311702,0.0,0.7304869,0.58260137,0.0,0.33322123,0.53010255,0.19953912,0.65721005,0.784079,0.66773814,0.6089709,0.51853853,0.33589372,0.2651782,0.18414095,0.0,0.41285682,0.0,0.43526825,0.44009772,0.5855556,0.7832539,0.37700945,0.46504578,0.20817447,0.7073969,0.0,0.40742707,0.66361254,0.35695815,0.35855424,0.0,0.26715815,0.08258258,0.44945624,0.5636515,0.0,0.85487777,0.5203252,0.49599925,0.4070528,0.43311018,0.23234497,0.3511679,0.39715794,0.39462578,0.0,0.0,0.3896045,0.4842434,0.6197465,0.23086868,0.38366547,0.23660131,0.57397914,0.0,0.297279,0.798884,0.51476735,0.5959721,0.49482447,0.7189553,0.0,0.13949718,0.6669074,0.0,0.6763,0.45680577,0.5972704,0.5503468,0.5177535,0.55882,0.026193906,0.6999712
avengers,0.45631528,0.24452734,0.2170251,0.14968488,0.4116507,0.21253027,0.0,0.39594546,0.2849822,0.0858412,0.130265,0.3709002,0.21556348,0.5214791,0.43354747,0.36917254,0.38516495,0.35901505,0.41419375,0.09533422,0.13493998,0.0,0.31239808,0.0,0.15072435,0.41685793,0.26294625,0.3276801,0.2855551,0.47264445,0.1905767,0.33885926,0.0,0.14735736,0.36374825,0.33829474,0.08078549,0.0,0.04486071,0.2450948,0.26163325,0.3942144,0.0,0.46496886,0.36711204,0.21670237,0.2945958,0.341177,0.090270296,0.27661955,0.3041435,0.21436219,0.0,0.0,0.16028532,0.32445887,0.31547105,0.15765683,0.23123759,0.16162486,0.52135426,0.0,0.081092484,0.46078575,0.11151735,0.4588061,0.24204151,0.52081335,0.0,0.12144421,0.28198847,0.06138748,0.4776268,0.1752368,0.34166512,0.261301,0.4013968,0.4051758,0.0,0.30431542
beachbummovie,0.5099914,0.13615659,0.5539865,0.20182872,0.6012206,0.3646029,0.0,0.34205028,0.47636884,0.0,0.05935085,0.4073581,0.27020702,0.67646533,0.31022176,0.44429424,0.4865202,0.37080142,0.45646206,0.43958983,0.0,0.0,0.42061424,0.0,0.290231,0.57073915,0.48080817,0.32099375,0.2323367,0.38544825,0.24670725,0.34792072,0.16686213,0.5540123,0.53913313,0.47766846,0.30919197,0.0,0.0,0.058027405,0.41802773,0.47784752,0.0,0.34432256,0.43028527,0.33867776,0.41775736,0.5549359,0.24977814,0.41452566,0.19174692,0.36408615,0.0,0.0,0.38528156,0.3634799,0.31821328,0.048193112,0.33363813,0.20051306,0.59096223,0.0,0.31619465,0.58308834,0.43820325,0.52078557,0.3839624,0.54367006,0.0,0.08440374,0.49255162,0.08980241,0.49755183,0.42093533,0.26982287,0.4348162,0.42894065,0.5096441,0.0,0.33564425
