movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59
21bridgesmovie,0.5958278,0.49036634,0.36677372,0.52676773,0.8876537,0.4600432,0.52093345,0.3984722,0.3624821,0.5944634,0.0,0.23431861,0.62106043,0.5158893,0.38859686,0.4145408,0.38531858,0.6246034,0.31805024,0.503291,0.36126325,0.4532464,0.4901262,0.29518008,0.5026263,0.59245044,0.50940925,0.49979645,0.4082903,0.7987836,0.541238,0.7206199,0.5865745,0.6273796,0.0,0.5827836,0.02557198,0.0,0.6805678,0.5603257,0.23091528,0.453734,0.55391836,0.41808543,0.74689776,0.61796033,0.8274975,0.4129514,0.0,0.0,0.4574967,0.467737,0.6433835,0.22177751,0.60541457,0.0,0.3645863,0.2185172,0.0,0.48087656
47metersdown,0.43089068,0.6324902,0.3054578,0.23778686,1.2437661,0.38877407,0.28658268,0.27581978,0.8605913,0.52377236,0.1626022,0.25305963,0.70169574,0.52983606,0.30480585,0.65906197,0.76810914,0.82299083,0.32184532,0.5738239,0.3087763,0.5920816,0.36339083,0.46623555,0.6800981,0.6538904,0.70576066,0.72142494,0.838902,0.8107072,0.62386656,0.9104536,0.6257955,0.63371545,0.0,0.9162251,0.02978164,0.0,1.0182316,0.61981624,0.49594098,0.5230369,0.57947826,0.37608162,0.74858487,0.4566043,0.7010101,0.8235425,0.0,0.0,0.39246,0.43994802,0.9230166,0.021500332,0.6373596,0.14440599,0.29111814,0.24059704,0.0,0.90602463
abeautifuldaymovie,0.5047391,0.34023666,0.40103036,0.68047094,0.6973829,0.37498894,0.52301174,0.31839514,0.43128318,0.48717126,0.0,0.19361198,0.40033638,0.63871723,0.23005524,0.37728447,0.43678758,0.5574074,0.23217867,0.42260242,0.30872747,0.4500286,0.39634848,0.48628527,0.43464124,0.63985044,0.41970202,0.5214356,0.38445053,0.6904829,0.4537267,0.5244563,0.4939597,0.6535604,0.0,0.5231295,0.0,0.0,0.82162607,0.51968,0.3041064,0.40532252,0.4313652,0.50896853,0.57836294,0.47293243,0.63587636,0.4025051,0.0,0.0,0.29867125,0.14605604,0.5020759,0.16792691,0.37552458,0.1867442,0.51890624,0.22948039,0.0,0.514329
abominablemovie,0.9926345,0.83869445,0.38560212,0.40594164,1.1538934,0.6835011,0.34803298,0.7561041,0.7601354,0.8614391,0.0,0.3456049,0.6439139,0.95471144,0.060627308,0.57565624,0.9941533,1.0703938,0.37818998,0.82068396,0.58443135,0.7482071,0.7476431,0.23633201,1.0556562,0.4759969,0.58426696,0.63116086,0.9802077,1.3875341,0.77223766,1.2663445,0.94759786,1.0056218,0.0,0.8886645,0.39272404,0.0,1.0292362,0.76195985,0.3042875,0.7427365,0.5043946,0.48757258,0.88952386,0.7824952,1.0689534,0.86490893,0.0,0.0,0.6992545,0.62077636,1.2959262,0.267138,1.0633811,0.34896427,0.72985923,0.23999393,0.0,0.8746219
adastramovie,0.28288862,0.30852354,0.37404,0.45948052,0.7611353,0.4512535,0.42363623,0.3137027,0.44273716,0.49296767,0.0,0.1852993,0.49883592,0.64096326,0.26612344,0.4910373,0.5097325,0.6120651,0.26934677,0.3462711,0.37279996,0.4577108,0.38029844,0.26370412,0.5993713,0.47897854,0.40282172,0.3816973,0.28416717,0.5943545,0.43191385,0.53649056,0.43989286,0.49247366,0.0,0.51840776,0.0,0.0,0.7247129,0.44829082,0.14137638,0.3508913,0.31227505,0.34371138,0.5227288,0.30028796,0.45521504,0.32759488,0.0,0.0,0.37205797,0.29963955,0.5238896,0.042642,0.5835401,0.25343186,0.41914767,0.35918546,0.0,0.5708318
adogsjourneymovie,0.7629701,0.53801143,0.4289535,0.75737363,1.954203,0.7563368,0.53665996,0.76594055,1.0672431,1.3130141,0.0,0.0,1.0341117,1.2128422,0.73780847,1.0380722,1.1090991,1.1358101,0.3811959,0.8434568,0.6244028,0.8965379,1.1569965,0.5847609,0.937925,0.8169818,0.56676924,0.98259413,0.79843783,1.5427947,0.95426255,1.1320571,0.8722663,0.9947884,0.0,1.2136444,0.00045717508,0.0,1.5181775,0.77728415,0.3028019,1.1997706,0.6595219,0.4745916,0.74555254,1.1626781,1.1669848,0.7846901,0.0,0.0,1.0282595,0.47217393,0.8500076,0.11588921,1.1043078,0.28970435,0.3248697,0.26737455,0.0,1.0997216
aftermathmovie,0.4201178,0.22986865,0.27167308,0.31373766,0.5897407,0.25375462,0.3011493,0.19438542,0.33534262,0.38091594,0.0,0.14368178,0.45914057,0.3785076,0.21059616,0.48453724,0.4512039,0.44339523,0.3059123,0.33553755,0.3495368,0.33969712,0.3069955,0.22018035,0.4277696,0.39289743,0.30588597,0.42556202,0.38247326,0.62556785,0.37057874,0.33765826,0.38555798,0.36923027,0.0,0.39924037,0.026891358,0.0,0.5596492,0.35499418,0.21868095,0.320303,0.3930937,0.37639925,0.41171604,0.3978345,0.54366046,0.35802498,0.0,0.0,0.2576093,0.30305207,0.3374796,0.11770269,0.49275523,0.09092695,0.2784567,0.22183052,0.0,0.543875
aftermovie,0.4699431,0.4227686,0.38247958,0.43040952,0.86885285,0.5377108,0.6421852,0.27621418,0.53517276,0.5544698,0.0,0.17087705,0.7447991,0.4701643,0.26506662,0.39830405,0.6219601,0.7297361,0.45323047,0.5470345,0.53938466,0.40818095,0.40851986,0.4088709,0.5586391,0.55270624,0.44925338,0.7741683,0.3792658,0.7463054,0.567065,0.40833375,0.5663736,0.5742331,0.0,0.52073234,0.0031999052,0.0,0.78945905,0.45306462,0.4701428,0.52711385,0.30598575,0.56977946,0.6225431,0.47884917,0.6413956,0.43199956,0.0,0.0,0.4353018,0.20473891,0.57232255,0.17489539,0.4228456,0.15101998,0.4417646,0.18293573,0.0,0.645191
ahiddenlifefilm,0.2232231,0.16518967,0.13948238,0.20271802,0.39482862,0.1926574,0.21763617,0.13204429,0.21363653,0.28310242,0.0,0.11422405,0.23734486,0.2518803,0.13898723,0.20053026,0.21706721,0.28021207,0.14755903,0.21067932,0.15516739,0.1982258,0.1874491,0.17223418,0.25951144,0.2475822,0.18840373,0.22322968,0.2115492,0.35181293,0.22581138,0.26614165,0.20144382,0.27983952,0.0,0.25986424,0.0,0.0,0.32585382,0.23071171,0.13208058,0.20293984,0.19792561,0.20642774,0.26479775,0.23323071,0.26417717,0.20328155,0.0,0.0,0.17907274,0.1569474,0.26794633,0.080382854,0.23140056,0.075189225,0.17010935,0.11176109,0.0,0.26755425
alitamovie,0.8029143,0.50750315,0.86458945,0.59738666,1.3025792,0.69896954,0.66414404,0.5225595,0.7296851,0.8156613,0.0,0.32881904,0.8791116,0.96476334,0.4442947,0.94175774,0.82301074,0.69647926,0.5163567,0.47352612,0.68867296,0.47784558,0.6504753,0.34446356,0.97148806,0.8970981,0.52393425,0.41024858,0.41971803,1.1350172,1.1020995,1.0880444,0.621625,1.0430826,0.0,0.75550556,0.122812085,0.0,1.009468,0.6949901,0.48595583,0.58704364,0.8314129,0.6711042,0.70683753,0.7397248,1.2861737,0.9513304,0.0,0.0,0.55924505,0.53611845,0.6112433,0.0,0.7930942,0.1297637,0.32588732,0.67125,0.0,0.8855209
angelhasfallen,0.7590714,0.34308383,0.5263506,0.31259733,1.0284836,0.7571038,0.74260587,0.42613357,0.5299814,0.9084755,0.13575573,0.42844558,0.7503378,0.87337226,0.34888726,0.6145409,0.7709761,0.65702695,0.16345032,0.5910733,0.6131862,0.48645997,0.51319295,0.42637303,0.6805072,0.93887246,0.5080457,0.45282295,0.68881774,0.9778541,0.6244645,0.8522709,0.6705695,0.84707546,0.0,0.7033843,0.11397042,0.0,0.90719247,0.6846207,0.2213215,0.6738781,0.70129305,0.62859225,0.81609803,0.756359,1.0349654,0.7958623,0.0,0.0,0.4446926,0.5104042,0.81915087,0.20902337,0.74656475,0.32075036,0.29920024,0.48179525,0.0,0.86048
angrybirdsmovie,0.99853706,0.47948846,1.0393375,1.2535081,1.5474967,0.8950178,0.87267625,0.5681454,0.9461678,1.421963,0.0,0.26319906,1.2513518,1.5279498,0.2873032,0.65347344,0.5855066,1.4651623,0.4282673,0.8659835,0.51575285,0.92840624,0.5403404,0.70630205,0.8245559,1.254221,0.82715094,1.0560286,1.0876967,1.3085952,1.106481,1.4865522,0.8415876,1.4960938,0.0,1.1890488,0.0,0.0,1.6511552,1.2433408,0.5260924,0.82158136,0.894417,0.45748466,1.1650302,1.1460062,1.3457502,0.71623665,0.0,0.0,0.87469727,0.24633059,1.3228449,0.34161004,0.9486678,0.22878674,0.93330824,0.26055312,0.0,1.0129428
annabellemovie,0.905747,0.24154285,0.6225617,0.68061966,1.6620824,0.9450922,0.59061444,0.6229066,0.7863095,1.0825924,0.0,0.5618481,0.886898,0.9422702,0.17699905,0.9182687,0.88115877,0.79320556,0.31742963,0.70935774,0.5840304,0.90926945,0.76779926,0.6209729,0.9350044,0.68850964,0.8424578,0.8186519,1.080339,1.5282876,1.038391,1.0332003,0.8527482,1.000004,0.0,0.8300753,0.0,0.0,1.0685226,0.7041649,0.4089455,0.8384744,0.6394,0.8451117,0.6556629,1.0344076,1.1016654,0.53565705,0.0,0.0,0.29183897,0.6518901,1.1042548,0.19425152,0.9742356,0.24623352,0.552138,0.5242124,0.0,0.87316096
