movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109
angelhasfallen,0.7658256,0.0,0.55030704,0.22531804,0.36958855,0.21785875,0.5190054,0.39150745,0.6879308,0.0,0.35761482,1.1703964,0.84777164,0.39496186,0.54627365,0.6550712,0.0,0.62588394,0.742914,0.49707925,0.0,0.58843964,0.52392054,0.64939386,0.37217286,0.23595937,0.46275416,0.49347162,0.17964979,0.0,0.52772146,0.5062624,0.5370857,0.7823585,0.41408762,0.38622448,0.0,0.72065914,0.28054753,0.60911787,0.4921379,0.7689974,0.0,0.5653045,0.4964239,0.034128487,0.0,0.4794981,0.06279217,0.5505145,0.0,0.0,0.0,0.5714893,0.0,0.6088013,0.7529616,0.5992671,0.0,0.0,0.4345881,0.14660493,0.4821114,0.27982748,0.5683535,0.37861383,0.3344988,0.21865514,0.3244277,0.24275276,0.2877691,0.0,0.27834252,0.5094158,0.0,0.690578,0.18819213,0.0220669,0.52712524,0.214928,0.0,0.32650635,0.0,0.24876656,0.3138236,0.23498675,0.73315203,0.59850466,0.05551768,0.2566862,0.6111686,0.54813176,0.42557976,0.0,0.0,0.3674379,0.5535825,0.76480913,0.3775233,0.46899635,0.76716465,0.34750932,0.0,0.5063066,0.0,0.0,0.32674187,0.47870392,0.3523631,0.4507385
angrybirdsmovie,1.1164694,0.0,0.8823446,0.2464543,0.57579273,0.16304174,1.1251457,0.8434927,1.0814034,0.0,0.47479984,1.2738209,1.3182993,0.7089896,1.2738096,1.1461328,0.0,1.3634548,1.1729884,1.1386831,0.0,0.9380066,0.49519762,1.1391461,0.7630048,0.44493586,0.6772525,1.0444978,0.07815865,0.080254756,1.1773707,0.8522038,0.63086504,0.8620436,0.40845594,0.56478965,0.0,1.7932761,0.5852077,0.78170884,1.0318172,0.7708074,0.0,1.0807317,0.8237375,0.03216134,0.0,0.6004739,0.4690965,0.5391266,0.0,0.0,0.0,1.055736,0.0,1.1415443,1.651278,0.8855529,0.0,0.0,1.1960391,0.1413164,0.5672126,0.058735766,0.71389383,0.54317254,0.23420598,0.49733505,0.9539112,0.27657044,0.029681005,0.0,0.8400043,0.7372654,0.0,0.9777202,0.4978776,0.0,0.95003057,0.3525772,0.26360247,0.6924809,0.0,0.3445932,0.77232784,0.43651173,1.2306459,1.3009385,0.09047181,1.257204,1.1918396,0.7168041,0.57838416,0.043772772,0.0,1.210639,0.54758424,0.9253042,1.194361,0.9330065,1.443643,0.9189904,0.0,0.6163257,0.0,0.0,0.53630346,0.54018253,0.7335498,0.0
annabellemovie,1.1727477,0.0,0.57237005,0.60204995,0.8223256,0.21254362,0.716167,0.5571986,0.81526506,0.0,0.50051165,1.0585797,0.9102453,0.6060225,0.64797735,0.94750535,0.0,0.9966258,0.81548744,0.56187165,0.0,0.9849365,0.5533945,0.79015964,0.7243978,0.1140168,0.6365356,0.8029932,0.23148495,0.0,0.6985486,0.42247975,0.54289395,0.8191401,0.34523407,0.38583678,0.0,1.1700734,0.6299109,0.6603998,0.8249119,0.6749192,0.0,0.8712144,0.41660327,0.18153569,0.0,0.4851365,0.42921308,0.5997947,0.0,0.0,0.0,0.71792144,0.0,0.8441203,1.1257292,0.9268565,0.0,0.0,0.54959977,0.0050259987,0.49710336,0.29548502,0.73413557,0.33317888,0.087369606,0.3855242,0.48159295,0.3492314,0.0,0.0,0.62811047,0.29010212,0.0,0.8907372,0.262926,0.08250287,0.6720685,0.15626219,0.030243695,0.683807,0.0,0.5240787,0.63426995,0.24744624,0.8609538,0.70977354,0.0,0.5323224,0.6719724,0.49567494,0.3860282,0.0,0.0,0.7521026,0.62734336,0.747913,0.84945846,0.6328462,0.96712244,0.5076969,0.0,0.58258146,0.0,0.0,0.64287907,0.59759223,0.65048426,0.44029796
annamovie,0.65690285,0.0,0.41821107,0.14256239,0.26799527,0.15416935,0.3780253,0.38993776,0.45071727,0.0,0.19799405,0.7764021,0.5618615,0.3185704,0.573033,0.37666082,0.0,0.47773463,0.583523,0.3654725,0.0,0.34248543,0.3682008,0.240476,0.37726212,0.15968546,0.3453867,0.49525502,0.32513615,0.0,0.39064905,0.24568044,0.36592287,0.48174232,0.22087416,0.33722565,0.0,0.5682907,0.16331652,0.3014622,0.44988352,0.35728207,0.0,0.42155418,0.30170467,0.1646977,0.0,0.2655314,0.08254868,0.22006018,0.0,0.0,0.0,0.5324164,0.0,0.42648345,0.51948446,0.57880956,0.0,0.0,0.39741725,0.14024706,0.5233899,0.32995978,0.46255773,0.39245003,0.18163091,0.117634624,0.31806868,0.24094513,0.14241013,0.0,0.2734863,0.33775955,0.13078831,0.42915303,0.1324784,0.10817849,0.40932608,0.2455896,0.0,0.40587184,0.0,0.25311697,0.3758453,0.25182095,0.34355888,0.50886756,0.09602894,0.2418418,0.46258625,0.5153169,0.32396707,0.0,0.0,0.43282723,0.30968156,0.51680213,0.48393464,0.38545018,0.32463706,0.4603493,0.0,0.48708248,0.0,0.0,0.25404012,0.37534708,0.26051164,0.22712731
apollo11movie,0.44453073,0.0,0.26902413,0.06548847,0.28518748,0.2195446,0.34857073,0.278495,0.31593564,0.0,0.091125235,0.55519205,0.4835567,0.1786812,0.34823802,0.32089537,0.0,0.37721512,0.32206607,0.23117182,0.0,0.46582907,0.27384922,0.41852164,0.33084074,0.15089777,0.23610431,0.42042544,0.18854958,0.0,0.40857926,0.16190544,0.3415783,0.4111426,0.22148514,0.21928182,0.0,0.5821168,0.25364614,0.35688996,0.26700327,0.3848861,0.0,0.3868497,0.29728347,0.076570205,0.0,0.33113948,0.11580412,0.17807655,0.0,0.0,0.0,0.17262378,0.0,0.23626497,0.42865515,0.27872682,0.0,0.0,0.33997154,0.08417803,0.37336782,0.07814986,0.24465607,0.1800663,0.22515154,0.17648378,0.24445164,0.17815703,0.015174805,0.0,0.23412853,0.31654766,0.0,0.2254988,0.22136289,0.0,0.25628352,0.13849078,0.11874047,0.15936601,0.0,0.1895011,0.3544028,0.142474,0.40372357,0.31697533,0.019299706,0.20425606,0.46456102,0.36239526,0.17334238,0.048121586,0.0,0.3154458,0.25012898,0.25435022,0.38705456,0.24079181,0.3965462,0.22765663,0.0,0.24693954,0.0,0.0,0.16646363,0.15885769,0.24531293,0.15363908
arcticdogsmovie,0.63511944,0.0,0.414319,0.1776728,0.27597898,0.072668366,0.4081296,0.54098576,0.46640253,0.0,0.099237256,0.7130308,0.36660656,0.30630597,0.48624295,0.4608857,0.0,0.6369734,0.5001082,0.26547986,0.0,0.5534187,0.34146538,0.5810909,0.2906636,0.31357658,0.36168516,0.44333726,0.16812596,0.0,0.53082967,0.362121,0.5070705,0.6503108,0.27506644,0.33975637,0.0,0.6697063,0.335414,0.42127734,0.48194236,0.42681068,0.0,0.57425123,0.3337924,0.13649116,0.0,0.46397507,0.23512685,0.40939546,0.0,0.0,0.0,0.3840075,0.0,0.42576227,0.7072734,0.35482886,0.0,0.0,0.46765226,0.106493264,0.37424713,0.26920995,0.30215088,0.4335736,0.1570946,0.25035557,0.26433572,0.25316942,0.0048127687,0.0,0.4165841,0.35822877,0.0,0.39788654,0.24136499,0.0,0.1608873,0.1673809,0.056549437,0.35263613,0.0,0.34423366,0.33964562,0.38508934,0.51592755,0.39824453,0.0,0.25052932,0.51189965,0.4395232,0.21660995,0.07484752,0.0,0.37291455,0.19866069,0.40945107,0.46417087,0.44393235,0.625558,0.31777513,0.0,0.41199097,0.0,0.0,0.411923,0.2837783,0.34844518,0.18162689
arcticmovie,0.3772119,0.0,0.27617463,0.15579823,0.24254347,0.095738284,0.41391936,0.38465026,0.39426914,0.0,0.2518906,0.51181203,0.47478518,0.32064354,0.43258286,0.28446966,0.0,0.55449176,0.38882303,0.22638175,0.0,0.42506665,0.16161233,0.4934906,0.24452543,0.17274542,0.20223534,0.31961292,0.11959858,0.0,0.3927023,0.3045872,0.3527848,0.42653102,0.121133186,0.31510624,0.0,0.4725226,0.1368185,0.3147236,0.3302309,0.18026645,0.0,0.42891997,0.27018327,0.06017778,0.0,0.2872437,0.08597344,0.006836809,0.0,0.0,0.0,0.32926732,0.0,0.2728721,0.52585757,0.3314937,0.0,0.0,0.3366327,0.0,0.4092383,0.19563952,0.24901663,0.23186727,0.08427764,0.10020151,0.31019124,0.21716666,0.04723782,0.0029620174,0.35500845,0.18199976,0.057818063,0.3384943,0.09194353,0.057655245,0.28895974,0.1179856,0.09735389,0.3567852,0.0,0.20499243,0.36357406,0.16390768,0.25087765,0.32470164,0.08479756,0.34485713,0.32006213,0.24074095,0.20118722,0.0,0.0,0.29593775,0.28579324,0.36092365,0.34203297,0.31313264,0.4375784,0.3768429,0.0,0.17253193,0.0,0.0,0.23115103,0.22175276,0.18527679,0.16934294
artofracingmovie,0.69076127,0.0,0.3827118,0.13081932,0.3331885,0.08146434,0.4715162,0.55292135,0.5513845,0.0,0.03200504,0.8386884,0.7099183,0.16233756,0.4923133,0.52888775,0.0,0.5531938,0.67780924,0.32610184,0.0,0.77197605,0.35640767,0.7423883,0.37823462,0.32698566,0.5181949,0.55430484,0.1755789,0.0,0.6038587,0.33308673,0.47132808,0.52118737,0.36466575,0.46385217,0.0,0.7584067,0.34878987,0.4693392,0.47064745,0.37354538,0.0,0.4472001,0.4994076,0.1515499,0.0,0.5449017,0.31486928,0.2538058,0.0,0.0,0.0,0.34915185,0.0,0.29355168,0.57114315,0.45959225,0.0,0.0,0.5149359,0.0,0.54261184,0.2740481,0.3822699,0.43495512,0.30215055,0.0,0.15213779,0.34314784,0.0,0.0,0.36961234,0.4037759,0.08498375,0.3685676,0.21637875,0.0,0.32626003,0.108717985,0.15023449,0.48213676,0.0,0.22481081,0.39657634,0.1661139,0.4705598,0.44684476,0.0,0.32206273,0.6816772,0.61240655,0.18884891,0.018782245,0.0,0.56577736,0.2090983,0.48355296,0.5490273,0.2699768,0.8376281,0.61271065,0.0,0.2598241,0.0,0.0,0.27618676,0.49740887,0.28520936,0.11330833
avengers,0.38292578,0.0,0.39934006,0.26954135,0.2979565,0.013974943,0.39592445,0.3499348,0.52466387,0.0,0.23637608,0.51587737,0.13650161,0.27444768,0.40423927,0.34105355,0.0,0.42918512,0.3240473,0.33382303,0.0,0.41210067,0.19778085,0.35934654,0.36141846,0.37912858,0.254845,0.22117023,0.29881817,0.0,0.325701,0.28307018,0.27550447,0.47408462,0.19033968,0.32990944,0.0,0.35304543,0.27252555,0.2992506,0.40425724,0.40478632,0.0,0.41668004,0.3761854,0.10652699,0.0,0.37867737,0.12861636,0.09707038,0.0,0.0,0.0,0.24454221,0.0,0.45025748,0.3805936,0.4202299,0.0,0.0,0.40373495,0.09865123,0.46951848,0.20297787,0.15672337,0.15759256,0.25456935,0.2080338,0.24453089,0.19830367,0.12574242,0.0,0.31289077,0.17995088,0.0,0.2861726,0.06940847,0.014694786,0.3796906,0.10525754,0.1393812,0.3850843,0.0,0.22339356,0.36164793,0.40821567,0.27562636,0.27134094,0.0,0.27083218,0.34013826,0.3412309,0.20999035,0.008557348,0.0,0.38678667,0.46916702,0.31533262,0.46960288,0.274229,0.44973066,0.41047117,0.0,0.38318944,0.0,0.0,0.27393746,0.18787515,0.24782237,0.24805197
beachbummovie,0.56684095,0.0,0.42559752,0.19781016,0.41310382,0.25919294,0.4267933,0.3434274,0.36901054,0.0,0.17811975,0.8691349,0.5689692,0.21980526,0.53911763,0.4186315,0.0,0.78520465,0.40966374,0.23713562,0.0,0.63600475,0.23859392,0.5876028,0.47087413,0.20242304,0.4081256,0.5042305,0.074417286,0.0,0.60613704,0.25330263,0.4598711,0.5589003,0.3446535,0.38460034,0.0,0.70716155,0.4829917,0.41801685,0.45319334,0.42760348,0.0,0.4786268,0.3547511,0.026003668,0.0,0.47691876,0.2714819,0.18000793,0.0,0.0,0.0,0.21086875,0.0,0.414659,0.76133054,0.47738048,0.0,0.0,0.56290126,0.08408001,0.53306216,0.2131553,0.3484717,0.28313375,0.30712584,0.21735668,0.22015238,0.35910448,0.0,0.0,0.45245168,0.36037067,0.0,0.49831635,0.31906223,0.0,0.24227886,0.18063232,0.2839815,0.32600054,0.0,0.33433136,0.44185662,0.25620875,0.6810329,0.53312856,0.018270567,0.3302116,0.5690571,0.3303812,0.2453705,0.0,0.0,0.5340786,0.4177521,0.42774972,0.56449145,0.28326988,0.569174,0.3251025,0.0,0.26013216,0.0,0.0,0.31409633,0.3231241,0.4192709,0.14178446
