movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
richardjewellfilm,0.37169048,0.24873456,0.87781376,0.43715551,0.6369938,0.85655695,0.8847789,0.8989347,0.89917743,0.78477263,0.0,0.5780748,0.83073467,0.792728,0.875181,0.85333645,0.3450874,0.6792955,0.8850336,1.0582707
rocketmanmovie,0.55152965,0.3359087,0.7803165,0.39501446,1.0536947,0.57716596,0.72890824,0.9706945,0.928911,0.41741663,0.0,0.5633846,0.6743393,0.7602981,0.8876534,0.8091958,0.7009008,0.80758166,0.9498201,1.1924559
scarystoriesmovie,0.48182356,0.33406192,0.8313811,0.37815666,0.9662223,0.9227559,0.85134184,0.79702246,0.8663571,0.41470498,0.0,0.5909601,0.7640283,0.65277237,0.7831992,0.77346987,0.4069782,0.78610057,1.288705,1.1191576
secretlifeofpets,0.6819573,0.2051405,0.88410366,0.25623596,2.0492976,1.5861357,1.3690076,1.6371143,1.5153674,0.9317315,0.0,0.5969069,0.91894615,1.1220459,1.9616414,1.0771127,0.71052283,1.1505983,1.628906,2.3572977
serenityfilm,0.6542606,0.19793937,0.8395501,0.41280952,0.95567733,0.7914526,0.6976624,0.52986616,0.7254195,0.51604426,0.0,0.5548104,0.7117704,0.65385216,0.8161591,0.8918219,0.36387962,0.7533328,1.0599735,1.0669024
shaftmovie,0.7444278,0.33116037,0.97156876,0.5697203,0.80807287,1.1492786,0.8200553,0.927552,0.83855575,0.6341539,0.0,0.8168957,0.88052326,0.7942195,1.0562085,0.96253735,0.7012396,0.76350015,1.3491322,1.0195651
shazammovie,0.57062453,0.23883605,1.0582347,0.3472302,1.1744298,1.128681,0.81156206,0.813532,0.76778203,0.52541924,0.0,0.59830236,0.8656065,0.6081615,1.1241684,1.0390894,0.3610564,1.069485,1.4913436,1.7876327
spidermanmovie,0.64896363,0.47088712,1.1746547,0.60414034,1.4539998,1.1751255,0.8986501,1.0596565,1.7960774,0.8242321,0.0,1.2022223,1.0950168,1.3716146,1.7320786,1.8818061,0.6408177,1.158713,1.9374434,1.5630453
spiesindisguise,0.8831372,0.3575681,1.1445343,0.5609416,1.2419922,1.256475,1.0680413,1.0207831,1.3245136,0.35238984,0.0,0.8136339,1.060684,0.84018075,1.0604196,1.6103699,0.68593657,0.92818964,1.5189787,1.715102
starwars,1.7024496,0.4831375,2.1063073,0.41651803,2.7433052,1.0047339,1.4716537,1.5607525,1.6296381,0.4507925,0.0,0.8282563,0.8269046,0.95260257,2.088068,1.483419,0.44483608,1.8372614,1.3157159,1.9845309
stormboymovie,0.69520235,0.25798845,0.6706143,0.2778831,0.86343044,0.70281667,0.60661674,0.62173086,0.918062,0.4727778,0.0,0.51551795,0.62704194,0.61669457,0.7078597,0.72304255,0.40379536,0.542106,1.0612462,0.9030158
stubermovie,0.40391877,0.44719017,0.7599354,0.30063593,0.79192466,0.88217616,0.621728,0.7155853,0.79929864,0.41888624,0.0,0.5577533,0.7265987,0.5765501,0.73184633,1.0157567,0.47276866,0.81273496,0.8821134,1.2511808
taosdfilm,0.3874825,0.16300136,0.58894426,0.38356748,0.6769293,0.58895564,0.59714407,0.5700118,0.669696,0.4584686,0.0,0.4252175,0.5178825,0.6319951,0.71061283,0.6661239,0.4846996,0.695774,0.8909643,0.86962277
teenspiritmov,0.5446561,0.054917593,0.97219545,0.33726037,1.2971518,1.2383525,0.92135,1.0289413,1.6695691,0.14236812,0.06749656,0.7942904,0.70776165,1.3184596,1.168964,1.2691462,0.43541825,1.3060913,1.1349288,1.3482897
terminator,0.6796824,0.2597995,1.252595,0.48700935,1.2693961,1.0243676,0.9131135,1.1387188,1.0773774,0.5866968,0.0,0.6795273,0.81764823,0.730678,0.9631676,1.0930238,0.80792433,1.2220677,1.469766,1.333307
theaeronautsmov,0.2713828,0.31893712,0.4905151,0.17006,0.36188447,0.46560854,0.44361156,0.48313364,0.51891077,0.24846765,0.0,0.28971586,0.4227261,0.43386173,0.36997086,0.53614926,0.15223084,0.4670642,0.5191496,0.4817198
thebestofenemies,0.7540772,0.4177835,0.6780213,0.53646433,1.07021,0.79872614,0.5485558,0.70246005,1.024336,0.43426695,0.0,0.6382162,0.76795125,0.83835465,1.0641218,1.0451224,0.74721223,0.74218136,1.2718672,0.9754037
thedeaddontdie,0.4123961,0.22988796,1.0277464,0.346815,1.114464,0.7952564,0.9795936,0.7255411,0.85818577,0.55386394,0.0,0.9164329,0.80984664,0.6622233,1.1014389,1.1380814,0.56377,0.8354886,1.0829108,1.183368
thefarewell,0.59438264,0.28053063,1.0518818,0.37265575,1.1649592,0.96332115,0.7280751,0.67529833,0.900481,0.33188483,0.0,0.7731999,0.669484,0.60843223,0.7673926,0.90139824,0.49281448,0.7360598,0.9577895,0.9926031
thehighwaymen,0.5137583,0.08622769,0.7707488,0.26401022,0.85147315,1.009211,0.49847493,0.5841532,0.8674244,0.41296384,0.09740809,0.5366475,0.94622946,0.4821693,1.0036975,0.8664307,0.22425291,0.8270779,1.1381159,1.0276712
thehummingbirdprojectfilm,0.25961995,0.1256598,0.38671583,0.16663632,0.426457,0.38727635,0.35064566,0.3402187,0.38223398,0.21123531,0.0,0.26951298,0.34237784,0.31813562,0.4046391,0.42498007,0.19578105,0.34928226,0.49694192,0.5100281
theintrudermovie,0.73327965,0.7569452,1.3364646,0.5822616,1.2707806,1.6366932,1.1663921,1.2565774,1.5644715,0.7023883,0.0,0.89041424,1.279677,1.2540303,1.5592029,1.7845823,0.72120315,1.4486476,1.9575324,1.7047367
theirishmanfilm,0.70125896,0.19636196,1.9381227,0.25526458,1.8707328,1.732439,1.2118826,1.4192057,1.3385359,0.7902155,0.0,0.7925878,1.4733315,1.0788609,1.79294,1.0516658,0.48329788,1.7896391,1.5527388,2.1875565
thekitchenmovie,1.1272385,0.10898524,1.4296334,0.73795205,1.9397256,1.8021032,1.9253149,1.7160728,1.588945,0.8996093,0.0,1.322915,1.2162254,1.639758,1.7663221,1.8877397,1.0992817,1.3162289,2.1686685,1.6464899
thelegomovie,0.7230718,0.21656534,0.685901,0.5332522,1.2337732,1.548434,1.0669696,1.0840042,1.2601811,0.6505168,0.0,0.37484694,0.83857995,1.2197591,0.983892,0.7555516,0.20244612,0.905281,0.8980275,1.4183137
themustangfilm,0.4459968,0.21315312,0.6915663,0.22761232,0.92228085,0.85720533,0.7767156,0.6361646,0.8997515,0.44791442,0.0,0.5118334,0.7566843,0.5623439,0.6312116,0.9193942,0.4604842,0.6698757,1.003113,0.85897607
thenightingalefilm,0.69681334,0.33738536,0.9364429,0.35220033,0.89779043,1.1194099,0.9907177,0.7669922,1.2866312,0.46537757,0.0,0.46194547,0.95968026,0.6626661,0.8695703,1.0690799,0.5360413,0.7673501,1.4770428,0.8437882
theprodigymovie,0.7711369,0.3535571,1.5416291,0.4700475,2.0234041,1.4468539,1.2486203,1.0018609,1.0298827,0.6233453,0.0,0.8558681,1.1161722,1.017704,1.8749938,1.564817,0.7607501,1.4981248,1.9844185,2.4481173
thesunisalsoastar,0.6553828,0.24766853,1.1801224,0.89052504,1.6222193,1.1795789,1.3372357,1.0997808,1.235305,0.71536726,0.0,0.7887986,0.972981,1.1448829,1.410934,1.1643949,0.72497123,1.2437487,1.5540533,1.6262918
theupsidefilm,0.8408873,0.49441415,1.0241535,0.25857842,1.3712384,1.128407,1.0742087,0.83009696,0.89402103,0.35911343,0.0401113,0.9516628,0.7589718,0.9849326,1.0831897,1.4879593,0.9222445,0.81157523,1.3748661,1.3761096
tolkienmovie,0.6700716,0.38273165,0.9634211,0.35083675,1.467232,0.92396563,1.1521995,1.0343248,1.1940747,0.35019663,0.1198721,0.74018407,0.9108461,1.0302598,0.94432837,1.1596756,0.46007526,0.7794985,1.459013,1.3851879
toystory,0.6421051,0.26344964,1.0603423,0.44115427,1.3655992,1.0493426,0.8231638,1.0657192,0.8707666,0.44721064,0.0,0.5907332,0.71408224,0.90938073,1.1514485,0.9743293,0.7896115,0.7615884,1.0472683,1.1706202
triplefrontier,0.59932303,0.17688066,0.9241527,0.32573098,0.6829952,0.9978839,0.8353896,0.66353667,0.8072355,0.6514339,0.0,0.5264471,0.7775836,0.51601243,0.9643535,0.7334656,0.31180024,0.8683656,1.0525813,1.2451024
uglydolls,0.4349384,0.14350033,0.81888026,0.33397794,0.97111994,0.7039832,0.5875587,0.5053458,0.69758564,0.35681823,0.0,0.6695322,0.25148922,0.616182,0.5044801,0.9572902,0.40543103,0.67888635,0.88173485,0.89656097
uncutgems,0.6309303,0.31509963,1.0804522,0.30168754,1.5429157,0.931773,1.1559007,1.1630085,1.1918201,0.27352536,0.0,0.918327,0.8428038,0.85997576,1.0380392,0.7853322,0.5484143,1.0245821,1.2355723,1.1462712
underthesilverlake,0.69247675,0.25639832,1.1837463,0.3011818,1.0189524,0.90852726,0.7194362,0.7915229,0.83949625,0.43722126,0.032777425,0.8392074,0.8022216,0.6927883,0.8179112,1.0747753,0.5556151,0.8097878,1.2357135,1.0465884
usmovie,0.3302558,0.086578324,0.5392592,0.0,0.661647,0.51843107,0.60770786,0.5155397,0.6669559,0.4105456,0.027703535,0.48316133,0.530635,0.61103815,0.70765644,0.8753077,0.31608367,0.6039817,0.8338156,0.71175027
wavesmovie,0.76693594,0.5112137,1.3439631,0.39484513,1.2105588,1.1375232,0.9076818,1.1976507,1.1708971,0.6673334,0.0,0.9113786,1.0437744,0.8409874,0.9394836,1.0580869,0.49134576,1.1760294,1.1167375,1.2164979
whatmenwant,1.0009459,0.5960207,1.2581093,0.58834374,1.6183689,1.2357485,1.1226282,1.4424767,1.4425741,0.8379647,0.0,1.0587037,1.2236192,0.99628484,1.4876261,1.4278402,0.4984036,1.4045076,1.4148558,1.7942318
wonderparkmovie,0.90931463,0.14928417,1.1841917,0.35021538,1.5590894,1.111495,0.91850334,1.0572121,1.3277869,0.5877291,0.0,0.9488859,0.86080074,0.787816,1.0402409,1.2676121,0.6082683,1.234354,1.3997201,1.710038
wrinklestheclown,0.25961995,0.1256598,0.38671583,0.16663632,0.426457,0.38727635,0.35064566,0.3402187,0.38223398,0.21123531,0.0,0.26951298,0.34237784,0.31813562,0.4046391,0.42498007,0.19578105,0.34928226,0.49694192,0.5100281
xmenmovies,1.0746092,0.32816708,1.1736038,0.10516117,1.1110963,1.5145414,0.9304643,1.3191116,1.1301984,0.43663904,0.0,0.643322,1.2794992,0.8747961,1.2562972,1.9856855,0.35337132,1.3609805,1.7536434,2.2198994
yardiefilm,0.501096,0.27083,0.5394576,0.21716408,0.5824088,0.65634227,0.47796455,0.4912742,0.6324215,0.368367,0.0,0.38867152,0.5003247,0.51897866,0.6627807,0.59703565,0.29406965,0.5049716,0.7329578,0.70012265
yesterdaymovie,0.65422344,0.21529078,0.73896307,0.20178668,0.92439914,0.81757194,0.8031973,0.75621796,0.8991884,0.4840019,0.0,0.61912,0.71959764,0.6313557,0.96092665,0.8737793,0.5326182,0.8200125,1.0388135,1.0976989
zombieland,1.0219985,0.5754418,1.5391684,0.63803893,1.640543,1.6115009,1.2127135,1.3891898,1.9162997,0.69364566,0.0,1.196872,1.3130294,1.4308779,1.7445452,1.8760607,0.82747227,1.6937019,2.3038394,1.9244788
