movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139
21bridgesmovie,0.32684553,0.3460159,0.41334677,0.3795169,0.0,0.0,0.20907593,0.49922806,0.38607135,0.12361821,0.0,0.41539484,0.30885074,0.5086388,0.2538196,0.0,0.35536897,0.3308419,0.18198705,0.22881806,0.2781337,0.51120615,0.0,0.25369915,0.37385997,0.0,0.2962818,0.0,0.23477247,0.23653969,0.6648963,0.3447759,0.39978957,0.4919707,0.12024162,0.38380566,0.5653995,0.29024616,0.0,0.38429937,0.0,0.48176605,0.0,0.26914045,0.27768743,0.29878777,0.5929823,0.44932082,0.19132231,0.4074316,0.6346852,0.26567882,0.51408803,0.20331977,0.0,0.27765068,0.3759822,0.0,0.0,0.24978693,0.33323982,0.50396705,0.42469963,0.2562748,0.3805252,0.5339953,0.30114427,0.18616015,0.0,0.28309292,0.56339556,0.3604109,0.44492346,0.4493077,0.24269265,0.46667278,0.30114624,0.53304875,0.08915815,0.49309602,0.49561727,0.0,0.35280004,0.3781271,0.13308495,0.3902552,0.13381259,0.0,0.0,0.27795973,0.28232148,0.0,0.41443312,0.5602835,0.0,0.26710755,0.41390598,0.44555202,0.0,0.15982328,0.0,0.4578715,0.29434368,0.40135968,0.258578,0.19609915,0.40268806,0.3925077,0.35303196,0.44770434,0.33659667,0.41251025,0.32890376,0.46966425,0.0,0.3373953,0.0,0.48370236,0.0,0.13436523,0.4970984,0.3655709,0.08368964,0.24478932,0.44919738,0.38996813,0.0,0.3656686,0.14408195,0.04276181,0.0,0.15190126,0.3038432,0.27617654,0.0,0.29626638,0.50338745,0.49625403,0.35760388,0.0
47metersdown,0.6172034,0.34189123,0.8066109,0.36237678,0.014474764,0.0,0.4143063,0.6767802,0.3756388,0.10537224,0.0,0.5071401,0.49309254,0.77219164,0.28176177,0.0,0.36269376,0.16089958,0.53309995,0.24418086,0.52916324,0.860603,0.0,0.28380772,0.47499162,0.035315648,0.4735555,0.14596818,0.3957934,0.23825921,0.7674542,0.43904513,0.45266515,0.60827136,0.4201998,0.55155706,0.79026806,0.30170405,0.0,0.5291173,0.0,0.58182895,0.06863588,0.24126782,0.23513176,0.5800645,0.8672117,0.45673615,0.27491015,0.4581309,0.64966685,0.5329219,0.4457675,0.0,0.0,0.36898366,0.48460713,0.0,0.0,0.27883667,0.40009555,0.69788045,0.25615424,0.4783905,0.4910324,0.85298955,0.4153675,0.38302943,0.0,0.42861784,0.5988299,0.8153981,0.57508016,0.68599766,0.5185954,0.48453322,0.3131259,0.5341364,0.12904958,0.45543015,0.6509345,0.0,0.44358245,0.38400823,0.29054213,0.18590221,0.39383292,0.0,0.0,0.5031273,0.17713852,0.0,0.2046291,0.60909396,0.0,0.3196663,0.4633098,0.8158276,0.0,0.1604782,0.0,0.35049286,0.43871102,0.39697987,0.61177844,0.10900551,0.35239026,0.6264511,0.27621463,0.56472754,0.4767494,0.76985604,0.5234998,0.47030997,0.0,0.6132971,0.0,0.4337316,0.0,0.20230563,0.51470387,0.25131437,0.17935717,0.22365238,0.4830425,0.43675932,0.0,0.340361,0.11113152,0.2522409,0.08079018,0.3501881,0.33134675,0.53171843,0.0,0.21260768,0.55269593,0.63383204,0.37116173,0.0
abeautifuldaymovie,0.4128576,0.3898703,0.49432865,0.36300722,0.0,0.0,0.30182448,0.45226225,0.3629335,0.19572844,0.0,0.4462687,0.2615219,0.52679265,0.12795845,0.0,0.3628918,0.31237507,0.26471663,0.27693582,0.37642258,0.42455158,0.0,0.23631488,0.29155105,0.0,0.16993852,0.15604153,0.41029188,0.21487804,0.604687,0.29259852,0.3401019,0.58824116,0.33873606,0.42343086,0.5982779,0.37161425,0.0,0.57133,0.0,0.4540906,0.06994065,0.26225284,0.19874536,0.3249946,0.71086174,0.3841454,0.08093603,0.36916247,0.7075338,0.29312593,0.53404725,0.21894343,0.0,0.32427967,0.3095208,0.0,0.0,0.12353987,0.27261096,0.5743796,0.39662093,0.34643468,0.42478848,0.54429233,0.2508408,0.17913535,0.0,0.30851614,0.4555152,0.5669102,0.41337678,0.48747933,0.38003638,0.39726216,0.20872279,0.46736056,0.08922249,0.38989228,0.38439396,0.0,0.45867828,0.2303871,0.031364504,0.4065346,0.21248797,0.0,0.0,0.4116179,0.18246096,0.0,0.4282721,0.46423143,0.0,0.13276489,0.3522473,0.52093494,0.0,0.18477476,0.0,0.3346825,0.3362115,0.4632604,0.42448518,0.3129851,0.32780918,0.49667642,0.4187211,0.44776055,0.33212098,0.39882925,0.3463389,0.59852177,0.0,0.52652156,0.0,0.3342057,0.0,0.04687728,0.3889126,0.25656864,0.19621962,0.27565745,0.52847654,0.3884447,0.0,0.40822807,0.049624376,0.15996283,0.03659423,0.39492288,0.30242154,0.47325063,0.0,0.28844768,0.51601845,0.48001885,0.37351948,0.0
abominablemovie,0.612744,0.40535435,0.7279418,0.39097467,0.0,0.0,0.4574507,0.29412192,0.4565066,0.21355984,0.0,0.62854856,0.47490868,0.5908229,0.10298851,0.0,0.64654726,0.4546461,0.062173523,0.2789556,0.65727097,0.84206665,0.0,0.42600244,0.46387744,0.0,0.44871446,0.49275887,0.40879187,0.19447093,0.8329529,0.23353648,0.63894635,0.7140993,0.42035517,0.87502056,0.59764814,0.6032429,0.0,0.65957415,0.0,0.6534294,0.2045014,0.2092406,0.45991132,0.5500225,0.94708294,0.5063158,0.06806566,0.47645608,0.7667362,0.6672302,0.47618288,0.2273176,0.0,0.17235565,0.45731854,0.0,0.0,0.29734477,0.48551515,0.7410719,0.60842764,0.5147822,0.41867858,0.8581139,0.4089107,0.24954107,0.0,0.39180514,0.49946827,0.73470813,0.5897769,0.60907066,0.6324459,0.50940984,0.40635008,0.47401616,0.5663563,0.28398085,0.46708518,0.0,0.62839067,0.41916168,0.034499716,0.33243674,0.32699785,0.0,0.0,0.4234171,0.35563272,0.0,0.69181114,0.9330275,0.0,0.12952256,0.39879858,0.80974096,0.0,0.0,0.0,0.28750053,0.3427021,0.32963604,0.7338806,0.41962937,0.7776537,0.6572478,0.19224027,0.60293275,0.5878483,0.68766814,0.36658314,0.75341135,0.0,0.70874226,0.0,0.52093935,0.0,0.0,0.4468163,0.36201367,0.21778017,0.45749015,0.71783286,0.60596216,0.0,0.38032362,0.15861912,0.39448148,0.24305482,0.61090153,0.34926754,0.530325,0.0,0.3819552,0.79768234,0.77754205,0.48200023,0.0
adastramovie,0.4318307,0.27872562,0.4815632,0.2842198,0.0,0.0,0.17441213,0.5046045,0.27484992,0.19631343,0.0,0.40780586,0.24328424,0.36462313,0.2444626,0.0,0.20920032,0.38074243,0.3341277,0.21372378,0.18064786,0.5287705,0.0,0.23077184,0.25963107,0.07531658,0.07771996,0.19262302,0.2717862,0.15230455,0.60414004,0.26674554,0.5177909,0.585909,0.33720258,0.49378642,0.46914044,0.23346268,0.0,0.36172897,0.0,0.4242326,0.10218239,0.1790607,0.38231167,0.3802753,0.5795592,0.26909098,0.16749363,0.3062116,0.46341115,0.27944618,0.42694372,0.09753515,0.0,0.2096785,0.14784983,0.0,0.0,0.07482898,0.2058959,0.49800843,0.3743375,0.39446813,0.28471625,0.39955372,0.17764078,0.18759504,0.0,0.2759828,0.43964365,0.4917135,0.42221043,0.35772732,0.21629769,0.2567246,0.15963607,0.23276645,0.1396135,0.40224314,0.3162859,0.0,0.5040496,0.2880211,0.13538893,0.2754994,0.13828555,0.0,0.0,0.2045504,0.29605553,0.0,0.20229647,0.3956146,0.0,0.06376908,0.29996487,0.5118688,0.0,0.08941853,0.0,0.29859194,0.13613604,0.17678982,0.50097984,0.2291396,0.28761983,0.6208668,0.22127011,0.39367214,0.3795944,0.39655653,0.340725,0.40678483,0.0,0.38255352,0.0,0.3916937,0.0,0.0,0.30746225,0.21621957,0.15290427,0.26431108,0.4617991,0.3739533,0.0,0.3484714,0.07058542,0.0,0.05918991,0.19887516,0.28006613,0.21582083,0.0,0.30767936,0.53430456,0.33583522,0.2830569,0.016331185
adogsjourneymovie,0.76707923,0.32618847,0.9506125,0.7654467,0.0,0.0,0.61686635,1.2634984,0.5165558,0.36138314,0.0,0.943722,0.6819095,0.7555613,0.37201405,0.0,0.64428455,0.8947607,0.67818063,0.5139704,0.63270146,0.99516547,0.0,0.6724552,0.37319306,0.0,0.4839499,0.06474331,0.41529253,0.40767425,0.9815413,0.863926,0.75897765,1.1849198,0.56123865,0.4800871,1.1796621,0.69584584,0.0,0.90875673,0.0,0.74743116,0.25464192,0.37401968,1.0726209,0.92321557,1.7309364,0.5493801,0.5085169,0.86984766,1.1848257,0.55419123,0.9833818,0.46158352,0.0,0.5981666,1.0033997,0.0,0.0,0.29133978,0.60094446,1.3875446,0.8678975,0.46017712,0.9250653,1.169422,0.7819091,0.673118,0.0,0.70910394,1.0871878,0.976119,0.78886956,0.9504055,0.27110505,0.7500157,0.56947017,0.7174133,0.23930046,0.6200491,0.7720611,0.0,1.0009242,0.7076637,0.4280633,0.8990797,0.50915915,0.0,0.0,0.5773747,0.8481311,0.0,0.61548215,0.8006936,0.0,0.48683184,0.6638035,0.8439885,0.0,0.38275006,0.0,0.5857299,0.45607165,0.6058131,0.8380655,0.12662308,0.7295059,1.0559441,0.3974825,0.9332267,0.7801355,0.72223693,0.70730686,0.97831017,0.0,1.0409781,0.0,0.86521107,0.0,0.03164634,1.1147633,0.7631243,0.45597365,0.45197204,1.1129684,0.8443648,0.0,0.8871582,0.23488434,0.013660239,0.043327335,0.24719594,0.79097104,0.64303327,0.0,0.7197498,1.2127606,0.69079494,0.5640159,0.0
aftermathmovie,0.36448574,0.13632607,0.34424615,0.36488387,0.0,0.0,0.14758104,0.3156328,0.13260628,0.18079491,0.0,0.32391718,0.22472672,0.35578555,0.19850698,0.0,0.2806991,0.25462574,0.23100501,0.1482428,0.19363199,0.348555,0.0,0.056059025,0.19934686,0.0,0.260177,0.101718515,0.1624161,0.12512594,0.34517142,0.24923721,0.27610677,0.46624607,0.24371678,0.27664405,0.40844277,0.1589347,0.0,0.40908518,0.0,0.35718864,0.028635517,0.21700695,0.30270112,0.24800628,0.45686555,0.3539542,0.045191776,0.29206976,0.3879605,0.3542308,0.38522995,0.105952024,0.0,0.18114758,0.33749178,0.0,0.0,0.11039937,0.18964821,0.39692143,0.30231288,0.23909427,0.2486849,0.42510897,0.15678985,0.34928867,0.0,0.21529983,0.4046653,0.38011572,0.37750635,0.40641132,0.061772056,0.23188157,0.2757802,0.4502664,0.100114584,0.2556293,0.22185177,0.0,0.3358677,0.28050625,0.08957107,0.260744,0.21749794,0.0,0.0,0.22733466,0.24677537,0.0,0.29491967,0.40569285,0.0,0.097674266,0.30600312,0.39332494,0.0,0.11377385,0.0,0.34928527,0.19851299,0.20815071,0.37030908,0.16764545,0.1865795,0.32466078,0.16433573,0.20902431,0.31748924,0.25261667,0.26446068,0.28300962,0.0,0.24343154,0.0,0.37906438,0.0,0.0,0.31022567,0.30090234,0.16308731,0.32027104,0.44034374,0.17062508,0.0,0.26127958,0.13719556,0.11584441,0.16320758,0.32243082,0.2267639,0.18451883,0.0,0.19238454,0.3143677,0.25251424,0.2125687,0.0
aftermovie,0.43412137,0.08759997,0.27672917,0.3661919,0.0,0.0,0.18712443,0.46754077,0.35403484,0.12766388,0.0,0.44766477,0.21197,0.432855,0.11931191,0.0,0.45098948,0.3483255,0.29958332,0.35713822,0.27092046,0.43539384,0.0,0.2233799,0.18516651,0.0,0.14338085,0.0,0.24437681,0.14922386,0.49377418,0.3291319,0.38960344,0.52137434,0.24937078,0.28434107,0.42444822,0.35168722,0.0,0.45949396,0.0,0.39378774,0.0,0.3256503,0.31793758,0.32678446,0.6481095,0.21690816,0.0825056,0.32111377,0.4370869,0.195035,0.3926862,0.24139091,0.0,0.29368773,0.22716379,0.0,0.0,0.2606772,0.27872548,0.45820236,0.26888296,0.3822349,0.3137375,0.49933663,0.24990602,0.2764708,0.0,0.30681017,0.44329578,0.40751076,0.50644,0.40176913,0.17590177,0.29328746,0.46178132,0.35245654,0.17575267,0.28683203,0.269363,0.0,0.40210924,0.22979657,0.11577748,0.1773206,0.19087559,0.0,0.0,0.3740044,0.2703272,0.0,0.3720829,0.3426299,0.0,0.114981025,0.35809407,0.41440684,0.0,0.13285501,0.0,0.2422884,0.28673813,0.33687603,0.34282464,0.21628422,0.29978725,0.49963897,0.35238537,0.32637182,0.3070398,0.43398684,0.4521532,0.43331718,0.0,0.43219376,0.0,0.36379355,0.0,0.0,0.3539459,0.30310184,0.12102779,0.25506157,0.5640318,0.23154537,0.0,0.3931608,0.12052234,0.16286093,0.10515569,0.24667269,0.13717158,0.39972737,0.0,0.3711148,0.41051227,0.2853063,0.30788115,0.0
ahiddenlifefilm,0.18030365,0.11326266,0.18759754,0.1544869,0.0,0.0,0.12871662,0.19014756,0.13580242,0.073666155,0.0,0.1942093,0.11370373,0.19812305,0.08664825,0.0,0.15881354,0.15616241,0.12084478,0.10216341,0.12377409,0.21869662,0.0,0.061783962,0.13248885,0.0,0.087220564,0.06688751,0.14765862,0.08312079,0.2226049,0.13374826,0.18786754,0.23025566,0.14689569,0.17952529,0.21644846,0.1209328,0.0,0.19776487,0.0,0.19150466,0.019343961,0.083149135,0.13553159,0.1603716,0.28173694,0.18346184,0.06761652,0.16771714,0.24113923,0.15301073,0.19044825,0.076956525,0.0,0.105120204,0.17479171,0.0,0.0,0.07263414,0.12209846,0.22483051,0.15597019,0.14441371,0.13786903,0.24668105,0.11559524,0.11013987,0.0,0.13069457,0.21605526,0.20963821,0.2073131,0.197225,0.117719725,0.1446457,0.13460988,0.19362412,0.04843278,0.1514803,0.16586098,0.0,0.20541191,0.14703268,0.059815045,0.13461605,0.10913355,0.0,0.0,0.11505215,0.115897834,0.0,0.1424821,0.20448352,0.0,0.09238908,0.16638146,0.20548719,0.0,0.058821093,0.0,0.13274518,0.15143219,0.1263664,0.18322764,0.08097465,0.14708313,0.20766674,0.1173895,0.15902191,0.16552185,0.1898647,0.15552887,0.18562314,0.0,0.18920697,0.0,0.17008682,0.0,0.0061283424,0.19063088,0.10999052,0.068022065,0.11651742,0.22285429,0.18344621,0.0,0.17743582,0.017043168,0.042340957,0.03391115,0.12840056,0.1444121,0.15577754,0.0,0.13784766,0.2150463,0.164788,0.13514732,0.0
alitamovie,0.54475266,0.5003749,0.48309004,0.46395925,0.0,0.0,0.539116,0.73737556,0.390921,0.17106663,0.0,0.5500427,0.38924715,0.40777916,0.28207386,0.0,0.5842117,0.44944444,0.21964031,0.26824862,0.18484043,0.65614027,0.0,0.16030496,0.19880487,0.0,0.1624922,0.018348329,0.3975991,0.23638415,0.911633,0.47260305,0.6575719,0.95631576,0.430129,0.6129316,0.52123034,0.338877,0.0,0.527911,0.13477774,0.46471077,0.28688863,0.15309615,0.4650296,0.40818855,0.8056148,0.44959757,0.29323614,0.5399198,0.70366997,0.3714478,0.60543394,0.24247731,0.0,0.33965293,0.5006261,0.0,0.0,0.28633848,0.29825553,0.6890275,0.3519972,0.3795144,0.46404868,0.71524704,0.38463858,0.51574194,0.0,0.06912305,0.7889518,0.63882756,0.7319822,0.437148,0.32346037,0.18560483,0.47719893,0.6126032,0.07167547,0.5041792,0.34859473,0.0,0.63559353,0.6051619,0.10499583,0.60125077,0.3193992,0.0,0.0,0.48346376,0.120998845,0.0,0.4216134,0.69869125,0.0,0.40208313,0.42463616,0.7210894,0.0,0.12413038,0.0,0.36260134,0.5788189,0.43500745,0.63308805,0.20542166,0.4329812,0.86395204,0.23211664,0.6437981,0.48558885,0.55145633,0.36103562,0.6521614,0.00072608236,0.70814556,0.0,0.7215603,0.0,0.13319075,0.45864186,0.24965326,0.013692329,0.39962113,0.79331595,0.5978543,0.0,0.6069657,0.1044836,0.22856146,0.31949472,0.48073086,0.21190992,0.34648308,0.0,0.5852826,0.6363167,0.38726255,0.4173345,0.02072436
