movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79
21bridgesmovie,0.6269592,0.71614736,0.66438013,0.5397237,0.59490675,0.0,0.29700357,0.44419646,0.6419034,0.6995753,0.0,0.6915584,0.51208913,0.19929874,0.3804344,0.45001927,0.0,0.11460949,0.56858927,0.42674956,0.6656898,0.740247,0.54470605,0.67964447,0.6096397,0.0,0.66304135,0.2004877,0.5731158,0.50327,0.40116206,0.5029438,0.70891726,0.0,0.57601106,0.5665934,0.6047927,0.71129334,0.14771213,0.0,0.0,0.4748274,0.0,0.39815432,0.42328206,0.4923639,0.7577506,0.41530722,0.3813541,0.7337982,0.24311787,0.33707225,0.0,0.0,0.45792663,0.13725811,0.6124366,0.0,0.41148356,0.35753953,0.5885208,0.3717708,0.0,0.3551599,0.4528932,0.657121,0.37635678,0.31326476,0.5972804,0.52925,0.7808998,0.3355269,0.0,0.25327504,0.7314112,0.49849293,0.6693522,0.69044894,0.31420988,0.4473069
47metersdown,0.67353463,0.6153193,0.42255276,0.24935424,0.5080653,0.0,0.25765753,0.4680305,0.69693303,0.7218369,0.0,0.5778615,0.4661811,0.1590636,0.51793605,0.5367422,0.03143833,0.0,0.68503606,0.13853239,0.5700219,0.6359023,0.42055485,0.5622099,0.5502275,0.0,0.76036906,0.36706853,0.40107152,0.6109914,0.31008038,0.5542855,0.3291816,0.0,0.51213485,0.59404624,0.8900295,0.93638134,0.010933852,0.0,0.0,0.18765895,0.0,0.48708934,0.034156095,0.52176315,0.51560473,0.20185089,0.43976468,0.92918044,0.058883112,0.2317003,0.003072232,0.0,0.5590238,0.42992377,0.2550736,0.0,0.5214605,0.2703664,0.4235935,0.25423363,0.0,0.33899018,0.4672851,0.42028043,0.5836376,0.4436377,0.60314596,0.16308568,0.7193866,0.52164567,0.040513385,0.07290056,0.8407951,0.7251714,0.60676384,0.90459466,0.47268617,0.4019247
abeautifuldaymovie,0.5424545,0.6253773,0.30610836,0.45774043,0.37628084,0.0,0.22990796,0.5043892,0.4986378,0.59344625,0.0,0.7016551,0.48036045,0.106394485,0.40946847,0.37310988,0.0635793,0.14051628,0.605143,0.19142081,0.68452156,0.52464086,0.3664006,0.4871586,0.255318,0.0,0.4982506,0.34802216,0.44085327,0.48484972,0.32017347,0.26878953,0.5197118,0.0,0.488121,0.473179,0.582312,0.5421748,0.19452728,0.0,0.0,0.2721579,0.0,0.30384773,0.14196686,0.45923954,0.59949684,0.29285884,0.27296972,0.53961396,0.3278941,0.36012068,0.0,0.0,0.4419432,0.19447902,0.42523488,0.124245584,0.24888355,0.2988064,0.3597686,0.2037602,0.0,0.33986315,0.44159898,0.5286371,0.2732527,0.19349952,0.50129026,0.4395502,0.54189616,0.42642945,0.11499193,0.26421133,0.51548046,0.5053893,0.4300086,0.59888387,0.23333167,0.31771305
abominablemovie,1.053302,0.7526314,0.6781163,0.6429397,0.598685,0.0,0.3059752,0.7270815,1.1012561,1.1178466,0.0,0.9132337,0.75274044,0.26333266,0.58991617,0.5780344,0.0,0.012886832,0.5572083,0.49352154,0.7608388,1.018564,0.6386521,0.65435344,0.4344072,0.0,0.9817586,0.22855839,0.8458401,1.074558,0.34916505,0.5539236,1.096977,0.0,0.40107775,0.42864105,1.0989366,0.74482334,0.4775317,0.0,0.0,0.7624869,0.0,0.6120498,0.2526699,0.85926396,0.8773275,0.19412771,0.7828699,0.8304035,0.31736994,0.8277662,0.0,0.0,0.57081705,0.28745797,0.55357707,0.0,0.1837548,0.404473,0.5129423,0.5555489,0.0,0.5600486,0.45890456,0.5943084,0.7827293,0.4858059,0.6761408,0.7571093,0.8154605,0.5170224,0.16335246,0.43333626,1.0901728,0.98716456,0.86130655,0.8904032,0.41228473,0.30506504
adastramovie,0.3875865,0.5426182,0.39160472,0.46934074,0.31871086,0.0,0.11050144,0.14186026,0.43953824,0.49517745,0.0,0.3801655,0.35557157,0.22281696,0.34879392,0.3275876,0.01371287,0.070553884,0.34040707,0.03132292,0.47405005,0.46610907,0.3870237,0.46507806,0.09152752,0.0,0.4391043,0.2018818,0.20630503,0.21537569,0.100785136,0.34989488,0.42265326,0.0,0.36076808,0.3151501,0.3749875,0.3962483,0.23659751,0.0,0.0,0.20476545,0.0,0.15581489,0.15069145,0.35962176,0.46273404,0.30542475,0.22930552,0.43934923,0.2121056,0.20704359,0.0,0.0,0.3311004,0.0755699,0.32296935,0.0,0.14121637,0.24308321,0.34541836,0.22886342,0.0,0.4667852,0.21182665,0.32751527,0.23581192,0.23878957,0.38987574,0.4046797,0.45550385,0.3650067,0.0,0.12204445,0.42999816,0.48041144,0.4796779,0.40736228,0.1849833,0.26461053
adogsjourneymovie,1.3369209,0.93606585,0.9079437,0.68300176,0.55715734,0.0,0.412779,0.59333664,1.0103415,1.2500185,0.0,0.907929,0.9021713,0.47933832,0.59967417,0.42636064,0.0,0.0,0.49703804,0.5326939,0.8708824,0.96983534,0.9808184,1.0781478,0.84453756,0.0,0.7453394,0.23870426,0.92143285,0.7571332,0.62956536,0.7148925,1.12959,0.0,0.72608477,1.0421491,0.63139296,1.066399,0.2193057,0.0,0.0,0.7557849,0.0,0.8597042,0.3176554,0.9407459,1.1939721,0.06931044,0.89931965,0.77086663,0.015757069,0.75538754,0.0,0.0,0.7170445,0.15051594,0.7635794,0.0,0.34335375,0.399799,0.60378045,0.48377097,0.0,0.24034026,0.59504336,0.8337246,0.824728,0.41275385,0.42503777,0.8036196,1.1775066,0.49134576,0.0,0.07187741,1.2820247,0.730396,0.57439953,1.1506792,0.7850184,0.7402022
aftermathmovie,0.49573925,0.5505195,0.48201144,0.3462076,0.30763066,0.0,0.23551425,0.3130439,0.4389394,0.57607913,0.0,0.56209606,0.4656886,0.21817261,0.37533903,0.2542645,0.0,0.19677447,0.36232546,0.32197487,0.38060147,0.41081974,0.3407455,0.28073183,0.27833426,0.0,0.47965962,0.27252728,0.42462906,0.42630014,0.18734944,0.34850985,0.43498206,0.0,0.279109,0.32143697,0.54369336,0.4320541,0.1805793,0.0,0.0,0.38919142,0.0,0.2552334,0.2171868,0.42804733,0.4808084,0.18237613,0.41044962,0.52025336,0.20944045,0.271658,0.0,0.0,0.3057437,0.25596714,0.36077622,0.0,0.1769746,0.28381184,0.3046325,0.29326126,0.0,0.25438315,0.37475726,0.47657004,0.25221252,0.13962373,0.47824636,0.2894459,0.43592674,0.24568899,0.023452453,0.25377038,0.41401923,0.5181124,0.46097162,0.4188053,0.28617308,0.32911006
aftermovie,0.4703727,0.8362644,0.59111893,0.32318282,0.25822902,0.0,0.17358834,0.30227488,0.6018812,0.67266536,0.0,0.59402686,0.4306491,0.3432304,0.45468405,0.34274873,0.03660831,0.052512005,0.46688527,0.124220744,0.38918102,0.6531563,0.43700045,0.5809149,0.26392734,0.0,0.60886705,0.080713846,0.44431114,0.56107754,0.2709255,0.35636365,0.5870393,0.0,0.50782293,0.32922798,0.47337902,0.64474666,0.08838017,0.0,0.0,0.40877348,0.0,0.2727211,0.24716948,0.2943362,0.677664,0.34575984,0.4542364,0.7264089,0.27849558,0.3826241,0.0,0.0,0.3606324,0.33621812,0.50598943,0.008332577,0.14664489,0.22188032,0.5274022,0.24822003,0.0,0.48626423,0.3739431,0.5158223,0.35452396,0.34752858,0.4113811,0.40285036,0.48890945,0.42277038,0.0,0.11725745,0.5857285,0.48088568,0.51135904,0.5809733,0.37948143,0.2873323
ahiddenlifefilm,0.30036852,0.33671343,0.26590848,0.2279424,0.19768633,0.0,0.097487524,0.21390386,0.2835816,0.31170502,0.0,0.31622183,0.2408657,0.081038825,0.21167405,0.17838225,0.0,0.055240087,0.2414599,0.14140978,0.27135247,0.29505256,0.24033582,0.27718884,0.17525214,0.0,0.3043947,0.114391886,0.23892261,0.26143125,0.16777125,0.20708966,0.29175228,0.0,0.20983851,0.23067737,0.31442007,0.2885532,0.078694776,0.0,0.0,0.2094623,0.0,0.19336826,0.14411838,0.24384843,0.3137799,0.15315017,0.19957642,0.30130205,0.12372697,0.17898849,0.0,0.0,0.19322997,0.105769284,0.2381148,0.0,0.12255883,0.18599546,0.22855814,0.17261046,0.0,0.19342223,0.21903107,0.23262729,0.20864394,0.11698149,0.24668574,0.25553203,0.307204,0.20452529,0.048055414,0.1353735,0.31174487,0.2822028,0.24224135,0.3099226,0.19442202,0.182836
alitamovie,0.771658,0.59121734,0.79741573,0.65692586,0.3902092,0.0,0.118704304,0.28351298,0.7953274,0.71807456,0.0,0.69265306,0.6580221,0.25044715,0.3934013,0.5706847,0.0,0.26306164,0.4241297,0.32424206,0.50592506,0.6664608,0.52406156,0.78085065,0.5362987,0.0,0.76635385,0.16035193,0.33752063,0.4624396,0.2364716,0.40808827,0.9019049,0.0,0.3101471,0.6987394,0.7848191,0.67663765,0.5222965,0.0,0.0,0.45902616,0.0,0.4115901,0.14888394,0.48734874,0.89148664,0.3364765,0.32113427,0.86747354,0.38455892,0.14417778,0.0,0.0,0.51172316,0.02755253,0.60816693,0.0,0.29030567,0.38870072,0.5915567,0.42037487,0.0,0.5327432,0.4316563,0.5726623,0.6836943,0.3826253,0.39651218,0.7345303,0.64168,0.56633765,0.1693526,0.113961905,0.7668823,0.7277556,0.5693848,0.57415473,0.06636736,0.31010932
