movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119
21bridgesmovie,0.064014405,0.0,0.34083498,0.0,0.0,0.43300587,0.18067828,0.49675223,0.28326368,0.4089007,0.42419502,0.39302096,0.59018713,0.26500797,0.42727992,0.56513536,0.0032701893,0.0,0.2050372,0.36900133,0.50801456,0.2858726,0.6939412,0.38183874,0.0,0.3055119,0.0,0.20801157,0.5395715,0.0,0.4596461,0.313139,0.37510204,0.19375762,0.41579244,0.17417186,0.0,0.24558142,0.5965986,0.25284475,0.071162984,0.13582036,0.46958858,0.4163626,0.0,0.31700754,0.19736412,0.307456,0.43222523,0.5596876,0.12916157,0.35864547,0.5400523,0.2493099,0.4982908,0.54401094,0.49452174,0.0,0.03610561,0.0,0.35608226,0.23611404,0.0,0.29829997,0.33701164,0.38092533,0.55652505,0.3156101,0.3128846,0.0,0.33911273,0.5297854,0.26808903,0.36235824,0.56767285,0.21075808,0.0,0.50662047,0.21248509,0.0,0.40287712,0.4074761,0.26442972,0.38051486,0.46901307,0.29946238,0.5308113,0.0,0.32708302,0.23157199,0.45458293,0.45449647,0.05879598,0.33627096,0.53507334,0.0,0.2723317,0.43035573,0.36760357,0.4657824,0.14697161,0.4333465,0.10274334,0.26672995,0.0,0.4651837,0.33464548,0.57375646,0.40443316,0.4944187,0.6786368,0.0,0.5699835,0.115538664,0.38772333,0.35662356,0.5370438,0.5985847,0.7048467,0.0
47metersdown,0.14744747,0.0,0.32353207,0.0,0.0,0.56038326,0.19522682,0.6024691,0.13324751,0.40023562,0.54409766,0.5198581,0.91749406,0.31683004,0.48839995,0.46998754,0.0,0.0,0.15706176,0.5511997,0.54927295,0.26887456,0.8218396,0.40505472,0.0,0.37062454,0.0,0.22130221,0.6582045,0.0,0.5812082,0.6647772,0.65775,0.12699182,0.5895996,0.09134643,0.0,0.33323625,0.7517282,0.2146022,0.29398575,0.1573198,0.7284275,0.5364289,0.0,0.5745476,0.16856225,0.68711805,0.42541224,0.70125663,0.26673582,0.5589755,0.60082865,0.27648833,0.45816162,0.5895031,0.6120439,0.0,0.030955415,0.0,0.3778815,0.65648454,0.0,0.36751223,0.44281074,0.49534577,0.26977572,0.30399984,0.4496108,0.084174514,0.33985364,0.4126288,0.20793475,0.18607065,0.6765856,0.3068461,0.0,0.5863138,0.28365034,0.0,0.48927546,0.36518547,0.48279592,0.46182472,0.41647896,0.26477203,0.4839242,0.0,0.517467,0.26410398,0.63480765,0.34594783,0.2711482,0.36869538,0.5522564,0.0,0.42162347,0.620286,0.4955832,0.6116595,0.25451326,0.54430276,0.06669332,0.44430602,0.0,0.58439976,0.445374,0.6235956,0.27528927,0.55258185,0.8837319,0.0,0.65268075,0.0,0.58196104,0.28480914,0.5743707,0.85480154,0.7552766,0.0
abeautifuldaymovie,0.027079815,0.0,0.37721312,0.0,0.0,0.3687843,0.09007593,0.47077236,0.1727185,0.27216613,0.37261942,0.22440968,0.3852309,0.29821366,0.31256065,0.5208632,0.0037872745,0.0,0.1993373,0.2795263,0.5213916,0.25595805,0.47272915,0.22317792,0.0,0.36848366,0.0,0.062972575,0.38130352,0.0,0.38597795,0.19003431,0.27934048,0.28502488,0.38763168,0.0016754605,0.0,0.29508665,0.2930399,0.2202121,0.2225126,0.056679904,0.40445036,0.48051566,0.0,0.31554216,0.08488805,0.35498616,0.50149715,0.5256761,0.036356203,0.42837793,0.46726966,0.36861786,0.4195166,0.50037473,0.29244217,0.0,0.24187578,0.0,0.13975656,0.3346569,0.0,0.30228692,0.23904037,0.41462547,0.3243764,0.39800864,0.41155058,0.0,0.2151705,0.4746187,0.12977257,0.34902313,0.33013976,0.19442505,0.14135478,0.37796065,0.18166536,0.0,0.4298548,0.40379754,0.23211233,0.29619262,0.3734129,0.14306106,0.2571638,0.0,0.2966563,0.22510575,0.40156385,0.22371054,0.13935341,0.3666983,0.38153312,0.0,0.14703019,0.44670817,0.41503987,0.26539472,0.117727295,0.26741067,0.0,0.4852919,0.0,0.39371502,0.3123641,0.5157275,0.36558166,0.34433094,0.47509864,0.0,0.4233233,0.011360547,0.4171477,0.26919532,0.36124173,0.55585885,0.58005416,0.0
abominablemovie,0.25899756,0.0,0.4885793,0.0,0.0,0.7330471,0.0,0.80701053,0.25605994,0.55032164,0.5950345,0.19625328,0.8062328,0.53644514,0.6211738,0.83340514,0.10861507,0.0,0.44707713,0.3406384,0.7767312,0.2729442,1.089196,0.630483,0.0,0.41530758,0.0,0.28330556,0.93747085,0.0,0.5311479,0.4072593,0.33270577,0.5012478,0.8911464,0.0,0.0,0.5660779,0.6960084,0.20417967,0.41059378,0.1269061,0.5912154,0.62357616,0.0,0.639115,0.27672824,0.5423769,0.69289,0.9786692,0.08414729,0.77918124,0.56776917,0.41025722,0.64721644,0.7808144,0.6268009,0.0,0.25385398,0.0,0.44684762,0.42120975,0.0,0.50522953,0.5919115,0.7557007,0.7310918,0.68114614,0.5477101,0.0,0.71798927,0.60154796,0.09385711,0.7096588,0.75616395,0.50799274,0.17468585,0.7517038,0.27730095,0.0,0.6566798,0.7071554,0.4019785,0.17024714,0.5084932,0.0938014,0.6788647,0.0,0.5139077,0.038414814,0.66951865,0.7596544,0.46495155,0.53982073,0.6703766,0.0,0.4805453,0.7671591,0.6082595,0.5783168,0.16334233,0.4438853,0.05216605,0.49017018,0.0,0.7405515,0.56308323,0.99029493,0.3095504,0.6791513,1.1050326,0.0,1.0219333,0.05748136,0.3175055,0.3607451,0.84457016,0.7847689,0.93699473,0.0
adastramovie,0.25659683,0.0,0.30979434,0.0,0.0,0.5544068,0.039217442,0.48184633,0.24541193,0.2344619,0.37840304,0.20047887,0.51493925,0.34947947,0.3715868,0.47938535,0.0,0.0,0.28550702,0.39200872,0.44454592,0.22938487,0.6886585,0.26714715,0.0,0.35625663,0.0,0.02960135,0.5770988,0.0,0.40699762,0.31006902,0.33235914,0.07845184,0.4572728,0.031703167,0.0,0.31621003,0.5774203,0.23875344,0.14398672,0.0,0.42365962,0.46166316,0.0,0.4599457,0.0,0.46459067,0.5821755,0.67058146,0.12182444,0.38964146,0.423308,0.23380354,0.43797383,0.36761245,0.5115434,0.0,0.13924867,0.0,0.118480675,0.28259203,0.0,0.4719898,0.3778974,0.3253446,0.63436013,0.519081,0.36474395,0.010579508,0.3338315,0.38174227,0.059813883,0.42723417,0.41575712,0.29022193,0.0,0.37884882,0.17540781,0.0,0.39109865,0.38066223,0.248246,0.3086201,0.3714741,0.16721138,0.40328828,0.0,0.32241553,0.19477472,0.40658918,0.35617384,0.23296072,0.45315942,0.4149308,0.0,0.2053669,0.56080234,0.4099754,0.48098955,0.27790397,0.42390385,0.08634265,0.32697386,0.0,0.38567096,0.20467322,0.30817452,0.2850901,0.43368357,0.61934847,0.0,0.46016407,0.14628941,0.390874,0.28932413,0.43129012,0.46422777,0.70385027,0.0
adogsjourneymovie,0.16534117,0.0,0.8225661,0.0,0.0,0.9266772,0.26319128,0.88449794,0.13712993,0.5905763,0.7577987,0.7726349,1.1545314,0.6691032,0.9313163,1.2186514,0.26885942,0.0,0.5510759,0.65023744,1.6363271,0.33083457,1.3537503,0.51755786,0.0,0.44304907,0.0,0.24114409,1.1919572,0.0,1.0678904,0.7668646,0.97185457,0.37109733,1.1042717,0.0,0.0,0.36177102,1.1386124,0.18613377,0.7035252,0.14457051,0.9342043,1.0768572,0.0,0.85330707,0.28933337,1.1428839,0.9934782,0.8694751,0.08165219,0.8173564,0.9986253,0.5793683,0.85978323,1.0111219,0.8966916,0.0,0.58232623,0.047473513,0.31114352,0.8798113,0.0,0.77559954,0.6583577,0.7705496,0.953155,0.76374674,0.3045318,0.0,0.6651525,0.78322357,0.31771562,0.4643189,0.90136695,0.35502863,0.0,0.8652168,0.44728118,0.0,0.9204274,0.8217662,0.65307367,0.5881516,0.66672164,0.32564664,0.8700714,0.0,0.75724983,0.3762872,0.86872727,0.96465194,0.7908175,0.79585373,0.95703703,0.0,0.6283604,1.0052371,0.7591907,0.8125042,0.26201534,0.8057099,0.1387182,0.91610014,0.0,0.69470924,0.76543516,1.4029515,0.73804927,0.9098269,1.249518,0.0,1.3365216,0.24482146,0.5548891,0.6200744,0.7212268,1.4414169,1.4239254,0.0
aftermathmovie,0.0,0.0,0.2586312,0.0,0.0,0.44362092,0.058354594,0.3759405,0.28450143,0.14316599,0.4050663,0.2844898,0.5042808,0.239477,0.36499,0.38192007,0.0,0.0,0.18956757,0.28021538,0.33182773,0.2339419,0.47322828,0.25667265,0.0,0.29377243,0.0,0.1191688,0.44591567,0.0,0.35778874,0.2491537,0.26945692,0.12379486,0.4286668,0.0,0.0,0.27512506,0.3591487,0.18385547,0.2266633,0.0,0.35217422,0.4147645,0.0,0.2823726,0.12565044,0.2918513,0.32901567,0.5645074,0.056878746,0.43674207,0.39768445,0.2808672,0.4344864,0.41718477,0.36434975,0.0,0.2324478,0.0,0.22986701,0.31298912,0.0,0.28366384,0.34973198,0.26982602,0.3502397,0.38187748,0.17892231,0.0,0.29384613,0.37917903,0.016652355,0.28606912,0.35086104,0.13904901,0.0,0.36937067,0.10451944,0.0,0.38790292,0.34971863,0.17342994,0.24362695,0.33811924,0.12755209,0.35250416,0.0,0.33398193,0.15318783,0.38583994,0.28781292,0.18583886,0.2745437,0.34339708,0.0,0.31402805,0.38831806,0.29072174,0.23956293,0.13345322,0.27826416,0.16378872,0.34437484,0.0,0.3893191,0.24868588,0.2861928,0.23866457,0.3208901,0.43940917,0.0,0.4338098,0.0,0.28217334,0.20194063,0.41745898,0.42622912,0.51440275,0.0
aftermovie,0.0,0.0,0.42077556,0.0,0.0,0.3566203,0.15728863,0.34446326,0.25963244,0.29569903,0.35266683,0.21500279,0.5724894,0.41733426,0.31119564,0.38662115,0.0,0.0,0.30107805,0.32418448,0.5520014,0.28866947,0.6359794,0.25661647,0.0,0.28883946,0.0,0.18563342,0.4352053,0.0,0.31454608,0.27071497,0.3840523,0.13356665,0.34634975,0.0,0.0,0.30336553,0.29282957,0.13041753,0.26928964,0.009169551,0.36981916,0.5703933,0.0,0.29801512,0.14073896,0.47173744,0.53744483,0.580945,0.048031494,0.36863914,0.38896418,0.3361158,0.45416284,0.43255085,0.46296522,0.0,0.14278224,0.0,0.21575779,0.33209234,0.0,0.35676205,0.2923402,0.37514627,0.4547845,0.36919168,0.35355076,0.0,0.25225535,0.22986929,0.13648762,0.32751602,0.30731532,0.2522484,0.0,0.3364706,0.10333733,0.0,0.34709188,0.43442145,0.31628653,0.24634555,0.47982928,0.06107351,0.27156645,0.0,0.3649295,0.18049414,0.33833906,0.4343888,0.2587803,0.3360308,0.30920133,0.0,0.34853378,0.6231997,0.4241731,0.5173821,0.16785851,0.29623035,0.2002284,0.32448602,0.010641059,0.22940493,0.20347615,0.48288932,0.2246761,0.57228637,0.45661035,0.0,0.5988252,0.0,0.24305886,0.24141929,0.29917985,0.49337277,0.52525336,0.0
ahiddenlifefilm,0.041743558,0.0,0.14608976,0.0,0.0,0.19500008,0.052934512,0.17937537,0.087690316,0.12936647,0.17539209,0.12870944,0.23513688,0.12585722,0.16604596,0.20221494,0.010721332,0.0,0.09294453,0.14179215,0.2076696,0.10597932,0.2685424,0.1346591,0.0,0.13787648,0.0,0.060404036,0.21532153,0.0,0.15727787,0.13756683,0.14139768,0.076523304,0.19264226,0.006246588,0.0,0.1294811,0.19304934,0.08610392,0.07795422,0.040873244,0.18482088,0.20292819,0.0,0.1671375,0.034402758,0.16606927,0.18863724,0.22631714,0.04153981,0.17791092,0.18356572,0.10712832,0.18070437,0.19905582,0.2031391,0.0,0.07639586,0.0,0.10030802,0.13633278,0.0,0.12126952,0.14891513,0.16422926,0.17150584,0.16658288,0.12083663,0.0,0.1344372,0.16347785,0.042709544,0.14740834,0.18497802,0.106610894,0.0,0.18983582,0.0739998,0.0,0.16879575,0.14854246,0.12136517,0.101599656,0.15279573,0.06032949,0.15386134,0.0,0.1311546,0.08262534,0.18060115,0.1542083,0.0811277,0.14014162,0.16912715,0.0,0.11650463,0.2097176,0.16764946,0.1803161,0.060944833,0.14698142,0.06253879,0.1409463,0.0,0.16205482,0.14077188,0.20682794,0.123610385,0.19366509,0.22386935,0.0,0.25403345,0.010494354,0.12271039,0.105499774,0.16874693,0.22391343,0.26793942,0.0
alitamovie,0.20473838,0.0,0.49626175,0.0,0.0,0.8337762,0.10075512,0.50929797,0.38262868,0.35332724,0.52222466,0.53048277,0.6877717,0.6959822,0.5654694,0.5966109,0.0,0.0,0.25220582,0.64417684,0.5595469,0.53941166,1.102888,0.42836538,0.0,0.5085017,0.0,0.1506966,0.7627257,0.0,0.5468661,0.42360133,0.7277564,0.3018781,0.569291,0.0,0.0,0.42603898,0.7027538,0.49251992,0.426998,0.28671563,0.6187348,1.0097935,0.0,0.6499415,0.39047444,0.6994139,0.9930079,0.80793685,0.15650333,0.8062838,0.67413634,0.3767411,0.9790978,0.5545942,0.5646889,0.0,0.32772928,0.0,0.27599034,0.56659794,0.0,0.5220158,0.38771152,0.7361703,0.8725425,0.723693,0.5228383,0.0,0.3654765,0.56677496,0.15786634,0.58424383,0.642537,0.3937145,0.123868234,0.6343302,0.038035795,0.0,0.58710057,0.531406,0.37268892,0.50235677,0.6689623,0.107412465,0.8045693,0.0,0.4798294,0.4039462,0.5589407,0.49853376,0.3252658,0.8059502,0.71558994,0.0,0.34199297,0.641707,0.6066667,0.6000187,0.43090564,0.624997,0.273856,0.53208554,0.11098732,0.615727,0.4874132,0.82219607,0.4727666,0.8965849,0.7328264,0.0,0.908198,0.037281927,0.5823561,0.64558315,0.77937305,0.7604793,0.91766757,0.0
