movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59
angelhasfallen,0.85876364,0.8856987,0.68957585,0.0,0.66609716,0.8644943,0.3661184,0.50053436,0.6016853,0.5328036,0.5021391,0.9897025,0.42054272,0.29621404,0.8322843,0.5982453,0.9227202,0.81031865,0.0,0.7982876,0.6485134,0.76578164,0.43075183,0.57598823,0.2645816,0.73575145,0.35750648,0.15482791,0.9492615,0.64553934,0.37108633,0.0,0.21832989,0.42613867,0.45157948,0.91434264,0.58732426,0.721692,0.6543742,0.4401867,0.72164774,0.6614729,0.0,0.74615604,0.5208254,0.7709796,0.6727755,0.6275242,0.78666776,0.5702565,1.1610866,0.6623555,0.66816956,0.5783121,0.43894237,0.24908303,0.0,0.66037005,0.7878318,0.510245
angrybirdsmovie,1.0594242,0.77844703,0.9203697,0.0,0.6064895,1.416173,0.4867869,0.68033546,0.89577633,1.0257254,0.6168486,1.587079,0.5644969,1.2143362,1.0689564,1.2272742,1.7151717,0.99817425,0.0,1.0891906,0.94528663,0.73200434,1.2144543,0.75459087,0.49915487,1.1824766,0.87977356,0.41102436,1.7988504,1.008328,0.6222212,0.0,0.6172877,0.869043,0.44781324,1.2593342,0.60065025,1.2782875,1.1167948,0.47467098,1.1638174,1.1190001,0.0,1.6022447,1.071721,1.3915522,1.4341607,0.8603376,1.4191278,0.9314287,1.6305842,1.0777898,0.8272879,0.6881767,0.3782112,0.07075058,0.0,0.72204185,0.5702067,0.75197166
annabellemovie,0.84980506,0.9303436,0.683293,0.0,1.0266575,1.0159719,0.53901213,0.5308,0.63718706,0.604421,0.62890995,0.7535687,0.73485553,0.83994836,1.1074984,0.8049334,1.085032,0.8531466,0.0,0.9476224,0.7259007,0.4365346,0.72201765,0.6067537,0.6110389,0.7688657,0.61990815,0.09751567,1.1238073,0.87197906,0.7058939,0.0,0.28333884,0.7077088,0.6626546,1.1361705,0.6339596,0.7733517,0.8321749,0.51258814,0.7731398,0.7634025,0.0,0.8328901,0.6921401,0.9495844,0.7419737,0.5697871,0.8278939,0.81900215,1.2150946,0.8870175,0.56447667,0.47269803,0.70202285,0.33880997,0.0,0.7985498,0.9013131,0.47509167
annamovie,0.5431586,0.5593722,0.6461758,0.0,0.64584136,0.7532212,0.34443778,0.3687108,0.46567792,0.5342248,0.43726617,0.55210346,0.43135923,0.43097872,0.57143813,0.40397778,0.7521872,0.67668825,0.0,0.68840325,0.38380727,0.35183436,0.39919683,0.38696018,0.34592992,0.66257083,0.37104848,0.22289295,0.7339449,0.5027145,0.34497568,0.0,0.16470781,0.44729272,0.46462402,0.74760604,0.176501,0.39296508,0.5681369,0.17036664,0.40520278,0.5364469,0.0,0.55009973,0.46309942,0.59925383,0.40622512,0.2650031,0.52916086,0.3411017,0.89677954,0.68364173,0.55077565,0.42752784,0.30825737,0.16218446,0.0,0.5211822,0.46904734,0.32031387
apollo11movie,0.33986917,0.47671035,0.33243322,0.0,0.40084875,0.558736,0.24714065,0.23714446,0.28680745,0.36254844,0.1860668,0.35987285,0.32163933,0.34817812,0.43538627,0.30654943,0.4796362,0.36627325,0.0,0.4137497,0.2842428,0.32561764,0.18103342,0.22803162,0.27006745,0.28288978,0.2306075,0.11684312,0.39958775,0.2720299,0.20960014,0.0,0.13584718,0.2177067,0.31059125,0.410241,0.22972123,0.36840117,0.33584222,0.26335508,0.33898902,0.31485924,0.0,0.3429054,0.28499913,0.42953867,0.4322549,0.3188992,0.38813323,0.31224304,0.41357827,0.34523696,0.37145048,0.33514985,0.20758936,0.093021184,0.0,0.27371758,0.33202896,0.31001735
arcticdogsmovie,0.63724476,0.57776654,0.54894274,0.0,0.45581973,0.6732786,0.3689472,0.35958406,0.40561712,0.42176384,0.3741995,0.6575851,0.3895406,0.47507584,0.6147813,0.42215115,0.5912769,0.7962362,0.0,0.77571046,0.41298085,0.27886206,0.41744092,0.23340385,0.34808475,0.52428716,0.32025754,0.09060955,0.71168,0.42690486,0.31062347,0.0,0.11244211,0.23066466,0.44906512,0.7534039,0.41132107,0.52411807,0.5415964,0.36980203,0.41290453,0.4659797,0.0,0.3655902,0.29443944,0.5482014,0.38503313,0.27820238,0.5549444,0.39296472,0.7102656,0.5260239,0.463614,0.4997893,0.23942822,0.06867025,0.0,0.40349987,0.46219113,0.40346134
arcticmovie,0.5668112,0.5393374,0.36432108,0.0,0.37704977,0.5668063,0.29022503,0.24208583,0.37390685,0.30379948,0.24265519,0.36985993,0.22919826,0.3338135,0.55349493,0.3650387,0.6304713,0.32828513,0.0,0.48184305,0.4790272,0.21688873,0.39591166,0.26547053,0.310966,0.43749562,0.41142422,0.14051759,0.5972639,0.51282305,0.3995463,0.0,0.043773673,0.25988778,0.2978318,0.6630295,0.3491353,0.34088847,0.34779885,0.38464853,0.31344914,0.38669908,0.0,0.30799374,0.4520248,0.5594118,0.6123322,0.32624555,0.40350327,0.34215662,0.68888915,0.53618586,0.3333791,0.35683206,0.21556018,0.07061438,0.0,0.46100163,0.3203682,0.2567469
artofracingmovie,0.67961186,0.7249867,0.50354743,0.0,0.6340592,0.74530345,0.40911168,0.6775447,0.40138012,0.49342462,0.5355803,0.72659177,0.29003027,0.6003853,0.74636996,0.34407768,0.7466896,0.5569858,0.0,0.60544527,0.4295491,0.54689735,0.6170119,0.34402972,0.49088335,0.5642342,0.33951044,0.0,0.6913736,0.49557596,0.50691634,0.0,0.2165153,0.50858474,0.47353682,0.7570821,0.0956936,0.58860236,0.5309724,0.24776505,0.5492521,0.52995867,0.0,0.6041143,0.59223735,0.8080284,0.6294362,0.45248893,0.423798,0.5888424,0.9654067,0.714637,0.6504726,0.6281242,0.46217364,0.31301436,0.0,0.45904925,0.6848407,0.555659
avengers,0.4964776,0.5402523,0.42122072,0.0,0.59377736,0.63233674,0.38508326,0.2791533,0.34751812,0.46946967,0.3661615,0.3872224,0.34921306,0.29486293,0.47200873,0.45967406,0.65927887,0.5988458,0.0,0.45713168,0.44223186,0.35245594,0.26951015,0.17084922,0.28204054,0.43716362,0.24241163,0.2268271,0.68443257,0.4408483,0.3437731,0.0,0.12857729,0.3612231,0.63051623,0.59468484,0.44889113,0.4324271,0.476596,0.39550015,0.39422533,0.6575223,0.0,0.28361785,0.3859948,0.45459688,0.57441163,0.41838425,0.5914883,0.36436176,0.7113206,0.6093292,0.38658386,0.43803406,0.40370673,0.04200322,0.0,0.38491142,0.5742785,0.33099687
beachbummovie,0.47782984,0.72132814,0.36868963,0.0,0.5473628,0.6697167,0.31889233,0.5348878,0.4375194,0.57946205,0.33008322,0.65150017,0.49939945,0.44213647,0.48232803,0.30639473,0.606146,0.56781316,0.0,0.6982331,0.21572788,0.4204997,0.27628997,0.45577282,0.36253965,0.5280235,0.17902751,0.18450443,0.6631855,0.47299582,0.38187447,0.0,0.0,0.3217736,0.48234552,0.7722746,0.30003273,0.5640723,0.47706622,0.17040579,0.70013416,0.5988643,0.07245217,0.5959824,0.57677305,0.6477516,0.48721188,0.49177113,0.6697098,0.33061874,0.74274653,0.5441704,0.4862839,0.52563834,0.46647304,0.09054994,0.0,0.41662532,0.516111,0.41517955
