movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79
21bridgesmovie,0.4997746,0.2950807,0.5545482,0.0,0.43430203,0.46479157,0.0,0.27096492,0.45941684,0.39677587,0.32997617,0.412016,0.43586022,0.256905,0.26601574,0.0,0.6210679,0.0,0.51271594,0.37175092,0.43921658,0.23846665,0.0,0.22481391,0.0038873968,0.43465427,0.26394624,0.0,0.40064237,0.20747909,0.5777522,0.42496917,0.7004646,0.5372563,0.33466214,0.49012583,0.6243749,0.4241894,0.41172108,0.0,0.3578825,0.5353193,0.57428795,0.4482875,0.5418657,0.5097387,0.17296132,0.53358746,0.55542606,0.20756273,0.66213065,0.40301037,0.5127092,0.78669775,0.48486236,0.2822625,0.52249235,0.42910138,0.0,0.43927985,0.45816314,0.41851252,0.5839552,0.34393427,0.3764985,0.6125414,0.52503186,0.34348464,0.22226663,0.1607986,0.32842192,0.06959328,0.36385825,0.65197045,0.44075322,0.3344897,0.68850064,0.3856307,0.0,0.0
47metersdown,0.7849433,0.6729724,0.47971854,0.0,0.358752,0.50306547,0.019672569,0.32948732,0.83577603,0.50381714,0.35713384,0.49645427,0.7024088,0.2689443,0.0,0.30102348,0.7465699,0.0,0.47557864,0.82098275,0.7982071,0.38067096,0.0,0.19537954,0.0,0.45376447,0.278436,0.0,0.4709779,0.29252976,0.61485815,0.5510439,0.8838811,0.68762803,0.23601843,0.499511,0.5537897,0.42972493,0.5410873,0.0,0.4881348,0.61275953,0.6995457,0.5369117,0.6439744,0.4809253,0.51358724,0.6077894,0.45478997,0.50073135,0.56823885,0.37033248,0.4182324,0.77988684,0.55009115,0.24962252,0.6494437,0.40924537,0.0,0.46064267,0.4055993,0.0,0.69145143,0.37213597,0.26908058,0.48683617,0.6321292,0.28134835,0.430105,0.14427808,0.41179356,0.0,0.34377846,0.8758613,0.63388664,0.23043144,0.7135299,0.0695017,0.0,0.0
abeautifuldaymovie,0.4853984,0.544598,0.51966894,0.0,0.46457845,0.3985612,0.0,0.19918509,0.5803943,0.6353858,0.4115781,0.39427423,0.5387396,0.1689287,0.05629278,0.19991502,0.6172548,0.0,0.4047971,0.4318672,0.5016309,0.17540061,0.0,0.024539214,0.0,0.27357933,0.20878978,0.0,0.4680572,0.19309154,0.52294016,0.47194314,0.59793675,0.502813,0.49433917,0.45149451,0.40873903,0.36390316,0.45084327,0.0,0.3374585,0.6432794,0.6428052,0.37555292,0.5502901,0.4116423,0.22779396,0.5909387,0.41903862,0.33079958,0.523338,0.3631271,0.6079618,0.7836733,0.41759482,0.26412153,0.44525456,0.37831134,0.0,0.5820904,0.46794623,0.02772581,0.6291646,0.3987511,0.3578298,0.48041543,0.35538685,0.20874731,0.3941483,0.12748916,0.31623855,0.0,0.31853208,0.6267581,0.48294896,0.18599956,0.3931362,0.3937546,0.08556776,0.0
abominablemovie,0.9044065,0.96125996,0.74883586,0.0,0.5998051,0.49979305,0.0,0.4063983,0.9930418,0.6229827,0.31229076,0.27637938,1.0758011,0.44898692,0.25897536,0.3483303,0.86205846,0.0,0.94499266,1.0823042,1.0645138,0.6870257,0.0,0.189739,0.0,0.4916573,0.45750308,0.0,0.7508992,0.33800125,0.9685428,0.5841894,1.2989272,0.8669062,0.61026174,1.024354,0.6998225,0.8537302,0.77148783,0.0,0.55337906,1.2704636,1.3490584,0.76433414,0.857984,1.0585176,0.24669847,0.72394073,0.6062825,0.8960802,0.88063574,0.87087744,1.0062529,1.0113443,0.54990155,0.2818924,1.091276,0.82738525,0.0,0.72354126,0.6202527,0.04444901,1.1874591,0.3845919,0.69852275,0.4950294,0.7767907,0.45412365,0.4531443,0.21956179,0.6523683,0.0,0.78789026,1.1355262,1.3311955,0.48322314,0.91233355,0.5965513,0.0,0.0
adastramovie,0.6430363,0.37462,0.24634506,0.0,0.3651414,0.37196293,0.0,0.11363925,0.36167273,0.19437423,0.31965023,0.24322002,0.48052824,0.2749772,0.15710433,0.13761419,0.53042597,0.0,0.5103812,0.3877857,0.43155664,0.36757323,0.0,0.21674992,0.00965667,0.299964,0.20457932,0.0,0.36712423,0.09997347,0.43871582,0.43249527,0.6214098,0.33041275,0.36724347,0.41178605,0.30271414,0.47376776,0.40213993,0.0,0.37175667,0.52093965,0.4443055,0.37456948,0.37454012,0.39868376,0.21195462,0.46080086,0.27023384,0.2870636,0.44199076,0.28109872,0.3389337,0.631034,0.43928632,0.20323297,0.47328162,0.42850414,0.0,0.43819007,0.3998227,0.15925312,0.56934,0.19130144,0.18070336,0.341312,0.41312945,0.1743493,0.21168987,0.116814144,0.23310398,0.0,0.35534915,0.52264977,0.38734186,0.19060424,0.6051874,0.396048,0.011948614,0.0
adogsjourneymovie,1.8412998,1.0793691,1.4353721,0.0,0.6585383,0.7925151,0.0,0.5488888,1.4021051,1.3527628,1.0746089,1.292156,1.6583114,0.74258435,0.16086122,0.17927802,1.711211,0.0,1.5925543,1.2461877,1.3865134,0.4781492,0.0,0.77015567,0.0,0.745472,0.66984856,0.0,1.0336995,0.124787115,1.349558,1.0484811,1.8840177,0.8965779,0.553403,1.0244399,1.0126774,0.7881458,1.125451,0.0,0.88775903,1.7234826,1.5876963,1.1499606,1.3376774,1.1588427,0.1828123,1.2830062,0.56081104,1.0091214,1.2627276,1.1608447,1.2135371,1.7416021,1.2807177,0.9914345,1.1678528,1.340573,0.0,1.57803,1.0088472,0.5437419,1.6195203,0.5921068,0.70924366,0.664283,0.9253805,0.6899909,0.52050805,0.20026608,0.44486842,0.0,1.0466402,1.3068564,1.0949491,0.31941843,1.8623602,0.7664184,0.0,0.0
aftermathmovie,0.52705604,0.32135758,0.32908815,0.0,0.3486994,0.31429836,0.0,0.21525852,0.39903376,0.4029693,0.26026142,0.16169393,0.4739889,0.25290138,0.06750055,0.11807507,0.48962745,0.0,0.53709865,0.36876616,0.48032117,0.36021224,0.0,0.105997995,0.0,0.19271708,0.1575356,0.0,0.24509941,0.1402988,0.5049161,0.4256822,0.58787394,0.44905457,0.27292737,0.41300145,0.38503146,0.31135136,0.3379508,0.0,0.24820372,0.48218808,0.48161998,0.43048778,0.3344135,0.35897735,0.16004533,0.45888755,0.40697566,0.33416855,0.338465,0.32884,0.34863377,0.542006,0.344559,0.17616066,0.31378818,0.26550516,0.0,0.45571652,0.2866665,0.12954155,0.5120614,0.24112085,0.25652558,0.28727898,0.426641,0.17812617,0.15703431,0.018955417,0.18323416,0.0,0.35849908,0.43856895,0.44862416,0.20277618,0.510619,0.25436425,0.0,0.0
aftermovie,0.716157,0.54879,0.5599278,0.0,0.5007278,0.36561903,0.0,0.27875358,0.545687,0.40868002,0.37333506,0.33818772,0.62368613,0.37937072,0.17186293,0.19011796,0.46252975,0.0,0.5246912,0.44332165,0.6327731,0.2618571,0.0,0.13667768,0.0,0.32928768,0.22812475,0.0,0.47218478,0.13069393,0.66635346,0.6196691,0.62175834,0.49143088,0.37595615,0.5458745,0.34779766,0.27006364,0.4075313,0.0,0.3580433,0.61014134,0.5678958,0.57047063,0.6080022,0.42741674,0.19420531,0.46740934,0.39487407,0.42192656,0.3804969,0.42053849,0.508132,0.68623865,0.42107284,0.24149726,0.46658382,0.46819976,0.0,0.43836972,0.31353307,0.13382153,0.59791607,0.15587196,0.30131266,0.5369767,0.5532971,0.2972629,0.1824043,0.077285886,0.47710428,0.0,0.57672167,0.4967286,0.5261282,0.3367312,0.5973027,0.24901153,0.0,0.0
ahiddenlifefilm,0.2553065,0.21532542,0.19692622,0.0,0.17430983,0.17676592,0.0,0.111526296,0.2526755,0.19113737,0.15655161,0.13106725,0.21664718,0.116097584,0.056179076,0.049295112,0.23439714,0.0,0.21645099,0.1802539,0.22222489,0.12360841,0.0,0.07302332,0.0,0.1366348,0.11767635,0.0,0.18161063,0.059986904,0.2741417,0.19292678,0.279476,0.17412032,0.15200594,0.21898589,0.20554283,0.16936673,0.16303217,0.0,0.120902866,0.26727214,0.25172165,0.21148764,0.21858472,0.20244074,0.080606245,0.22476095,0.15905324,0.1543765,0.21648294,0.18132626,0.22384991,0.29452142,0.17157337,0.13501728,0.18447112,0.16123672,0.0,0.23159997,0.16678305,0.06387215,0.26891857,0.1281085,0.13209955,0.17483307,0.18168081,0.10147491,0.12478021,0.0384235,0.12885214,0.0,0.19356619,0.24616344,0.20166707,0.08856269,0.25695026,0.14774653,0.0,0.0
alitamovie,0.8520104,0.6175153,0.62533605,0.0,0.45932785,0.5073437,0.0,0.4600894,0.8718298,0.7331968,0.35822347,0.17310855,0.7465699,0.35696274,0.26617306,0.263346,0.55541646,0.0,0.4477554,0.529065,0.90601,0.4375821,0.0,0.123010874,0.01929806,0.4706582,0.44680518,0.0,0.7548562,0.015570767,0.6031767,0.70136154,0.9423826,0.6888036,0.5224273,0.6902453,0.6790804,0.6487935,0.79318166,0.0,0.41716462,0.7381488,0.8764552,0.49304953,0.85860616,0.6737089,0.33589438,0.7013931,0.7371366,0.18382871,1.0256165,0.5329172,0.72567594,0.90495,0.6396043,0.50294274,0.6759135,0.6162888,0.0,0.6268163,0.8775342,0.19957462,0.9379848,0.35652637,0.5011054,0.73733455,0.6563452,0.47250926,0.15627727,0.4353091,0.5622278,0.0,0.6159065,0.67495894,0.6856162,0.19691329,0.7898271,0.53955764,0.0,0.0
