movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149
21bridgesmovie,0.38126272,0.37336636,0.5404387,0.28639394,0.48392454,0.5448735,0.45203608,0.0,0.42821845,0.0,0.33083788,0.40595025,0.4896172,0.4770827,0.33910686,0.22376835,0.35604322,0.40415537,0.3548745,0.51844937,0.45512608,0.0,0.33493727,0.16996686,0.3056634,0.48750395,0.15786023,0.15293674,0.40074003,0.36515248,0.20647074,0.0,0.04883647,0.21258244,0.10778452,0.490075,0.0,0.0,0.45612213,0.0,0.34513402,0.0,0.08556405,0.042464256,0.27605093,0.38245592,0.35345447,0.09561738,0.08701227,0.21977827,0.07037491,0.0090886,0.44069389,0.342826,0.4634872,0.0,0.44656992,0.14097804,0.39838472,0.5419488,0.0,0.43333775,0.0,0.24502757,0.28084606,0.18373582,0.53784895,0.4633625,0.35656255,0.02868353,0.0,0.32059312,0.0,0.38165966,0.5214171,0.51174057,0.2881996,0.44449687,0.39752096,0.13237736,0.362073,0.5302568,0.0,0.24822746,0.0,0.36055627,0.0,0.01545079,0.49579513,0.19659844,0.30007344,0.57029986,0.38210475,0.0,0.176585,0.113379546,0.0,0.3781032,0.4578897,0.49365708,0.50149167,0.40845108,0.4452722,0.079164445,0.0,0.49950296,0.36294213,0.19762254,0.14815256,0.5220358,0.20661156,0.54892176,0.35163224,0.0,0.2615689,0.19426307,0.11857866,0.4385136,0.32523555,0.54530483,0.42760396,0.16363142,0.016403446,0.20472354,0.045602918,0.5719342,0.36987782,0.0,0.55749893,0.19624911,0.0,0.39924636,0.11941735,0.004615183,0.16520448,0.13467662,0.0,0.3253813,0.35638994,0.4409344,0.33422524,0.43348688,0.0,0.0,0.30417395,0.46950227,0.3965698,0.20766214,0.0,0.30123562
47metersdown,0.37721688,0.57507944,0.33299506,0.18874392,0.52447945,0.32870802,0.47922987,0.0,0.2571868,0.0,0.10110235,0.45300758,0.40442643,0.76886606,0.30589977,0.4540784,0.1545685,0.046590626,0.2987528,0.3977941,0.5991556,0.0,0.42775637,0.2917736,0.33775857,0.44800788,0.11386834,0.07987514,0.3578162,0.77233124,0.3957977,0.0,0.2370759,0.44268173,0.029351711,0.32651165,0.0,0.021797296,0.34307313,0.0,0.3372392,0.0,0.51288307,0.0,0.4944179,0.41772795,0.62424874,0.0040001497,0.0,0.2552668,0.08953821,0.02130743,0.71292,0.37727755,0.515422,0.021509422,0.7120272,0.12263396,0.301913,0.6453238,0.0,0.5853817,0.0,0.18795446,0.19131581,0.24016134,0.64117706,0.54134536,0.45387542,0.29811087,0.0,0.5540069,0.0,0.36483455,0.38651252,0.4687361,0.31388247,0.50827235,0.46958363,0.19964515,0.24075446,0.551934,0.0,0.12212506,0.26255596,0.32610786,0.0,0.06412587,0.58531654,0.26522496,0.44931126,0.7058316,0.34198955,0.0,0.21826844,0.18216696,0.0,0.67578644,0.5605198,0.43359274,0.7399552,0.58199334,0.54812396,0.3198546,0.27455238,0.49139524,0.39516696,0.16254386,0.371488,0.5339627,0.3130705,0.7157523,0.8941533,0.0,0.3600564,0.28573427,0.16482416,0.07759201,0.50883967,0.44021612,0.49994695,0.2829592,0.010390878,0.3390556,0.0,0.89872617,0.4447127,0.0,0.77368164,0.29599994,0.2048356,0.57847714,0.0,0.14065354,0.19276075,0.0695733,0.111237526,0.3402261,0.2160896,0.5287057,0.24794675,0.437248,0.0,0.0,0.61629355,0.51168466,0.3938784,0.19733712,0.0,0.22735114
abeautifuldaymovie,0.2818235,0.31913763,0.32394367,0.14878078,0.34853885,0.40463,0.45384824,0.0,0.37840834,0.0,0.3319712,0.30757204,0.5070755,0.37294415,0.07244952,0.23050022,0.13796152,0.15595244,0.20449224,0.31889468,0.33469278,0.0,0.13405451,0.2829415,0.27305016,0.2597054,0.1745175,0.14907768,0.26311105,0.37701786,0.15081099,0.0,0.17726825,0.23234636,0.122794285,0.34311548,0.0,0.0,0.2870231,0.0,0.3048376,0.0,0.14150715,0.0,0.3314731,0.3424185,0.28147224,0.07211603,0.15752706,0.17617218,0.11331453,0.0,0.3131356,0.29625115,0.15654539,0.036620438,0.24610403,0.0,0.37544915,0.32377908,0.0,0.3580129,0.0,0.24031276,0.15102188,0.100646116,0.36210278,0.35897556,0.35276103,0.23350997,0.0,0.13602552,0.0,0.2823564,0.29418486,0.48496357,0.20038709,0.3018395,0.2260762,0.26729417,0.26159117,0.33595857,0.0,0.17818256,0.0,0.22034508,0.0,0.05332351,0.3333915,0.05771602,0.21429285,0.4299152,0.28577036,0.0,0.09819622,0.16761,0.0,0.4153231,0.20569018,0.40424144,0.5504274,0.39315522,0.3646509,0.032632038,0.0,0.35369843,0.09906368,0.05288901,0.19340217,0.3740493,0.091588475,0.35293302,0.41806418,0.0,0.39654297,0.282872,0.2471964,0.40010238,0.34802967,0.30219337,0.21463814,0.30644655,0.0,0.02314456,0.04251515,0.4137997,0.2648642,0.0,0.53194535,0.080286756,0.014573212,0.30692887,0.15398653,0.07108059,0.018460032,0.30664715,0.17023285,0.18099782,0.43099642,0.21549219,0.27404037,0.24802765,0.0,0.0,0.38619328,0.2787883,0.27155957,0.18033902,0.0,0.13093999
abominablemovie,0.4639417,0.4998855,0.54860246,0.20054293,0.56482947,0.6022743,0.7296754,0.0,0.6155664,0.0,0.61991084,0.44935796,0.7961135,0.4834968,0.11400063,0.21198012,0.34802106,0.37958467,0.50285494,0.3396102,0.48654425,0.0,0.11465949,0.35522208,0.6759932,0.55059016,0.18733002,0.25793892,0.69212794,0.69294095,0.2258421,0.0,0.16708447,0.34196693,0.29991493,0.39926538,0.0,0.0,0.29794136,0.0,0.48040769,0.0,0.5412027,0.30954167,0.5034225,0.44388425,0.19866341,0.52006537,0.19027817,0.46592274,0.103652716,0.0,0.6563403,0.39130455,0.56426996,0.0,0.89275134,0.02363571,0.7510721,0.799802,0.0,0.7621935,0.0,0.2684345,0.26555395,0.1758763,0.9093552,0.86088735,0.3111391,0.058302812,0.0,0.43384153,0.0,0.46947384,0.607674,0.7734219,0.60899454,0.7435127,0.3805989,0.046049442,0.50917685,0.49859172,0.0,0.52068275,0.0030180868,0.19608727,0.0,0.1875293,0.48960835,0.26649344,0.4353755,0.5775526,0.6168872,0.0,0.15609615,0.3207966,0.0,0.61992574,0.5546008,0.5736234,0.7761091,0.7415502,0.62279195,0.1869945,0.0,0.61997163,0.3233957,0.2838461,0.26021662,0.8364798,0.3490275,0.70609784,0.5528036,0.0,0.41808963,0.23837331,0.45680684,0.6235328,0.48223037,0.8962259,0.20457773,0.30868018,0.0,0.3992391,0.2457731,0.34754807,0.60357225,0.0,0.99067235,0.33183128,0.0,0.5196672,0.063925594,0.21064222,0.06795031,0.37153623,0.072376564,0.4743842,0.6202184,0.7475074,0.50906664,0.61368585,0.0,0.020103384,0.56932974,0.3846162,0.3988092,0.2790694,0.0,0.4546066
adastramovie,0.34619614,0.19752796,0.35737327,0.2943821,0.33030283,0.41674137,0.32899684,0.0,0.38402954,0.0,0.3096734,0.29741776,0.42009655,0.26604497,0.27953723,0.31041104,0.17289048,0.37176037,0.27553397,0.33019128,0.41003516,0.0,0.117286265,0.40196168,0.369746,0.18122113,0.09473662,0.1718982,0.3478651,0.37428343,0.20671877,0.0,0.17224418,0.12293308,0.21289954,0.32180986,0.0,0.0,0.32258064,0.0,0.3813444,0.0,0.2493038,0.0,0.18588392,0.25092834,0.25102872,0.30388618,0.12785812,0.20500876,0.020822011,0.06395822,0.4520109,0.276025,0.26754653,0.0,0.29155952,0.07373802,0.35496446,0.34829918,0.0,0.40248653,0.0,0.34207207,0.23669069,0.08148888,0.54957145,0.44229785,0.37980527,0.091925845,0.0,0.19318959,0.0,0.2349248,0.351194,0.5473924,0.28813046,0.31228206,0.11705783,0.06850827,0.28840768,0.4658355,0.0,0.21135142,0.0,0.24150768,0.0,0.18149626,0.48034468,0.0955045,0.2792907,0.3946532,0.2550172,0.0,0.08595967,0.19753793,0.0,0.4110029,0.29632005,0.41833,0.60072005,0.3957548,0.297803,0.103926875,0.0,0.528046,0.2228581,0.14329147,0.2800095,0.41951233,0.14576538,0.42538184,0.31509972,0.0,0.44951057,0.16784608,0.091120526,0.2859194,0.4131357,0.42165545,0.2477877,0.23166814,0.0,0.081250586,0.0,0.37011665,0.21976784,0.0,0.5036818,0.0,0.013515693,0.26875824,0.18741217,0.06575557,0.07891522,0.1368307,0.014008694,0.22955889,0.30375367,0.3552146,0.21574442,0.40132743,0.0,0.0,0.36938357,0.3431841,0.28949022,0.20390685,0.0,0.13775311
adogsjourneymovie,0.8815286,0.6636959,0.94571394,0.3530069,0.98542327,1.0420933,1.0326838,0.0,0.7473426,0.0,0.7981603,0.5735955,0.64609885,0.91493315,0.12737243,1.0335418,0.34540254,0.5304629,0.6906328,1.1857364,0.9908497,0.0,0.46548814,0.7518921,0.8145065,0.5528438,0.05778834,0.04776776,0.9666656,0.9602375,0.39201888,0.0,0.2406482,0.46668422,0.112265624,0.99602693,0.0,0.0,0.9140872,0.0,0.77099377,0.0,0.5138511,0.088772856,0.7068126,0.62370855,0.897596,0.49846667,0.26828858,0.31618822,0.2749935,0.0,1.2165147,0.8091014,0.8928577,0.0,0.6716238,0.0,0.71386063,0.91453266,0.0,1.2578688,0.0,0.3394857,0.12994836,0.26363665,1.163995,0.92085683,0.46223426,0.4323668,0.0,0.6558998,0.0,0.5793127,0.5969846,0.93365717,0.66397977,0.82423854,0.55386,0.66519576,0.9285125,0.80545,0.0,0.41259724,0.15757595,0.4961318,0.0,0.0418597,1.0293177,0.12834391,0.357679,1.1337106,0.7413059,0.0,0.146565,0.43907085,0.0,0.95433277,0.9001544,1.1882854,0.97651297,1.1243795,0.82969683,0.12423747,0.0,1.3083264,0.40756738,0.12565199,0.32686448,1.0891109,0.13680416,0.99269646,0.8304738,0.0,0.73747194,0.4944199,0.6615969,0.59513104,0.93214333,1.2149998,0.68019766,0.74381906,0.0,0.19240338,0.21660993,1.1247747,0.8405107,0.0,1.2661918,0.14303446,0.0,0.7172593,0.1262793,0.0,0.20815235,0.3398899,0.0,0.34010258,0.8088685,0.71432734,0.46644223,0.60191864,0.0,0.0,1.1920952,1.164282,0.50501806,0.5569951,0.0,0.43216413
aftermathmovie,0.29953244,0.2932809,0.21654722,0.2414177,0.30329528,0.32928348,0.26837608,0.0,0.24382235,0.0,0.2665135,0.2701464,0.28549176,0.26835328,0.16480468,0.17434826,0.24529864,0.24909544,0.13070644,0.29041252,0.35922217,0.0,0.25013798,0.28474772,0.2551418,0.28345907,0.045291603,0.05372376,0.28897342,0.296138,0.18595198,0.0,0.03547911,0.23982754,0.20958287,0.26356792,0.0,0.0,0.2970308,0.0,0.2761547,0.0,0.16098815,0.11537111,0.25460136,0.26396537,0.22711283,0.16985877,0.0571178,0.20521663,0.07358785,0.035575822,0.37329996,0.34504473,0.35207164,0.0,0.38428414,0.14113818,0.2159262,0.28948596,0.0,0.29056388,0.0,0.12869056,0.2806416,0.055975854,0.31689107,0.4061809,0.3206883,0.09876161,0.0,0.30554903,0.0,0.27231327,0.27469316,0.46534696,0.3576188,0.39312655,0.21179815,0.0734382,0.23900238,0.3108008,0.0,0.2733563,0.0,0.27039322,0.0,0.118490756,0.35639226,0.17176467,0.23607695,0.31041557,0.2790807,0.0,0.08353563,0.16603503,0.0,0.29532644,0.18381818,0.32607478,0.41719967,0.33036476,0.29790017,0.07959257,0.0,0.35458755,0.17695108,0.13710803,0.23563191,0.42089537,0.19115491,0.3074888,0.3298779,0.0,0.2850271,0.16118455,0.13301785,0.21457325,0.35027188,0.36850378,0.21416105,0.22486623,0.0,0.22897741,0.07998679,0.32903814,0.2693038,0.0,0.41387415,0.11111985,0.0,0.22778377,0.07209921,0.079849094,0.100318745,0.14365125,0.0,0.20165318,0.28099984,0.31729895,0.20821221,0.2727489,0.0,0.0,0.3833579,0.3252235,0.23408785,0.07022122,0.0,0.24581347
aftermovie,0.33598098,0.3531927,0.43222266,0.21573262,0.4385899,0.5300897,0.5037985,0.0,0.41713881,0.0,0.47819203,0.33409083,0.54055464,0.4079612,0.19228277,0.07728779,0.25950366,0.33486062,0.33032864,0.27989662,0.3852573,0.0,0.15709703,0.34571764,0.46878508,0.35434848,0.14093414,0.10800117,0.29188028,0.32205504,0.1583543,0.0,0.084409095,0.31249672,0.29930958,0.3348373,0.0,0.0,0.3267093,0.0,0.36341634,0.0,0.31729093,0.0,0.2646353,0.46462044,0.25978675,0.23466355,0.20088214,0.3553013,0.15393917,0.0,0.53048605,0.3994189,0.27765352,0.0,0.31346297,0.13653928,0.33516073,0.47114936,0.0,0.39916903,0.0,0.34988233,0.2979799,0.23125537,0.5639767,0.38220778,0.41935968,0.09734303,0.0,0.22938168,0.0,0.2792687,0.38110104,0.7717098,0.438091,0.2759732,0.23636718,0.27388555,0.20870924,0.41912657,0.0,0.28589177,0.0,0.31891546,0.0,0.07045494,0.46947408,0.058083363,0.21636206,0.5263998,0.44955227,0.0,0.13936731,0.2562517,0.0,0.4595898,0.32732284,0.48248303,0.6982086,0.51813495,0.43644825,0.0026466548,0.0,0.6688348,0.32001075,0.14459553,0.19281942,0.55030394,0.26250696,0.5857785,0.4804595,0.0,0.40963063,0.16901365,0.21557064,0.26531613,0.4696592,0.5567724,0.25935146,0.21020445,0.0,0.2206568,0.08448113,0.37489057,0.35063297,0.0,0.59524757,0.15006168,0.0,0.44051322,0.053564552,0.0,0.17078218,0.29874218,0.0,0.29305258,0.47134823,0.35617968,0.28858393,0.31385788,0.0,0.0,0.45400643,0.34318823,0.3087005,0.28410426,0.0,0.20391338
ahiddenlifefilm,0.14129332,0.1619137,0.18181242,0.10029138,0.15435675,0.19795868,0.19690184,0.0,0.1628633,0.0,0.1339307,0.15172926,0.19563782,0.20297703,0.09749272,0.13525341,0.103348635,0.12369607,0.12976155,0.17908096,0.19183919,0.0,0.097784236,0.15482673,0.16791232,0.15351588,0.07255358,0.07938541,0.1788041,0.17259681,0.11572762,0.0,0.09223657,0.12788814,0.09030603,0.1584359,0.0,0.0,0.13301608,0.0,0.13511534,0.0,0.10361214,0.020381454,0.14403561,0.1495108,0.14860433,0.07794436,0.059018437,0.10451296,0.038641118,0.0,0.20715189,0.14221613,0.16266342,0.0,0.17411542,0.041175295,0.17757723,0.21243444,0.0,0.19860291,0.0,0.12228468,0.1092436,0.075946815,0.23296353,0.19817236,0.1664217,0.06705077,0.0,0.11257483,0.0,0.12991583,0.16824561,0.23143686,0.12940249,0.18023983,0.1248903,0.09271884,0.11995373,0.1915867,0.0,0.09929397,0.0,0.13144735,0.0,0.030997701,0.18852668,0.072641805,0.12974396,0.20899788,0.14685471,0.0,0.06049665,0.081708655,0.0,0.20195314,0.1367285,0.20839354,0.2282505,0.19828813,0.18422215,0.08317214,0.0,0.2178894,0.10361076,0.08204052,0.08453193,0.2168901,0.09506697,0.21403964,0.17650211,0.0,0.1550873,0.10928654,0.09830481,0.14660849,0.16633151,0.2147271,0.12073581,0.11886123,0.0,0.07895204,0.016378943,0.20497178,0.13393384,0.0,0.25149482,0.06573194,0.0,0.16150045,0.03240793,0.028966956,0.0470909,0.10848444,0.027889501,0.12653211,0.16412443,0.17540666,0.10420493,0.14257815,0.0,0.0,0.18141988,0.18090823,0.13210683,0.08078666,0.0,0.10444732
alitamovie,0.24613354,0.376423,0.42810252,0.36157674,0.6760581,0.6420715,0.48855197,0.0,0.54175794,0.0,0.35492828,0.3614076,0.79755807,0.50381964,0.4268866,0.3648451,0.39744282,0.5040902,0.44571733,0.49637714,0.6487777,0.0,0.20562282,0.6430654,0.5465398,0.5054335,0.28773153,0.20187594,0.47998324,0.6232169,0.4578671,0.0,0.3816434,0.35477197,0.52341235,0.6715755,0.0,0.0,0.64102095,0.0,0.26029938,0.0,0.28637257,0.24262547,0.42156124,0.6448822,0.40902823,0.0,0.054518852,0.3902145,0.10373002,0.0,0.5736509,0.47373605,0.3831436,0.0,0.2505856,0.0,0.1972371,0.5855521,0.0,0.64683294,0.0,0.49396375,0.3213069,0.21547653,0.8875068,0.7400993,0.3623541,0.2363759,0.0,0.28826982,0.0,0.31733686,0.49677855,0.89573634,0.420644,0.49641776,0.35682976,0.18047829,0.41475615,0.6096724,0.0,0.3645974,0.093309574,0.55108744,0.0,0.11374426,0.7213534,0.2801177,0.5926992,0.72262293,0.37701505,0.0,0.19871491,0.26579374,0.0,0.5489651,0.36981782,0.6707772,0.9561559,0.7007464,0.46151808,0.15349326,0.0,0.72557557,0.3246493,0.12346905,0.43441474,0.636973,0.28707638,0.6711273,0.60182285,0.0,0.5577266,0.2924021,0.09753515,0.323768,0.5658343,0.62809294,0.2908574,0.25215483,0.0,0.22997913,0.0808908,0.5391528,0.10130969,0.0,0.62943864,0.24493648,0.0,0.43380275,0.13808703,0.11367031,0.089788914,0.1600782,0.09075105,0.29151443,0.40884465,0.66812885,0.27404836,0.38215524,0.0,0.0,0.67544866,0.6054635,0.32097554,0.25267476,0.0,0.05762465
