movie,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129
21bridgesmovie,0.2939465,0.3985922,0.46605045,0.0,0.0,0.24089824,0.28091738,0.34354237,0.0,0.40231693,0.27740207,0.4583631,0.3509347,0.37918523,0.0,0.3894924,0.0,0.16395156,0.075123966,0.27600494,0.0,0.24789982,0.16807559,0.49650612,0.0,0.36205366,0.3190207,0.5539465,0.15608212,0.0,0.34037668,0.0,0.40125117,0.48469514,0.18703867,0.31350112,0.40349957,0.3024571,0.47722977,0.5010035,0.47560325,0.49529266,0.52688515,0.47480148,0.3783989,0.49476662,0.26321107,0.0,0.22817555,0.19024636,0.0,0.1497469,0.40539873,0.41850933,0.0,0.0,0.3068269,0.0,0.08171628,0.0,0.49947065,0.024436273,0.67452955,0.39080787,0.0,0.4083414,0.25339362,0.39280033,0.1550199,0.36570725,0.0,0.5253496,0.0,0.44538006,0.13100235,0.22775637,0.40363842,0.31791258,0.3773652,0.45927235,0.24946824,0.13593677,0.2826525,0.30767858,0.21705346,0.42546374,0.3778671,0.5138373,0.0,0.5755774,0.32319155,0.5929553,0.36961126,0.43280718,0.3972564,0.40561694,0.17716657,0.31248438,0.40423992,0.0,0.51382065,0.56366515,0.19867806,0.1301464,0.0,0.08394094,0.4401125,0.55085564,0.511073,0.3167954,0.23114254,0.4347665,0.40879753,0.12616038,0.0,0.29674938,0.19499841,0.2103076,0.35744956,0.3331012,0.0,0.31228885,0.0,0.5948357,0.43375975,0.1340859,0.24704322,0.3942661,0.51662993,0.42931455
47metersdown,0.22755669,0.28739917,0.3647757,0.0,0.0,0.20077154,0.4897777,0.41192886,0.0,0.46071237,0.31915975,0.38188532,0.24164118,0.3503159,0.0,0.39593887,0.032819748,0.3458854,0.16287735,0.31419313,0.0,0.18103078,0.22369267,0.7087985,0.0,0.548833,0.3315147,0.68247646,0.2613476,0.0,0.38978377,0.0,0.5895548,0.37664914,0.49186814,0.602647,0.3635623,0.44622663,0.28296125,0.43550876,0.56199276,0.66052055,0.6055033,0.4402396,0.39661893,0.4991911,0.1831769,0.0,0.0034597311,0.0,0.0,0.4225967,0.71842813,0.2594917,0.0,0.0,0.31956282,0.0,0.41631144,0.0,0.6385541,0.13410634,0.5106879,0.43871275,0.0,0.34115416,0.48217013,0.6836516,0.40086678,0.4731827,0.0,0.72993124,0.0,0.53130996,0.18858483,0.22605251,0.37235764,0.41851592,0.4738682,0.6098925,0.057473876,0.47628447,0.31315875,0.40325305,0.361044,0.5105656,0.55772996,0.5538236,0.0,0.58137125,0.47211257,0.5955966,0.4662671,0.6333916,0.41239676,0.35372335,0.3761002,0.17061126,0.4033539,0.0,0.60023034,0.659597,0.30540144,0.15974423,0.0,0.25765553,0.5526937,0.650209,0.7817284,0.17879611,0.3197094,0.046322845,0.35157612,0.0055938736,0.0,0.23264426,0.093746945,0.20288518,0.365717,0.42156073,0.0,0.30604222,0.0,0.73989266,0.3885708,0.26593328,0.23004848,0.4064593,0.39648706,0.33970392
abeautifuldaymovie,0.19846357,0.22733922,0.3250416,0.014014668,0.0,0.27621588,0.37489343,0.40262493,0.0,0.2501039,0.50662243,0.43114606,0.27976987,0.35880932,0.0,0.32452887,0.0,0.235202,0.18697147,0.1892903,0.024049167,0.11737706,0.16199312,0.38348454,0.0,0.34566578,0.2888757,0.49248326,0.15281108,0.0,0.20142731,0.0,0.37721014,0.37863445,0.23027012,0.4895024,0.38857555,0.27998006,0.27591857,0.26897478,0.40049803,0.61186385,0.5046318,0.2539183,0.4086196,0.4525372,0.08355495,0.0,0.17076659,0.15290996,0.0,0.22334492,0.54681873,0.31464836,0.0,0.029412987,0.17580307,0.0,0.123303406,0.0,0.34437597,0.0,0.4561104,0.5037866,0.0,0.42241305,0.33957654,0.34777668,0.215623,0.2935764,0.0,0.57334065,0.0,0.3526615,0.18480204,0.2018972,0.40395892,0.35726768,0.2831799,0.5995517,0.31055066,0.4431324,0.19734935,0.26560214,0.26249272,0.3410972,0.2734139,0.31987718,0.0,0.57340854,0.21758986,0.44071215,0.2649165,0.5202017,0.3407325,0.2990722,0.22443637,0.22746046,0.43702486,0.0,0.5129616,0.4792451,0.20152397,0.30210185,0.0,0.22571729,0.39998943,0.46137622,0.5448029,0.375009,0.27178127,0.40962157,0.34423056,0.21637097,0.0,0.22820824,0.10598021,0.27526158,0.35355866,0.2645016,0.0,0.38058987,0.0,0.5764711,0.46632764,0.14397769,0.11990952,0.35424533,0.3224697,0.30445436
abominablemovie,0.37889308,0.41848177,0.7123755,0.0,0.0,0.45272225,0.7131509,0.55337626,0.0,0.80186445,0.15686332,0.48859146,0.24967723,0.79625815,0.0,0.443937,0.0,0.24411367,0.25957516,0.5280677,0.016839765,0.2917215,0.11526558,0.68152285,0.0,0.7140546,0.5104918,0.75994456,0.43800744,0.0,0.32106265,0.0,0.4450863,0.5949605,0.42499074,0.48219034,0.52460694,0.5988539,0.66052806,0.59912056,0.49356988,0.506076,0.71531296,0.4270497,0.5727008,0.8159413,0.13870302,0.0,0.36853456,0.0,0.0,0.29875258,0.7244982,0.5972773,0.0,0.0,0.4535669,0.0,0.20593819,0.0,0.797963,0.37418044,0.5975734,0.8642839,0.0,0.65923214,0.7311944,0.61408573,0.33888415,0.5489975,0.0,0.7381744,0.0,0.61560804,0.36206135,0.2707734,0.52462536,0.5040228,0.44775906,0.67518294,0.37031922,0.5276073,0.29958117,0.16966523,0.26665998,0.678553,0.47254825,0.56568456,0.0,0.69933766,0.3594797,0.82251316,0.36395723,0.66546005,0.7726819,0.35162538,0.5652147,0.43341148,0.7254793,0.0,0.7493285,0.7581743,0.3862254,0.4143852,0.048112914,0.22880304,0.7805736,0.67083615,0.5010733,0.8430929,0.31370458,0.5180037,0.4677093,0.3840239,0.0,0.47268954,0.24115822,0.59265447,0.37393758,0.5359393,0.0,0.41411832,0.0,0.83033293,0.5598247,0.30287993,0.22942181,0.52204245,0.33384138,0.6220632
adastramovie,0.23607554,0.21428894,0.3062695,0.0,0.0,0.18287015,0.24096958,0.3390552,0.0,0.2643891,0.26254186,0.27660197,0.25673974,0.27136117,0.0,0.4242796,0.11014528,0.15424205,0.08511686,0.30950543,0.080542035,0.060125608,0.18148504,0.38542467,0.0,0.42789403,0.20661098,0.45343798,0.28730088,0.0,0.26798788,0.0,0.41662127,0.2791558,0.24485604,0.4324048,0.29165345,0.21804374,0.20268044,0.29582214,0.33816695,0.5129613,0.51219934,0.31207865,0.39832157,0.42446658,0.3054659,0.0,0.061576962,0.0,0.0,0.1907034,0.32412967,0.35563612,0.0,0.0,0.20644301,0.0,0.15792702,0.0,0.482471,0.06911884,0.40431818,0.290493,0.0,0.2633754,0.36062565,0.2977302,0.15373096,0.38447067,0.0,0.3972601,0.0,0.25402096,0.20020172,0.12965825,0.4226895,0.24960192,0.25902957,0.30018064,0.14017145,0.32093585,0.23727961,0.22345771,0.23782381,0.46719506,0.2860708,0.3745451,0.0,0.5534354,0.16496639,0.52353215,0.35425556,0.31570342,0.31158194,0.22366472,0.22057545,0.23888093,0.502949,0.0,0.47737187,0.509105,0.37425202,0.07892326,0.0,0.11212145,0.24086145,0.3435698,0.37009016,0.28693467,0.28503513,0.23102072,0.325304,0.13626112,0.0,0.28082183,0.2706814,0.2776402,0.34226424,0.07358868,0.0,0.34429872,0.0,0.47760022,0.40366942,0.19749388,0.21167918,0.33474067,0.23633412,0.3216656
adogsjourneymovie,0.4509018,0.5806836,0.5344982,0.0,0.0,0.74102014,0.7887207,0.8864071,0.0,0.647377,0.44703057,0.48412848,0.5314324,0.69736034,0.0,1.010375,0.0025938908,0.61186606,0.43985143,0.41514644,0.21308474,0.6006329,0.4130867,0.92828715,0.0,0.6099591,0.60182565,1.1716843,0.6320851,0.0,0.5158057,0.0,0.72586316,0.82192767,0.21575585,0.8329587,0.5492998,0.6065605,0.8136573,0.7397072,0.8685734,1.1745675,1.3536788,0.6553777,0.8359889,1.112267,0.45983243,0.0,0.3006906,0.14601436,0.0,0.39877754,1.2756455,1.0013366,0.0,0.0,0.67290056,0.0,0.1744645,0.0,1.0024153,0.0,0.77091694,0.7292647,0.0,0.7421353,0.8623584,0.9705402,0.4591757,0.9580261,0.0,1.0873574,0.0,0.86371434,0.3034906,0.24234016,0.7747546,0.44207668,1.0179338,0.68304414,0.14881067,0.8353226,0.48581356,0.46652463,0.700248,1.0360035,0.38728768,1.2372224,0.0,1.3322258,0.8234252,1.2378067,0.6347265,0.59555197,0.81525546,0.7736885,0.46309406,0.471074,0.9942822,0.0,0.85746604,0.9005332,0.6474453,0.063900836,0.000838764,0.32291216,0.4736635,0.61205566,0.8009573,0.7562949,0.59165734,0.8558253,0.16830166,0.07982289,0.0,0.764521,0.14293401,0.40356848,0.72110295,0.84889245,0.0,0.2991208,0.0,1.4928969,0.8827303,0.30534303,0.47339842,0.5606979,0.49357963,0.50705063
aftermathmovie,0.20753415,0.20905158,0.34648335,0.0,0.0,0.23346674,0.25704545,0.3019386,0.0,0.25692457,0.30643913,0.19968493,0.2141049,0.31347832,0.0,0.27166134,0.033770707,0.14978936,0.15671493,0.19796632,0.12233983,0.1598343,0.1716501,0.32973954,0.0,0.22722419,0.2013334,0.38801563,0.08192645,0.0,0.2876299,0.0,0.29501206,0.19356498,0.17852062,0.31437284,0.31635547,0.228181,0.3819499,0.26136762,0.37641716,0.40806782,0.390637,0.26138866,0.21450461,0.37622613,0.20114776,0.0,0.059186257,0.060887106,0.0,0.09089193,0.41717112,0.28140134,0.0,0.011966115,0.28051156,0.0,0.13459127,0.0,0.3616857,0.0,0.36261207,0.32945502,0.0,0.26229715,0.28308403,0.4064728,0.057155408,0.31257144,0.0,0.40014014,0.0,0.22595139,0.13814305,0.13467106,0.3180549,0.119359955,0.34920943,0.33801436,0.16114111,0.24870738,0.19095255,0.2040323,0.15767741,0.2585545,0.19008142,0.39556912,0.0,0.40957886,0.23742194,0.39127627,0.2949242,0.29592845,0.32719806,0.31822383,0.12746096,0.11453122,0.33167082,0.0,0.4436702,0.4405234,0.1880302,0.035674825,0.01871993,0.010047473,0.26317388,0.27953947,0.28192675,0.33240613,0.21765578,0.3322197,0.19932386,0.07674657,0.0,0.22394593,0.19419557,0.19380146,0.18386838,0.18588567,0.0,0.19394305,0.0,0.373919,0.38520074,0.059088297,0.24553822,0.30739585,0.2321085,0.2938655
aftermovie,0.24720047,0.18967281,0.39861342,0.0,0.0,0.33353487,0.33558354,0.34848037,0.0,0.45152754,0.3327556,0.39416292,0.3609042,0.20808578,0.0,0.41540456,0.0279691,0.14225912,0.2506519,0.25542468,0.0,0.122728415,0.26199332,0.4243563,0.0,0.39222163,0.32143706,0.43822536,0.13286829,0.0,0.2793653,0.0,0.42254686,0.25697201,0.21028066,0.39160582,0.35003665,0.22828133,0.25974742,0.47231966,0.54537284,0.3683923,0.56198406,0.43403023,0.31339303,0.45992562,0.14908668,0.0,0.0,0.066561274,0.0,0.1430751,0.4392149,0.27677262,0.0,0.013909308,0.19869411,0.0,0.1620063,0.0,0.4678133,0.049020257,0.44903716,0.44028544,0.0,0.39162117,0.36581406,0.38287884,0.2651853,0.2891325,0.0,0.4506761,0.0,0.27403915,0.09752717,0.18642761,0.4157969,0.38116044,0.37874496,0.4232844,0.23068678,0.24623586,0.32269663,0.2539256,0.21370447,0.17751107,0.26970685,0.48114827,0.019550212,0.5782093,0.3160201,0.5453921,0.32754594,0.34690496,0.44357935,0.26462698,0.23855208,0.26408243,0.38699508,0.0,0.4128124,0.4618836,0.28824267,0.13470025,0.0,0.14193022,0.24328278,0.38161194,0.40007442,0.36216235,0.28982663,0.35128698,0.30795708,0.17642444,0.0,0.2376979,0.112764776,0.16386046,0.37313458,0.31622407,0.0,0.31573355,0.0,0.44239318,0.51811,0.13438241,0.15786731,0.29489884,0.31987786,0.2986889
ahiddenlifefilm,0.09752864,0.103956655,0.16506504,0.0,0.0,0.12299001,0.1162122,0.1373102,0.0,0.14539005,0.14857286,0.14850955,0.12916805,0.14587922,0.0,0.14896335,0.004327574,0.099040225,0.0948459,0.12132886,0.023379058,0.0957843,0.093879625,0.20091842,0.0,0.151834,0.13044971,0.18001385,0.09432802,0.0,0.119274765,0.0,0.17708318,0.14159144,0.111808434,0.1761411,0.14568305,0.09640088,0.15533012,0.158512,0.16910829,0.19902346,0.22758366,0.14971077,0.16595954,0.20254654,0.08688284,0.0,0.07374825,0.038976572,0.0,0.092772424,0.22305927,0.11628067,0.0,0.0,0.13505921,0.0,0.058129597,0.0,0.18332206,0.0126032075,0.15789238,0.18393265,0.0,0.1709996,0.16042824,0.18808132,0.08984773,0.15782689,0.0,0.24022387,0.0,0.15736505,0.043911282,0.08636865,0.15120439,0.14455779,0.1487833,0.1949884,0.08626057,0.1472483,0.103717014,0.12430495,0.09077605,0.16545668,0.120973855,0.21383992,0.0,0.22185741,0.11853707,0.21868026,0.12712365,0.1552173,0.16207477,0.14747432,0.11822337,0.0917031,0.19337177,0.0,0.21755177,0.23249158,0.07594866,0.06341618,0.024023537,0.06214693,0.14742063,0.1910002,0.1769686,0.15204507,0.10058792,0.12928297,0.10534311,0.062141273,0.0,0.10919962,0.045767013,0.13278928,0.12980145,0.121658266,0.0,0.15525055,0.0,0.21930052,0.19119805,0.07072804,0.09425023,0.12036961,0.11543383,0.13917357
alitamovie,0.43449742,0.55900013,0.39936855,0.0,0.0,0.27581814,0.33556786,0.42547932,0.0,0.4581741,0.37821802,0.50819993,0.3641939,0.39187807,0.0,0.5385732,0.07082093,0.26330012,0.30443224,0.52698046,0.106090285,0.18227084,0.322533,0.70365137,0.0,0.6778162,0.30242527,0.80373544,0.39225033,0.0,0.51235336,0.0,0.64323586,0.6264582,0.41341528,0.5603169,0.45164198,0.26166853,0.34933493,0.49728656,0.6364901,0.71596515,0.7875865,0.5753008,0.5579361,0.6271753,0.30909944,0.0,0.10027221,0.08256409,0.0,0.13177873,0.62488407,0.37926137,0.0,0.0,0.4094696,0.0,0.25123513,0.0,0.47823578,0.057594687,0.55069256,0.6796287,0.0,0.58191854,0.633749,0.63775444,0.46152097,0.42151374,0.0,0.5799038,0.0,0.5073297,0.24940488,0.16738704,0.48631376,0.3953972,0.45808834,0.58853084,0.0569963,0.43962508,0.38001066,0.37891653,0.4051938,0.83451766,0.44570452,0.6035733,0.0,0.5950172,0.39105645,0.71092063,0.61409163,0.6035192,0.53001124,0.38211405,0.30516922,0.35972628,0.64260757,0.0,0.6491059,0.7399341,0.32920069,0.13890922,0.0,0.11050728,0.37686294,0.5966164,0.61564875,0.4928547,0.295146,0.39090112,0.2722306,0.1792849,0.0,0.4831681,0.195468,0.60242796,0.42021123,0.24004677,0.0,0.46224257,0.0,0.78352344,0.7091233,0.13593726,0.37515166,0.45865658,0.37182426,0.49402994
